,data,data,loo_ptest[DP],loo_ptest[DP],loo_ptest[DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=1][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],lci_dpp[d=8][DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],ci_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],rw_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],dns_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],diamond_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],node2vec_dpp[DP],subgraph_metrics[DP],subgraph_metrics[DP],subgraph_metrics[DP]
,name,class,disease_size,pvalue_COMP,pvalue_DNS,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Conductance of Disease Nodes,Conductance of Intermediate Nodes,Density of Disease Subgraph
C0000731,Abdomen distended,,42.0,0.0,1.0,0.06999999999999999,0.02,0.7636956774343482,0.004027886219629092,0.09,0.0,0.7282280966767372,0.003607548347016741,0.07,0.0,0.724799209854,0.00347459429441,0.095,0.06999999999999999,0.7223834534046014,0.00646526786748468,0.025,0.025,0.6261573320938879,0.0017218106050843195,0.045,0.045,0.5283176853358122,0.02633102227357316,0.05,0.05,0.6435696026028352,0.014758470423596869,0.9857355126300148,0.8237030052211569,0.027874564459930317
C0000737,Abdominal Pain,,99.0,0.0,0.0,0.09222222222222222,0.05,0.8193466306272719,0.012009627361908444,0.13222222222222224,0.0811111111111111,0.8556197118919646,0.01736579617922937,0.032222222222199996,0.0,0.735425042201,0.0034207052622600006,0.06111111111111112,0.02,0.7845049761290791,0.005835386303705874,0.0,0.0,0.6855558662399934,0.0015294247538548984,0.031111111111111114,0.031111111111111114,0.5192607004898459,0.0025834449630456288,0.02,0.0,0.6828783877548907,0.0020823833503823674,0.9628142198423324,0.6448983355618055,0.02576788291074005
C0000768,Congenital Abnormality,,11.0,0.03,1.0,0.2,0.2,0.8103545901791515,0.10698750857807553,0.3,0.1,0.8205954701568736,0.1037340000245466,0.3,0.1,0.746386800334,0.009875509468110001,0.2,0.1,0.8012392091339461,0.009687052708551502,0.2,0.0,0.5893901420217211,0.00453339796146114,0.1,0.1,0.5436647173489279,0.0062964097423491025,0.1,0.0,0.5358512020792723,0.003190824136362372,0.984984984984985,0.9790331974373908,0.09090909090909093
C0000786,Spontaneous abortion,,111.0,0.0,1.0,0.08181818181818183,0.03636363636363636,0.7682627119841519,0.016532080560587144,0.06363636363636363,0.054545454545454536,0.8181823127290814,0.008593601272199256,0.0818181818182,0.0363636363636,0.726498831455,0.00863824684798,0.07196969696969698,0.01818181818181818,0.7509857033451177,0.0054080509452978645,0.00909090909090909,0.0,0.6566864732845568,0.002185722308630961,0.00909090909090909,0.00909090909090909,0.4976164234907124,0.0050581051525665,0.09015151515151516,0.017424242424242425,0.7572925586179806,0.008040313853607869,0.9550451991204496,0.8116173525012044,0.015069615069615069
C0000889,Acanthosis Nigricans,integumentary system ,20.0,0.0,0.0,0.45,0.2,0.9099955889863954,0.050318911764717485,0.35,0.3,0.9391059571899522,0.036026378860821114,0.3,0.15,0.847320889632,0.0242836408544,0.15,0.1,0.8705831824302364,0.018063029764787124,0.05,0.0,0.7807494079955426,0.0016423064862542349,0.0,0.0,0.5431954311185402,0.0009392703559400076,0.15,0.1,0.7007684450016252,0.006318104158480897,0.9797752808988764,0.8010777426710429,0.14210526315789473
C0001125,"Acidosis, Lactic",acquired metabolic ,93.0,0.0,0.0,0.38,0.1411111111111111,0.8839304054333871,0.07350920118056149,0.3822222222222222,0.08333333333333334,0.9017983082784612,0.036049100590878805,0.444444444444,0.102222222222,0.8613191079639999,0.055984908245099996,0.27111111111111114,0.051111111111111114,0.8568399801217543,0.02322577183704569,0.2544444444444444,0.03222222222222222,0.7949127220772767,0.019960534480118832,0.1911111111111111,0.09444444444444446,0.6328567213318425,0.036575931668674906,0.1922222222222222,0.09666666666666664,0.8607218287986086,0.0264736401274537,0.880362062180244,0.6612116263218631,0.07106124357176251
C0001126,Renal tubular acidosis,urinary system ,10.0,0.04,1.0,0.1,0.1,0.560736993548986,0.10087030024516087,0.1,0.1,0.5622406831577481,0.05039439891042915,0.3,0.0,0.8063512321899999,0.0087263448714,0.2,0.1,0.8793381909314523,0.010923398282634313,0.2,0.0,0.6932148326913261,0.0060035348101607645,0.0,0.0,0.4930384740335082,4.640801930573604e-05,0.1,0.0,0.799995358982689,0.004124162306579589,0.9766899766899768,0.991586998087954,0.1111111111111111
C0001206,Acromegaly,endocrine system ,17.0,0.03,1.0,0.15,0.0,0.7954166666666668,0.004445663761880014,0.05,0.0,0.6966469359331476,0.004070991137439579,0.05,0.0,0.791229108635,0.00309430007438,0.0,0.0,0.8052506963788302,0.0011458756731467974,0.0,0.0,0.6405861188486537,0.00043610980918534434,0.0,0.0,0.6427808727948003,0.002019942961689808,0.05,0.0,0.5764345403899721,0.0018921922443161704,0.9854341736694678,0.8746960801755322,0.09558823529411764
C0001403,Addison Disease,endocrine system ,18.0,0.0,0.0,0.8,0.8,0.928634105575932,0.3731562406590218,0.8,0.75,0.9163424485816424,0.2376627922485336,0.85,0.75,0.927572078555,0.349290219383,0.65,0.5,0.9320441988950277,0.2782884796632918,0.7,0.3,0.9216978504108824,0.045603051701724115,0.65,0.65,0.822519615581039,0.4583611874089345,0.7,0.6,0.8923510840800409,0.16814585718745,0.8681318681318682,0.9631002984534685,0.2352941176470588
C0001418,Adenocarcinoma,cancer,112.0,0.0,0.0,0.12272727272727273,0.035606060606060606,0.8449296120449069,0.02346690595680015,0.15909090909090912,0.06287878787878788,0.7642143927029681,0.028925715159425287,0.13257575757600001,0.0530303030303,0.819871341063,0.0282876402937,0.07954545454545456,0.017424242424242425,0.8159900591364802,0.006404771155042321,0.0,0.0,0.7350064294142167,0.0014241109309861431,0.08939393939393939,0.02575757575757576,0.5691244338936109,0.008915534986788045,0.027272727272727268,0.00909090909090909,0.7923211245116119,0.003330908402349919,0.9577380057151452,0.4325019231287284,0.045205920205920215
C0001430,Adenoma,benign neoplasm,32.0,0.03,1.0,0.06666666666666668,0.03333333333333333,0.8014978706929925,0.035254726053966914,0.13333333333333333,0.06666666666666668,0.848508323654665,0.0385046226860676,0.06666666666669999,0.0333333333333,0.73837398374,0.00746777606326,0.06666666666666668,0.0,0.7532051877661633,0.0015573394002751696,0.0,0.0,0.6119384436701509,0.0004902010778205274,0.0,0.0,0.5055354239256677,0.00031178223813775965,0.08333333333333333,0.025,0.714808362369338,0.003061170789346396,0.9854096520763188,0.7613720561956095,0.05241935483870968
C0001624,Adrenal Gland Neoplasms,cancer,11.0,0.0,0.0,0.5,0.3,0.8814373897707231,0.03881544297855629,0.6,0.2,0.8915274296853243,0.030126831791841318,0.6,0.1,0.9674255082150001,0.0177202042549,0.5,0.3,0.9874431448992852,0.05184252595881027,0.0,0.0,0.9486552028218694,0.0017900307755677855,0.2,0.0,0.59386893158823,0.0034116317387367394,0.1,0.1,0.9162628794207744,0.00652593570012674,0.9862617498192336,0.8099612083693446,0.34545454545454546
C0001627,Congenital adrenal hyperplasia,,11.0,0.0,1.0,0.2,0.0,0.8941613292490486,0.005700045563506082,0.3,0.1,0.8561937250533743,0.016167068768927866,0.3,0.0,0.880170333241,0.0100771247936,0.1,0.1,0.8877169776292583,0.010486570144688187,0.3,0.0,0.6454075002320617,0.006859883125683771,0.1,0.1,0.5437296946068877,0.0500464097423491,0.2,0.0,0.8819409635199109,0.0064633199887630475,0.9726027397260274,0.9867313090073998,0.07272727272727272
C0001768,Agammaglobulinemia,immune system ,16.0,0.0,0.0,0.6,0.2,0.9622742676755952,0.07802825337374489,0.55,0.25,0.9349960540364884,0.07236493231063984,0.75,0.25,0.9466784271850001,0.027685580128099997,0.7,0.4,0.9547258715937048,0.09601853308349352,0.3,0.0,0.8648159324079663,0.00787900075873305,0.15,0.1,0.6191611345805673,0.05578436429623708,0.2,0.05,0.8006800984169724,0.05735178575646215,0.9582637729549248,0.9124114502409608,0.20833333333333331
C0001807,Aggressive behavior,,75.0,0.0,0.0,0.06964285714285715,0.0125,0.8042072598986527,0.003715174180001779,0.06785714285714288,0.026785714285714284,0.7631593560056924,0.008071240544498301,0.05535714285709999,0.0,0.741436601407,0.0025626525321799996,0.039285714285714285,0.0125,0.7828800607152833,0.014789443712628391,0.0125,0.0,0.6907816095202628,0.0014969681477464574,0.05357142857142857,0.014285714285714284,0.5405866788806575,0.0021707065737963482,0.0,0.0,0.6148109048106721,0.0011706452951590483,0.9758479843722252,0.6574887944583503,0.024504504504504504
C0001916,Albinism,,11.0,0.0,1.0,0.35,0.25,0.6972616727002692,0.12978656626808774,0.5,0.35,0.669063863362109,0.11897052177466624,0.5,0.25,0.6909913673070001,0.0413289952355,0.35,0.25,0.6470249698319874,0.04680358677572317,0.35,0.25,0.6718961756242458,0.03199056005477067,0.25,0.25,0.6196869488536155,0.1217037945897742,0.0,0.0,0.6245544416597049,0.0010320787784763095,0.963302752293578,0.9575260804769,0.07272727272727272
C0001925,Albuminuria,,21.0,0.03,1.0,0.2,0.05,0.7977417657256067,0.00791912600794262,0.35,0.15,0.8325965824665676,0.015919955072559833,0.15,0.0,0.745150368375,0.00438415878126,0.15,0.05,0.7785963038632987,0.01172362710127075,0.0,0.0,0.6724546495789996,0.0016311183589810554,0.05,0.05,0.5183773681277861,0.012592858486014331,0.11666666666666665,0.11666666666666665,0.724305039623576,0.0290916414415836,0.9666666666666668,0.9301679452622847,0.09047619047619047
C0001956,alcohol use disorder,,12.0,0.34,1.0,0.0,0.0,0.7717312601531677,0.0006888668105286568,0.0,0.0,0.8233604084474356,0.0005845190011972875,0.0,0.0,0.726789278255,0.000354244840143,0.05,0.0,0.7001868182873057,0.0013793976692502432,0.0,0.0,0.574644929217916,0.0003706311580614859,0.0,0.0,0.4930378278022743,5.569393093524347e-05,0.1,0.0,0.5703341842654909,0.0019175495384510454,0.990228013029316,0.940247178936056,0.09090909090909093
C0001969,Alcoholic Intoxication,,34.0,0.01,0.0,0.2,0.1,0.8447079868048133,0.026080271290190117,0.2333333333333333,0.06666666666666668,0.7063346962164505,0.014183058072599909,0.225,0.06666666666669999,0.795335609968,0.016278966565,0.09166666666666666,0.0,0.8559769393981632,0.006723951834030699,0.0,0.0,0.7497938252102402,0.0016666933317894793,0.16666666666666666,0.16666666666666666,0.6066672861589927,0.026873767851212205,0.03333333333333333,0.0,0.799013845653487,0.001988473571464741,0.9760191846522782,0.7613686955415633,0.07130124777183601
C0001973,"Alcoholic Intoxication, Chronic",,275.0,0.0,0.0,0.06904761904761905,0.007275132275132275,0.7478322031336317,0.009523932600978712,0.04391534391534392,0.03306878306878307,0.723696149564254,0.01134871619238682,0.0652116402116,0.021693121693099997,0.7232901751690001,0.010783628756299998,0.03624338624338624,0.003703703703703704,0.7341449775725221,0.008088769409820416,0.0035714285714285718,0.0,0.6381574724199948,0.003004864211242655,0.02552910052910053,0.007275132275132275,0.5077143992066226,0.00572690876783496,0.050925925925925916,0.01455026455026455,0.7001569811585318,0.011724839452942724,0.9406817840516594,0.4581882527541527,0.010484406104844059
C0002170,Alopecia,integumentary system ,89.0,0.0,0.01,0.07777777777777779,0.0,0.8394187472827774,0.006394163853278902,0.12222222222222225,0.04444444444444444,0.8721547445293252,0.014355144881190432,0.0,0.0,0.773812120883,0.00212082679546,0.06666666666666668,0.01111111111111111,0.7956227485870443,0.004761890769142376,0.02222222222222222,0.0,0.6417988077862659,0.001169539669925158,0.0,0.0,0.4992107438978946,0.0004609716786359875,0.01111111111111111,0.0,0.6927844155642506,0.0015623775134981615,0.9742018703643984,0.5998834524956855,0.020429009193054137
