Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0002736,Amyotrophic Lateral Sclerosis,0.214285714286,0.0619047619048,5162.78787879,0.00613119836051,6026.86363636,0.619881118216,0.109523809524
C1800706,Idiopathic Pulmonary Fibrosis,0.2,0.0,6870.13333333,0.000651911158716,8588.93333333,0.588926458157,0.0
C0431362,Lobar Holoprosencephaly,0.3,0.0,4542.21428571,0.00111674770431,5711.42857143,0.641144418282,0.25
C0431363,Alobar Holoprosencephaly,0.3,0.0,4542.21428571,0.00111674770431,5711.42857143,0.641144418282,0.25
C0021051,Immunologic Deficiency Syndromes,0.3,0.1,1802.76470588,0.00674642130169,2728.76470588,0.643487318841,0.2
C0004134,Ataxia,0.1,0.0,2873.23076923,0.000623709869126,2819.76923077,0.543073834823,0.1
C0699790,Colon Carcinoma,0.516666666667,0.15,2710.17391304,0.0297954101258,3649.08695652,0.751705025976,0.2
C0279628,Adenocarcinoma Of Esophagus,0.45,0.1,4166.30769231,0.0512017463325,6659.0,0.74326853417,0.1
C0035334,Retinitis Pigmentosa,0.254761904762,0.0595238095238,5503.73134328,0.00488476367394,7232.44776119,0.643239883476,0.0904761904762
C0279626,Squamous cell carcinoma of esophagus,0.329166666667,0.025,3690.91358025,0.00653744852891,4236.7654321,0.709081662895,0.0611111111111
C0004364,Autoimmune Diseases,0.0833333333333,0.0,3868.12121212,0.000273418516814,3859.03030303,0.519830452128,0.0
C0029172,Oral Submucous Fibrosis,0.5,0.2,1708.46666667,0.011141666835,2966.73333333,0.742919031518,0.45
C0011991,Diarrhea,0.222222222222,0.0,2415.0,0.00220627088576,2731.22222222,0.607660684586,0.222222222222
C0151744,Myocardial Ischemia,0.219117647059,0.0,4039.24260355,0.00281880624126,3738.17159763,0.653856372967,0.0176470588235
C0020615,Hypoglycemia,0.0,0.0,3394.2,6.03573153066e-05,3201.9,0.49129594978,0.0
C0036920,Sezary Syndrome,0.516666666667,0.133333333333,3093.65384615,0.0304292801558,4706.80769231,0.782022234306,0.216666666667
C0085580,Essential Hypertension,0.2,0.0,3528.84615385,0.000521063413219,3434.61538462,0.587318884327,0.0
C0019209,Hepatomegaly,0.0,0.0,4696.33333333,6.0353672521e-05,4545.77777778,0.492760475347,0.0
C0026848,Myopathy,0.183333333333,0.0,3640.95652174,0.00040236623505,3628.0,0.570227236116,0.05
C0019202,Hepatolenticular Degeneration,0.0833333333333,0.0,4133.7826087,0.000234077769105,3688.56521739,0.518346019089,0.0
C0015393,Eye Abnormalities,0.4,0.15,4258.57142857,0.00682174492178,5255.64285714,0.688863732416,0.3
C0002895,"Anemia, Sickle Cell",0.2,0.0,4682.1,0.000315907723128,4826.1,0.578439065612,0.1
C0026846,Muscular Atrophy,0.25,0.0,4979.61538462,0.00224646783931,4812.15384615,0.599393262497,0.25
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.119047619048,0.0,5594.66153846,0.000767717793688,5949.21538462,0.559750412398,0.0142857142857
C0004782,Basal Ganglia Diseases,0.1,0.0,3440.5,0.00066384339503,3893.75,0.543134621189,0.0
C0019163,Hepatitis B,0.35,0.0,2267.875,0.00105487326305,2955.0625,0.664417909547,0.25
C0020542,Pulmonary Hypertension,0.0,0.0,3675.72413793,0.000175216729176,3146.44827586,0.477365844815,0.0
C0024115,Lung diseases,0.175,0.0,4631.375,0.000512092562645,4432.825,0.548693082179,0.0
C0024117,Chronic Obstructive Airway Disease,0.095,0.0,6007.86363636,0.000548014798236,5588.18181818,0.526941722615,0.025
C0003123,Anorexia,0.35,0.0,2472.84615385,0.0014928775795,3238.84615385,0.666264187394,0.2
C0031117,Peripheral Neuropathy,0.124501424501,0.0112535612536,6297.01503759,0.00318944040556,5475.51503759,0.542321980115,0.0262108262108
C0043094,Weight Gain,0.184722222222,0.0236111111111,5259.75581395,0.00500184255633,5890.01162791,0.632568438003,0.0472222222222
C0011053,Deafness,0.15,0.0,4390.64285714,0.000540231681834,4478.85714286,0.565259916682,0.05
C0006625,Cachexia,0.3,0.2,2713.0,0.00638321729855,4072.7,0.641151083479,0.3
C0403553,Renal dysplasia and retinal aplasia (disorder),0.7,0.5,3695.3,0.0913113108318,11400.1,0.841606808716,0.5
C1263846,Attention deficit hyperactivity disorder,0.0666666666667,0.0,4738.48387097,0.00033365488103,5031.48387097,0.519429670817,0.0
C0039685,Tetralogy of Fallot,0.4,0.05,2542.8,0.0184608552166,4158.93333333,0.694033027412,0.25
C1527249,Colorectal Cancer,0.416666666667,0.05,5557.625,0.00437555612435,6574.33333333,0.674030890674,0.2
C0524851,Neurodegenerative Disorders,0.375,0.0583333333333,2624.08571429,0.0370754724424,4147.48571429,0.741698907831,0.166666666667
C0004763,Barrett Esophagus,0.15,0.0,4479.8,0.0004442544123,4729.06666667,0.5593436783,0.0
C0001430,Adenoma,0.15,0.0333333333333,4196.35483871,0.00235643984393,3714.74193548,0.587803195133,0.0333333333333
C0376634,Craniofacial Abnormalities,0.182380952381,0.0142857142857,4941.55244755,0.00383100102548,5091.34965035,0.640196268479,0.0347619047619
C0520459,Necrotizing Enterocolitis,0.4,0.0,2786.76470588,0.0023152183626,3778.47058824,0.678052536232,0.1
C0020473,Hyperlipidemia,0.35,0.0,1868.88235294,0.00078225192468,2210.52941176,0.655089070048,0.05
C3463824,MYELODYSPLASTIC SYNDROME,0.1,0.0,5240.77777778,0.000716822077898,5078.5,0.542671658917,0.05
C0004153,Atherosclerosis,0.25,0.02,3511.71698113,0.00173369906581,3331.0,0.604105946906,0.0366666666667
C0003130,Anoxia,0.208333333333,0.0,2597.59375,0.000547508014701,2571.65625,0.59689407676,0.0
C0149925,Small cell carcinoma of lung,0.308333333333,0.0666666666667,4686.32432432,0.010221098648,5291.13513514,0.669833988311,0.15
C0014544,Epilepsy,0.128571428571,0.0,5152.19354839,0.000890488466225,4761.74193548,0.541979369404,0.0166666666667
C0162557,"Liver Failure, Acute",0.383333333333,0.1,2269.57142857,0.00421176106441,3024.19047619,0.671023596682,0.183333333333
C0018784,Sensorineural Hearing Loss (disorder),0.444444444444,0.111111111111,1481.0,0.000968500279907,1896.33333333,0.708920140565,0.111111111111
C1449861,"Micronuclei, Chromosome-Defective",0.55,0.0,1673.88888889,0.0025288752353,3079.16666667,0.753768343499,0.2
C0033941,"Psychoses, Substance-Induced",0.4,0.1,2352.35294118,0.00486952575388,2897.17647059,0.670178140097,0.25
C0005944,Metabolic Bone Disorder,0.2,0.0,4085.7,0.000285118516655,4124.1,0.575882779019,0.0
C0085110,Severe Combined Immunodeficiency,0.6,0.2,2182.09090909,0.00966819355157,3763.36363636,0.790755161173,0.2
C0043459,Zellweger Syndrome,1.0,0.8,21.7333333333,0.328879667578,4198.73333333,0.998339572515,0.9
C0033860,Psoriasis,0.1,0.0166666666667,6174.73015873,0.00226852242309,6666.42857143,0.556273753294,0.0666666666667
C0949658,"Cardiomyopathy, Hypertrophic, Familial",0.6,0.116666666667,2678.85714286,0.0109300245184,5917.47619048,0.788117097528,0.366666666667
C0027726,Nephrotic Syndrome,0.2,0.0,2325.7,0.000391216340335,2412.95,0.579043606934,0.0
C0023493,Adult T-Cell Lymphoma/Leukemia,0.391666666667,0.0,2527.87096774,0.00239587403808,3570.70967742,0.717338530964,0.133333333333
C0007134,Renal Cell Carcinoma,0.217424242424,0.00909090909091,4956.16806723,0.00369298216079,5354.72268908,0.630973837905,0.0507575757576
C0026636,Mouth Diseases,0.2,0.05,4160.08333333,0.00169231499615,5799.08333333,0.666311500151,0.1
C0004936,Mental disorders,0.0,0.0,4075.09090909,6.63963257401e-05,3919.81818182,0.493281419775,0.0
C0005283,beta Thalassemia,0.0,0.0,4713.8,6.03573153066e-05,4545.1,0.491145047383,0.0
C0024809,Marijuana Abuse,0.2,0.0,2889.6,0.000455554022671,2553.7,0.579803223275,0.0
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,0.0,3350.57142857,6.03463882687e-05,3308.0,0.498288645573,0.0
C0018781,Noise-induced hearing loss,0.25,0.0,6347.0,0.00180226587635,6941.125,0.620130213048,0.0
C0002878,"Anemia, Hemolytic",0.15,0.0,2377.66666667,0.000544303781952,2728.83333333,0.564390280712,0.15
C0006413,Burkitt Lymphoma,0.4,0.0,4864.26666667,0.00420128385518,6653.13333333,0.716584651612,0.1
C0009324,Ulcerative Colitis,0.0861111111111,0.0125,5458.12345679,0.000984720276149,5310.09876543,0.536347068986,0.0125
C0026603,Motion Sickness,0.0,0.0,9590.61538462,7.84765337301e-05,9547.92307692,0.495776986235,0.0
C0025958,Microcephaly,0.383333333333,0.0,3884.59090909,0.00204847354107,5897.04545455,0.659484546461,0.0
C0040411,Tongue Neoplasms,0.2,0.0,3666.0,0.000428250484468,3604.9,0.578692581638,0.1
C0027947,Neutropenia,0.0,0.0,4627.5,7.24360651706e-05,4547.66666667,0.49584062783,0.0
