Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
1,2,A2M,0,105,
15,20,ABCA2,0,21,
53,60,ACTB,0,466,
60,71,ACTG1,0,187,
66,86,ACTL6A,0,155,
68,88,ACTN2,0,105,
74,94,ACVRL1,0,22,
159,191,AHCY,0,85,
168,207,AKT1,0,378,
169,208,AKT2,0,129,
259,320,APBA1,0,22,
287,351,APP,0,2132,
290,355,FAS,0,121,
338,409,ARRB2,0,366,
364,445,ASS1,0,92,
375,65993,MRPS34,0,105,
408,493,ATP2B4,0,47,
486,585,BBS4,0,38,
496,596,BCL2,0,136,
523,633,BGN,0,17,
525,635,BHMT,0,17,
539,650,BMP2,0,24,
556,667,DST,0,82,
561,672,BRCA1,0,609,
669,801,CALM1,0,524,
672,805,CALM2,0,174,
679,815,CAMK2A,0,167,
681,817,CAMK2D,0,86,
705,841,CASP8,0,196,
719,857,CAV1,0,220,
723,861,RUNX1,0,102,
727,865,CBFB,1,45,8077.0
729,867,CBL,0,276,
735,875,CBS,0,81,
805,958,CD40,0,60,
827,983,CDK1,0,415,
861,1017,CDK2,0,892,
864,1020,CDK5,0,163,
869,1025,CDK9,0,247,
873,1029,CDKN2A,0,183,
891,1050,CEBPA,0,132,
892,1051,CEBPB,0,123,
940,1114,CHGB,0,34,
972,1147,CHUK,1,219,964.0
1004,1191,CLU,0,123,
1065,1280,COL2A1,1,45,193.0
1076,1291,COL6A1,0,17,
1159,1386,ATF2,0,247,
1160,1387,CREBBP,0,400,
1170,1398,CRK,0,377,
1180,1410,CRYAB,0,115,
1197,1432,MAPK14,0,329,
1221,1457,CSNK2A1,0,615,
1223,1459,CSNK2A2,0,341,
1256,1495,CTNNA1,0,90,
1259,1499,CTNNB1,0,395,
1350,1616,DAXX,0,218,
1365,1634,DCN,0,37,
1383,1654,DDX3X,0,379,
1408,1690,COCH,0,12,
1439,1739,DLG1,1,96,160.0
1440,1740,DLG2,0,58,
1456,1759,DNM1,0,101,
1472,1778,DYNC1H1,0,194,
1520,1829,DSG2,0,49,
1535,1845,DUSP3,0,20,
1615,1950,EGF,1,24,8784.0
1620,1956,EGFR,0,926,
1622,1958,EGR1,0,57,
1639,1977,EIF4E,0,75,
1653,1994,ELAVL1,0,1866,
1661,2002,ELK1,0,63,
1679,2022,ENG,0,20,
1687,2033,EP300,0,547,
1689,2035,EPB41,0,148,
1694,2040,STOM,0,98,
1697,2043,EPHA4,0,32,
1719,2065,ERBB3,0,87,
1736,2091,FBL,0,387,
1741,2099,ESR1,0,789,
1816,2185,PTK2B,0,92,
1830,2200,FBN1,0,24,
1832,2202,EFEMP1,0,39,
1868,2246,FGF1,0,28,
1869,2247,FGF2,1,42,567.0
1870,2248,FGF3,1,8,4900.0
1872,2250,FGF5,0,6,
1873,2251,FGF6,0,4,
1874,2252,FGF7,1,13,11.0
1875,2253,FGF8,1,4,4.0
1877,2255,FGF10,1,10,176.0
1882,2260,FGFR1,1,79,11.0
1883,2261,FGFR3,1,58,15262.0
1885,2263,FGFR2,1,50,7.0
1886,2264,FGFR4,0,42,
1894,2274,FHL2,0,187,
1920,2309,FOXO3,0,81,
1927,2316,FLNA,0,359,
1939,2331,FMOD,0,7,
1943,2335,FN1,0,792,
2019,2475,MTOR,0,162,
2144,2639,GCDH,0,38,
2220,2735,GLI1,0,66,
2338,2885,GRB2,0,1081,
2341,2888,GRB14,0,25,
2351,2898,GRIK2,0,25,
2356,2903,GRIN2A,0,38,
2411,2962,GTF2F1,0,122,
2418,2969,GTF2I,0,149,
2422,2975,GTF3C1,0,189,
2463,3020,H3F3A,0,131,
2499,3064,HTT,0,205,
2500,3065,HDAC1,0,611,
2524,3091,HIF1A,0,182,
2598,3183,HNRNPC,0,386,
2604,3190,HNRNPK,0,367,
2605,3191,HNRNPL,0,222,
2634,3223,HOXC6,0,12,
2703,3303,HSPA1A,0,353,
2709,3309,HSPA5,0,517,
2714,3315,HSPB1,0,435,
2718,3320,HSP90AA1,0,900,
2721,3324,HSP90AA2P,0,86,
2722,3326,HSP90AB1,0,543,
2730,3339,HSPG2,0,48,
2793,3428,IFI16,0,394,
2861,3516,RBPJ,0,149,
2881,3551,IKBKB,0,224,
2935,3607,FOXK2,0,115,
2976,3654,IRAK1,0,155,
2985,3663,IRF5,0,41,
2986,3664,IRF6,1,8,12.0
2997,3676,ITGA4,0,529,
3006,3685,ITGAV,0,69,
3014,3694,ITGB6,0,10,
3043,3725,JUN,0,408,
3054,3739,KCNA4,0,25,
3056,3741,KCNA5,0,35,
3073,3759,KCNJ2,0,20,
3075,3761,KCNJ4,0,14,
3082,3768,KCNJ12,0,17,
3141,3837,KPNB1,0,340,
3142,3838,KPNA2,0,225,
3283,4000,LMNA,0,258,
3324,4054,LTBP3,0,14,
3353,4087,SMAD2,0,394,
