Node ID,Protein ID,Protein Name,Disease Node,Degree
1,2,,0,105
42,48,,0,23
53,60,,0,466
67,87,,0,164
68,88,,0,105
75,95,,0,31
129,154,,0,276
133,158,,0,66
135,160,,0,121
168,207,,0,378
169,208,,0,129
174,213,,0,200
213,267,,0,113
216,270,,1,10
219,273,,0,55
220,274,,0,70
231,286,,0,21
248,308,,0,45
250,310,,0,142
267,328,,0,111
287,351,,1,2132
301,367,,0,301
313,382,,0,143
337,408,,0,314
375,65993,,0,105
410,495,,0,87
413,498,,0,213
418,506,,0,158
421,509,,0,194
425,513,,0,41
426,514,,0,28
427,515,,0,100
428,516,,0,20
431,521,,0,47
432,522,,0,54
448,539,,1,106
472,571,,1,51
481,580,,0,282
496,596,,0,136
530,640,,0,77
537,648,,0,399
561,672,,0,609
619,740,,0,110
630,757,,1,2
659,790,,0,131
669,801,,0,524
685,821,,0,208
687,823,,0,110
697,833,,0,42
711,847,,0,66
723,861,,1,102
724,862,,0,105
727,865,,0,45
729,867,,0,276
730,868,,0,81
733,873,,1,52
734,874,,1,18
751,896,,0,60
754,900,,0,41
827,983,,0,415
832,988,,0,328
835,991,,0,161
861,1017,,0,892
864,1020,,0,163
911,1072,,0,166
977,1153,,0,199
984,1161,,0,38
988,1173,,0,229
1022,1213,,0,355
1108,1327,,0,67
1109,1329,,0,70
1114,1339,,0,20
1159,1386,,0,247
1160,1387,,0,400
1178,230784,,0,36
1180,1410,,0,115
1202,1437,,1,21
1205,1440,,1,3
1206,1441,,0,29
1216,1452,,0,141
1217,1453,,0,88
1218,1454,,0,169
1221,1457,,0,615
1249,1487,,0,171
1250,1488,,0,149
1290,1537,,0,146
1335,1601,,0,106
1375,1646,,0,14
1383,1654,,0,379
1384,1655,,0,449
1388,1660,,0,529
1456,1759,,0,101
1476,1783,,0,36
1478,1785,,0,137
1506,1813,,0,25
1517,1826,,1,2
1518,1827,,1,35
1549,1859,,1,76
1576,5777,,0,123
1577,1896,,0,67
1591,1915,,0,613
1603,1936,,0,166
1620,1956,,0,926
1632,1969,,0,70
1653,1994,,0,1866
1657,1998,,0,17
1683,2027,,0,52
1687,2033,,0,547
1689,2035,,0,148
1694,2040,,0,98
1702,2048,,0,41
1714,2060,,0,161
1741,2099,,0,789
1751,2113,,0,127
1752,2114,,1,52
1765,2130,,0,698
1894,2274,,0,187
1897,2280,,0,70
1927,2316,,0,359
1943,2335,,0,792
1957,2353,,0,259
2069,2547,,0,285
2073,2551,,1,39
2115,2597,,0,304
2125,2618,,1,67
2138,2632,,0,30
2272,2801,,0,455
2276,2805,,0,80
2338,2885,,0,1081
2350,2897,,1,8
2361,2908,,0,242
2375,2923,,0,144
2381,2931,,0,95
2382,2932,,0,362
2437,2992,,1,19
2441,2997,,0,68
2461,3018,,0,59
2494,3055,,0,144
2500,3065,,0,611
2503,3068,,0,212
2535,3106,,0,333
2536,3107,,0,115
2563,3141,,1,9
2571,3150,,1,41
2594,3178,,0,701
2596,3181,,0,333
2668,3265,,0,113
2670,3267,,0,47
2671,3268,,0,7
2678,3276,,0,175
2708,3308,,0,366
2712,3312,,0,600
2715,3316,,0,123
2718,3320,,0,900
2724,3329,,0,379
2728,3337,,0,105
2768,55178,,0,39
2771,3396,,0,246
2793,3428,,0,394
2803,3440,,0,7
2805,3442,,0,16
2808,3445,,0,10
2814,3454,,1,30
2815,3455,,1,21
2816,3456,,0,18
2819,3460,,1,9
2824,3467,,0,2
2825,200081,,0,141
2828,3476,,0,132
2854,3507,,0,42
2861,3516,,0,149
2880,3550,,0,197
2917,3588,,1,7
2936,3608,,0,451
2937,3609,,0,463
2976,3654,,0,155
2982,3660,,0,34
2997,3676,,0,529
3012,3692,,0,209
3035,3716,,0,116
3043,3725,,0,408
3067,3753,,1,6
3071,3757,,0,31
3077,3763,,1,13
3084,3772,,1,4
3095,3784,,0,35
3125,3817,,0,20
3142,3838,,0,225
3144,3840,,0,86
3246,3956,,0,87
3248,3958,,0,189
3267,3981,,0,135
3270,3984,,0,55
3352,4086,,0,186
3353,4087,,0,394
3354,4088,,0,417
3422,4163,,0,306
3426,4171,,0,918
3447,4194,,0,78
3461,4214,,0,242
3462,4215,,0,231
3464,4217,,0,103
3469,4223,,0,687
3561,4343,,0,1178
3563,4350,,0,98
3564,4351,,0,26
3650,4508,,0,17
3651,4509,,0,22
3653,4512,,0,44
3654,4513,,1,69
3655,4514,,0,25
3719,4599,,1,46
3720,4600,,1,8
3729,4609,,0,583
3745,4627,,0,343
3782,4670,,0,400
3789,4678,,0,82
3801,4690,,0,267
3826,4715,,0,95
3835,4724,,0,97
3901,4809,,0,345
3918,4830,,0,87
3919,4831,,0,129
3920,4832,,0,29
3927,4841,,0,193
3930,4846,,0,79
3934,4851,,0,211
3986,4914,,0,1965
3990,4919,,0,8
4043,4988,,0,77
4069,5019,,0,82
4086,5042,,0,126
4100,5058,,0,161
4110,5071,,0,426
4129,5093,,0,192
4151,5121,,1,6
4171,5144,,0,69
4191,5165,,0,23
4223,5204,,0,185
4230,5211,,0,74
4239,5223,,0,54
4250,5236,,0,62
4259,5250,,0,311
4300,5295,,0,307
4305,5300,,0,309
4337,5333,,0,55
4349,5347,,0,268
4358,5356,,0,208
4360,5358,,0,56
4371,5371,,0,237
4375,5376,,1,24
4409,5430,,0,345
4450,5478,,0,116
4463,5499,,0,356
4465,5501,,0,308
4470,5507,,0,20
4477,5515,,0,262
4485,5524,,0,67
4491,5530,,0,87
4494,5533,,0,27
4513,5553,,0,63
4522,5564,,0,181
4524,5566,,0,420
4525,5567,,0,217
4534,5578,,0,395
4535,5579,,0,202
4536,5580,,0,234
4537,5581,,0,175
4538,5582,,0,155
4540,5584,,0,179
4546,5590,,0,229
4550,5594,,0,402
4551,5595,,0,349
4553,5597,,0,282
4554,5598,,0,111
4555,5599,,0,256
4556,5600,,0,93
4557,5601,,0,204
4558,5602,,0,107
4559,5603,,0,153
4575,5621,,0,90
4579,5626,,0,367
4609,5663,,0,137
4622,5682,,0,275
4624,5684,,0,301
4626,5686,,0,143
4627,5687,,0,175
