Disease ID,Disease Name,# of Disease Nodes,# of Intermediate Nodes,Density of Disease Subgraph,Density of Disease-Intermediate Subgraph,Density of Intermediate Subgraph,Conductance of Disease Nodes,Conductance of Disease-Intermediate Nodes,Conductance of Intermediate Nodes,Conductance of Intermediate Nodes deg < 100,Mean Frac. of Intermediate-Disease Interactions
C0455988,"Hydrops Fetalis, Non-Immune",12,40,0.10606060606060606,0.15901360544217688,0.18717948717948718,0.9444444444444444,0.9468372423596304,0.9575889615105302,0.7592997811816192,0.18541666666666665
C0033941,"Psychoses, Substance-Induced",17,395,0.11764705882352941,0.1331743745536849,0.1373642613891923,0.988476773496579,0.7837694431616079,0.7882800352569499,0.9298606351382225,0.13313477289650039
C0043459,Zellweger Syndrome,15,53,0.3523809523809524,0.16182873730043543,0.16182873730043543,0.8634686346863468,0.9678303519907675,0.9678303519907675,0.8397003745318352,0.1874213836477987
C0033860,Psoriasis,64,865,0.028769841269841268,0.05966037132347596,0.06388888888888888,0.9748591244039878,0.7102440229959457,0.7168105902448283,0.8748936170212765,0.042286849710982656
C0027726,Nephrotic Syndrome,21,161,0.08571428571428572,0.06766820749871598,0.06576086956521739,0.9742857142857143,0.9212374831863698,0.9345870178012897,0.8637602179836512,0.10973084886128363
C0027720,Nephrosis,15,160,0.18095238095238095,0.182039911308204,0.1915880503144654,0.97264218862491,0.8964560474208602,0.897335439705108,0.921344537815126,0.14416666666666664
C0026636,Mouth Diseases,12,130,0.15151515151515152,0.15292908530318602,0.16100178890876565,0.9826539462272333,0.9150490979675725,0.9219833564493759,0.9142394822006472,0.1814102564102564
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,27,153,0.43304843304843305,0.21381923728130292,0.22660818713450293,0.8032362459546926,0.823241243709801,0.82418682235196,0.5742971887550201,0.30404260469619948
C0236969,Substance-Related Disorders,105,548,0.00695970695970696,0.06003567245493558,0.0763954683142289,0.9780346820809248,0.803363498165437,0.8144486938484475,0.898741852357132,0.025825512686826556
C0002878,"Anemia, Hemolytic",12,56,0.15151515151515152,0.2048076923076923,0.2474025974025974,0.9580712788259959,0.9499618253362307,0.954575260804769,0.8817733990147784,0.1875
C0003873,Rheumatoid Arthritis,211,1961,0.009523809523809525,0.025093234105194935,0.02747244741853906,0.9551921851773201,0.5846418338108883,0.5927742811304455,0.8112882927373234,0.015075971974836322
C0003872,"Arthritis, Psoriatic",15,90,0.11428571428571428,0.172781984080761,0.1937578027465668,0.9782016348773842,0.9280633688975105,0.9358465608465608,0.934075723830735,0.1474074074074074
C0002871,Anemia,26,97,0.046153846153846156,0.087465564738292,0.0936426116838488,0.9718574108818011,0.9483214649033571,0.9630711895989498,0.9035639412997903,0.086042823156225204
C0206698,Cholangiocarcinoma,24,768,0.11594202898550725,0.05489060847297222,0.05491158735332464,0.9838383838383838,0.7476248550822832,0.7545100598811485,0.8745546514185177,0.10107421875
C0206754,Neuroendocrine Tumors,10,63,0.1111111111111111,0.20774647887323944,0.21710189452124937,0.984375,0.9527159394479074,0.961521009165986,0.9433139534883721,0.21428571428571422
C0024530,Malaria,20,88,0.06842105263157895,0.13611269750618693,0.16875653082549635,0.9693034238488784,0.946453980378941,0.9510976532929599,0.9202127659574468,0.1056818181818182
C0598608,Hyperhomocysteinemia,11,33,0.14545454545454545,0.18583042973286876,0.20643939393939395,0.9674134419551935,0.9679101484155636,0.9772585019820572,0.9158200290275762,0.19008264462809918
C0019693,HIV Infections,99,2518,0.06988249845392702,0.03259861112402272,0.03305781211984084,0.9533186450013771,0.3933246380898665,0.3931899074122938,0.7907117530052754,0.045992089280413345
C0038013,Ankylosing spondylitis,14,50,0.08791208791208792,0.11845584346906399,0.15346938775510205,0.978494623655914,0.9591128958656566,0.9646948356807512,0.9025710419485792,0.14714285714285713
C0010606,Adenoid Cystic Carcinoma,99,1603,0.02844774273345702,0.03807220650774665,0.040138535501864095,0.96602658788774,0.5767091051710613,0.582321310625124,0.8151677585864602,0.034524912254169905
C3495559,Juvenile arthritis,122,1182,0.01273540170708576,0.03721488595438175,0.04133839371549821,0.9697603345665112,0.6892270518983112,0.6993132340527528,0.8526103101791175,0.023862028792543896
C0027659,"Neoplasms, Experimental",33,562,0.08712121212121213,0.07999713143410367,0.08199009141022957,0.9732946298984034,0.7816865229835849,0.7871867487733395,0.8943628929552919,0.079747654480750552
C0027658,"Neoplasms, Germ Cell and Embryonal",13,37,0.08974358974358974,0.17857142857142858,0.22822822822822822,0.9682539682539683,0.9584857171098151,0.9689193334014927,0.9270919635459818,0.1621621621621622
C0002171,Alopecia Areata,9,8,0.19444444444444445,0.24761904761904763,0.5,0.9354838709677419,0.8976377952755905,0.9111111111111111,0.8905472636815921,0.2361111111111111
C0002170,Alopecia,14,136,0.07692307692307693,0.18781025923883066,0.205119825708061,0.9867549668874173,0.8863105175292154,0.8933476820254311,0.9314528359114347,0.16281512605042014
C0428977,Bradycardia,24,38,0.050724637681159424,0.08240794856808883,0.10099573257467995,0.9452054794520548,0.9642449600608597,0.9814572995560199,0.873217115689382,0.10526315789473686
C0009447,Common Variable Immunodeficiency,12,167,0.18181818181818182,0.196664673443625,0.20849866531996247,0.9770773638968482,0.8708551483420593,0.8730340040418241,0.892128279883382,0.18712574850299402
