Node ID,Protein ID,Protein Name,Disease Node,Degree
1,2,A2M,0,105
13,18,ABAT,0,46
32,37,ACADVL,1,32
34,39,ACAT2,0,67
44,50,ACO2,0,36
53,60,ACTB,1,466
59,70,ACTC1,0,65
61,72,ACTG2,0,123
65,81,ACTN4,0,153
68,88,ACTN2,0,105
105,128,ADH5,0,42
129,154,ADRB2,0,276
159,191,AHCY,1,85
168,207,AKT1,0,378
169,208,AKT2,0,129
174,213,ALB,0,200
178,217,ALDH2,0,80
180,219,ALDH1B1,0,83
187,226,ALDOA,0,141
189,229,ALDOB,1,39
190,230,ALDOC,0,94
237,292,SLC25A5,0,335
241,301,ANXA1,0,169
242,302,ANXA2,0,200
249,309,ANXA6,0,107
250,310,ANXA7,0,142
274,335,APOA1,1,102
287,351,APP,0,2132
301,367,AR,0,301
313,382,ARF6,0,143
337,408,ARRB1,0,314
338,409,ARRB2,0,366
364,445,ASS1,0,92
385,467,ATF3,0,63
386,468,ATF4,1,89
410,495,ATP4A,0,87
413,498,ATP5F1A,0,213
418,506,ATP5F1B,1,158
421,509,ATP5F1C,0,194
427,515,ATP5PB,0,100
483,582,BBS1,0,32
486,585,BBS4,0,38
516,624,BDKRB2,0,22
518,627,BDNF,1,22
530,640,BLK,0,77
537,648,BMI1,0,399
558,669,BPGM,0,30
579,695,BTK,0,123
590,708,C1QBP,0,235
638,768,CA9,1,33
669,801,CALM1,0,524
676,811,CALR,0,158
678,814,CAMK4,0,21
679,815,CAMK2A,0,167
686,822,CAPG,0,22
711,847,CAT,0,66
719,857,CAV1,0,220
721,859,CAV3,0,21
729,867,CBL,0,276
772,920,CD4,0,125
800,66489,,0,248
821,975,CD81,0,219
843,999,CDH1,0,135
861,1017,CDK2,0,892
870,1026,CDKN1A,0,312
873,1029,CDKN2A,0,183
892,1051,CEBPB,0,123
911,1072,CFL1,0,166
951,66661,,0,208
988,1173,AP2M1,0,229
1016,1207,CLNS1A,0,135
1129,1356,CP,0,15
1158,1385,CREB1,0,198
1159,1386,ATF2,0,247
1160,1387,CREBBP,0,400
1170,1398,CRK,0,377
1196,1431,CS,1,35
1221,1457,CSNK2A1,0,615
1223,1459,CSNK2A2,0,341
1249,1487,CTBP1,0,171
1264,1504,CTRB1,1,6
1335,1601,DAB2,0,106
1367,1636,ACE,0,10
1371,1642,DDB1,0,382
1376,1647,GADD45A,0,94
1383,1654,DDX3X,0,379
1384,1655,DDX5,0,449
1388,1660,DHX9,0,529
1392,1665,DHX15,0,406
1428,1728,NQO1,0,30
1454,1757,SARDH,1,14
1456,1759,DNM1,0,101
1478,1785,DNM2,0,137
1544,1854,DUT,0,102
1591,1915,EEF1A1,0,613
1593,1917,EEF1A2,0,165
1601,1933,EEF1B2,0,145
1605,1938,EEF2,0,292
1620,1956,EGFR,0,926
1622,1958,EGR1,1,57
1626,1962,EHHADH,0,113
1637,1974,EIF4A2,0,139
1653,1994,ELAVL1,0,1866
1661,2002,ELK1,0,63
1680,2023,ENO1,0,361
1682,2026,ENO2,0,93
1683,2027,ENO3,0,52
1687,2033,EP300,0,547
1726,2072,ERCC4,0,105
1736,2091,FBL,0,387
1740,2098,ESD,1,35
1741,2099,ESR1,0,789
1765,2130,EWSR1,0,698
1785,2152,F3,0,25
1791,2159,F10,0,23
1827,2197,FAU,0,120
1865,2243,FGA,0,46
1891,2271,FH,0,93
1906,231670,,0,26
1927,2316,FLNA,0,359
1943,2335,FN1,0,792
1957,2353,FOS,0,259
2048,2521,FUS,0,354
2115,2597,GAPDH,1,304
2139,2633,GBP1,0,14
2240,2768,GNA12,0,43
2243,2771,GNAI2,0,209
2249,2778,GNAS,1,98
2276,2805,GOT1,0,80
2277,2806,GOT2,0,45
2290,2821,GPI,0,56
2336,2879,GPX4,0,53
2338,2885,GRB2,0,1081
2339,2886,GRB7,0,55
2382,2932,GSK3B,0,362
2451,3007,HIST1H1D,0,137
2458,3014,H2AFX,0,307
2475,3035,HARS,0,120
2480,3040,HBA2,0,42
2500,3065,HDAC1,0,611
2535,3106,HLA-B,0,333
2567,3146,HMGB1,0,114
2588,3172,HNF4A,0,106
2594,3178,HNRNPA1,0,701
2596,3181,HNRNPA2B1,0,333
2598,3183,HNRNPC,0,386
2599,3184,HNRNPD,0,342
2601,3187,HNRNPH1,0,359
2606,3192,HNRNPU,0,691
2695,3295,HSD17B4,0,72
2703,3303,HSPA1A,0,353
2708,3308,HSPA4,0,366
2712,3312,HSPA8,0,600
2714,3315,HSPB1,0,435
2715,3316,HSPB2,0,123
2718,3320,HSP90AA1,0,900
2722,3326,HSP90AB1,0,543
2724,3329,HSPD1,0,379
2727,3336,HSPE1,0,137
2762,3383,ICAM1,0,159
2771,3396,MRPL58,0,246
2783,3417,IDH1,0,59
2793,3428,IFI16,0,394
2936,3608,ILF2,0,451
2937,3609,ILF3,0,463
2969,3646,EIF3E,0,169
2997,3676,ITGA4,0,529
3024,3704,ITPA,0,62
3037,3718,JAK3,0,94
3043,3725,JUN,0,408
3044,3726,JUNB,0,66
3050,3735,KARS,0,149
3141,3837,KPNB1,0,340
3146,3842,TNPO1,0,147
3205,3909,LAMA3,0,23
3217,3921,RPSA,0,276
3225,3932,LCK,0,256
3232,3939,LDHA,0,167
3236,3945,LDHB,0,157
3258,132,ADK,1,15
3345,6141,RPL18,0,335
3353,4087,SMAD2,0,394
3354,4088,SMAD3,0,417
3375,4113,MAGEB2,0,52
3378,4116,MAGOH,0,244
3391,4129,MAOB,0,51
3416,4157,MC1R,0,45
3422,4163,MCC,0,306
3425,4170,MCL1,0,75
3426,4171,MCM2,0,918
3428,4173,MCM4,0,164
3429,4174,MCM5,0,302
3443,4190,MDH1,0,45
3444,4191,MDH2,0,59
3446,4193,MDM2,0,470
3508,4282,MIF,0,79
3533,4311,MME,0,157
3561,4343,MOV10,0,1178
3566,4353,MPO,1,12
3569,4356,MPP3,0,51
3628,4478,MSN,0,148
3654,4513,MT-CO2,0,69
3729,4609,MYC,0,583
3745,4627,MYH9,0,343
3753,4637,MYL6,0,143
3767,4653,MYOC,0,46
3780,266812,NAP1L5,0,33
3782,4670,HNRNPM,0,400
3784,4673,NAP1L1,0,237
3802,4691,NCL,0,438
3835,4724,NDUFS4,0,97
3846,4736,RPL10A,0,252
3848,4738,NEDD8,0,325
3901,4809,SNU13,0,345
3918,4830,NME1,1,87
3919,4831,NME2,0,129
3920,4832,NME3,0,29
3921,4833,NME4,0,40
3928,4842,NOS1,1,55
3929,4843,NOS2,0,155
3930,4846,NOS3,1,79
3954,4878,NPPA,1,17
3972,4898,NRDC,0,60
3978,4904,YBX1,0,412
3986,4914,NTRK1,0,1965
4008,4942,OAT,0,54
4081,5034,P4HB,0,148
4083,5036,PA2G4,0,123
4095,5052,PRDX1,0,154
4102,5062,PAK2,0,154
4110,5071,PRKN,0,426
4129,5093,PCBP1,0,192
4140,5105,PCK1,0,98
4144,5110,PCMT1,0,115
4145,5111,PCNA,0,390
4198,5173,PDYN,1,10
4232,5213,PFKM,0,72
4239,5223,PGAM1,0,54
4240,5224,PGAM2,0,26
4245,5230,PGK1,0,102
4256,5245,PHB,0,356
4319,5315,PKM,0,194
4331,5327,PLAT,1,37
4342,5338,PLD2,0,54
4344,5340,PLG,0,68
4465,5501,PPP1CC,0,308
4482,5521,PPP2R2B,0,159
4520,5562,PRKAA1,0,181
4524,5566,PRKACA,0,420
4525,5567,PRKACB,0,217
4526,5568,PRKACG,0,158
4534,5578,PRKCA,0,395
4536,5580,PRKCD,0,234
4540,5584,PRKCI,0,179
4550,5594,MAPK1,0,402
4551,5595,MAPK3,0,349
4554,5598,MAPK7,0,111
4559,5603,MAPK13,0,153
4609,5663,PSEN1,0,137
4624,5684,PSMA3,0,301
4647,5708,PSMD2,0,250
4664,5728,PTEN,0,246
4744,5829,PXN,0,151
4763,5862,RAB2A,0,114
4768,5867,RAB4A,0,51
4780,5879,RAC1,0,269
4786,5885,RAD21,0,268
4794,5893,RAD52,0,58
4801,5901,RAN,0,253
4859,5970,RELA,0,419
4916,6045,RNF2,0,756
4945,6096,RORB,0,21
4956,6117,RPA1,0,494
4957,6118,RPA2,0,471
4958,6119,RPA3,0,399
4959,6120,RPE,0,54
4961,6122,RPL3,0,257
4963,6124,RPL4,0,326
4964,6125,RPL5,0,282
4966,6128,RPL6,0,408
4967,6129,RPL7,0,365
4968,6130,RPL7A,0,334
4969,6132,RPL8,0,348
4970,6133,RPL9,0,257
4971,6134,RPL10,0,448
4972,6135,RPL11,0,384
4973,6136,RPL12,0,285
4974,6137,RPL13,0,358
4975,6138,RPL15,0,255
4976,6139,RPL17,0,234
4977,497661,C18orf32,0,124
4978,6142,RPL18A,0,275
4979,6143,RPL19,0,264
4980,6144,RPL21,0,300
4981,6146,RPL22,0,266
4982,6147,RPL23A,0,307
4985,6152,RPL24,0,333
4986,6154,RPL26,0,306
4987,6155,RPL27,0,231
4988,6156,RPL30,0,238
4989,6157,RPL27A,0,286
4990,6158,RPL28,0,245
4991,6159,RPL29,0,279
4992,6160,RPL31,0,277
4993,6161,RPL32,0,166
4994,6164,RPL34,0,110
4995,6165,RPL35A,0,234
4997,6167,RPL37,0,100
4998,6168,RPL37A,0,241
4999,6169,RPL38,0,239
5000,6170,RPL39,0,131
