Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
20993,8519,IFITM1,0,7,
6147,7514,XPO1,0,1256,
16388,23450,SF3B3,0,489,
17921,58508,KMT2C,0,48,
19628,126961,HIST2H3C,0,117,
3594,6197,RPS6KA3,0,89,
5643,6910,TBX5,0,10,
5132,22900,CARD8,0,47,
4109,5069,PAPPA,0,19,
1197,1432,MAPK14,0,329,
530,640,BLK,0,77,
20,25,ABL1,0,389,
6165,7534,YWHAZ,0,662,
6166,7535,ZAP70,0,71,
15383,55036,CCDC40,1,2,14433.0
5657,6925,TCF4,0,295,
539,650,BMP2,0,24,
16850,56893,UBQLN4,0,193,
11294,375791,CYSRT1,0,568,
8736,10806,SDCCAG8,1,9,1078.0
2598,3183,HNRNPC,0,386,
1575,1894,ECT2,0,158,
2600,3185,HNRNPF,0,374,
1065,1280,COL2A1,1,45,96.0
13355,51547,SIRT7,0,666,
16428,23495,TNFRSF13B,1,12,33.0
2605,3191,HNRNPL,0,222,
2606,3192,HNRNPU,0,691,
4655,5717,PSMD11,0,147,
48,54,ACP5,1,15,108.0
561,672,BRCA1,0,609,
5043,6222,RPS18,0,306,
53,60,ACTB,0,466,
1591,1915,EEF1A1,0,613,
568,682,BSG,0,154,
16308,23363,OBSL1,0,619,
8763,10849,CD3EAP,0,44,
60,71,ACTG1,0,187,
4158,5130,PCYT1A,1,26,11329.0
12584,50628,GEMIN4,0,273,
8768,10856,RUVBL2,0,367,
523,633,BGN,0,17,
16453,23521,RPL13A,0,273,
15276,54919,DNAAF5,1,56,10034.0
6728,8440,NCK2,0,184,
4681,5747,PTK2,0,200,
16460,23528,ZNF281,0,56,
7249,9070,ASH2L,0,96,
5202,6416,MAP2K4,0,60,
1620,1956,EGFR,0,926,
6741,8454,CUL1,0,763,
599,718,C3,0,49,
13619,84656,GLYR1,0,275,
3164,153561,,0,7,
7268,9094,UNC119,1,123,101.0
15462,55130,ARMC4,1,2,12138.0
8806,10902,BRD8,0,46,
4711,5788,PTPRC,0,84,
6761,8481,OFD1,0,274,
20078,29760,BLNK,1,50,6173.0
5233,6449,SGTA,0,207,
5016,6188,RPS3,0,395,
5747,7040,TGFB1,0,110,
6267,7704,ZBTB16,0,166,
5247,6464,SHC1,0,277,
1153,1380,CR2,1,13,78.0
5764,7057,THBS1,0,54,
7303,9131,AIFM1,0,92,
6792,8517,IKBKG,0,465,
21129,64714,PDIA2,0,30,
2703,3303,HSPA1A,0,353,
5017,6189,RPS3A,0,395,
1170,1398,CRK,0,377,
659,790,CAD,0,131,
2708,3308,HSPA4,0,366,
2709,3309,HSPA5,0,517,
16022,23054,NCOA6,0,102,
1687,2033,EP300,0,547,
2712,3312,HSPA8,0,600,
3225,3932,LCK,0,256,
5788,7083,TK1,0,182,
669,801,CALM1,0,524,
2718,3320,HSP90AA1,0,900,
3745,4627,MYH9,0,343,
2722,3326,HSP90AB1,0,543,
10915,80209,PROSER1,0,12,
2724,3329,HSPD1,0,379,
679,815,CAMK2A,0,167,
18299,386682,KRTAP10-3,0,478,
15020,54557,SGTB,0,182,
16557,23639,LRRC6,1,5,2350.0
1712,2058,EPRS,0,247,
1713,2059,EPS8,0,78,
693,829,CAPZA1,0,122,
694,830,CAPZA2,0,270,
696,832,CAPZB,0,128,
3359,4093,SMAD9,0,132,
3772,4659,PPP1R12A,0,102,
3537,4316,MMP7,0,37,
6005,7341,SUMO1,0,258,
11787,81850,KRTAP1-3,0,190,
799,952,CD38,0,9,
3267,3981,LIG4,0,135,
4859,5970,RELA,0,419,
3447,4194,MDM4,0,78,
4300,5295,PIK3R1,0,307,
1741,2099,ESR1,0,789,
4305,5300,PIN1,0,309,
6867,8607,RUVBL1,0,279,
7893,9820,CUL7,0,649,
729,867,CBL,0,276,
3802,4691,NCL,0,438,
2752,3373,HYAL1,1,2,1927.0
8925,11039,,0,6,
5855,7157,TP53,0,1001,
5857,7159,TP53BP2,0,184,
5243,203068,TUBB,0,361,
2789,3423,IDS,1,46,2888.0
2278,5929,RBBP5,0,114,
2791,3426,CFI,1,4,4679.0
16616,154796,AMOT,0,133,
10985,80311,KLHL15,0,26,
4647,5708,PSMD2,0,250,
748,892,CCNC,0,119,
5586,6850,SYK,0,140,
7406,9252,RPS6KA5,0,94,
5871,7174,TPP2,1,25,695.0
1576,5777,PTPN6,0,123,
242,302,ANXA2,0,200,
4339,5335,PLCG1,0,279,
4340,5336,PLCG2,0,126,
5365,6597,SMARCA4,0,269,
4855,5966,REL,0,389,
14072,3313,HSPA9,0,264,
1785,2152,F3,0,25,
15610,55291,PPP6R3,0,77,
5883,7187,TRAF3,0,140,
15612,55294,FBXW7,0,182,
5373,6606,SMN1,0,267,
767,915,CD3D,1,17,11172.0
768,916,CD3E,1,38,426.0
769,917,CD3G,0,15,
771,919,CD247,0,47,
772,920,CD4,0,125,
773,921,CD5,0,28,
1665,2006,ELN,1,25,5309.0
8968,11091,WDR5,0,226,
3884,4790,NFKB1,0,277,
10711,79930,DOK3,0,40,
781,930,CD19,1,28,4914.0
301,367,AR,0,301,
784,933,CD22,0,19,
