Disease ID,Disease Name,Val Recall-at-50,Val Mean Rank,Val Recall-at-10,Val AUROC,Val Recall-at-25,Val Mean Average Precision,Val Recall-at-100
C0027092,Myopia,0.133333333333,5876.6,0.0,0.597237705933,0.1,0.00890339379459,0.166666666667
C0265215,Meckel-Gruber syndrome,0.45,2491.65,0.15,0.898097990066,0.3,0.0639822231242,0.8
C1271104,Blood pressure finding,0.08,8183.78,0.0,0.537603105965,0.0,0.00240970049162,0.08
C0004352,Autistic Disorder,0.0686594202899,3822.83768116,0.00434782608696,0.761456392097,0.0344202898551,0.0217445601075,0.167572463768
C0162670,Mitochondrial Myopathies,0.0,5527.5,0.0,0.499184105919,0.0,4.63994060876e-05,0.0
C0162671,MELAS Syndrome,0.6,1334.7,0.1,0.799097322133,0.5,0.0509405986886,0.6
C0236733,Amphetamine-Related Disorders,0.0267857142857,6089.675,0.0,0.609820722066,0.0142857142857,0.00424936161327,0.0785714285714
C0853897,Diabetic Cardiomyopathies,0.4,2330.6,0.0,0.698890796863,0.2,0.018059454007,0.4
C0015967,Fever,0.15,3545.25,0.05,0.573581510888,0.05,0.0110858710427,0.15
C0019284,Diaphragmatic Hernia,0.175,3888.625,0.025,0.634286842961,0.025,0.0110270587932,0.25
C0027404,Narcolepsy,0.25,4284.3,0.25,0.624687775663,0.25,0.168398325889,0.25
C3160731,Pulmonary function (finding),0.0666666666667,7784.6,0.0333333333333,0.531586689584,0.0333333333333,0.0341578288693,0.0666666666667
C0752166,Bardet-Biedl Syndrome,0.766666666667,2205.05,0.616666666667,0.882947932145,0.716666666667,0.563150410439,0.766666666667
C0007194,Hypertrophic Cardiomyopathy,0.05,4699.83333333,0.0,0.711355017954,0.0,0.00565612017865,0.15
C0018273,Growth Disorders,0.0,5553.375,0.0,0.543295199381,0.0,0.00176180609234,0.0916666666667
C0887833,"Carcinoma, Pancreatic Ductal",0.35,2872.45,0.15,0.69827041835,0.3,0.0362793177194,0.4
C0236736,Cocaine-Related Disorders,0.0472222222222,3394.24583333,0.0,0.762564557362,0.0,0.0149620818944,0.304166666667
C0020437,Hypercalcemia,0.4,3727.0,0.3,0.699628718615,0.4,0.125785420569,0.4
C0740392,"Infarction, Middle Cerebral Artery",0.216666666667,3472.83333333,0.0,0.647285435631,0.1,0.0116856577653,0.3
C0349639,Juvenile Myelomonocytic Leukemia,0.05,4045.5,0.0,0.622403426502,0.05,0.00669844434787,0.25
C0282525,"Adrenoleukodystrophy, Neonatal",1.0,4.0,1.0,0.999867712588,1.0,0.408611111111,1.0
C2607914,Allergic rhinitis (disorder),0.0,9377.85,0.0,0.49952891488,0.0,5.10507596601e-05,0.0
C0023343,Leprosy,0.2,6211.9,0.05,0.598559589582,0.1,0.0123597141789,0.2
C0175702,Williams Syndrome,0.0,7203.8,0.0,0.498723720239,0.0,4.64080193057e-05,0.1
C0027051,Myocardial Infarction,0.0722222222222,2924.73472222,0.0,0.798021523864,0.0125,0.0148337558454,0.2125
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.0,2600.01666667,0.0,0.745379829123,0.0,0.00644798425185,0.25
C0027055,Myocardial Reperfusion Injury,0.125,1961.3,0.025,0.808194909085,0.05,0.0179107737858,0.35
C0018995,Hemochromatosis,0.55,1720.95,0.55,0.774690183337,0.55,0.183912094837,0.55
C0339535,"Night blindness, congenital stationary",0.45,5478.95,0.45,0.724880488258,0.45,0.316694512555,0.45
C0023904,"Liver Neoplasms, Experimental",0.0,4104.88333333,0.0,0.709958534846,0.0,0.00566459801439,0.163333333333
C0282612,Prostatic Intraepithelial Neoplasias,0.0,848.05,0.0,0.846169822705,0.0,0.0088546569905,0.4
C0030297,Pancreatic Neoplasm,0.0625,1967.1125,0.0125,0.823574346976,0.0125,0.0164123763664,0.1875
C0341106,Eosinophilic esophagitis,0.0,8919.5,0.0,0.498830137877,0.0,7.42709264438e-05,0.0
C0038325,Stevens-Johnson Syndrome,0.0,1608.1,0.0,0.855035536768,0.0,0.0047849644591,0.0333333333333
C0031511,Pheochromocytoma,0.35,3601.65,0.1,0.673494730978,0.35,0.0299430292995,0.35
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,9426.1,0.0,0.499025341131,0.0,5.10507596601e-05,0.0
C0020619,Hypogonadism,0.85,616.15,0.85,0.924809691794,0.85,0.291363130047,0.85
C0206062,"Lung Diseases, Interstitial",0.0,11424.6,0.0,0.498384551109,0.0,6.96260308854e-05,0.0
C0022658,Kidney Diseases,0.109722222222,4529.65277778,0.0,0.693280181201,0.0375,0.0120670920419,0.204166666667
C1142166,Brugada Syndrome (disorder),0.1,6351.2,0.1,0.54946267756,0.1,0.0572031998466,0.1
C0009363,Congenital ocular coloboma (disorder),0.0,6099.5,0.0,0.572652587607,0.0,0.00231720964356,0.15
C0206726,gliosarcoma,0.0,3888.55,0.0,0.61931923684,0.0,0.00157179476082,0.0
C2239176,Liver carcinoma,0.0,1880.26060606,0.0,0.882249312309,0.0,0.0230592350906,0.0558441558442
C0024121,Lung Neoplasms,0.0235294117647,1940.77679739,0.0,0.858969629314,0.00588235294118,0.0178495513562,0.0640522875817
C0948089,Acute Coronary Syndrome,0.133333333333,1349.29166667,0.0,0.836603216266,0.0666666666667,0.0140523487911,0.3
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.2,2617.5,0.05,0.771978736246,0.1,0.0160849357438,0.45
C0035258,Restless Legs Syndrome,0.0,6748.0,0.0,0.49964812151,0.0,4.63994060876e-05,0.0
C0206686,Adrenocortical carcinoma,0.0,2301.75,0.0,0.843097725162,0.0,0.00582457803903,0.1
C0036346,"Schizophrenia, Childhood",0.0,9474.6,0.0,0.49866307678,0.0,6.96260308854e-05,0.0
C1261473,Sarcoma,0.15,3847.2,0.0,0.720860796509,0.05,0.00753791595924,0.3
C0036341,Schizophrenia,0.0251811594203,5282.57192029,0.00416666666667,0.722436707645,0.00416666666667,0.0104709128797,0.0759057971014
C1800706,Idiopathic Pulmonary Fibrosis,0.45,5274.7,0.2,0.724171347663,0.35,0.0853149134565,0.45
C0238288,"Muscular Dystrophy, Facioscapulohumeral",0.4,4525.8,0.2,0.698760733349,0.4,0.0441659168789,0.4
C0007193,"Cardiomyopathy, Dilated",0.065,3488.865,0.02,0.755403417015,0.04,0.0093544113362,0.175
C1527249,Colorectal Cancer,0.15,6835.31666667,0.0,0.622451499528,0.0,0.00614843930015,0.25
C0018671,Head and Neck Neoplasms,0.1,2618.83333333,0.0,0.737039874926,0.05,0.00740016831401,0.183333333333
C0004153,Atherosclerosis,0.133333333333,2620.30666667,0.0,0.737714349936,0.02,0.0111448326418,0.283333333333
C0018213,Graves Disease,0.0,7506.9,0.0,0.49938260143,0.0,6.96260308854e-05,0.0
C0021051,Immunologic Deficiency Syndromes,0.45,2749.15,0.35,0.724398792943,0.45,0.120527306826,0.45
C0006625,Cachexia,0.5,2297.6,0.2,0.748988258226,0.3,0.0432427217018,0.5
C0004134,Ataxia,0.4,2350.85,0.4,0.699574087828,0.4,0.0785139978408,0.4
C0279628,Adenocarcinoma Of Esophagus,0.2,4127.6,0.0,0.771945643597,0.2,0.0134166690703,0.45
C0006111,Brain Diseases,0.0,4830.45,0.0,0.635947295101,0.0,0.00327800314188,0.133333333333
C0241910,"Hepatitis, Autoimmune",0.1,5165.2,0.05,0.549305942433,0.1,0.0101536656776,0.1
C0279626,Squamous cell carcinoma of esophagus,0.0111111111111,2764.60694444,0.0111111111111,0.817040195318,0.0111111111111,0.00938419516869,0.0458333333333
C0035334,Retinitis Pigmentosa,0.261904761905,5844.38809524,0.159523809524,0.714693084512,0.17619047619,0.0829432763463,0.364285714286
C0024668,"Mammary Neoplasms, Experimental",0.0195833333333,1398.47291667,0.0,0.872582920676,0.0,0.0157626737432,0.0595833333333
C0027794,Neural Tube Defects,0.283333333333,4221.06666667,0.2,0.640604632081,0.233333333333,0.147246043625,0.283333333333
C0086445,Idiopathic Membranous Glomerulonephritis,0.1,6315.0,0.0,0.548310199155,0.0,0.00240194369012,0.1
C0025521,Inborn Errors of Metabolism,0.15,4352.9,0.0,0.573994939882,0.05,0.00585202398994,0.15
C0011991,Diarrhea,0.2,3788.0,0.2,0.599649603193,0.2,0.0278149041932,0.2
C0949658,"Cardiomyopathy, Hypertrophic, Familial",0.483333333333,3980.16666667,0.183333333333,0.7406311431,0.416666666667,0.0996024057484,0.483333333333
C0009375,Colonic Neoplasms,0.0326923076923,2039.18461538,0.0,0.847565361764,0.0,0.0131309199368,0.0647435897436
C0002395,Alzheimer's Disease,0.0,4877.29047619,0.0,0.745002635248,0.0,0.0093693688262,0.0547619047619
C0028326,Noonan Syndrome,0.7,2665.55,0.1,0.848672237697,0.4,0.0449575196915,0.7
C0036572,Seizures,0.143333333333,3718.55111111,0.02,0.66886437642,0.0611111111111,0.0174988900296,0.227777777778
C0005684,Malignant neoplasm of urinary bladder,0.15,7181.6,0.05,0.573556241586,0.05,0.00906881837052,0.15
