Disease ID,Disease Name,Val Recall-at-50,Val Mean Rank,Val Recall-at-10,Val AUROC,Val Recall-at-25,Val Mean Average Precision,Val Recall-at-100
C0042487,Venous Thrombosis,0.65,1293.1,0.3,0.932092445559,0.6,0.0910726469313,0.75
C0026848,Myopathy,0.0,5598.64,0.0,0.731206576259,0.0,0.000849174851941,0.0
C0019209,Hepatomegaly,0.333333333333,4464.77777778,0.0,0.769468164099,0.0,0.0119922488698,0.333333333333
C0019202,Hepatolenticular Degeneration,0.0416666666667,3484.625,0.0,0.834200219818,0.0,0.0030742183557,0.0833333333333
C0341106,Eosinophilic esophagitis,0.0,12061.4375,0.0,0.446363910682,0.0,8.77797121209e-05,0.0
C0699790,Colon Carcinoma,0.125,2568.75,0.0416666666667,0.880752798031,0.125,0.0155385099162,0.208333333333
C0085129,Bronchial Hyperreactivity,0.0,6691.69230769,0.0,0.626147919107,0.0,0.00101809642832,0.0
C0015393,Eye Abnormalities,0.285714285714,7252.78571429,0.0714285714286,0.657707840134,0.142857142857,0.0227897654807,0.285714285714
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.0425531914894,5281.82978723,0.0,0.753146977655,0.0212765957447,0.00333411728399,0.106382978723
C0149721,Left Ventricular Hypertrophy,0.0416666666667,2470.75,0.0,0.885303952074,0.0416666666667,0.00579975761695,0.0833333333333
C0079541,Holoprosencephaly,0.25,5251.125,0.0,0.706346582208,0.0,0.00792645892893,0.25
C0019080,Hemorrhage,0.1875,3979.4375,0.0625,0.815305696114,0.1875,0.0187504670953,0.1875
C0014549,Tonic-Clonic Epilepsy,0.3,4397.8,0.2,0.729143268204,0.3,0.0374642868434,0.3
C3160731,Pulmonary function (finding),0.0,10541.2333333,0.0,0.504816432078,0.0,0.000141979455653,0.0
C0017668,Focal glomerulosclerosis,0.0909090909091,1832.95454545,0.0,0.914931295776,0.0454545454545,0.00473625055323,0.0909090909091
C0242656,Disease Progression,0.0322580645161,3731.55645161,0.00806451612903,0.825943337302,0.0241935483871,0.00345270711056,0.0645161290323
C1959629,Seizure Adverse Event,0.0,10539.0,0.0,0.500576704087,0.0,0.000125527029582,0.0
C0021841,Intestinal Neoplasms,0.363636363636,1338.90909091,0.181818181818,0.937904525624,0.272727272727,0.0399806221835,0.545454545455
