Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0030305,Pancreatitis,0.15,0.0,6850.45,0.000627750473408,0.67143056136,0.0
C0008625,Chromosome Aberrations,0.25,0.0,4051.13333333,0.000767484373547,0.810116284468,0.0
C0242379,Malignant neoplasm of lung,0.2,0.0,7049.875,0.000678374551793,0.665537811615,0.0
C0008370,Cholestasis,0.283333333333,0.0,5176.84615385,0.00294508649952,0.763748760727,0.0583333333333
C0023434,Chronic Lymphocytic Leukemia,0.2,0.02,6301.34693878,0.011347530992,0.70336409708,0.02
C0034951,Refractive Errors,0.0,0.0,9974.05555556,0.000171658248022,0.521179024096,0.0
C0019196,Hepatitis C,0.2,0.0,4988.53333333,0.00056552158826,0.745713025717,0.0
C0025500,Mesothelioma,0.265,0.05,4559.31707317,0.0136617295237,0.788326129392,0.05
C1272641,Systemic arterial pressure,0.06,0.0,7446.54,0.00056747895789,0.652900451016,0.0
C0009952,Febrile Convulsions,0.0,0.0,11148.4545455,0.000123015503897,0.454256010396,0.0
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.9,0.633333333333,1771.2962963,0.0761373938492,0.931867162099,0.833333333333
C0002514,"Amino Acid Metabolism, Inborn Errors",0.1,0.0,7017.84615385,0.000442275328106,0.702072502785,0.0
C3875321,Inflammatory dermatosis,0.133333333333,0.0,7558.5,0.000623526732444,0.645478286794,0.0
C0043459,Zellweger Syndrome,1.0,0.65,67.4666666667,0.307098224015,0.997337758797,0.8
C0023794,Lipoidosis,0.15,0.0,7810.89473684,0.000836597985403,0.63467127867,0.0
C0011849,Diabetes Mellitus,0.3,0.0333333333333,4490.82142857,0.00264757719315,0.796976171675,0.0333333333333
C0016059,Fibrosis,0.325,0.0,4392.4,0.00262646855442,0.794080843054,0.025
C0040136,Thyroid Neoplasm,0.316666666667,0.0333333333333,4470.48484848,0.0186592733644,0.796393173512,0.0666666666667
C0020443,Hypercholesterolemia,0.2,0.0,5088.0,0.00226045720042,0.762470978826,0.05
C0025958,Microcephaly,0.216666666667,0.0,2772.56521739,0.0010392187651,0.869149561933,0.0
C1561955,Fibrinogen Adverse Event,0.1,0.0,9731.22222222,0.00119790457756,0.560815265333,0.05
C0040411,Tongue Neoplasms,0.222222222222,0.0,4829.0,0.00282917707825,0.765755522554,0.111111111111
C0027720,Nephrosis,0.15,0.05,3924.33333333,0.004165090882,0.809193668183,0.05
C0018781,Noise-induced hearing loss,0.2,0.0,6420.8,0.000610828942763,0.714959168523,0.0
C0033860,Psoriasis,0.207142857143,0.0166666666667,6610.84375,0.00714527035631,0.697115062933,0.0309523809524
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.15,0.0,6688.0,0.000945072208499,0.705532986675,0.0
C0020542,Pulmonary Hypertension,0.1,0.0,7700.80645161,0.000531913873619,0.649565254421,0.0
C0026636,Mouth Diseases,0.3,0.05,5600.75,0.00457601855685,0.750620793688,0.15
C0027626,Neoplasm Invasiveness,0.303205128205,0.0237179487179,3882.95238095,0.00766707805724,0.818775342213,0.0967948717949
C0236969,Substance-Related Disorders,0.104545454545,0.0,9589.7047619,0.000889881517912,0.553499440612,0.0
C0025261,Memory Disorders,0.183333333333,0.025,6247.63888889,0.014309561791,0.700497576011,0.05
C0003873,Rheumatoid Arthritis,0.109307359307,0.0,7289.63033175,0.00238961720294,0.659655093181,0.00454545454545
C0242698,"Ventricular Dysfunction, Left",0.3,0.0,5522.53333333,0.00194690602276,0.760917045771,0.1
