Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0011853,"Diabetes Mellitus, Experimental",0.414545454545,0.02,2984.01886792,0.00987080146021,0.862243548722,0.104545454545
C0018995,Hemochromatosis,0.6,0.45,3893.08333333,0.0743394536779,0.751958691112,0.5
C0030297,Pancreatic Neoplasm,0.475,0.05,4353.775,0.0137615185362,0.797065756391,0.15
C0020507,Hyperplasia,0.383333333333,0.0,4361.30769231,0.00272368428368,0.78595436038,0.0333333333333
C0030354,Papilloma,0.55,0.1,3845.63636364,0.00922783520613,0.808748723661,0.2
C0030193,Pain,0.455,0.025,4075.71111111,0.00820416193093,0.813302807735,0.16
C0000768,Congenital Abnormality,0.4,0.1,4725.54545455,0.0125662077497,0.764937807482,0.3
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,0.49,0.025,4056.74418605,0.00747349553083,0.815087152552,0.12
C0040034,Thrombocytopenia,0.583333333333,0.15,3356.27272727,0.0352012524646,0.837930113768,0.183333333333
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",0.5,0.2,3790.4,0.0202571917306,0.760430686406,0.4
C0022658,Kidney Diseases,0.240277777778,0.0,6687.86746988,0.00205242442776,0.685943854584,0.0236111111111
C0206062,"Lung Diseases, Interstitial",0.0,0.0,9565.2,0.000180754195007,0.564708476465,0.0
C0007117,Basal cell carcinoma,0.15,0.05,7356.63636364,0.00325740181934,0.653332172432,0.1
C2239176,Liver carcinoma,0.354978354978,0.0463203463203,3837.50691244,0.0218891455198,0.820509870089,0.0967532467532
C0036920,Sezary Syndrome,0.666666666667,0.133333333333,2226.80769231,0.0184294061882,0.904905330299,0.25
C0206726,gliosarcoma,0.35,0.25,3825.66666667,0.0187573132258,0.826694364497,0.25
C0027707,"Nephritis, Interstitial",0.9,0.3,244.8,0.0556655820283,0.988682879287,0.6
C0948089,Acute Coronary Syndrome,0.575,0.158333333333,1913.93548387,0.0265564053085,0.909342577968,0.225
C0020452,Hyperemia,0.4,0.1,3025.15384615,0.0395096245575,0.831057370962,0.35
C0029927,Ovarian Cysts,0.0666666666667,0.0,9671.25806452,0.000352141609561,0.545510661526,0.0
C0036346,"Schizophrenia, Childhood",0.05,0.0,10724.3333333,0.00022274684034,0.510665212144,0.0
C0206686,Adrenocortical carcinoma,0.65,0.05,2126.82352941,0.0189131440196,0.914431290622,0.3
C0036341,Schizophrenia,0.155615942029,0.016847826087,7213.34453782,0.00593072566684,0.662936502514,0.0210144927536
C0333641,Atrophic,0.4,0.0,5077.7,0.00149735872338,0.764389474173,0.0
C1112705,Nuclear non-senile cataract,0.5,0.4,2143.75,0.171551252391,0.879234161058,0.5
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.9,0.55,1767.96296296,0.0892410274225,0.931994116736,0.866666666667
C0431362,Lobar Holoprosencephaly,0.35,0.0,6223.42857143,0.00582449908732,0.710489486144,0.25
C0265275,Jeune thoracic dystrophy,0.777777777778,0.444444444444,3059.11111111,0.0608648400154,0.850236165254,0.555555555556
C0043459,Zellweger Syndrome,1.0,0.85,14.2666666667,0.389109730849,0.999301364776,1.0
C0027726,Nephrotic Syndrome,0.5,0.0833333333333,3190.19047619,0.0161704031573,0.832523062159,0.183333333333
C0282527,Infantile Refsum Disease (disorder),1.0,0.9,6.69230769231,0.583146441372,0.999726141849,1.0
C0338480,Common Migraine,0.2,0.0,9632.72727273,0.000472440214745,0.52579597141,0.0
C0455806,Infant length,0.3,0.0,7802.0,0.000977350860728,0.627987793558,0.0
C0004134,Ataxia,0.2,0.2,7396.46666667,0.0184477912459,0.6461296537,0.2
C0279628,Adenocarcinoma Of Esophagus,0.3,0.0,4472.14285714,0.00387728785236,0.812530752449,0.1
C0035334,Retinitis Pigmentosa,0.333333333333,0.0285714285714,5718.94202899,0.00640539852814,0.736410632291,0.185714285714
C0242422,Parkinsonian Disorders,0.55,0.0833333333333,3584.72727273,0.0474731056792,0.82942728891,0.233333333333
C0279626,Squamous cell carcinoma of esophagus,0.511111111111,0.0375,3464.3902439,0.0218001421204,0.838681541845,0.0986111111111
C0004364,Autoimmune Diseases,0.341666666667,0.0,4227.84848485,0.0015181093282,0.801715914018,0.0
C0011991,Diarrhea,0.3,0.0,5444.3,0.00445261407904,0.62122801318,0.2
C1384666,hearing impairment,0.0666666666667,0.0,10295.6,0.00040531806531,0.527352244215,0.0
C0033860,Psoriasis,0.345238095238,0.0619047619048,6021.09375,0.0162194673877,0.723672325209,0.12380952381
C0004238,Atrial Fibrillation,0.4,0.05,4355.11538462,0.00567803416727,0.811552335392,0.133333333333
C0026636,Mouth Diseases,0.25,0.1,5915.0,0.021238188055,0.735956138315,0.25
C0878544,Cardiomyopathies,0.433333333333,0.0333333333333,3564.26666667,0.0312373039204,0.834308732266,0.0777777777778
C0236969,Substance-Related Disorders,0.144545454545,0.0,8885.97142857,0.00177082425033,0.586414405099,0.03
C0026848,Myopathy,0.2,0.0,5475.24,0.00103535717277,0.751889048858,0.0
C0003873,Rheumatoid Arthritis,0.209090909091,0.0,6153.27014218,0.00410696357929,0.712931719113,0.0235930735931
C0035228,Respiratory Hypersensitivity,0.45,0.0,4682.44444444,0.00334100894392,0.760120014857,0.05
C0003872,"Arthritis, Psoriatic",0.25,0.0,4765.13333333,0.00213142090918,0.777827035558,0.1
C0033975,Psychotic Disorders,0.45,0.15,6038.11764706,0.0132128627822,0.756497214485,0.3
C0018923,Hemangiosarcoma,0.9,0.1,2243.0,0.0161887247122,0.897750591949,0.4
C0002871,Anemia,0.433333333333,0.0,4219.61538462,0.00278626672703,0.813353614169,0.0333333333333
C0026846,Muscular Atrophy,0.4,0.05,3484.61538462,0.0053219579016,0.82159533977,0.15
C0040053,Thrombosis,0.7,0.325,1337.925,0.128497706768,0.937064878933,0.4
C0206754,Neuroendocrine Tumors,0.5,0.3,1347.6,0.0742498974933,0.93750406089,0.3
C0019163,Hepatitis B,0.35,0.25,6517.0625,0.041529929659,0.673494730978,0.3
C0598608,Hyperhomocysteinemia,0.55,0.0,3664.0,0.00115137888821,0.843940870695,0.0
C0019693,HIV Infections,0.524444444444,0.07,2342.80808081,0.0205278872582,0.889325245182,0.19
C0011581,Depressive disorder,0.183333333333,0.0333333333333,5528.86111111,0.00471228808207,0.745534594117,0.0666666666667
C0038587,Substance Withdrawal Syndrome,0.516666666667,0.08,3865.55769231,0.0148895354274,0.813739285437,0.216666666667
C0038013,Ankylosing spondylitis,0.35,0.05,6265.5,0.0537197025746,0.657344613099,0.2
C0010606,Adenoid Cystic Carcinoma,0.334444444444,0.0411111111111,5115.84848485,0.0213694227381,0.763534190822,0.0911111111111
C0043094,Weight Gain,0.226388888889,0.0236111111111,6318.97727273,0.00527217117716,0.707046497275,0.0791666666667
C0027659,"Neoplasms, Experimental",0.483333333333,0.025,3264.78787879,0.00665243404551,0.85219715976,0.15
C0029172,Oral Submucous Fibrosis,0.65,0.35,2376.33333333,0.104957780524,0.847743942067,0.5
C0403553,Renal dysplasia and retinal aplasia (disorder),0.8,0.5,2360.1,0.155684206579,0.901162574836,0.5
C0027658,"Neoplasms, Germ Cell and Embryonal",0.25,0.15,6798.30769231,0.00793228560365,0.707332668028,0.15
C1261502,Finding of Mean Corpuscular Hemoglobin,0.2,0.1,6463.53333333,0.00813047566599,0.694836830378,0.1
C0002171,Alopecia Areata,0.666666666667,0.111111111111,5068.11111111,0.0614271051944,0.757832642369,0.333333333333
C0002170,Alopecia,0.2,0.0,5992.28571429,0.00204775209732,0.738563570533,0.05
C0428977,Bradycardia,0.583333333333,0.316666666667,3398.79166667,0.0672386958076,0.829690475085,0.45
C0376634,Craniofacial Abnormalities,0.270476190476,0.0214285714286,5080.73793103,0.00696849900027,0.763919342069,0.0695238095238
C0520459,Necrotizing Enterocolitis,0.6,0.0,3494.05882353,0.00716337492428,0.854728412256,0.25
C0018213,Graves Disease,0.25,0.1,6248.6,0.05090327426,0.702482360041,0.1
C0020473,Hyperlipidemia,0.6,0.05,2444.88235294,0.0112881845764,0.889952414113,0.3
C0027765,nervous system disorder,0.333333333333,0.0,4829.64705882,0.00249027188103,0.773880312471,0.0366666666667
C0022665,Kidney Neoplasm,0.383333333333,0.0666666666667,3474.33333333,0.0156728539368,0.832024307168,0.166666666667
C3463824,MYELODYSPLASTIC SYNDROME,0.3,0.0,3800.83333333,0.0012382249468,0.8152537258,0.0
C0001973,"Alcoholic Intoxication, Chronic",0.433333333333,0.0,4817.42105263,0.00384149755258,0.767155382065,0.0583333333333
C0007193,"Cardiomyopathy, Dilated",0.515,0.135,3310.42553191,0.027816197866,0.844523012552,0.22
C3160731,Pulmonary function (finding),0.0,0.0,10405.6666667,0.000226085775538,0.511391895449,0.0
C0002736,Amyotrophic Lateral Sclerosis,0.190476190476,0.0166666666667,6643.35384615,0.00435580347625,0.693823836998,0.0809523809524
C0080178,Spina Bifida,0.5,0.0,3402.36363636,0.0020482430705,0.861445279866,0.0
C0007194,Hypertrophic Cardiomyopathy,0.233333333333,0.0,4549.76190476,0.00263386694498,0.799091443784,0.0833333333333
C2931822,Nasopharyngeal carcinoma,0.35,0.05,4983.55,0.00793259398765,0.768675999443,0.15
C0752166,Bardet-Biedl Syndrome,0.8,0.566666666667,1218.85714286,0.398481524761,0.941048322189,0.666666666667
C0022548,Keloid,0.483333333333,0.125,2008.66666667,0.0162085103166,0.903045437651,0.191666666667
C0025202,melanoma,0.187631578947,0.0210526315789,7037.109375,0.00682600041584,0.671286733098,0.0313157894737
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.633333333333,0.05,2120.42857143,0.00591266132875,0.913487493809,0.1
C0017661,IGA Glomerulonephritis,0.167940199336,0.00232558139535,5645.65734266,0.00582461925314,0.733819667906,0.0162790697674
C0032285,Pneumonia,0.705,0.12,2174.40425532,0.0602520411433,0.898666317992,0.37
C0033805,Pseudohypoaldosteronism,0.666666666667,0.555555555556,1382.22222222,0.348799967275,0.935900212446,0.666666666667
C0027708,Nephroblastoma,0.1,0.0,7223.9375,0.0005387200748,0.651115314981,0.0
C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,0.8,0.35,2031.71428571,0.086659038977,0.926448266258,0.8
C0013182,Drug Allergy,0.341666666667,0.0333333333333,7305.42857143,0.01376631821,0.674108857603,0.0916666666667
C1140680,Malignant neoplasm of ovary,0.35,0.0,3327.0,0.00181056637974,0.814216755628,0.0
C0011884,Diabetic Retinopathy,0.15,0.0,6108.1875,0.00045453460896,0.757026136205,0.0
C0031511,Pheochromocytoma,0.55,0.15,3504.0,0.0809540746801,0.803507265215,0.25
C0024301,"Lymphoma, Follicular",0.366666666667,0.0,5541.52380952,0.00168681529812,0.738130726845,0.05
C1336708,Testicular Germ Cell Tumor,0.15,0.0,7714.0,0.00174753590229,0.636626269193,0.05
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.65,0.05,3629.23076923,0.00908626908196,0.86201958782,0.35
