Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,0.0,11674.5454545,0.000112341472339,0.474403601597,0.0
C1861063,"TOBACCO ADDICTION, SUSCEPTIBILITY TO (finding)",0.3,0.3,7101.6,0.116717763922,0.57649324732,0.3
C0085129,Bronchial Hyperreactivity,0.15,0.0,6646.69230769,0.000779962562099,0.599809691794,0.0
C0023890,Liver Cirrhosis,0.526666666667,0.0566666666667,3095.75925926,0.020479180721,0.858297679394,0.193333333333
C0032273,Pneumoconiosis,0.05,0.0,9533.21428571,0.000254619381689,0.517351343824,0.0
C0149721,Left Ventricular Hypertrophy,0.333333333333,0.0333333333333,2845.91666667,0.00632320092915,0.873976377343,0.1
C0677886,Epithelial ovarian cancer,0.1,0.0,8013.05263158,0.00112045005866,0.612133206426,0.05
C2607914,Allergic rhinitis (disorder),0.0,0.0,10827.0,9.02696449469e-05,0.41017590272,0.0
C0021655,Insulin Resistance,0.44,0.105,3657.20833333,0.014015017653,0.833585010926,0.17
C1260899,"Anemia, Diamond-Blackfan",0.9,0.2,414.8,0.0348627774397,0.985087271377,0.9
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.315,0.025,5257.82978723,0.00534072505146,0.758364481636,0.11
C0004936,Mental disorders,0.5,0.0,4788.18181818,0.00535395000207,0.724967511371,0.35
C0085207,Gestational Diabetes,0.05,0.0,7838.66666667,0.000259674047377,0.590357391506,0.0
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,1.0,0.55,173.142857143,0.290446597163,0.991981153971,0.7
C1271104,Blood pressure finding,0.1,0.0,7020.18,0.000691896616336,0.672756311898,0.0
C0079541,Holoprosencephaly,0.375,0.0,5251.125,0.00792645892893,0.706346582208,0.25
C0027092,Myopia,0.133333333333,0.0,9014.06896552,0.000750120762356,0.579101247987,0.0
C0015934,Fetal Growth Retardation,0.1,0.0,5468.1,0.000421395361528,0.746270942591,0.0
C0027720,Nephrosis,0.25,0.0,2802.06666667,0.00177342174692,0.865026459939,0.05
C0023467,"Leukemia, Myelocytic, Acute",0.194696969697,0.0,4353.90265487,0.00307571793225,0.797342178783,0.0257575757576
C0007959,Charcot-Marie-Tooth Disease,0.333333333333,0.0,6125.75862069,0.0028409761754,0.720618109749,0.0833333333333
C0033805,Pseudohypoaldosteronism,0.666666666667,0.555555555556,1080.11111111,0.397350215233,0.949920590723,0.666666666667
C0018784,Sensorineural Hearing Loss (disorder),0.333333333333,0.0,4250.55555556,0.00125092894962,0.802786543737,0.0
C0344388,Platelet mean volume finding,0.166666666667,0.0,8447.46428571,0.000997007516908,0.596346400979,0.0
C0993582,"Arthritis, Experimental",0.441666666667,0.1,4208.8974359,0.0197297863125,0.800796619884,0.15
C0086543,Cataract,0.466666666667,0.266666666667,4321.0,0.10751676217,0.798549328257,0.266666666667
C0009404,Colorectal Neoplasms,0.183982683983,0.0235930735931,6409.61502347,0.00847498470006,0.701152138014,0.0471861471861
C0020507,Hyperplasia,0.416666666667,0.0,4407.19230769,0.00370218469262,0.784588113263,0.0666666666667
C0027540,Necrosis,0.34,0.1,4560.37254902,0.0206174092385,0.788949595462,0.12
C0023893,"Liver Cirrhosis, Experimental",0.336363636364,0.00909090909091,5512.72897196,0.00414141478134,0.740530281839,0.0363636363636
C0162820,"Dermatitis, Allergic Contact",0.147619047619,0.0,7042.03030303,0.00126895814816,0.672201652519,0.0
C0334588,Giant Cell Glioblastoma,0.5,0.1,3083.41666667,0.0103694925583,0.886569969831,0.35
C1720887,Female Urogenital Diseases,0.15,0.0,4287.94444444,0.000778584436315,0.797792376619,0.0
C0033975,Psychotic Disorders,0.15,0.0,5463.41176471,0.00215595617731,0.755234447539,0.05
C1959629,Seizure Adverse Event,0.0,0.0,10679.3157895,0.00016322782093,0.509493685579,0.0
C0004238,Atrial Fibrillation,0.3,0.0,4583.07692308,0.00505049038129,0.803008839967,0.183333333333
C0005910,Body Weight,0.0,0.0,9629.57142857,0.000132935610673,0.504916910365,0.0
C0021841,Intestinal Neoplasms,0.7,0.3,1358.27272727,0.0404344123246,0.931407221758,0.45
C0080178,Spina Bifida,0.4,0.0,3668.54545455,0.00193168532636,0.844139283394,0.0
C0018843,Heat Stroke,0.8,0.65,628.0,0.358805930657,0.979470874913,0.65
C0005684,Malignant neoplasm of urinary bladder,0.1,0.1,6955.1875,0.0190985085518,0.681097674203,0.1
C0020179,Huntington Disease,0.0,0.0,8782.08333333,0.000238952279325,0.566199814342,0.0
C0268363,Osteogenesis imperfecta type IV (disorder),0.5,0.3,2727.0,0.158247677836,0.860022276883,0.3
C0011616,Contact Dermatitis,0.242857142857,0.0,6007.27142857,0.00348812229486,0.720228842689,0.0571428571429
C0021364,Male infertility,0.25,0.1,6031.13953488,0.0687028463898,0.726365389979,0.1
