Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0013080,Down Syndrome,0.146666666667,0.0,8447.59375,0.00156924418683,0.604240327416,0.0111111111111
C0033860,Psoriasis,0.37619047619,0.0619047619048,5941.03125,0.0276663285796,0.727580463628,0.12380952381
C0024305,"Lymphoma, Non-Hodgkin",0.416666666667,0.183333333333,4064.40909091,0.03170674103,0.812665428372,0.283333333333
C0024301,"Lymphoma, Follicular",0.366666666667,0.0,5451.80952381,0.0018967403087,0.742131005448,0.05
C0040028,"Thrombocythemia, Essential",0.6,0.15,3124.75,0.15218549212,0.829426781156,0.25
C0005283,beta Thalassemia,0.4,0.2,6842.9,0.0189281112763,0.655248990579,0.2
C0020649,Hypotension,0.62,0.153333333333,2011.05660377,0.062733874582,0.903701481895,0.283333333333
C0026603,Motion Sickness,0.3,0.0,7128.64285714,0.00110890227833,0.642107645175,0.0
C0035126,Reperfusion Injury,0.544444444444,0.0708333333333,2169.08235294,0.0121114169554,0.900134283408,0.151388888889
C0497327,Dementia,0.3,0.0,5375.5,0.000634773271075,0.758817932891,0.0
C0018843,Heat Stroke,0.9,0.6,476.416666667,0.339909390019,0.986122070086,0.7
C0400966,Non-alcoholic Fatty Liver Disease,0.25,0.0,6168.425,0.00120471490014,0.712261235302,0.0
C0018923,Hemangiosarcoma,0.9,0.1,2186.77777778,0.0227320198414,0.900905334509,0.55
C0013182,Drug Allergy,0.35,0.0583333333333,7379.31428571,0.00572859624675,0.671800754267,0.116666666667
C0265965,Dyskeratosis Congenita,0.75,0.55,2367.41666667,0.17228275996,0.892754699466,0.55
C1840235,SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR,0.4,0.0,6107.35714286,0.00689695275762,0.713585619459,0.25
C0025149,Medulloblastoma,0.575,0.025,2558.77272727,0.00584792769785,0.882129293915,0.095
C0030305,Pancreatitis,0.2,0.0,6214.6,0.0038134162147,0.700953011097,0.1
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,0.0,12012.9090909,0.000106290308088,0.451759027198,0.0
C0008925,Cleft Palate,0.575,0.225,2274.325,0.0552560207089,0.894417785937,0.225
C0151786,Muscle Weakness,0.132222222222,0.0,7717.32967033,0.00135806050116,0.640787498577,0.0
C0027643,"Neoplasm Recurrence, Local",0.5,0.1,3779.58333333,0.0176366201271,0.833607331383,0.133333333333
C0004114,Astrocytoma,0.633333333333,0.3,1046.66666667,0.0848193284176,0.954747751513,0.366666666667
C1260899,"Anemia, Diamond-Blackfan",0.85,0.2,388.6,0.0293224845448,0.979266084857,0.85
C1272641,Systemic arterial pressure,0.1,0.0,7138.7,0.00068010383557,0.667213930348,0.0
C1565489,Renal Insufficiency,0.6,0.2,1896.6,0.0216338816041,0.912017914327,0.4
C0002514,"Amino Acid Metabolism, Inborn Errors",0.45,0.0,6269.92307692,0.00118511618037,0.739804585964,0.0
C0025286,Meningioma,0.4,0.0,4380.66666667,0.00773628516805,0.793374332792,0.35
C0006625,Cachexia,0.4,0.0,4462.2,0.00180954770325,0.792950294705,0.0
C0035229,Respiratory Insufficiency,0.0,0.0,9083.36363636,0.000183811164605,0.570333240509,0.0
C0035228,Respiratory Hypersensitivity,0.45,0.0,4710.72222222,0.00299068432085,0.758304703097,0.1
C1261502,Finding of Mean Corpuscular Hemoglobin,0.15,0.1,6852.93333333,0.00591217342472,0.676709451304,0.15
C0241910,"Hepatitis, Autoimmune",0.65,0.1,3025.76470588,0.0118362760387,0.800364438254,0.3
C0023186,Learning Disorders,0.316666666667,0.0,7312.40740741,0.0036887216076,0.644408964236,0.1
C0029172,Oral Submucous Fibrosis,0.7,0.35,2557.86666667,0.161326694847,0.839608671433,0.5
C0020429,Hyperalgesia,0.588095238095,0.0571428571429,3401.34782609,0.0116989523345,0.841299130412,0.2
C0339527,Leber Congenital Amaurosis,0.183333333333,0.0,6000.38095238,0.0018100108279,0.723932020802,0.1
C1720824,Sudden Cardiac Arrest,0.15,0.0,8563.13333333,0.000604836125785,0.581337619534,0.0
C3714756,Intellectual Disability,0.108974358974,0.0,6793.96850394,0.00156069900533,0.682599219881,0.00769230769231
C0018213,Graves Disease,0.25,0.1,6402.93333333,0.011233684613,0.695988069817,0.1
C0265221,Walker-Warburg congenital muscular dystrophy,0.8,0.1,1010.53846154,0.0121775082974,0.964176800965,0.3
C0567312,Menopause present (finding),0.05,0.0,10184.5294118,0.00027385554179,0.564162024141,0.0
C0235032,Neurotoxicity Syndromes,0.283333333333,0.0,5925.84615385,0.0012917171154,0.726294644931,0.0
C0027626,Neoplasm Invasiveness,0.398076923077,0.0724358974359,3110.88888889,0.0198327916484,0.854898846507,0.135256410256
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",0.7,0.6,1328.2,0.0578444561306,0.938406738757,0.7
C0004238,Atrial Fibrillation,0.383333333333,0.05,4393.88461538,0.00421953445077,0.809487096125,0.0833333333333
C0019189,"Hepatitis, Chronic",0.516666666667,0.15,2640.95454545,0.0279153848195,0.882479684235,0.283333333333
C0009319,Colitis,0.333333333333,0.0,5197.375,0.00291510593733,0.77040511463,0.0666666666667
C0004943,Behcet Syndrome,0.383333333333,0.166666666667,4383.79166667,0.0247292485357,0.805581742751,0.166666666667
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.339285714286,0.0428571428571,5471.30985915,0.0318039192303,0.743565743807,0.0571428571429
C0032273,Pneumoconiosis,0.0,0.0,10149.4285714,0.000195117387311,0.484325534977,0.0
C0024796,Marfan Syndrome,0.7,0.4,1529.7,0.0369476216063,0.929050447858,0.5
C0011853,"Diabetes Mellitus, Experimental",0.433636363636,0.0190909090909,2912.59433962,0.00883322978039,0.865569691602,0.0854545454545
C0242422,Parkinsonian Disorders,0.6,0.0833333333333,3283.63636364,0.0886299612875,0.843611175606,0.216666666667
C0011881,Diabetic Nephropathy,0.416666666667,0.0,4015.59459459,0.00316259382757,0.818222002788,0.0
C0085207,Gestational Diabetes,0.0,0.0,9066.58333333,0.000139938990628,0.54928057554,0.0
C0086445,Idiopathic Membranous Glomerulonephritis,0.0,0.0,10397.1875,0.000234208013386,0.528113829442,0.0
C0206698,Cholangiocarcinoma,0.45,0.0833333333333,4124.95833333,0.00872866067537,0.81480208672,0.166666666667
C0020517,Hypersensitivity,0.62380952381,0.114285714286,2915.52380952,0.0780293988539,0.861176264029,0.321428571429
C2936907,NADH:Q(1) Oxidoreductase deficiency,0.9,0.4,1298.7,0.0595147371253,0.947356874216,0.85
C0027092,Myopia,0.166666666667,0.0,8860.31034483,0.00100212007699,0.585059767125,0.0333333333333
C0020452,Hyperemia,0.35,0.1,3798.38461538,0.0123519020796,0.794891849239,0.2
C0040427,Tooth Abnormalities,0.5,0.0,7015.9,0.00228179972506,0.672495010906,0.1
C0020456,Hyperglycemia,0.4,0.0,4548.8,0.00433136994347,0.789802433022,0.1
C0028326,Noonan Syndrome,0.75,0.5,2944.52941176,0.125557356566,0.878486536676,0.7
C0032914,Pre-Eclampsia,0.3,0.0,8121.44444444,0.00400603213709,0.613069316124,0.1
C0024121,Lung Neoplasms,0.371895424837,0.0581699346405,4147.18023256,0.0311181185089,0.806277994013,0.104248366013
C0013604,Edema,0.483333333333,0.0333333333333,2592.16,0.00553713847439,0.887541798254,0.166666666667
C0022665,Kidney Neoplasm,0.466666666667,0.0333333333333,3291.07407407,0.0164092767101,0.840864684936,0.166666666667
C0019829,Hodgkin Disease,0.3,0.0,7664.26666667,0.00100031751398,0.67072347043,0.0
C0001430,Adenoma,0.316666666667,0.0,5681.125,0.00299793678398,0.73746031746,0.0666666666667
C0005944,Metabolic Bone Disorder,0.3,0.0,4257.8,0.00117305613949,0.800582447673,0.0
C0005941,"Bone Diseases, Developmental",0.05,0.0,8903.66666667,0.000273939586123,0.589069103237,0.0
C0027404,Narcolepsy,0.3,0.0,5925.5,0.00279903855573,0.598652444403,0.15
C0042514,"Tachycardia, Ventricular",0.3,0.0,6098.7,0.00222289354375,0.700677588527,0.1
C0027746,Nerve Degeneration,0.491071428571,0.0535714285714,3860.87837838,0.0120148641957,0.823027177635,0.119642857143
C0013421,Dystonia,0.1,0.0,6763.84615385,0.000537980734169,0.661768937987,0.0
C0017668,Focal glomerulosclerosis,0.716666666667,0.166666666667,1328.59090909,0.0192234343304,0.942167014937,0.216666666667
C0853897,Diabetic Cardiomyopathies,0.3,0.0,3305.2,0.00399009924347,0.845384508284,0.2
C0392557,Nuclear cataract,0.5,0.5,2574.33333333,0.142021607652,0.85526804363,0.5
C0236736,Cocaine-Related Disorders,0.455555555556,0.025,4254.84883721,0.00864694163968,0.801926920808,0.118055555556
C0007137,Squamous cell carcinoma,0.479166666667,0.0611111111111,3080.93975904,0.0135636703967,0.856606535811,0.172222222222
C0015695,Fatty Liver,0.455,0.0,3385.91666667,0.00502370537827,0.841081524013,0.08
C0162671,MELAS Syndrome,1.0,0.2,69.7,0.0331713032894,0.996811621107,0.6
C0598608,Hyperhomocysteinemia,0.55,0.0,3412.81818182,0.00255153531654,0.856349206349,0.15
C0162670,Mitochondrial Myopathies,0.5,0.333333333333,4006.83333333,0.117275712131,0.815874746725,0.333333333333
C0236733,Amphetamine-Related Disorders,0.176785714286,0.0142857142857,7449.65753425,0.00274093394459,0.651631986927,0.0392857142857
C0009375,Colonic Neoplasms,0.263461538462,0.0717948717949,4412.664,0.0155346925856,0.794430072812,0.119871794872
C0006111,Brain Diseases,0.183333333333,0.0,7953.81818182,0.00120917603446,0.6347295101,0.0
C0242339,Dyslipidemias,0.55,0.0,4963.9375,0.00728728342489,0.768858223852,0.3
C0032460,Polycystic Ovary Syndrome,0.124761904762,0.0,7390.13793103,0.00180490593472,0.654271125226,0.0204761904762
C0027726,Nephrotic Syndrome,0.6,0.0833333333333,3119.0952381,0.0162445875693,0.835957621347,0.183333333333
C0699790,Colon Carcinoma,0.583333333333,0.1,2957.75,0.00979449777421,0.871851731451,0.2
C0338480,Common Migraine,0.0,0.0,10182.3636364,0.000216740936277,0.502281165878,0.0
C0341106,Eosinophilic esophagitis,0.0,0.0,10955.8125,0.000137476778133,0.491323522585,0.0
C0036202,Sarcoidosis,0.5,0.0,3606.625,0.00257541146334,0.832674950114,0.0
C0023903,Liver neoplasms,0.274545454545,0.0281818181818,6715.18867925,0.0112258882366,0.686593589619,0.0863636363636
