Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0007117,Basal cell carcinoma,0.0833333333333,0.0,9437.36363636,0.000511040664948,0.55420749168,0.0
C0024299,Lymphoma,0.25,0.0,5113.36842105,0.000797346089175,0.773282106045,0.0
C0038587,Substance Withdrawal Syndrome,0.36,0.02,4482.67307692,0.0236958513758,0.789493916144,0.116666666667
C0023473,"Myeloid Leukemia, Chronic",0.45,0.05,4573.95454545,0.00417849973285,0.777960684158,0.0833333333333
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,0.0,10583.9090909,0.000185436515584,0.519284321916,0.0
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.45,0.0,5033.76923077,0.00459348857739,0.796746193836,0.25
C0023186,Learning Disorders,0.133333333333,0.0666666666667,8923.74074074,0.0173296030881,0.563380167209,0.0666666666667
C0265221,Walker-Warburg congenital muscular dystrophy,0.85,0.0,722.769230769,0.00886215444067,0.970147140735,0.35
C0024796,Marfan Syndrome,0.5,0.2,1131.3,0.0242903998567,0.947542581334,0.3
C0009363,Congenital ocular coloboma (disorder),0.15,0.0,9362.58333333,0.00370541443676,0.581517753539,0.1
C2239176,Liver carcinoma,0.253246753247,0.0274891774892,4794.34562212,0.00905872969265,0.775826699854,0.0642857142857
C0024121,Lung Neoplasms,0.330718954248,0.0228758169935,4772.71511628,0.00954488551976,0.776921793267,0.0581699346405
C0346647,Malignant neoplasm of pancreas,0.05,0.0,9366.07692308,0.000240947072157,0.543427404382,0.0
C0020459,Hyperinsulinism,0.3,0.05,6234.8125,0.00348890216433,0.684448261455,0.05
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,0.0,4464.57142857,0.000442104078084,0.792873715612,0.0
C0029463,Osteosarcoma,0.283333333333,0.0916666666667,5901.68571429,0.0076630513147,0.72782346746,0.116666666667
