Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0346153,"Breast Cancer, Familial",0.1,0.0,9408.083333333334,0.0002096564834534953,0.45307495938732895,0.1
C0039231,Tachycardia,0.15,0.0,8991.764705882353,0.0006818717695408854,0.5819568245125348,0.0
C0017601,Glaucoma,0.0,0.0,10200.285714285714,0.00020289292967902228,0.536599569712729,0.0
C0007570,Celiac Disease,0.15833333333333333,0.0,10079.868421052632,0.0006834238613924376,0.5285464783059932,0.0
C0023264,Leigh Disease,0.5916666666666666,0.06666666666666667,4078.3225806451615,0.004547053784599556,0.8189635015020593,0.15833333333333333
C1262477,Weight decreased,0.2,0.0,8921.555555555555,0.0014005997916968509,0.6032011699707507,0.05
C0400966,Non-alcoholic Fatty Liver Disease,0.125,0.0,9533.725,0.0007149471618414755,0.5561707022354417,0.0
C0036920,Sezary Syndrome,0.55,0.08333333333333333,3222.4615384615386,0.0021973343945987473,0.8438228600622357,0.08333333333333333
C0022661,"Kidney Failure, Chronic",0.185,0.09,7563.818181818182,0.007683952912614001,0.6474288802119649,0.11499999999999999
C0242698,"Ventricular Dysfunction, Left",0.1,0.0,11519.4,0.00028468610608032685,0.37543751740785447,0.0
C0023895,Liver diseases,0.2666666666666666,0.0,6915.876923076923,0.002025747058395997,0.6749520308774916,0.030952380952380953
C0263454,Chloracne,0.08333333333333333,0.0,10727.151515151516,0.0006779880284232484,0.5059352350864151,0.0
C0235032,Neurotoxicity Syndromes,0.13333333333333333,0.0,9784.384615384615,0.0006286906760279961,0.5351082934683324,0.0
C0023893,"Liver Cirrhosis, Experimental",0.29909090909090913,0.00909090909090909,5528.719626168225,0.0026602902415578797,0.7451121000211909,0.046363636363636364
C0024301,"Lymphoma, Follicular",0.1,0.05,9947.666666666666,0.0017553149986757992,0.5222538230559682,0.05
C0242488,Acute Lung Injury,0.3,0.0,7964.875,0.0006182993598555337,0.6037126874332669,0.0
C1112705,Nuclear non-senile cataract,0.25,0.0,7744.833333333333,0.0026914610334495197,0.5928498491529357,0.05
C0023891,"Liver Cirrhosis, Alcoholic",0.0,0.0,11954.1875,0.0002034542546074095,0.4436342323940393,0.0
C0917796,"Optic Atrophy, Hereditary, Leber",0.8,0.35,2064.9285714285716,0.01456933179139611,0.9298623682866823,0.7
C0035126,Reperfusion Injury,0.45972222222222225,0.0,3627.6117647058823,0.00390250209642769,0.829139499503229,0.03611111111111111
C1720887,Female Urogenital Diseases,0.05,0.0,9547.444444444445,0.00028784706548696344,0.5595779748363434,0.0
C0087012,"Ataxia, Spinocerebellar",0.25,0.0,9609.733333333334,0.0006021731116956179,0.6053326060718597,0.0
C0018923,Hemangiosarcoma,0.3,0.0,9077.888888888889,0.0013952214217342776,0.5948268257579276,0.15
C0013386,"Dyskinesia, Drug-Induced",0.15,0.0,8332.0,0.0009181721691133672,0.6461563457431992,0.0
C0041948,Uremia,0.3,0.0,7882.64705882353,0.0017161271616161111,0.6053597957288764,0.05
C0020557,Hypertriglyceridemia,0.0,0.0,10506.857142857143,0.00017515894767559703,0.48586315740611796,0.0
C0007873,Uterine Cervical Neoplasm,0.05,0.0,12348.809523809523,0.0002036777104232178,0.43521119675581976,0.0
C0007138,"Carcinoma, Transitional Cell",0.26666666666666666,0.0,6800.354838709677,0.001224657671423407,0.6989984979404751,0.06666666666666667
C0010346,Crohn Disease,0.14027777777777778,0.0125,9221.298850574713,0.0014054193595056906,0.5721445621797858,0.034722222222222224
C1960469,Left ventricular noncompaction,0.1,0.0,10918.166666666666,0.00021898010065938517,0.55416337897424,0.0
C0032927,Precancerous Conditions,0.23809523809523808,0.014285714285714285,6315.04347826087,0.0013617961066644737,0.7002765663227317,0.04285714285714286
C1861172,Venous Thromboembolism,0.06666666666666667,0.0,10172.741935483871,0.0013897663117066572,0.5316396450803679,0.03333333333333333
C1956346,Coronary Artery Disease,0.12857142857142856,0.0,9066.888888888889,0.0011375389307179515,0.574607974761506,0.014285714285714285
C0042900,Vitiligo,0.225,0.0,8466.935483870968,0.00089391612551747,0.6138766298120102,0.0
C0018099,Gout,0.1,0.0,10138.9,0.000266614860116607,0.5294983060286815,0.0
C1384666,hearing impairment,0.05,0.0,10159.314285714287,0.00040100345528553424,0.5177252733636898,0.0
