Disease ID,Disease Name,Fold Mean Rank,Fold Recall-at-25,Fold Mean Average Precision,Fold Recall-at-100,Full Recall-at-50,Fold Recall-at-50,Full Recall-at-25,Full Mean Average Precision,Fold Recall-at-10,Full Recall-at-10,Full Recall-at-100,Fold AUROC,Full Mean Rank,Full AUROC
C0015393,Eye Abnormalities,649.9,0.15,0.0140774891322,0.35,0.0,0.3,0.0,0.00147545881918,0.15,0.0,0.05,0.969888130715,6469.1,0.699767906048
C0242698,"Ventricular Dysfunction, Left",461.95,0.15,0.00736184850714,0.25,0.0,0.15,0.0,0.000750194861376,0.0,0.0,0.0,0.978613870578,4630.85,0.785089592424
C3160731,Pulmonary function (finding),936.4,0.0333333333333,0.0104177512813,0.0666666666667,0.0333333333333,0.0666666666667,0.0333333333333,0.00138729739243,0.0333333333333,0.0,0.0333333333333,0.956594044688,9356.36666667,0.565458881095
C0752166,Bardet-Biedl Syndrome,154.333333333,0.666666666667,0.527841402018,0.766666666667,0.566666666667,0.716666666667,0.566666666667,0.246917298408,0.566666666667,0.566666666667,0.616666666667,0.992905677316,1551.06666667,0.928049931897
C0024668,"Mammary Neoplasms, Experimental",412.605,0.105833333333,0.0466486324794,0.29125,0.0595833333333,0.15875,0.02625,0.00517370020633,0.06625,0.00666666666667,0.0795833333333,0.981100859572,4029.41,0.812138496995
C0002871,Anemia,515.3,0.133333333333,0.0264925268801,0.25,0.0666666666667,0.166666666667,0.0666666666667,0.00351511290542,0.133333333333,0.0,0.1,0.976151440559,5137.76666667,0.761463316458
C0002878,"Anemia, Hemolytic",392.6,0.15,0.0084113257821,0.25,0.0,0.25,0.0,0.000858157866168,0.0,0.0,0.0,0.981828730564,3889.7,0.819512647946
C0011849,Diabetes Mellitus,412.016666667,0.116666666667,0.0590689816833,0.3,0.0833333333333,0.2,0.05,0.0021622529001,0.0833333333333,0.0,0.0833333333333,0.980950500875,4151.16666667,0.807270813012
C0003873,Rheumatoid Arthritis,628.793290043,0.0426406926407,0.0230937684702,0.114069264069,0.00454545454545,0.0664502164502,0.0,0.00229810324218,0.0140692640693,0.0,0.0140692640693,0.971060572598,6164.3034632,0.711737171679
C0428977,Bradycardia,335.5,0.333333333333,0.120871118578,0.5,0.1,0.4,0.1,0.00532924926752,0.2,0.0,0.233333333333,0.984498212047,3353.4,0.844345887707
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,158.9,0.833333333333,0.26251033302,0.866666666667,0.666666666667,0.866666666667,0.45,0.0436779614423,0.766666666667,0.05,0.766666666667,0.992705527171,1570.53333333,0.927139650101
C0027726,Nephrotic Syndrome,441.566666667,0.15,0.00966674336942,0.316666666667,0.0,0.233333333333,0.0,0.000999705293499,0.0,0.0,0.05,0.979568319713,4413.83333333,0.795120573304
