comps,comp_ranking,top_comp_share,top_0.2comp_share,comp_GINI
0.0 0.0 0.0 0.0 0.0 0.08 0.0 0.0 0.25 0.0 0.0 0.0 0.0 0.0 0.29 0.0 0.0 0.0 0.0 0.0 0.06 0.0 0.0 0.0 0.0 0.0 0.0,579,0.4286840928867538,1.0000000000000002,0.89897063457920567
0.0 0.0 0.0 0.0 0.0 0.12 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,9789,0.86859423334564667,1.0,0.95322920247004794
0.0 0.0 0.0 0.0 0.0 0.02 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.02 0.0 0.0 0.03 0.06 0.24 0.0 0.01 0.0 0.13 0.04 0.0 0.02,842,0.39981696031074815,0.85058862330253671,0.82230888898071475
0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.01 0.0 0.01 0.0 0.02,12509,0.34134686659231617,0.86698336198989445,0.83076203321406583
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0,14403,0.44982415821374422,1.0,0.90401057876064916
0.0 0.0 0.0 0.0 0.0 0.06 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.04 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0,9419,0.45964822674938333,0.99999999999999978,0.88653515625776236
0.01 0.01 0.0 0.0 0.0 0.01 0.0 0.02 0.02 0.01 0.02 0.01 0.01 0.11 0.11 0.01 0.03 0.03 0.06 0.05 0.02 0.01 0.0 0.01 0.1 0.0 0.04,149,0.15554292048368645,0.60898257895910191,0.58177005780283786
0.0 0.0 0.01 0.0 0.0 0.01 0.02 0.04 0.0 0.01 0.0 0.0 0.0 0.01 0.03 0.0 0.01 0.01 0.06 0.08 0.0 0.0 0.0 0.03 0.02 0.01 0.05,2135,0.20376649909330086,0.64803098481757104,0.66752516504680259
0.0 0.0 0.0 0.0 0.0 0.0 0.08 0.04 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.05 0.0 0.02 0.0 0.0 0.0 0.0 0.04 0.01 0.04,3507,0.271628501550437,0.81250075260964849,0.78221242418213632
0.1 0.0 0.0 0.01 0.0 0.0 0.07 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17 0.0 0.0 0.13 0.0 0.03 0.02 0.01 0.01 0.01 0.04 0.0 0.01,754,0.28371914364111206,0.84871430984120533,0.7995611078581667
0.0 0.0 0.0 0.0 0.0 0.0 0.07 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.11 0.0 0.0,6240,0.55464374352716217,1.0000000000000002,0.92051390787991938
0.0 0.0 0.0 0.0 0.02 0.0 0.06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.04 0.02 0.0 0.01 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0,6440,0.32123216291393958,0.86900600914763115,0.82496126259151648
0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.02 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.07 0.01 0.03,5859,0.30468058143716092,0.80094218551441532,0.78709594525986792
