Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
34,39,ACAT2,0,67,
168,207,AKT1,1,378,435.0
187,226,ALDOA,0,141,
263,324,APC,1,301,678.0
267,328,APEX1,0,111,
287,351,APP,0,2132,
393,476,ATP1A1,0,160,
498,598,BCL2L1,0,112,
861,1017,CDK2,0,892,
972,1147,CHUK,0,219,
1022,1213,CLTC,0,355,
1160,1387,CREBBP,0,400,
1217,1453,CSNK1D,0,88,
1218,1454,CSNK1E,0,169,
1221,1457,CSNK2A1,0,615,
1249,1487,CTBP1,0,171,
1259,1499,CTNNB1,0,395,
1546,1856,DVL2,0,141,
1603,1936,EEF1D,0,166,
1643,1981,EIF4G1,0,124,
1668,2011,MARK2,0,103,
1687,2033,EP300,0,547,
1893,2273,FHL1,0,42,
1937,2328,FMO3,1,4,16173.0
2115,2597,GAPDH,0,304,
2253,2782,GNB1,0,105,
2280,2810,SFN,0,290,
2338,2885,GRB2,0,1081,
2382,2932,GSK3B,0,362,
2405,2956,MSH6,0,87,
2594,3178,HNRNPA1,0,701,
2708,3308,HSPA4,0,366,
2709,3309,HSPA5,0,517,
2768,55178,MRM3,0,39,
2881,3551,IKBKB,0,224,
3422,4163,MCC,1,306,223.0
3429,4174,MCM5,0,302,
3443,4190,MDH1,0,45,
3601,4436,MSH2,0,132,
3715,4595,MUTYH,1,11,640.0
3746,4628,MYH10,0,99,
3878,4780,NFE2L2,0,82,
3884,4790,NFKB1,0,277,
3985,4913,NTHL1,1,21,1843.0
4008,4942,OAT,0,54,
4084,5037,PEBP1,0,67,
4145,5111,PCNA,0,390,
4188,5162,PDHB,0,67,
4477,5515,PPP2CA,0,262,
4479,5518,PPP2R1A,0,298,
4644,5705,PSMC5,0,202,
4646,5707,PSMD1,0,135,
4666,5730,PTGDS,0,36,
4677,5743,PTGS2,1,47,7031.0
4956,6117,RPA1,0,494,
4957,6118,RPA2,0,471,
5017,6189,RPS3A,0,395,
5413,6648,SOD2,1,114,6824.0
5487,6733,SRPK2,0,460,
5517,6768,ST14,0,17,
5550,6801,STRN,0,74,
5729,7020,TFAP2A,0,98,
5739,7031,TFF1,0,23,
5791,7086,TKT,0,154,
5855,7157,TP53,0,1001,
5866,7169,TPM2,0,103,
5868,7171,TPM4,0,92,
5981,7316,UBC,0,1647,
6008,7345,UCHL1,0,63,
6068,7415,VCP,0,610,
6078,7428,VHL,0,466,
6162,7531,YWHAE,0,426,
6163,7532,YWHAG,0,542,
6165,7534,YWHAZ,0,662,
6741,8454,CUL1,0,763,
6792,8517,IKBKG,0,465,
7064,8826,IQGAP1,0,284,
7298,9126,SMC3,0,144,
7937,9869,SETDB1,0,161,
8881,10987,COPS5,0,828,
8898,11009,IL24,0,27,
9158,11331,PHB2,0,325,
10200,79159,NOL12,0,93,
10829,112858,TP53RK,0,53,
11516,155465,AGR3,0,22,
13295,84254,CAMKK1,0,31,
13406,51608,GET4,0,61,
15774,22794,CASC3,0,39,
15893,22919,MAPRE1,0,177,
15988,23020,SNRNP200,0,377,
16107,55914,ERBIN,0,99,
16241,23291,FBXW11,0,403,
16445,23513,SCRIB,0,60,
17601,90678,LRSAM1,0,67,
18518,26585,GREM1,1,3,20434.0
18986,27343,POLL,0,58,
19029,27429,HTRA2,0,68,
19879,4869,NPM1,0,746,
20154,29888,STRN4,0,79,
20220,29966,STRN3,0,80,
20857,64210,MMS19,0,193,
21378,65125,WNK1,0,217,
