Node ID,Protein ID,Protein Name,Disease Node,Degree
1,2,,0,105
6,10,,0,24
7,12,,0,33
13,18,,0,46
20,25,,0,389
22,27,,0,52
25,30,,0,54
26,31,,0,84
29,34,,0,88
30,35,,0,38
31,36,,0,47
33,38,,0,80
39,22915,,0,14
42,48,,0,23
45,51,,0,51
51,58,,0,200
52,59,,0,95
53,60,,0,466
59,70,,0,65
60,71,,0,187
65,81,,0,153
66,86,,0,155
67,87,,0,164
68,88,,0,105
77,98,,0,13
81,102,,0,27
82,103,,0,75
105,128,,0,42
117,142,,0,286
129,154,,0,276
131,156,,0,101
135,160,,0,121
137,162,,0,93
138,163,,0,127
139,164,,0,62
149,178,,0,56
154,185,,0,42
161,196,,0,49
167,205,,0,16
168,207,,0,378
169,208,,0,129
178,217,,0,80
180,219,,0,83
187,226,,0,141
190,230,,0,94
191,231,,0,63
195,238,,1,98
210,259,,0,20
213,267,,0,113
220,274,,0,70
228,283,,0,11
237,292,,0,335
241,301,,0,169
242,302,,0,200
249,309,,0,107
250,310,,0,142
251,311,,0,52
256,317,,0,26
261,322,,0,95
263,324,,1,301
267,328,,0,111
268,329,,0,142
269,330,,0,87
270,331,,0,164
271,332,,1,44
286,350,,0,36
287,351,,0,2132
290,355,,0,121
291,356,,1,108
301,367,,0,301
303,369,,0,104
306,373,,0,265
307,374,,1,15
310,378,,0,48
311,379,,0,22
313,382,,0,143
316,387,,0,185
317,388,,0,34
323,394,,0,18
325,396,,0,100
329,400,,0,24
337,408,,0,314
338,409,,0,366
356,65970,,0,129
360,440,,0,82
364,445,,0,92
383,229841,,0,83
385,467,,1,63
386,468,,0,89
389,472,,0,218
393,476,,0,160
395,478,,0,78
403,488,,0,84
413,498,,0,213
416,501,,0,75
418,506,,0,158
421,509,,0,194
427,515,,0,100
435,525,,0,97
453,545,,0,134
455,547,,0,38
464,558,,1,30
472,571,,0,51
473,572,,0,70
474,573,,0,82
482,581,,0,86
495,595,,0,112
496,596,,0,136
498,598,,0,112
502,602,,0,52
503,604,,0,158
509,613,,0,97
524,634,,0,26
527,637,,0,62
529,639,,0,29
530,640,,0,77
531,641,,0,100
537,648,,0,399
549,660,,0,32
554,665,,0,44
558,669,,0,30
561,672,,0,609
562,673,,1,63
