Node ID,Protein ID,Protein Name,Disease Node,Degree
25,30,,0,54
29,34,,0,88
30,35,,0,38
31,36,,0,47
45,51,,0,51
287,351,,0,2132
698,834,,0,63
711,847,,0,66
1108,1327,,0,67
1109,1329,,0,70
1113,1337,,0,18
1114,1339,,0,20
1115,1340,,0,38
1119,1345,,0,27
1120,1346,,0,15
1121,1347,,0,23
1123,1349,,0,18
1124,1350,,0,16
1125,1351,,0,20
1290,1537,,0,146
1622,1958,,0,57
1626,1962,,0,113
1683,2027,,0,52
1750,2110,,0,65
2333,2876,,0,34
2334,2877,,0,23
2335,2878,,0,21
2336,2879,,0,53
2535,3106,,0,333
2695,3295,,0,72
2727,3336,,0,137
2882,3552,,1,19
2883,3553,,1,25
2884,3554,,0,29
2885,3556,,0,24
3267,3981,,0,135
3355,4089,,0,302
3444,4191,,0,59
3653,4512,,0,44
3654,4513,,0,69
3655,4514,,1,25
3659,4519,,0,73
3671,4535,,1,83
3672,4536,,0,63
3674,4538,,1,48
3675,4539,,0,54
3676,4540,,1,30
3677,4541,,1,56
3729,4609,,0,583
3805,4694,,0,60
3806,4695,,0,110
3807,4696,,0,61
3808,4697,,0,107
3809,4698,,0,72
3811,4700,,0,62
3812,4701,,0,119
3813,4702,,0,80
3815,4704,,0,97
3816,4705,,0,89
3817,4706,,0,87
3818,4707,,0,58
3819,4708,,0,58
3820,4709,,0,58
3821,4710,,0,79
3822,4711,,0,75
3823,4712,,0,67
3824,4713,,0,75
3825,4714,,0,92
3826,4715,,0,95
3827,4716,,0,77
3828,4717,,0,52
3829,4718,,0,59
3830,4719,,1,114
3831,4720,,0,90
3833,4722,,0,106
3834,4723,,0,108
3835,4724,,0,97
3836,4725,,0,80
3837,4726,,0,85
3839,4728,,0,89
3840,4729,,0,86
3841,4731,,0,79
4008,4942,,0,54
4084,5037,,0,67
4095,5052,,0,154
5412,6647,,1,199
5413,6648,,1,114
5432,6667,,0,441
5712,7001,,0,118
5791,7086,,0,154
5981,7316,,0,1647
6040,7381,,0,111
6041,7384,,0,120
6042,7385,,0,193
6043,7386,,0,132
6045,7388,,0,92
6362,7850,,0,4
6750,170712,,0,15
7335,9167,,0,23
7379,9218,,0,224
7504,9377,,0,66
8676,10730,,0,38
8835,10935,,0,86
8871,10975,,0,73
9145,11315,,0,81
9828,51295,,0,112
10315,374291,,0,75
10608,341947,,0,24
11197,80724,,0,44
11202,15194,,0,79
12933,51079,,0,94
12956,51103,,0,39
13135,51300,,0,55
13185,84129,,0,53
13651,84701,,0,19
15004,54539,,0,67
15412,69253,,0,60
16159,55967,,0,86
17992,25824,,0,80
18759,27034,,0,65
18796,27089,,0,134
19139,125965,,0,18
19226,257202,,0,35
19331,126328,,0,64
19760,28976,,0,64
20101,29796,,0,80
