Node ID,Protein ID,Protein Name,Disease Node,Degree
20,25,ABL1,0,389
22,27,ABL2,0,52
25,30,ACAA1,0,54
26,31,ACACA,0,84
29,34,ACADM,0,88
30,35,ACADS,0,38
31,36,ACADSB,0,47
33,38,ACAT1,0,80
41,47,ACLY,0,74
45,51,ACOX1,0,51
65,81,ACTN4,0,153
67,87,ACTN1,0,164
138,163,AP2B1,0,127
169,208,AKT2,0,129
174,213,ALB,0,200
178,217,ALDH2,0,80
180,219,ALDH1B1,0,83
210,259,AMBP,0,20
224,278,AMY1C,0,21
241,301,ANXA1,0,169
268,329,BIRC2,0,142
269,330,BIRC3,1,87
274,335,APOA1,0,102
277,338,APOB,1,69
287,351,APP,0,2132
301,367,AR,0,301
308,375,ARF1,0,99
335,406,ARNTL,0,38
341,412,STS,1,25
360,440,ASNS,0,82
388,471,ATIC,0,75
389,472,ATM,0,218
393,476,ATP1A1,0,160
403,488,ATP2A2,0,84
449,540,ATP7B,1,15
496,596,BCL2,0,136
523,633,BGN,0,17
561,672,BRCA1,0,609
574,688,KLF5,0,62
618,123,PLIN2,1,5
676,811,CALR,0,158
681,817,CAMK2D,0,86
685,821,CANX,0,208
687,823,CAPN1,0,110
690,826,CAPNS1,0,63
698,834,CASP1,0,63
700,836,CASP3,0,183
704,840,CASP7,0,86
705,841,CASP8,0,196
706,842,CASP9,0,60
711,847,CAT,1,66
719,857,CAV1,0,220
723,861,RUNX1,0,102
732,871,SERPINH1,0,91
747,891,CCNB1,0,161
827,983,CDK1,0,415
837,993,CDC25A,0,64
861,1017,CDK2,0,892
863,1019,CDK4,0,203
865,1021,CDK6,0,160
868,1024,CDK8,0,137
891,1050,CEBPA,0,132
892,1051,CEBPB,1,123
903,1063,CENPF,0,44
911,1072,CFL1,0,166
931,1104,RCC1,0,108
935,1108,CHD4,0,153
972,1147,CHUK,0,219
1004,1191,CLU,0,123
1066,1281,COL3A1,1,18
1158,1385,CREB1,0,198
1159,1386,ATF2,0,247
1160,1387,CREBBP,0,400
1173,1401,CRP,0,28
1197,1432,MAPK14,0,329
1199,1434,CSE1L,0,119
1221,1457,CSNK2A1,0,615
1223,1459,CSNK2A2,0,341
1235,1472,CST4,0,17
1256,1495,CTNNA1,0,90
1273,1514,CTSL,0,45
1285,1528,CYB5A,0,25
1290,1537,CYC1,0,146
1294,1543,CYP1A1,0,92
1295,1544,CYP1A2,0,30
