Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0006625,Cachexia,0.4,0.0,4462.2,0.00180954770325,4813.4,0.792950294705,0.0
C0025261,Memory Disorders,0.325,0.0,4808.66666667,0.00253706536597,5586.94444444,0.770271285411,0.075
C0007370,Catalepsy,0.8,0.3,1093.93333333,0.187093416751,5024.2,0.952383715532,0.45
C1333990,Hereditary Nonpolyposis Colorectal Cancer,0.55,0.35,1654.0,0.190272785142,5118.38461538,0.924303750464,0.35
C0014544,Epilepsy,0.27380952381,0.0285714285714,5547.68253968,0.00609978822985,6643.9047619,0.74382729178,0.0785714285714
C0023487,Acute Promyelocytic Leukemia,0.516666666667,0.0833333333333,3610.06896552,0.0234438781486,4797.96551724,0.823810850985,0.183333333333
C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,0.65,0.0,1616.18181818,0.00427296011681,8240.0,0.928176923791,0.1
C0003130,Anoxia,0.4,0.025,3250.03125,0.00404591777434,3847.5,0.84410181959,0.025
C1449861,"Micronuclei, Chromosome-Defective",0.6,0.0,4369.61111111,0.00389135659756,4693.27777778,0.80942244301,0.1
C0023434,Chronic Lymphocytic Leukemia,0.26,0.02,6021.32653061,0.00636944146903,8457.81632653,0.716164450437,0.08
C1956346,Coronary Artery Disease,0.159523809524,0.0142857142857,6704.61904762,0.0156799342294,7347.53968254,0.689694355457,0.0309523809524
C1861172,Venous Thromboembolism,0.358333333333,0.166666666667,6796.19354839,0.0591752258994,8595.5483871,0.68895579764,0.3
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",0.22625,0.0133333333333,6057.57142857,0.00697421880931,5909.78571429,0.71769747037,0.0645833333333
C0029401,Osteitis Deformans,0.375,0.0,4814.625,0.00162860190941,8285.0,0.775198385076,0.0
C0018798,Congenital Heart Defects,0.291666666667,0.0583333333333,4434.22857143,0.00448005820255,6094.74285714,0.800048787287,0.116666666667
