Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C1960469,Left ventricular noncompaction,0.45,0.05,2665.25,0.00597771960889,0.854889765607,0.1
C0403553,Renal dysplasia and retinal aplasia (disorder),0.8,0.5,2314.4,0.0980831835656,0.903283519748,0.5
C0027765,nervous system disorder,0.313333333333,0.0,4783.17647059,0.00264168716084,0.776036144952,0.04
C0740392,"Infarction, Middle Cerebral Artery",0.516666666667,0.0,2745.52,0.006700768172,0.876155644312,0.233333333333
C0015967,Fever,0.3,0.0,7382.55,0.00422075471746,0.629140548823,0.15
C0002736,Amyotrophic Lateral Sclerosis,0.192857142857,0.05,6619.46153846,0.00599153312594,0.695273767426,0.0809523809524
C0023891,"Liver Cirrhosis, Alcoholic",0.6,0.0,4515.375,0.00281198254647,0.800905250453,0.0
C0027404,Narcolepsy,0.3,0.0,5884.11111111,0.00220189111115,0.600383026139,0.1
C0001418,Adenocarcinoma,0.413636363636,0.0481818181818,3937.23584906,0.0286137168446,0.814975504427,0.132727272727
C0003504,Aortic Valve Insufficiency,0.9,0.35,226.636363636,0.0457513984715,0.988663789102,0.7
C0242488,Acute Lung Injury,0.35,0.0,2513.4375,0.00152829259709,0.886825124182,0.0
C0017661,IGA Glomerulonephritis,0.153931339978,0.00232558139535,5672.30769231,0.00579859265812,0.732557792287,0.0162790697674
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.65,0.15,3695.69230769,0.0150999689832,0.860900946899,0.45
C0009952,Febrile Convulsions,0.15,0.0,10477.0,0.00220731188156,0.477668708809,0.1
C0524851,Neurodegenerative Disorders,0.358333333333,0.05,5757.37837838,0.033272217316,0.717062809789,0.15
C0752347,Lewy Body Disease,0.5,0.1,2956.84210526,0.0229900312413,0.869558454824,0.35
C0008370,Cholestasis,0.441666666667,0.0,3673.38461538,0.00537735345461,0.833238645165,0.1
C0004763,Barrett Esophagus,0.3,0.0,5684.07142857,0.00274309514051,0.704862368287,0.1
C0020672,"Hypothermia, natural",0.4,0.05,4608.75,0.00941871145568,0.79188906939,0.25
C0011881,Diabetic Nephropathy,0.416666666667,0.0,3992.62162162,0.00317955437961,0.818679716543,0.025
C0007131,Non-Small Cell Lung Carcinoma,0.340909090909,0.044696969697,4475.53153153,0.0186837682244,0.791412504698,0.0712121212121
C0018824,Heart valve disease,0.566666666667,0.0,2387.875,0.00351445847204,0.876832458707,0.0333333333333
C0497327,Dementia,0.2,0.0,5452.4,0.000623049170308,0.755248990579,0.0
C0349639,Juvenile Myelomonocytic Leukemia,0.65,0.15,2055.42105263,0.0165653389389,0.908628934906,0.35
C0017668,Focal glomerulosclerosis,0.716666666667,0.166666666667,1345.13636364,0.018709336861,0.941787013389,0.216666666667
C0003130,Anoxia,0.4,0.025,3109.625,0.00494366155419,0.850842044135,0.0583333333333
C0030567,Parkinson Disease,0.23,0.0,6015.48958333,0.00307166187828,0.719386225142,0.0511111111111
C1319853,"Asthma, Aspirin-Induced",0.25,0.05,8354.46153846,0.00569782884044,0.538638367991,0.15
C0004936,Mental disorders,0.5,0.0,4816.54545455,0.00425866031391,0.724085677156,0.2
C0520459,Necrotizing Enterocolitis,0.6,0.0,3422.23529412,0.00677771554426,0.858447075209,0.3
C0376358,Malignant neoplasm of prostate,0.159523809524,0.0309523809524,6686.14285714,0.0166860592798,0.687593326155,0.047619047619
C1720887,Female Urogenital Diseases,0.4,0.05,4106.72222222,0.0057226805568,0.818988810994,0.1
C0011609,Drug Eruptions,0.35,0.0,4469.44444444,0.00144356062412,0.753749013418,0.0
C0005283,beta Thalassemia,0.4,0.2,6878.1,0.0269292447045,0.653615352485,0.2
C0020473,Hyperlipidemia,0.6,0.05,2423.70588235,0.0163874088859,0.892510445682,0.35
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,0.49,0.075,4014.58139535,0.0114907796536,0.817142558334,0.14
C0024809,Marijuana Abuse,0.3,0.2,5921.9,0.0630518114518,0.713760616327,0.2
C0042109,Urticaria,0.4,0.0,4232.5,0.00313901181666,0.818752611299,0.1
C0003469,Anxiety Disorders,0.316666666667,0.05,4551.26470588,0.0154953880079,0.783772592111,0.0833333333333
C0346647,Malignant neoplasm of pancreas,0.0,0.0,6889.30769231,0.000256086607899,0.644239695507,0.0
C0400966,Non-alcoholic Fatty Liver Disease,0.25,0.0,6452.05,0.00147984407114,0.69907979737,0.0
C0003811,Cardiac Arrhythmia,0.25,0.05,6412.9,0.0144788837161,0.686552212472,0.1
C0887833,"Carcinoma, Pancreatic Ductal",0.6,0.1,2762.8,0.0178401655127,0.871786924827,0.4
C0043459,Zellweger Syndrome,1.0,0.9,11.3333333333,0.416515460206,0.999442948658,1.0
C0014170,Endometrial Neoplasms,0.4,0.04,2715.56,0.0272468242906,0.873875482401,0.1
C0018995,Hemochromatosis,0.6,0.5,3911.83333333,0.0580526211489,0.750601067533,0.5
C0029463,Osteosarcoma,0.35,0.0583333333333,4225.94285714,0.0179552165208,0.801425479354,0.141666666667
C0026603,Motion Sickness,0.3,0.0,7072.85714286,0.00149176743579,0.643177598292,0.0
C0027726,Nephrotic Syndrome,0.55,0.0833333333333,3151.47619048,0.0138878989141,0.834413694898,0.183333333333
C0149925,Small cell carcinoma of lung,0.325,0.125,5290.2,0.0350630400401,0.755644374216,0.175
C0023343,Leprosy,0.2,0.0,7828.66666667,0.00123157933643,0.607898463253,0.05
C0018621,Hay fever,0.1,0.0,10548.2,0.000199631512838,0.495544623381,0.0
C0039231,Tachycardia,0.4,0.2,3890.23529412,0.0418570149139,0.792325905292,0.4
C0042900,Vitiligo,0.166666666667,0.0333333333333,6274.03225806,0.0041331646247,0.706552928242,0.1
C0038358,Gastric ulcer,0.25,0.0,4426.77777778,0.000707906677845,0.784244858164,0.0
C0020445,"Hypercholesterolemia, Familial",0.75,0.3,1767.3125,0.0330786632164,0.921083050926,0.6
C0346153,"Breast Cancer, Familial",0.9,0.6,977.083333333,0.358827987776,0.947071246229,0.7
C3160718,"PARKINSON DISEASE, LATE-ONSET",0.3,0.0,3351.3125,0.00199900152911,0.797627779583,0.0
C1261502,Finding of Mean Corpuscular Hemoglobin,0.15,0.1,6843.73333333,0.00522072546648,0.677361665584,0.15
C0600467,Neurogenic Inflammation,0.4,0.1,6430.5,0.00724554280504,0.705855186818,0.2
C0860207,Drug-Induced Liver Injury,0.37803030303,0.025,4608.19327731,0.00928981074061,0.784975277545,0.101515151515
C0149721,Left Ventricular Hypertrophy,0.583333333333,0.183333333333,2329.375,0.0222160637828,0.901718292853,0.316666666667
C1449861,"Micronuclei, Chromosome-Defective",0.6,0.05,4452.33333333,0.00642849707558,0.80622359441,0.1
C0007134,Renal Cell Carcinoma,0.265384615385,0.00833333333333,5364.07438017,0.00552900895161,0.75023100966,0.0660256410256
C0009319,Colitis,0.333333333333,0.0333333333333,5194.25,0.00375024142039,0.769780491958,0.116666666667
C0005695,Bladder Neoplasm,0.283636363636,0.0763636363636,5305.03773585,0.0400041509389,0.751374337285,0.0954545454545
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",0.5,0.2,3864.6,0.0282061731196,0.756987051562,0.4
C0024141,"Lupus Erythematosus, Systemic",0.266071428571,0.0142857142857,5853.44594595,0.00369937392527,0.723874608494,0.0535714285714
C1861063,"TOBACCO ADDICTION, SUSCEPTIBILITY TO (finding)",0.3,0.3,7183.8,0.116716418533,0.572676010582,0.3
C0027051,Myocardial Infarction,0.354166666667,0.0222222222222,3875.37209302,0.00623212445331,0.821938441515,0.0583333333333
C0279626,Squamous cell carcinoma of esophagus,0.484722222222,0.0375,3499.96341463,0.0218995824114,0.837001552192,0.0986111111111
C0079773,"Lymphoma, T-Cell, Cutaneous",0.766666666667,0.05,922.142857143,0.0157070598492,0.956454309064,0.05
C0007621,Neoplastic Cell Transformation,0.422222222222,0.0597222222222,3111.31707317,0.02681564111,0.853101862631,0.144444444444
C0042514,"Tachycardia, Ventricular",0.3,0.0,6144.9,0.00146169506814,0.69853343853,0.0
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.35,0.065,5432.46808511,0.00600105945094,0.747364249186,0.085
C0206062,"Lung Diseases, Interstitial",0.0,0.0,9070.73333333,0.000195789915236,0.587468665862,0.0
C0022665,Kidney Neoplasm,0.416666666667,0.1,3248.37037037,0.0423097475563,0.842836352377,0.166666666667
C0033860,Psoriasis,0.359523809524,0.0619047619048,6014.0625,0.0226005721237,0.723786980479,0.138095238095
C0036095,Salivary Gland Neoplasms,0.24,0.0,6250.25,0.0010765938642,0.714866940919,0.0
C0424295,Hyperactive behavior,0.733333333333,0.0333333333333,2383.46666667,0.0102035347257,0.879943017296,0.266666666667
C0015934,Fetal Growth Retardation,0.3,0.0,4160.3,0.00164264943795,0.806966166984,0.0
C0024305,"Lymphoma, Non-Hodgkin",0.416666666667,0.183333333333,3977.0,0.0344084455883,0.815915176844,0.283333333333
C0024301,"Lymphoma, Follicular",0.366666666667,0.0,5502.0952381,0.00183519543778,0.739645245171,0.05
C0040028,"Thrombocythemia, Essential",0.6,0.15,3253.33333333,0.152750490353,0.822652587607,0.25
C0003864,Arthritis,0.0,0.0,10431.7777778,0.000114038535316,0.465487902976,0.0
C0001430,Adenoma,0.316666666667,0.0333333333333,5672.28125,0.00746777606326,0.73837398374,0.0666666666667
C0014544,Epilepsy,0.240476190476,0.0285714285714,5637.23809524,0.0091796255227,0.74029009203,0.0785714285714
C0079541,Holoprosencephaly,0.375,0.125,5230.625,0.0177610257806,0.707297902455,0.25
C0007137,Squamous cell carcinoma,0.468055555556,0.0736111111111,3122.6626506,0.0161342326663,0.854812893887,0.183333333333
C0035126,Reperfusion Injury,0.522222222222,0.0708333333333,2175.74117647,0.0121584340082,0.899855043778,0.1625
C0037268,Skin Abnormalities,0.1,0.0,8137.3,0.00039054660752,0.638086508563,0.0
C0018843,Heat Stroke,0.9,0.6,473.583333333,0.33993954376,0.986221861221,0.7
C0018923,Hemangiosarcoma,0.9,0.15,2180.0,0.0225870636266,0.901144435675,0.45
C0013182,Drug Allergy,0.35,0.0583333333333,7324.65714286,0.00632285389569,0.673812261872,0.15
C1840235,SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR,0.4,0.0,6036.71428571,0.0055447195434,0.718501369354,0.15
C0025149,Medulloblastoma,0.53,0.025,2634.15909091,0.00585575737024,0.878512643518,0.095
C0677886,Epithelial ovarian cancer,0.05,0.0,7575.84210526,0.000991138880407,0.627095134181,0.05
C0993582,"Arthritis, Experimental",0.491666666667,0.125,3612.17948718,0.0859573929829,0.828825092171,0.2
C0008925,Cleft Palate,0.6,0.225,2337.775,0.0550608922182,0.89146895478,0.25
C0151786,Muscle Weakness,0.121111111111,0.0111111111111,7876.49450549,0.00223135925752,0.633277948591,0.0433333333333
C0027643,"Neoplasm Recurrence, Local",0.45,0.1,3764.58333333,0.0219158374973,0.834584126689,0.133333333333
C0004114,Astrocytoma,0.633333333333,0.3,1121.08333333,0.103098244506,0.950832056224,0.416666666667
