Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0268583,Methylmalonic acidemia,0.2,4068.0,0.01439438105514288,9400.3,0.7857474358379356,0.4
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,4794.142857142857,4.6401559092385505e-05,3917.285714285714,0.4751276102088168,0.0
C0006142,Malignant neoplasm of breast,0.016666666666666666,8293.90322580645,0.0038923822001468455,9173.516129032258,0.5831782585097309,0.06666666666666667
C0023467,"Leukemia, Myelocytic, Acute",0.0,5100.460176991151,0.0025270342852586887,5521.58407079646,0.601547653366344,0.04318181818181818
C0010606,Adenoid Cystic Carcinoma,0.042222222222222223,6616.434343434344,0.005872087909542918,8656.151515151516,0.6452809105125257,0.06222222222222222
C1956346,Coronary Artery Disease,0.016666666666666666,7219.380952380952,0.002922364952097888,7347.539682539683,0.5606956204832356,0.05
C0027643,"Neoplasm Recurrence, Local",0.0,4270.416666666667,0.004864988283417875,5191.708333333333,0.7303170327714051,0.11666666666666665
C0040136,Thyroid Neoplasm,0.0,3243.151515151515,0.004397888683839049,4833.666666666667,0.7228043888992133,0.125
C0243026,Sepsis,0.0,2245.4761904761904,0.004295894954081967,3095.3333333333335,0.6611967558197126,0.1
C0175702,Williams Syndrome,0.1,5476.8,0.006611560741595833,7180.7,0.675203044507356,0.1
C1262477,Weight decreased,0.0,2535.6111111111113,0.0028792468148183537,5415.5,0.7035934815915317,0.05
C1269683,Major Depressive Disorder,0.0,6729.0,0.0010319389367220609,7192.032258064516,0.5752152435814054,0.03333333333333333
C0030319,Panic Disorder,0.0,5917.625,0.00017918417952371887,5225.875,0.5355294909276532,0.0
C0022548,Keloid,0.11666666666666665,3429.6060606060605,0.01740850112687766,4772.393939393939,0.7088277426748435,0.18333333333333332
C0024305,"Lymphoma, Non-Hodgkin",0.18333333333333332,3887.181818181818,0.023650216564969198,4602.272727272727,0.6910664809225293,0.2833333333333333
C0238463,Papillary thyroid carcinoma,0.1,4016.3076923076924,0.031429797352425855,5515.153846153846,0.7111157555772297,0.13333333333333333
C0025958,Microcephaly,0.15,5506.478260869565,0.07585622914138496,7957.652173913043,0.6715310671496239,0.15
C0006625,Cachexia,0.0,3382.0,0.0020612045614829475,4813.4,0.6810600083538312,0.0
C0567312,Menopause present (finding),0.0,10120.529411764706,0.00014440038591894,10487.823529411764,0.49990018570102135,0.0
C0026636,Mouth Diseases,0.0,7201.083333333333,0.0032205056509939803,8335.166666666666,0.6039754003249014,0.1
C0043094,Weight Gain,0.0,6702.272727272727,0.002895888478670578,7818.102272727273,0.591020547714793,0.06666666666666667
C0021364,Male infertility,0.025,4850.162790697675,0.007505973590122691,5119.209302325581,0.6485381611973599,0.12
C0339535,"Night blindness, congenital stationary",0.1,6303.818181818182,0.01701716563577712,9828.09090909091,0.7328622482131254,0.3
C0020517,Hypersensitivity,0.1,2219.6984126984125,0.04986485126620775,5313.31746031746,0.7942755896440646,0.32619047619047625
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.0,3022.285714285714,0.005362227465732957,4593.9047619047615,0.8197111812778604,0.2
C0455806,Infant length,0.0,9739.727272727272,0.0007679945028417219,12677.818181818182,0.6263482781026641,0.0
C0236969,Substance-Related Disorders,0.0,8698.961904761905,0.0008673191526418055,9337.923809523809,0.5486613666028173,0.0
C0005138,Berylliosis,0.0,3754.4444444444443,4.640586570142466e-05,2980.3333333333335,0.4751717096714312,0.0
C0024301,"Lymphoma, Follicular",0.0,4732.190476190476,0.0015995946327738938,5688.9047619047615,0.6838665490341753,0.0
C1136249,"Mental Retardation, X-Linked",0.0,7722.833333333333,0.0004849681796471737,7627.666666666667,0.5515065694786202,0.0
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.02857142857142857,6437.140845070423,0.031039885457189713,8051.605633802817,0.6454187776758288,0.07142857142857142
C1260899,"Anemia, Diamond-Blackfan",0.1,1393.8,0.03628631203381334,5637.733333333334,0.945852288552595,0.9
C0036346,"Schizophrenia, Childhood",0.0,10329.666666666666,6.962603088540491e-05,9868.466666666667,0.47529245195432185,0.0
C0001430,Adenoma,0.0,3737.5,0.002283197765577357,4462.59375,0.6361447928765002,0.03333333333333333
C0013604,Edema,0.0,2774.76,0.0030781336749683393,4430.76,0.6849007678494023,0.05
C0037268,Skin Abnormalities,0.0,6979.7,0.00036539181284441814,6525.5,0.5262449528936742,0.0
C0009241,Cognition Disorders,0.0,7012.173913043478,0.0009930873763443423,6636.565217391304,0.5264651249187333,0.05
C0993582,"Arthritis, Experimental",0.125,2656.5384615384614,0.0560517945967078,4101.051282051282,0.7266370015800725,0.175
C0279626,Squamous cell carcinoma of esophagus,0.0375,3997.5243902439024,0.00850937236526238,5373.90243902439,0.7108404798861726,0.11111111111111112
C0339527,Leber Congenital Amaurosis,0.0,9404.0,0.0004429248615264622,9600.190476190477,0.5175914747399701,0.0
C0085580,Essential Hypertension,0.0,3403.3076923076924,0.0012630579998811132,4087.3846153846152,0.7253852580764946,0.0
C0038644,Sudden infant death syndrome,0.1,4864.75,0.009513655796150053,5363.666666666667,0.6561545602227895,0.25
C0028326,Noonan Syndrome,0.25,3171.8823529411766,0.057252965743918395,5828.705882352941,0.8653133704735374,0.5
