Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0175702,Williams Syndrome,0.0,4505.3,0.001788690607920556,7180.7,0.7909546572608716,0.0
C0037769,West Syndrome,0.0,7475.0,0.0016964510434960924,7560.333333333333,0.630658713211401,0.05
C3495559,Juvenile arthritis,0.016666666666666666,6515.9672131147545,0.005062691188627838,7322.868852459016,0.6958617585664472,0.04935897435897436
C0243026,Sepsis,0.1,4407.761904761905,0.10117734789896524,3095.3333333333335,0.7932504488608221,0.1
C0020459,Hyperinsulinism,0.15,4246.1875,0.032346085549355294,3295.1875,0.806769648577132,0.25
C0242350,Erectile dysfunction,0.2,1830.4,0.20115145781566968,4285.5,0.9150949088040099,0.2
C0282527,Infantile Refsum Disease (disorder),1.0,6.769230769230769,0.6073464912280702,6494.384615384615,0.9997748793167471,1.0
C0030567,Parkinson Disease,0.021111111111111112,6583.520833333333,0.005918072658036023,6903.958333333333,0.6942165892652822,0.042222222222222223
C0035126,Reperfusion Injury,0.07222222222222222,2737.9764705882353,0.00927538415158359,4344.588235294118,0.874301092378705,0.11944444444444444
C0235032,Neurotoxicity Syndromes,0.0,5948.576923076923,0.0010435316779139475,4365.307692307692,0.7304402179802765,0.0
C0034069,Pulmonary Fibrosis,0.13999999999999999,1980.2083333333333,0.04122273482439075,4469.083333333333,0.9108164024361896,0.35
C0677886,Epithelial ovarian cancer,0.0,8013.0526315789475,0.0011204509078112344,9204.157894736842,0.6121355279041695,0.05
C0014170,Endometrial Neoplasms,0.06000000000000001,3365.38,0.015386611321382295,6660.2,0.8436611335844143,0.1
C0032273,Pneumoconiosis,0.0,9533.142857142857,0.0002546431803983378,8370.785714285714,0.5173652694610779,0.0
C0004763,Barrett Esophagus,0.0,5465.357142857143,0.0033950238440074608,5975.0,0.7663672654690619,0.1
C2937358,Cerebral Hemorrhage,0.13333333333333333,2480.714285714286,0.029291317980616,4737.428571428572,0.8787263690835617,0.4833333333333333
C0017658,Glomerulonephritis,0.1,1849.5,0.0248616437118806,4482.107142857143,0.9169174911359871,0.31666666666666665
C0005684,Malignant neoplasm of urinary bladder,0.1,6955.1875,0.01909850855183186,9225.375,0.6810976742026832,0.1
C0018923,Hemangiosarcoma,0.1,2580.6666666666665,0.058242609375094324,4103.055555555556,0.8801812990389527,0.2
C1843367,Poor school performance,0.0,7751.384615384615,0.00028510800819602167,11848.0,0.6268462216858521,0.0
C0020437,Hypercalcemia,0.0,2844.1,0.0031163591589481554,5568.3,0.851684689283891,0.1
C0273115,Lung Injury,0.0,4530.6,0.001669019314158628,4596.2,0.7897060871987742,0.05
C0005695,Bladder Neoplasm,0.057272727272727274,5402.254716981132,0.039763169449265376,5689.405660377359,0.7466839011531567,0.09545454545454546
C0752347,Lewy Body Disease,0.05,3025.6315789473683,0.00647446005094251,4415.8421052631575,0.86592766273563,0.2
C0018671,Head and Neck Neoplasms,0.08333333333333333,4683.260869565217,0.007656215238121175,4120.913043478261,0.784296151821925,0.13333333333333333
C0035828,Romano-Ward Syndrome,0.2,1533.7857142857142,0.09644045718472871,4166.357142857143,0.8871350322610592,0.4
