Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0036920,Sezary Syndrome,0.6,0.166666666667,1844.34615385,0.05826251443,4706.80769231,0.89303063259,0.25
C0018621,Hay fever,0.1,0.0,7705.8,0.000428401386204,6691.1,0.530379670429,0.0
C0021655,Insulin Resistance,0.425,0.065,4309.0,0.039782532538,3442.61702128,0.744332123412,0.145
C0149721,Left Ventricular Hypertrophy,0.383333333333,0.0,3956.29166667,0.00621478750215,2004.625,0.759111641394,0.2
C0085129,Bronchial Hyperreactivity,0.15,0.15,6247.33333333,0.0123018245459,4343.91666667,0.55469363115,0.15
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.375,0.0,4090.44444444,0.00378027585174,3163.82222222,0.751429651585,0.07
C0015934,Fetal Growth Retardation,0.1,0.0,3527.5,0.000639938121161,2464.0,0.787131043641,0.0
C0079541,Holoprosencephaly,0.125,0.0,6481.625,0.000363597528744,5201.125,0.572918552719,0.0
C0993582,"Arthritis, Experimental",0.25,0.075,5838.81578947,0.0244283823935,3422.76315789,0.646966513493,0.15
C0243026,Sepsis,0.15,0.1,5203.35,0.0111727443972,2890.15,0.667125687021,0.1
C0014549,Tonic-Clonic Epilepsy,0.4,0.0,4326.3,0.00227420121675,2644.8,0.685760849882,0.0
C0009319,Colitis,0.35,0.0,6987.16666667,0.00178699224046,4181.625,0.586028715842,0.0333333333333
C0242656,Disease Progression,0.335897435897,0.00833333333333,3768.75409836,0.0057897319253,5597.26229508,0.771469353092,0.0564102564103
C0011884,Diabetic Retinopathy,0.1,0.0,5996.5625,0.000537773578292,5708.25,0.682297264658,0.0
C0455806,Infant length,0.1,0.0,5636.09090909,0.00168676109246,9387.0,0.648207171315,0.1
C0004936,Mental disorders,0.0,0.0,9132.18181818,0.00012116012198,3919.81818182,0.386762042738,0.0
C0334588,Giant Cell Glioblastoma,0.5,0.1,3075.08333333,0.00931922316228,4042.41666667,0.842201931784,0.15
C1959629,Seizure Adverse Event,0.05,0.0,7620.94444444,0.00029536997376,8584.94444444,0.530358113413,0.0
C0005910,Body Weight,0.1,0.0,7833.21428571,0.000268185570803,4809.28571429,0.509619332247,0.0
C0020179,Huntington Disease,0.0,0.0,8415.66666667,0.000235652433464,4310.33333333,0.478863567763,0.0
C0017636,Glioblastoma,0.45,0.05,4291.25,0.00713527725166,3747.21666667,0.739658130007,0.166666666667
C0004238,Atrial Fibrillation,0.233333333333,0.0333333333333,6426.20833333,0.00497014047213,3811.33333333,0.627691858475,0.133333333333
C0162871,"Aortic Aneurysm, Abdominal",0.4,0.0,4717.09090909,0.0017364828154,5841.72727273,0.716554992153,0.0
C0235833,Congenital diaphragmatic hernia,0.5,0.1,1322.81818182,0.0183178071663,5455.0,0.913373777617,0.3
C0036421,Systemic Scleroderma,0.0,0.0,7667.36842105,0.00027431821906,6029.68421053,0.521149897331,0.0
C2609414,Acute kidney injury,0.316666666667,0.0571428571429,4790.52380952,0.02779490608,3700.79365079,0.709256359683,0.0880952380952
C1876165,Copper-Overload Cirrhosis,0.5,0.1,1731.72727273,0.00737247395928,3448.36363636,0.909459133164,0.1
C0000786,Spontaneous abortion,0.193333333333,0.03,7464.13265306,0.00880185256747,4148.68367347,0.541932459494,0.07
C0033975,Psychotic Disorders,0.25,0.0,6537.94444444,0.00237239544596,4370.55555556,0.633078688327,0.1
C0017638,Glioma,0.340476190476,0.0452380952381,5031.98529412,0.0287340993114,4338.27941176,0.697870569877,0.0595238095238
C0017639,Gliosis,0.7,0.45,2311.73333333,0.188593125879,3474.33333333,0.894982490037,0.55
C0013080,Down Syndrome,0.0777777777778,0.0,7812.84444444,0.0012668344371,6781.01111111,0.525334775547,0.0111111111111
C0497327,Dementia,0.222222222222,0.0,6689.88888889,0.000677220121555,4630.33333333,0.596290037019,0.0
C0040053,Thrombosis,0.583333333333,0.258333333333,3041.15384615,0.138829132599,3242.33333333,0.81055246503,0.333333333333
C0030305,Pancreatitis,0.05,0.0,8295.84210526,0.000408704931517,3874.47368421,0.461649957724,0.0
C0002514,"Amino Acid Metabolism, Inborn Errors",0.2,0.0,7066.0,0.000842581270941,4235.84615385,0.569886500845,0.0
C0007621,Neoplastic Cell Transformation,0.438888888889,0.0569444444444,2711.98876404,0.0229688106203,4353.68539326,0.835751000728,0.191666666667
C0040136,Thyroid Neoplasm,0.375,0.1,4812.36363636,0.0152407525992,3756.96969697,0.712306576402,0.158333333333
C0003469,Anxiety Disorders,0.275,0.133333333333,4252.6875,0.021898516321,3017.1875,0.746445552533,0.2
C0027626,Neoplasm Invasiveness,0.341666666667,0.0544871794872,3716.671875,0.0124451989654,4027.359375,0.773908319577,0.139743589744
