Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0919267,ovarian neoplasm,0.158888888889,0.0533333333333,4332.15957447,0.0175834839775,4726.82978723,0.570658860644,0.0855555555556
C0023264,Leigh Disease,0.533333333333,0.183333333333,3929.65217391,0.0597617130779,5573.7826087,0.760943981314,0.483333333333
C0024232,Lymphatic Metastasis,0.15,0.05,4372.35714286,0.0024709065436,4703.71428571,0.567013825998,0.15
C0002895,"Anemia, Sickle Cell",0.1,0.0,4450.5,0.000762454909535,4826.1,0.541446852176,0.1
C0238288,"Muscular Dystrophy, Facioscapulohumeral",0.0,0.0,3930.75,3.62180325853e-05,3728.58333333,0.490944763055,0.0
C1527249,Colorectal Cancer,0.0333333333333,0.0,6482.29166667,0.000467930844573,6574.33333333,0.507794156145,0.0333333333333
C0949658,"Cardiomyopathy, Hypertrophic, Familial",0.283333333333,0.183333333333,4465.66666667,0.0243549876322,5917.47619048,0.634845876621,0.283333333333
C0014859,Esophageal Neoplasms,0.107142857143,0.0166666666667,4234.55882353,0.0181902992405,4378.85294118,0.544498527499,0.0452380952381
C0022661,"Kidney Failure, Chronic",0.045,0.025,3965.04545455,0.0022228455833,3931.09090909,0.51359886288,0.025
C1261473,Sarcoma,0.15,0.1,4317.0,0.00237941597278,4907.76923077,0.566326068582,0.1
C0004153,Atherosclerosis,0.0566666666667,0.02,3326.83018868,0.00139254307801,3331.0,0.519379791011,0.0366666666667
C0002622,Amnesia,0.1,0.1,3144.5625,0.0100452821987,3090.9375,0.541824165207,0.1
C0268237,Cytochrome-c Oxidase Deficiency,0.25,0.05,7204.0,0.00494513987225,9002.81818182,0.61771550163,0.25
C0567312,Menopause present (finding),0.0,0.0,8650.17647059,5.13228509494e-05,8577.05882353,0.490942028986,0.0
C0035304,Retinal Degeneration,0.1,0.0,5520.64285714,0.000222390454383,6189.35714286,0.540207088088,0.0
C0268583,Methylmalonic acidemia,0.0,0.0,4024.11111111,3.01768362605e-05,3826.88888889,0.490946402704,0.0
C0019080,Hemorrhage,0.2,0.15,3735.6875,0.0161169138813,4318.0625,0.592642352515,0.2
C0035309,Retinal Diseases,0.0,0.0,5065.57142857,6.34129086533e-05,4890.0,0.490939840541,0.0
C0036572,Seizures,0.01,0.0,3576.93548387,0.000281932277805,3402.47311828,0.490900266926,0.0
C0752347,Lewy Body Disease,0.3,0.0,1976.10526316,0.00278973769991,2669.26315789,0.642139751178,0.15
C0027672,"Neoplastic Syndromes, Hereditary",0.335,0.23,2867.84782609,0.063110011535,4039.7826087,0.66096031698,0.315
C0037286,Skin Neoplasms,0.13,0.045,2796.06666667,0.00413322406798,2944.8,0.556750846842,0.13
C0004096,Asthma,0.04,0.01,4842.62,0.00134145845766,4744.69,0.505882138739,0.01
C0027794,Neural Tube Defects,0.0333333333333,0.0,5401.625,0.000254320835418,5363.75,0.507455848889,0.0
C0017178,Gastrointestinal Diseases,0.0,0.0,4009.18181818,3.31981628701e-05,3800.36363636,0.49094530967,0.0
C1561643,Chronic Kidney Diseases,0.0,0.0,6952.57142857,6.34129086533e-05,6827.80952381,0.490939840541,0.0
C0002395,Alzheimer's Disease,0.0368131868132,0.00769230769231,5780.18518519,0.00888666929061,5717.57777778,0.505819991953,0.0148351648352
C0029456,Osteoporosis,0.12380952381,0.0333333333333,4366.33333333,0.00414002769374,4735.14285714,0.553355594387,0.0785714285714
C0011616,Contact Dermatitis,0.0428571428571,0.0,3911.22857143,0.00107773502823,3908.88571429,0.512564799349,0.0285714285714
C0010068,Coronary heart disease,0.04,0.0,6594.23529412,0.000788855708868,6607.74509804,0.510959699867,0.02
C0018800,Cardiomegaly,0.111904761905,0.047619047619,3394.15384615,0.00631859720038,3565.10769231,0.54758696417,0.0785714285714
C0017661,IGA Glomerulonephritis,0.0383275261324,0.00720092915215,6372.58851675,0.00419835466408,6585.49521531,0.507598074995,0.0144018583043
C0011615,"Dermatitis, Atopic",0.0,0.0,6026.23684211,0.000114853299622,5920.78947368,0.490930527843,0.0
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,0.8,0.55,1764.84615385,0.153448424307,4645.61538462,0.897192707076,0.8
C0018801,Heart failure,0.025,0.0125,3536.12820513,0.00111711269847,3448.47435897,0.503604763925,0.025
C0011882,Diabetic Neuropathies,0.25,0.2,2265.38461538,0.0211605250925,2746.07692308,0.617781031152,0.2
C0021364,Male infertility,0.1,0.05,3922.85,0.00435131914274,3949.775,0.541555300236,0.075
C1269683,Major Depressive Disorder,0.0,0.0,5712.9,9.06344410876e-05,5560.63333333,0.490934912673,0.0
C2607914,Allergic rhinitis (disorder),0.0,0.0,8089.22222222,3.01768362605e-05,7958.33333333,0.490946402704,0.0
C0027707,"Nephritis, Interstitial",0.0,0.0,2630.33333333,3.01768362605e-05,2422.0,0.490946402704,0.0
C0023470,Myeloid Leukemia,0.25,0.1,5240.23529412,0.0116329512796,6513.11764706,0.616749698068,0.15
C0021361,Female infertility,0.316666666667,0.05,2806.53846154,0.00689815357412,3444.61538462,0.651257728637,0.316666666667
C0042373,Vascular Diseases,0.0,0.0,4372.75,4.83011577514e-05,4206.3125,0.490942575931,0.0
C0021368,Inflammation,0.0463636363636,0.0,3788.97169811,0.00151701195649,3722.86792453,0.514178694234,0.0272727272727
C0023418,leukemia,0.216666666667,0.0,4097.65625,0.002285915245,4444.40625,0.599627279138,0.0916666666667
C0037274,Dermatologic disorders,0.0666666666667,0.0166666666667,5047.57377049,0.0175984515113,5130.67213115,0.524301687253,0.0333333333333
C0005695,Bladder Neoplasm,0.131818181818,0.0390909090909,4522.7047619,0.0159469161136,4765.92380952,0.548301994569,0.0763636363636
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.716666666667,0.483333333333,2559.57142857,0.0400939540843,7112.66666667,0.854574877185,0.716666666667
C1527336,Sjogren's Syndrome,0.1,0.0,5423.16666667,0.000208638398967,5442.33333333,0.540135828554,0.0
C0002171,Alopecia Areata,0.333333333333,0.333333333333,6148.22222222,0.228415179619,7792.55555556,0.660577284189,0.333333333333
C0008370,Cholestasis,0.0333333333333,0.0,4152.30769231,0.00031754571457,4135.05128205,0.507536179304,0.0
C0009447,Common Variable Immunodeficiency,0.05,0.05,5000.16666667,0.00238926059072,4919.75,0.516368849985,0.05
C0009952,Febrile Convulsions,0.0,0.0,5727.2,3.01786576533e-05,5557.8,0.49094585622,0.0
C0002170,Alopecia,0.15,0.1,6027.61538462,0.00266358232961,6343.69230769,0.566972047815,0.15
C0206754,Neuroendocrine Tumors,0.1,0.0,3204.3,3.01786576533e-05,2997.1,0.49094585622,0.0
C0023473,"Myeloid Leukemia, Chronic",0.3,0.183333333333,2599.86363636,0.0218643033094,3268.04545455,0.642907480117,0.266666666667
C0027726,Nephrotic Syndrome,0.1,0.05,2581.0,0.00430737061417,2412.95,0.516379778945,0.05
C0428977,Bradycardia,0.0,0.0,2959.04761905,6.34129086533e-05,2755.76190476,0.490939840541,0.0
C0017658,Glomerulonephritis,0.1,0.0333333333333,3365.17241379,0.0344762062868,3503.51724138,0.54166062364,0.1
C0038013,Ankylosing spondylitis,0.1,0.05,7498.42857143,0.00637257378679,7556.42857143,0.516388939202,0.05
C0273115,Lung Injury,0.05,0.0,3890.15,0.000370061745666,3890.8,0.516068732258,0.0
C0022336,Creutzfeldt-Jakob disease,0.0,0.0,7533.75,3.62180325853e-05,7452.91666667,0.490944763055,0.0
C0001624,Adrenal Gland Neoplasms,0.2,0.1,2391.63636364,0.00470970174956,2782.18181818,0.592412169504,0.2
C0400966,Non-alcoholic Fatty Liver Disease,0.0583333333333,0.0,4332.47368421,0.000742602558896,4646.92105263,0.520362476571,0.0583333333333
C0002871,Anemia,0.0,0.0,5136.72,7.55077139342e-05,4979.64,0.490937651039,0.0
C0024530,Malaria,0.1,0.0,3542.35,0.000602454519898,3621.75,0.541058162711,0.0
C0027659,"Neoplasms, Experimental",0.15,0.0333333333333,3691.75757576,0.00306055067278,3602.66666667,0.56667170374,0.116666666667
C0027720,Nephrosis,0.2,0.15,2730.33333333,0.0105540811886,3122.0,0.567248822606,0.15
C0043459,Zellweger Syndrome,0.7,0.7,1645.46666667,0.577265093155,4198.73333333,0.847237652457,0.7
C1960469,Left ventricular noncompaction,0.2,0.15,4907.91666667,0.0149866106659,6593.33333333,0.591832176275,0.15
C0003872,"Arthritis, Psoriatic",0.3,0.05,2742.53333333,0.00343303289878,4413.33333333,0.641278227267,0.15
C0013386,"Dyskinesia, Drug-Induced",0.0,0.0,2959.46666667,4.5279829382e-05,2747.26666667,0.490943122811,0.0
C0007873,Uterine Cervical Neoplasm,0.233333333333,0.05,3591.66666667,0.00236328385016,4040.85714286,0.607969920271,0.1
C0087012,"Ataxia, Spinocerebellar",0.1,0.0,5417.93333333,0.000552465134223,5993.8,0.541263132472,0.1
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,0.0,3520.57142857,3.01731941343e-05,3308.0,0.490947495474,0.0
C0032927,Precancerous Conditions,0.0392857142857,0.0,4986.09722222,0.000797092981822,5086.11111111,0.510461873025,0.0125
C1861172,Venous Thromboembolism,0.0666666666667,0.0666666666667,6912.28125,0.0369795328235,6896.78125,0.524867532991,0.0666666666667
C0042900,Vitiligo,0.0,0.0,7702.19354839,9.36605181828e-05,7607.80645161,0.490934364801,0.0
C0242488,Acute Lung Injury,0.05,0.0,2815.875,0.000223672748514,2763.125,0.51560594167,0.0
C0270850,Idiopathic generalized epilepsy,0.0,0.0,1949.83333333,3.01713734009e-05,1697.33333333,0.49094804176,0.0
C0023891,"Liver Cirrhosis, Alcoholic",0.15,0.0,3434.26666667,0.00121053875434,3746.33333333,0.566666163507,0.15
C0014175,Endometriosis,0.141904761905,0.027619047619,4714.18918919,0.0144426561139,5281.00675676,0.562484022156,0.101428571429
C3160731,Pulmonary function (finding),0.0,0.0,6515.43333333,9.06344410876e-05,6382.96666667,0.490934912673,0.0
C0027055,Myocardial Reperfusion Injury,0.185,0.02,3181.06666667,0.00529567168157,4665.02222222,0.583729585047,0.1
C0038220,Status Epilepticus,0.0595238095238,0.0,3162.70769231,0.00130869836242,3189.43076923,0.520960874054,0.0452380952381
C0017601,Glaucoma,0.0,0.0,8164.95238095,6.34129086533e-05,8068.0952381,0.490939840541,0.0
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,0.0,7450.90909091,3.31981628701e-05,7346.0,0.49094530967,0.0
C0010346,Crohn Disease,0.0236111111111,0.0,7369.66666667,0.000448139640192,7321.67857143,0.497179106288,0.0
C0023903,Liver neoplasms,0.108181818182,0.04,5085.02970297,0.00499752433672,5191.14851485,0.545618337416,0.0790909090909
C0265221,Walker-Warburg congenital muscular dystrophy,0.15,0.15,5256.90909091,0.0626104955825,6620.27272727,0.567286912954,0.15
C0006663,Calcinosis,0.166666666667,0.0583333333333,3412.16216216,0.0102626814617,3727.10810811,0.574973800887,0.133333333333
C0038325,Stevens-Johnson Syndrome,0.2,0.1,3135.48275862,0.0101937729903,4277.96551724,0.5919647893,0.133333333333
C0030319,Panic Disorder,0.0,0.0,4410.625,3.01750150875e-05,4198.875,0.490946949122,0.0
C1272641,Systemic arterial pressure,0.02,0.02,7298.3,0.000837086324166,7239.56,0.501087311672,0.02
C0009363,Congenital ocular coloboma (disorder),0.0,0.0,5097.33333333,3.62180325853e-05,4949.16666667,0.490944763055,0.0
C0023186,Learning Disorders,0.05,0.05,3800.875,0.00154168545142,3648.625,0.51634144868,0.05
C0039231,Tachycardia,0.0,0.0,3566.21428571,4.22588657753e-05,3387.14285714,0.490943669625,0.0
C2931456,"Prostate cancer, familial",0.3,0.2,3461.75,0.0155499869661,4347.08333333,0.643121038334,0.3
C0346153,"Breast Cancer, Familial",0.8,0.45,566.272727273,0.0562556572336,3634.54545455,0.896043100326,0.7
C0030567,Parkinson Disease,0.0644444444444,0.0,4791.52173913,0.00124943470001,4877.69565217,0.517647827992,0.0111111111111
C0040128,Thyroid Diseases,0.0,0.0,4904.18181818,3.31981628701e-05,4734.36363636,0.49094530967,0.0
C0022116,Ischemia,0.05,0.05,3184.11111111,0.008495203192,3196.33333333,0.516385196375,0.05
C0038644,Sudden infant death syndrome,0.222222222222,0.222222222222,3714.88888889,0.0463197671689,3947.88888889,0.60404930522,0.222222222222
C0021841,Intestinal Neoplasms,0.15,0.0,2452.54545455,0.00170798737111,2444.72727273,0.566514246046,0.1
C0162820,"Dermatitis, Allergic Contact",0.0,0.0,5187.0952381,0.000190674118918,5056.42857143,0.490916797868,0.0
C0243026,Sepsis,0.15,0.0,2684.85,0.000905473038533,2890.15,0.565845261823,0.1
C0429087,Electrocardiogram: P-R interval,0.0,0.0,5956.85714286,3.01731941343e-05,5832.28571429,0.490947495474,0.0
C0080178,Spina Bifida,0.1,0.0,4941.27272727,0.000248520726297,4848.0,0.540474465773,0.0
C0025521,Inborn Errors of Metabolism,0.25,0.0,3939.73333333,0.00231426260588,4499.2,0.617218633015,0.25
C0009404,Colorectal Neoplasms,0.0329004329004,0.0233766233766,5629.8364486,0.00768608754221,5640.12616822,0.505150822003,0.0281385281385
C0027819,Neuroblastoma,0.095,0.02,5017.18604651,0.00133410049512,5414.81395349,0.526188460143,0.045
C0024121,Lung Neoplasms,0.127573529412,0.0547794117647,3147.03012048,0.0150947698179,3472.13253012,0.555207836745,0.0845588235294
C0029422,Osteochondrodysplasias,0.0,0.0,4083.57142857,4.22588657753e-05,3901.78571429,0.490943669625,0.0
C0242383,Age related macular degeneration,0.025,0.025,4926.67647059,0.0252247192478,4804.17647059,0.503661669588,0.025
C0015625,Fanconi Anemia,0.75,0.55,1946.73684211,0.284335891118,5742.10526316,0.872072412127,0.75
C0341106,Eosinophilic esophagitis,0.05,0.0,8047.28571429,0.000271383310603,8842.57142857,0.515893859808,0.0
C0019202,Hepatolenticular Degeneration,0.0,0.0,3879.65217391,6.94595808869e-05,3688.56521739,0.490938745922,0.0
C0020507,Hyperplasia,0.183333333333,0.0,4360.125,0.00174520551995,4429.83333333,0.582807748847,0.0833333333333
C0752166,Bardet-Biedl Syndrome,0.383333333333,0.383333333333,6534.22727273,0.383736721723,9421.86363636,0.68608577469,0.383333333333
C0344388,Platelet mean volume finding,0.0,0.0,7081.39285714,8.45826536891e-05,6980.82142857,0.490936008218,0.0
C0015393,Eye Abnormalities,0.2,0.15,4648.42857143,0.0264876225683,5255.64285714,0.591918734529,0.15
C0014170,Endometrial Neoplasms,0.16,0.04,4869.52,0.00558658417848,5306.24,0.561612512858,0.08
C0162666,Mitochondrial Encephalomyopathies,0.2,0.1,8840.1,0.00608474898673,9449.9,0.59250316895,0.2
C0085110,Severe Combined Immunodeficiency,0.2,0.0,3482.18181818,0.000654905070111,3763.36363636,0.59066159604,0.0
C0024667,Animal Mammary Neoplasms,0.149450549451,0.0445054945055,3322.97761194,0.00802648503399,3600.08955224,0.566091419375,0.0895604395604
C0018824,Heart valve disease,0.0,0.0,4129.875,7.24834647757e-05,3973.54166667,0.490938198514,0.0
C0019158,Hepatitis,0.0,0.0,3997.05555556,5.43449090422e-05,3804.5,0.490941481974,0.0
C0079744,Diffuse Large B-Cell Lymphoma,0.075,0.0,4396.78378378,0.000864052804252,4491.75675676,0.528650997582,0.05
C0007194,Hypertrophic Cardiomyopathy,0.183333333333,0.1,4978.61904762,0.0122518658876,5473.23809524,0.583623761778,0.15
C0005684,Malignant neoplasm of urinary bladder,0.0,0.0,7497.71428571,4.22588657753e-05,7399.07142857,0.490943669625,0.0
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.2,0.05,3534.23809524,0.00261657160607,3825.23809524,0.591105943465,0.05
C1140680,Malignant neoplasm of ovary,0.15,0.05,5915.0,0.00291654539091,6726.16666667,0.567002716571,0.15
C0019151,Hepatic Encephalopathy,0.1,0.0,2517.0,0.000371790324349,2600.15384615,0.540956290751,0.0
C1336708,Testicular Germ Cell Tumor,0.05,0.05,5820.59090909,0.00128311316115,5828.81818182,0.516330413772,0.05
C0031511,Pheochromocytoma,0.0,0.0,4357.75,4.83011577514e-05,4159.75,0.490942575931,0.0
C3160718,"PARKINSON DISEASE, LATE-ONSET",0.05,0.0,3814.66666667,0.000646427901506,4499.46666667,0.516255585074,0.05
C0242656,Disease Progression,0.121794871795,0.0160256410256,5131.43442623,0.00368140094574,5597.26229508,0.551504141053,0.024358974359
C0206762,"Limb Deformities, Congenital",0.0,0.0,3051.6,4.5279829382e-05,2862.53333333,0.490943122811,0.0
C1458155,Mammary Neoplasms,0.1175,0.0292682926829,4284.70904645,0.0233811320987,4732.28117359,0.549866713909,0.0635975609756
C0026650,Movement Disorders,0.133333333333,0.133333333333,3156.61904762,0.0544567109283,4399.85714286,0.558773254409,0.133333333333
C0025202,melanoma,0.0587719298246,0.0108187134503,5950.12972973,0.00342686870046,6134.62702703,0.520343622549,0.0213450292398
C0020615,Hypoglycemia,0.0,0.0,3404.2,3.01786576533e-05,3201.9,0.49094585622,0.0
C0041948,Uremia,0.15,0.0,2936.94117647,0.00151319365322,3378.41176471,0.566779891304,0.15
C0007959,Charcot-Marie-Tooth Disease,0.05,0.0,6110.10344828,0.000322241537539,6039.72413793,0.51590373459,0.0
C2936907,NADH:Q(1) Oxidoreductase deficiency,0.7,0.4,2953.55,0.0916699702588,7223.95,0.846237241046,0.7
C0268363,Osteogenesis imperfecta type IV (disorder),0.1,0.0,4917.6,0.000272258831104,5482.5,0.54062594314,0.0
C0152013,Adenocarcinoma of lung (disorder),0.165,0.05,3674.91304348,0.00440017967298,3675.5,0.561204403847,0.075
C0265275,Jeune thoracic dystrophy,0.444444444444,0.222222222222,6590.33333333,0.0250644228611,11177.6666667,0.716595579162,0.444444444444
C0040053,Thrombosis,0.05,0.05,3296.23076923,0.0503618370855,3242.33333333,0.51638801548,0.05
C0848558,Hypospadias,0.0,0.0,5984.0,4.22588657753e-05,5833.35714286,0.490943669625,0.0
C0241910,"Hepatitis, Autoimmune",0.0,0.0,3815.1875,4.83011577514e-05,3638.4375,0.490942575931,0.0
C0006142,Malignant neoplasm of breast,0.111904761905,0.0333333333333,6855.7704918,0.00724889515683,7324.68852459,0.547249780876,0.0809523809524
C0026764,Multiple Myeloma,0.15,0.0333333333333,3983.08571429,0.0344558130553,3943.51428571,0.566214282836,0.0666666666667
C0015695,Fatty Liver,0.15,0.0366666666667,3897.37254902,0.00432206538336,4600.29411765,0.566754104643,0.13
C0023290,"Leishmaniasis, Visceral",0.0,0.0,2584.66666667,3.62180325853e-05,2362.33333333,0.490944763055,0.0
C0020557,Hypertriglyceridemia,0.0,0.0,5009.5,4.22588657753e-05,4811.35714286,0.490943669625,0.0
C1271104,Blood pressure finding,0.02,0.02,7298.3,0.000837086324166,7239.56,0.501087311672,0.02
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.4,0.3,2398.84615385,0.129922997951,2747.23076923,0.694288819126,0.4
C0242350,Erectile dysfunction,0.0,0.0,3792.2,3.01786576533e-05,3613.6,0.49094585622,0.0
C0022521,Kartagener Syndrome,0.0,0.0,12038.826087,6.94595808869e-05,12012.4347826,0.490938745922,0.0
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.0,0.0,7137.94117647,5.13228509494e-05,7029.64705882,0.490942028986,0.0
