Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0009324,Ulcerative Colitis,0.173611111111,0.0375,5464.48148148,0.00489312003618,5310.09876543,0.669392116944,0.0875
C0033578,Prostatic Neoplasms,0.182192414431,0.00642923219241,5433.50643777,0.00763277562658,5050.0751073,0.664098811546,0.0342738205365
C0152013,Adenocarcinoma of lung (disorder),0.405,0.02,3805.58695652,0.00286298892205,3675.5,0.771371967818,0.045
C0265965,Dyskeratosis Congenita,0.65,0.3,1880.25,0.171100799632,7860.16666667,0.889019015998,0.45
C0268362,Osteogenesis imperfecta type III (disorder),0.7,0.0,1399.0,0.00401254394473,6675.18181818,0.909160328383,0.2
C0241910,"Hepatitis, Autoimmune",0.5,0.0,6113.75,0.00221891194479,3638.4375,0.619536863716,0.15
C0268363,Osteogenesis imperfecta type IV (disorder),0.5,0.1,2970.0,0.00703491925711,5482.5,0.820788314118,0.3
C0677050,Manganese Poisoning,0.2,0.0,5057.1,0.000289555806321,3556.6,0.694808957566,0.0
C0079541,Holoprosencephaly,0.125,0.0,8813.625,0.000233706637568,5201.125,0.4681257167,0.0
C0007959,Charcot-Marie-Tooth Disease,0.2,0.0,5206.86206897,0.00124630914476,6039.72413793,0.695035653855,0.0333333333333
C1527336,Sjogren's Syndrome,0.35,0.0,5118.16666667,0.00108112627518,5442.33333333,0.709067310595,0.1
C2936907,NADH:Q(1) Oxidoreductase deficiency,0.9,0.6,568.6,0.0472295752008,7223.95,0.965748625959,0.75
C0020672,"Hypothermia, natural",0.333333333333,0.222222222222,4795.11111111,0.0163784723796,3094.22222222,0.710640324052,0.222222222222
C0848558,Hypospadias,0.0,0.0,7122.35714286,0.000120562043448,5833.35714286,0.540249350963,0.0
C0026764,Multiple Myeloma,0.283333333333,0.0,5865.71428571,0.00137999766614,3943.51428571,0.638390662153,0.0916666666667
C0015695,Fatty Liver,0.276666666667,0.0366666666667,4909.43137255,0.00666382181853,4600.29411765,0.700928436,0.0366666666667
C0008074,"Child Development Disorders, Pervasive",0.14,0.02,6478.98076923,0.00315245360285,6149.13461538,0.609309531014,0.02
C0023290,"Leishmaniasis, Visceral",0.35,0.15,3971.0,0.0378746342221,2362.33333333,0.749924539692,0.15
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.1,0.0,5913.11764706,0.000244503829505,7029.64705882,0.634764492754,0.0
C0334634,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",0.7,0.0,5141.84615385,0.00630439620795,2747.23076923,0.79472349674,0.5
C0022521,Kartagener Syndrome,0.133333333333,0.0,8505.04347826,0.0008820666057,12012.4347826,0.469654363497,0.05
C0005586,Bipolar Disorder,0.161904761905,0.0,7149.35483871,0.00107571123006,5090.58064516,0.56778527457,0.0333333333333
C0242350,Erectile dysfunction,0.5,0.2,2641.6,0.00997737329311,3613.6,0.8406108529,0.2
C0009375,Colonic Neoplasms,0.258974358974,0.0160256410256,5214.08064516,0.00504258715562,3916.13709677,0.68396767716,0.0487179487179
C0455806,Infant length,0.1,0.0,6766.09090909,0.000285211743863,9387.0,0.587963298322,0.0
C0265215,Meckel-Gruber syndrome,0.9,0.45,1211.93333333,0.104730482744,11298.0,0.94416888057,0.5
C0004352,Autistic Disorder,0.208300395257,0.00889328063241,6095.21333333,0.00342639953276,5188.17333333,0.627916536542,0.0132411067194
C0003504,Aortic Valve Insufficiency,0.5,0.0,1741.36363636,0.00155155704716,3367.18181818,0.885892792466,0.0
C0015967,Fever,0.1,0.0,9519.1,0.000365010974518,4165.3,0.425161563085,0.0
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.45,0.0,2551.05555556,0.00318793984859,5002.27777778,0.849018660547,0.25
C0041948,Uremia,0.35,0.1,3136.05882353,0.0528587671657,3378.41176471,0.826231884058,0.15
C0038587,Substance Withdrawal Syndrome,0.375,0.025,5337.77083333,0.00597425985909,2721.33333333,0.673830237764,0.09
C0027404,Narcolepsy,0.25,0.0,8045.92307692,0.0011635444168,5739.15384615,0.449989434919,0.1
C0887833,"Carcinoma, Pancreatic Ductal",0.45,0.1,2539.15,0.0561974038155,4340.05,0.846732499849,0.25
C0079772,T-Cell Lymphoma,0.6,0.1,2398.09090909,0.00704038602838,4527.63636364,0.85164191718,0.3
C0023904,"Liver Neoplasms, Experimental",0.290476190476,0.0,4591.77419355,0.00154487702891,4644.25806452,0.720105531768,0.0166666666667
C0037268,Skin Abnormalities,0.2,0.0,6925.8,0.000433687828939,4783.8,0.582015452405,0.0
C0001418,Adenocarcinoma,0.291818181818,0.0190909090909,4710.55660377,0.00392925876738,3862.69811321,0.712630353072,0.0672727272727
C0878544,Cardiomyopathies,0.298611111111,0.0222222222222,4076.44827586,0.00369421789099,4442.5862069,0.752268883498,0.0555555555556
C0740392,"Infarction, Middle Cerebral Artery",0.233333333333,0.0,5532.52,0.00104509897853,3137.88,0.666661632028,0.05
C0020538,Hypertensive disease,0.266959064327,0.0108187134503,4990.92934783,0.00454751140422,3855.26086957,0.696654389639,0.0432748538012
C0027051,Myocardial Infarction,0.419444444444,0.0222222222222,3754.54761905,0.00464255729357,3895.55952381,0.774636882987,0.0694444444444
C0042900,Vitiligo,0.1,0.0,6522.12903226,0.00050140293147,7607.80645161,0.610908477376,0.0
C0349639,Juvenile Myelomonocytic Leukemia,0.35,0.0,2833.0,0.00167088695375,4667.47368421,0.83136550308,0.05
C1720887,Female Urogenital Diseases,0.45,0.0,5486.58823529,0.00331392664092,3295.82352941,0.717931763285,0.3
C0040053,Thrombosis,0.516666666667,0.125,3204.69230769,0.01555829587,3242.33333333,0.809781009393,0.333333333333
C1955869,Malformations of Cortical Development,0.1,0.0,3660.0,0.000276645300124,4229.4,0.779139252731,0.0
C0023343,Leprosy,0.1,0.0,7337.17647059,0.00131087859982,7564.58823529,0.531660628019,0.1
C0042109,Urticaria,0.1,0.0,5797.4,0.000262650798616,2707.0,0.681116411061,0.0
C0003811,Cardiac Arrhythmia,0.15,0.05,5853.41176471,0.0018159524094,2629.88235294,0.593402777778,0.1
C0018995,Hemochromatosis,0.4,0.0,5293.2,0.000572936321037,3839.5,0.680557735257,0.0
C0030297,Pancreatic Neoplasm,0.419642857143,0.0267857142857,4128.06329114,0.00384241110382,4038.50632911,0.751581252273,0.0517857142857
C0007193,"Cardiomyopathy, Dilated",0.44,0.075,3606.63043478,0.00410642345034,4430.93478261,0.785842054322,0.095
C0033687,Proteinuria,0.35,0.05,4774.07894737,0.00522649630306,3279.57894737,0.709277566157,0.1
C0027765,nervous system disorder,0.16,0.0,6996.98,0.000618025179143,3763.3,0.576814908937,0.0
C0030354,Papilloma,0.6,0.1,1504.09090909,0.0256719506241,2670.09090909,0.914650488953,0.1
C0008073,Developmental Disabilities,0.1,0.0,5438.21052632,0.000325264852702,5331.26315789,0.638621814229,0.0
C0000768,Congenital Abnormality,0.444444444444,0.0,4379.55555556,0.00268831888429,2731.33333333,0.735722141746,0.222222222222
C0030193,Pain,0.1,0.0,6115.3902439,0.000810943950492,3004.80487805,0.630267900339,0.05
C1834752,"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)",0.5,0.05,4559.36363636,0.00793715392008,4877.09090909,0.700410479295,0.15
C0206062,"Lung Diseases, Interstitial",0.0,0.0,6450.5,0.000165016695619,8196.28571429,0.601059590654,0.0
C0022658,Kidney Diseases,0.205555555556,0.025,5518.24390244,0.00288489208903,4912.06097561,0.665102808932,0.0375
C0011581,Depressive disorder,0.283333333333,0.0333333333333,6201.29411765,0.00552654343788,3535.73529412,0.635191621834,0.0583333333333
C0002736,Amyotrophic Lateral Sclerosis,0.166666666667,0.0142857142857,6285.71212121,0.00152394317465,6026.86363636,0.620317623749,0.0452380952381
C0007117,Basal cell carcinoma,0.2,0.15,6119.47368421,0.00904886899042,6320.42105263,0.618595240971,0.15
C2239176,Liver carcinoma,0.277922077922,0.0140692640693,4143.35185185,0.00647134141871,4134.05555556,0.746889472404,0.0649350649351
C0206726,gliosarcoma,0.25,0.0,4383.25,0.000683937298003,3738.5625,0.753390495743,0.0
C0029927,Ovarian Cysts,0.0,0.0,9998.4,0.00015853719405,4736.83333333,0.39587739973,0.0
C0948089,Acute Coronary Syndrome,0.583333333333,0.0333333333333,1986.09677419,0.00332078781957,3489.19354839,0.879182783351,0.1
C0206686,Adrenocortical carcinoma,0.6,0.05,2442.47058824,0.0042470200561,3659.82352941,0.816959541063,0.2
C0036346,"Schizophrenia, Childhood",0.1,0.0,8317.78571429,0.000177262774858,7860.42857143,0.475318480952,0.0
C0036341,Schizophrenia,0.114673913043,0.00851449275362,7000.20338983,0.00256105675583,6538.50847458,0.572473257894,0.0253623188406
C0038013,Ankylosing spondylitis,0.35,0.05,4380.42857143,0.00217160936955,7556.42857143,0.71770814466,0.05
C0010606,Adenoid Cystic Carcinoma,0.224444444444,0.0211111111111,4398.21052632,0.00432749008508,6850.68421053,0.734438882822,0.0655555555556
C0003872,"Arthritis, Psoriatic",0.15,0.0,4613.33333333,0.000284145153637,4413.33333333,0.751406834923,0.0
C0024299,Lymphoma,0.4,0.0,4045.21052632,0.001479597752,4865.36842105,0.76717296775,0.05
C0008370,Cholestasis,0.333333333333,0.0,5197.30769231,0.00107339096763,4135.05128205,0.688294130689,0.025
C3495559,Juvenile arthritis,0.105769230769,0.00833333333333,6545.53658537,0.00153495289704,5762.58536585,0.60213713523,0.024358974359
C0029172,Oral Submucous Fibrosis,0.6,0.05,3370.73333333,0.0550715491345,2966.73333333,0.792102403091,0.45
C0236969,Substance-Related Disorders,0.09,0.0,8488.29,0.000814217152046,7381.67,0.485157492262,0.01
C0455988,"Hydrops Fetalis, Non-Immune",0.15,0.0,8330.83333333,0.000947584062686,5773.75,0.487097796559,0.05
C0273115,Lung Injury,0.15,0.05,6146.1,0.00200972693496,3890.8,0.628882043849,0.05
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.9,0.533333333333,729.714285714,0.0432073446539,7112.66666667,0.954484778932,0.766666666667
C0242379,Malignant neoplasm of lung,0.4,0.0,4704.3125,0.00123726529294,6712.1875,0.713311394239,0.0
C0001430,Adenoma,0.216666666667,0.0,5736.35483871,0.000835233266409,3714.74193548,0.651672106048,0.0333333333333
C0206698,Cholangiocarcinoma,0.283333333333,0.05,4215.54166667,0.00280545144064,4695.33333333,0.751348194688,0.0833333333333
C0009952,Febrile Convulsions,0.0,0.0,8941.7,9.1823152385e-05,5557.8,0.460330778053,0.0
C0009447,Common Variable Immunodeficiency,0.65,0.25,2383.08333333,0.0194137729793,4919.75,0.847603380622,0.25
