comps,comp_ranking,top_comp_share,top_0.2comp_share,comp_GINI
0.0 0.0 0.0 0.04 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.01 0.02 0.03 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.03 0.04 0.0,2686,0.19399243448162329,0.75268957598742869,0.74431538345544368
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.07 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0,9649,0.75817450303628398,1.0,0.93665774178103867
0.0 0.0 0.0 0.0 0.11 0.0 0.01 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.01 0.03 0.0 0.0 0.02 0.0 0.0 0.06 0.01 0.0,1712,0.3940040042708482,0.86156287527090458,0.82229191937791457
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,639,0.30196753777690644,0.82675234128968256,0.76862086215045344
0.03 0.0 0.0 0.0 0.01 0.01 0.03 0.01 0.0 0.0 0.0 0.01 0.0 0.01 0.0 0.0 0.0 0.0 0.11 0.0 0.0 0.09 0.0 0.0 0.01 0.03 0.01,156,0.48175577680987886,0.89186138476970944,0.84328195430564634
0.01 0.0 0.07 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.01 0.0 0.0 0.0 0.0 0.02 0.29 0.0 0.0 0.08 0.0 0.0 0.05 0.0 0.0,13341,0.44580550171541672,1.0000000000000002,0.87870347783532776
0.01 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0,798,0.27715262233956184,0.87766694960486946,0.80828936173462596
0.01 0.0 0.01 0.0 0.06 0.0 0.0 0.01 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.01 0.01 0.0 0.08 0.0 0.0 0.05 0.0 0.0 0.02 0.1 0.0,5506,0.41131089564450157,0.91316228121967602,0.84669894104989563
0.01 0.0 0.0 0.0 0.02 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06 0.0 0.0 0.02 0.0 0.0 0.03 0.0 0.0,6435,0.34703746880269554,0.99999999999999978,0.87307829016952088
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,8885,0.33333333333333331,1.0,0.88888888888888884
0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.05,4496,0.22080924867989493,0.76518571255377166,0.77093348956113461
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04,5153,0.30909831900721207,0.93800340920964698,0.84692384433908052
0.01 0.0 0.02 0.0 0.01 0.04 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.01 0.0 0.0 0.03 0.0 0.01,6599,0.4012505996749049,0.88489307697020581,0.83712904214246175
0.04 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.05 0.0 0.0 0.0 0.0 0.0 0.01 0.01 0.0,4138,0.36748531917634103,0.86947811491497506,0.83741805957265791
0.05 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,9987,0.33333333333333331,1.0,0.88888888888888884
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,7162,0.21306697969961194,0.79158050453292772,0.76865786040168915
0.0 0.0 0.01 0.0 0.0 0.01 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.0 0.0 0.07 0.01 0.0 0.05 0.0 0.0 0.01 0.0 0.0,29,0.43341200330096163,0.79350407672478174,0.7630238452140512
0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0,15027,0.19999999999999998,1.0,0.81481481481481488
0.0 0.02 0.01 0.0 0.01 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03 0.0 0.0 0.03 0.0 0.0 0.01 0.01 0.0,15,0.65202403481834814,0.90432454724547862,0.87232573809642155
0.01 0.03 0.01 0.0 0.08 0.11 0.01 0.03 0.01 0.0 0.01 0.0 0.01 0.01 0.0 0.0 0.01 0.0 0.01 0.0 0.0 0.39 0.0 0.0 0.1 0.04 0.02,15750,1.0,1.0,0.96296296296296302
0.0 0.0 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.01 0.0 0.0 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0,15625,1.0,1.0,0.96296296296296302
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,316,0.4256105143097631,0.77921633928526968,0.78137979157455617
0.0 0.01 0.01 0.0 0.11 0.06 0.0 0.04 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01 0.0 0.01 0.67 0.0 0.0 0.0 0.0 0.05 0.04 0.0,675,0.24086127567433052,0.8622731543653066,0.79622842282500383
0.0 0.0 0.0 0.0 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0,5479,0.44678245625765151,0.8739749774701524,0.84315003993808968
