Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
287,351,APP,0,2132,
381,463,ZFHX3,1,34,7995.0
385,467,ATF3,1,63,7330.0
1463,1768,DNAH6,1,3,4496.0
2338,2885,GRB2,0,1081,
2614,3200,HOXA3,1,9,4485.0
2684,3284,HSD3B2,1,5,14267.0
3043,3725,JUN,0,408,
3089,3778,KCNMA1,1,20,12327.0
3258,132,ADK,1,15,2184.0
3353,4087,SMAD2,0,394,
3986,4914,NTRK1,0,1965,
5515,6764,ST5,1,17,12614.0
5523,6774,STAT3,0,292,
5885,7189,TRAF6,0,552,
5994,7329,UBE2I,0,502,
6526,8139,GAN,0,197,
7117,8887,TAX1BP1,1,102,391.0
7163,8942,KYNU,0,55,
8450,10464,PIBF1,0,145,
9163,11336,EXOC3,1,37,9205.0
16430,23498,HAAO,1,7,7409.0
18060,25913,POT1,0,215,
18518,26585,GREM1,1,3,20061.0
19267,60678,EEFSEC,1,20,4172.0
19809,29080,CCDC59,1,22,12186.0
