Node ID,Protein ID,Protein Name,Disease Node,Degree
31,36,,0,47
159,191,,0,85
185,224,,0,106
321,392,,0,48
374,65992,,0,27
444,535,,0,58
446,537,,0,30
458,550,,0,64
683,819,,0,37
694,830,,0,270
760,908,,0,190
987,114882,,0,24
1098,1314,,0,209
1099,1315,,0,107
1281,54867,,0,28
1361,1629,,0,41
1427,1727,,0,35
1505,132884,,1,85
1572,1891,,0,75
1653,1994,,0,1866
1667,2010,,0,225
1699,2045,,0,19
1813,2181,,0,51
1901,2288,,0,88
1944,493856,,0,23
2441,2997,,0,68
2581,3163,,0,58
2709,3309,,0,517
3008,3688,,0,150
3153,167691,,0,115
3191,3895,,0,54
3223,3930,,0,48
3382,200728,,0,401
3682,4548,,0,34
3712,4591,,0,98
3901,4809,,0,345
3948,4867,,0,86
4019,201562,,0,13
4143,5108,,0,269
4147,5116,,0,64
4257,136319,,0,41
4425,5447,,0,38
4475,55831,,0,32
4694,5770,,0,142
4695,5771,,0,39
4719,5796,,0,109
4763,5862,,0,114
4937,55627,,0,25
4951,6103,,0,34
5013,6184,,0,262
5183,6389,,0,94
5254,6472,,0,455
5310,6535,,0,7
5324,55705,,0,123
5411,6646,,0,44
5480,6726,,0,50
5485,6731,,0,55
5488,6734,,0,35
5535,6786,,0,27
5536,6787,,0,19
5555,6811,,0,74
5572,22984,,0,32
5582,6844,,0,88
5626,137964,,0,14
5669,203547,,0,27
5679,6950,,0,289
5744,7037,,0,109
5787,7082,,0,140
5816,7112,,0,119
5857,7159,,0,184
5893,7203,,0,241
5938,7266,,0,98
5961,165055,,0,49
6091,7444,,0,32
6164,7533,,0,343
6326,7798,,0,69
6380,7879,,0,182
6405,7922,,0,37
6520,8125,,0,66
6761,8481,,0,274
7110,8879,,0,35
7359,9197,,0,56
7378,9217,,0,139
7379,9218,,0,224
7439,9296,,0,53
7473,9341,,0,58
7591,9482,,0,55
7634,9532,,0,125
7653,9554,,0,75
7716,9631,,0,60
7746,9662,,0,170
7775,9694,,0,111
7810,9731,,0,73
7817,9738,,0,70
7865,9789,,0,34
7920,9851,,0,132
7926,9857,,0,63
7928,9859,,0,180
7990,9928,,0,54
8146,10113,,0,14
8165,10134,,0,87
8189,10159,,0,109
8219,10198,,0,31
8227,10206,,0,25
8294,10282,,0,37
8336,10328,,0,30
8358,50814,,0,20
8414,10424,,0,18
8417,10427,,0,35
8466,23592,,0,34
8484,10499,,0,103
8505,10526,,0,96
8506,10527,,0,94
8523,10550,,0,34
8527,10554,,0,14
8547,10574,,0,189
8548,10575,,0,188
8549,10576,,0,217
8619,10652,,0,44
8673,10726,,0,89
8737,10807,,0,56
8814,10910,,0,89
8866,10970,,0,85
8945,11064,,0,159
8960,11079,,0,34
8988,11116,,0,146
9015,11146,,0,35
9027,11160,,0,99
9054,56478,,0,57
9086,11231,,0,32
9942,51337,,0,12
10119,79039,,0,51
10144,79073,,0,20
10300,24149,,0,22
10349,79441,,0,43
10418,79583,,1,31
10431,79598,,0,58
10602,79796,,0,14
10647,79848,,1,59
10661,79867,,1,211
10697,79908,,0,42
10745,145508,,0,278
10889,80173,,0,25
10898,80184,,1,109
11066,26286,,0,19
11079,285282,,0,20
11233,80776,,1,62
11234,80777,,0,39
11284,80856,,0,28
11348,79031,,0,23
11583,147007,,0,16
11598,81502,,0,23
11616,81542,,0,29
11649,83460,,0,9
11693,81671,,0,11
11779,81839,,0,24
12141,23478,,0,20
12320,84803,,0,8
12877,51015,,0,40
12887,51026,,0,179
13046,51202,,0,151
13099,51259,,1,244
13128,84061,,0,39
13192,51368,,0,46
13276,51465,,0,44
13300,84260,,0,80
13332,84292,,0,195
13357,84317,,0,19
13398,51599,,0,28
13427,51635,,0,21
13431,117178,,0,248
13523,84522,,0,30
13816,84928,,0,21
14051,85379,,0,36
14358,134492,,0,49
14548,151963,,0,18
14654,152185,,0,157
14899,54407,,0,25
14999,3998,,0,70
15171,54801,,0,55
15205,54839,,0,24
15259,54901,,0,15
15261,54903,,1,64
15273,54915,,0,62
15431,55094,,0,116
15461,55129,,0,2
15544,55219,,0,33
15580,55255,,0,7
15677,55379,,0,149
15755,23065,,0,39
15772,55559,,0,72
15807,22832,,0,140
15912,55706,,0,32
15920,22948,,0,173
15950,22981,,0,211
15963,22994,,0,105
15996,23028,,0,374
16074,23112,,0,75
16091,55898,,0,82
16102,23141,,0,27
16116,23155,,0,15
16150,23190,,0,26
16212,23256,,0,53
16271,23322,,1,151
16291,23344,,0,33
16331,23386,,0,42
16564,23646,,0,27
16620,154807,,0,19
16647,23770,,0,104
16744,56704,,0,40
16823,56851,,0,37
16941,57003,,0,43
17017,57096,,1,59
17048,57130,,0,14
17237,57414,,0,7
17343,57545,,1,35
17463,25998,,0,76
17836,91147,,1,54
17896,58477,,0,148
18009,25843,,0,96
18147,26020,,0,13
18206,26092,,0,56
18210,26097,,0,46
18227,26123,,0,317
18332,26270,,0,622
18424,91978,,0,15
18529,92140,,0,25
18788,27077,,1,23
19207,93323,,0,59
19210,60559,,0,11
19234,93380,,0,117
19808,29079,,0,368
19951,55716,,0,6
20180,29922,,0,114
20181,201595,,0,37
20212,29956,,0,39
20573,653519,,0,12
20631,55591,,0,16
20860,64215,,0,18
21145,64746,,0,30
21165,64770,,0,80
21184,64793,,0,41
21343,65062,,1,149
21379,261734,,0,44
21528,196527,,0,10
