Node ID,Protein ID,Protein Name,Disease Node,Degree
20,25,,0,389
60,71,,0,187
287,351,,0,2132
301,367,,0,301
384,466,,0,40
389,472,,0,218
412,80760,,0,10
453,545,,0,134
472,571,,0,51
481,580,,0,282
495,595,,0,112
496,596,,0,136
531,641,,0,100
561,672,,1,609
563,675,,1,90
700,836,,0,183
746,890,,0,140
752,898,,0,83
843,999,,1,135
861,1017,,0,892
869,1025,,0,247
1158,1385,,0,198
1160,1387,,0,400
1217,1453,,0,88
1221,1457,,0,615
1249,1487,,0,171
1250,1488,,0,149
1259,1499,,0,395
1322,1586,,0,37
1552,1869,,0,142
1661,2002,,0,63
1680,2023,,0,361
1687,2033,,0,547
1702,2048,,1,41
1728,2074,,0,55
1809,2177,,0,74
1916,2305,,0,72
1927,2316,,0,359
1957,2353,,0,259
2019,2475,,0,162
2059,2534,,0,410
2069,2547,,0,285
2338,2885,,0,1081
2405,2956,,0,87
2458,3014,,0,307
2500,3065,,0,611
2501,3066,,0,387
2579,3161,,0,37
2598,3183,,0,386
2703,3303,,0,353
2712,3312,,0,600
2718,3320,,0,900
2724,3329,,0,379
3046,3728,,0,147
3142,3838,,0,225
3353,4087,,0,394
3354,4088,,0,417
3446,4193,,0,470
3447,4194,,0,78
3517,4292,,0,198
3574,4361,,0,130
3601,4436,,0,132
3627,4477,,1,2
3629,4481,,1,10
3794,4683,,1,88
3801,4690,,0,267
4145,5111,,0,390
4349,5347,,0,268
4385,5395,,0,56
4408,5429,,0,46
4413,5434,,0,126
4420,5441,,0,96
4428,5451,,0,107
4463,5499,,0,356
4477,5515,,0,262
4488,5527,,0,43
4547,5591,,0,312
4550,5594,,0,402
4551,5595,,0,349
4786,5885,,0,268
4789,5888,,0,146
4822,5925,,0,257
4829,5932,,0,63
4869,5981,,0,96
4870,5982,,0,94
4872,5984,,0,96
4916,6045,,0,756
4956,6117,,0,494
4957,6118,,0,471
4958,6119,,0,399
5180,6386,,0,332
5278,6502,,0,135
5380,6613,,0,260
5432,6667,,0,441
5469,6714,,0,525
5471,6716,,1,21
5525,6776,,0,106
5660,6928,,1,21
5723,7013,,0,323
5724,7014,,0,267
5855,7157,,0,1001
5856,7158,,0,175
5953,7283,,0,255
5981,7316,,0,1647
5986,7321,,0,278
5999,7334,,0,166
6068,7415,,0,610
6080,7430,,0,176
6148,7515,,0,82
6153,7520,,0,233
6156,7525,,0,156
6436,7979,,0,136
6619,8295,,0,125
6632,8314,,0,62
6655,8339,,0,244
6666,8350,,0,309
6977,8726,,0,483
7064,8826,,0,284
7084,8850,,0,206
7112,8881,,0,79
7213,9025,,0,87
7298,9126,,0,144
7524,9400,,0,54
7672,9577,,0,45
7740,9656,,0,196
8029,9972,,0,123
8144,10111,,0,119
8503,10524,,0,265
8828,10926,,0,22
8833,10933,,0,132
8954,11073,,0,64
9064,11200,,1,113
9545,253260,,0,74
10172,79109,,0,25
10220,79184,,0,59
10472,79648,,0,32
12441,6041,,1,7
12909,51053,,0,58
13183,84126,,0,44
13941,79728,,0,40
15996,23028,,0,374
16354,23411,,0,261
16824,56852,,0,76
17541,57805,,0,121
19192,60528,,1,50
20299,10481,,1,16
20972,64421,,0,34
