Node ID,Protein ID,Protein Name,Disease Node,Degree
168,207,AKT1,0,378
169,208,AKT2,0,129
454,546,ATRX,1,58
562,673,BRAF,1,63
827,983,CDK1,0,415
861,1017,CDK2,0,892
871,1027,CDKN1B,1,106
1221,1457,CSNK2A1,0,615
1223,1459,CSNK2A2,0,341
1259,1499,CTNNB1,0,395
1350,1616,DAXX,1,218
1653,1994,ELAVL1,0,1866
1751,2113,ETS1,0,127
2171,2670,GFAP,0,110
2242,2770,GNAI1,0,107
2463,3020,H3F3A,0,131
2464,3021,H3F3B,0,39
2500,3065,HDAC1,0,611
2501,3066,HDAC2,0,387
2703,3303,HSPA1A,0,353
2704,3304,HSPA1B,0,91
2708,3308,HSPA4,0,366
2712,3312,HSPA8,0,600
3144,3840,KPNA4,0,86
3220,3925,STMN1,0,94
3354,4088,SMAD3,0,417
3467,4221,MEN1,1,73
3592,6196,RPS6KA2,0,48
3729,4609,MYC,0,583
4305,5300,PIN1,0,309
4371,5371,PML,0,237
4550,5594,MAPK1,0,402
4551,5595,MAPK3,0,349
4678,5744,PTHLH,1,12
4956,6117,RPA1,0,494
5230,6446,SGK1,0,114
5329,22938,SNW1,0,291
5380,6613,SUMO2,0,260
5432,6667,SP1,0,441
5491,6737,TRIM21,0,105
5502,6750,SST,0,7
5504,6752,SSTR2,1,10
5505,6753,SSTR3,1,18
5661,6929,TCF3,0,208
5664,6934,TCF7L2,0,60
5855,7157,TP53,0,1001
5968,7298,TYMS,1,77
5980,7314,UBB,0,256
5981,7316,UBC,0,1647
5985,7320,UBE2B,0,89
5994,7329,UBE2I,0,502
6147,7514,XPO1,0,1256
6160,7529,YWHAB,0,398
6162,7531,YWHAE,0,426
6163,7532,YWHAG,0,542
6164,7533,YWHAH,0,343
6165,7534,YWHAZ,0,662
6421,1325,CORT,0,7
6666,8350,HIST1H3A,0,309
6679,8363,HIST1H4J,0,58
7064,8826,IQGAP1,0,284
8053,10000,AKT3,0,76
8287,10273,STUB1,0,258
8828,10926,DBF4,0,22
8867,10971,YWHAQ,0,464
9062,11198,SUPT16H,0,206
9626,12412,,0,150
16160,121504,HIST4H4,0,149
16404,23468,CBX5,0,198
18261,26168,SENP3,0,57
20292,3077530,,0,2
20483,6751,SSTR1,1,5
