Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
8065,10014,HDAC5,0,370,
4739,5824,PEX19,0,123,
8196,10166,SLC25A15,1,8,13.0
3461,4214,MAP3K1,0,242,
6792,8517,IKBKG,0,465,
4745,5830,PEX5,0,100,
15877,55670,PEX26,1,6,4.0
8977,11100,HNRNPUL1,0,171,
3986,4914,NTRK1,0,1965,
18835,617,BCS1L,1,13,5405.0
1428,1728,NQO1,0,30,
5142,6341,SCO1,1,5,4902.0
1943,2335,FN1,0,792,
6040,7381,UQCRB,0,111,
6042,7385,UQCRC2,0,193,
6043,7386,UQCRFS1,0,132,
13468,51684,SUFU,0,63,
2718,3320,HSP90AA1,0,900,
287,351,APP,0,2132,
3232,3939,LDHA,0,167,
4129,5093,PCBP1,0,192,
8995,11124,FAF1,0,112,
5412,6647,SOD1,0,199,
2599,3184,HNRNPD,0,342,
8104,10063,COX17,0,35,
18332,26270,FBXO6,0,622,
534,644,BLVRA,1,22,10623.0
18092,22868,FASTKD2,1,16,18963.0
18478,26528,DAZAP1,0,80,
8112,10075,HUWE1,0,461,
6065,7412,VCAM1,0,446,
15776,22796,COG2,1,26,7221.0
12443,5828,PEX2,1,13,115.0
9145,11315,PARK7,0,81,
3258,132,ADK,1,15,784.0
5180,6386,SDCBP,0,332,
313,382,ARF6,0,143,
2111,2592,GALT,1,13,7950.0
18881,4534,MTM1,1,5,2212.0
5835,7132,TNFRSF1A,0,219,
3012,3692,EIF6,0,209,
4989,6157,RPL27A,0,286,
3400,4141,MARS,1,84,4259.0
1712,2058,EPRS,0,247,
4555,5599,MAPK8,0,256,
5880,7184,HSP90B1,0,171,
16233,23281,MTUS2,0,361,
433,523,ATP6V1A,0,103,
6739,8452,CUL3,0,1228,
7893,9820,CUL7,0,649,
13399,51601,LIPT1,1,8,11961.0
13656,84708,LNX1,0,497,
1115,1340,COX6B1,1,38,20167.0
16988,57062,DDX24,0,132,
3422,4163,MCC,0,306,
6780,8504,PEX3,0,10,
3426,4171,MCM2,0,918,
1379,1650,DDOST,1,176,2356.0
7013,8772,FADD,1,87,7187.0
2535,3106,HLA-B,0,333,
3561,4343,MOV10,0,1178,
7658,9559,VPS26A,0,100,
7531,9409,PEX16,1,6,3.0
18796,27089,UQCRQ,0,134,
15356,55005,RMND1,1,13,10466.0
16637,23760,PITPNB,0,27,
7379,9218,VAPA,0,224,
4212,5192,PEX10,1,22,19.0
1653,1994,ELAVL1,0,1866,
4214,5194,PEX13,1,11,11226.0
5623,6888,TALDO1,1,88,495.0
13048,51204,TACO1,1,21,2072.0
5882,7186,TRAF2,0,509,
4215,5195,PEX14,0,74,
12028,16709,,0,73,
5885,7189,TRAF6,0,552,
1022,1213,CLTC,0,355,
2687,134359,POC5,0,70,
