Node ID,Protein ID,Protein Name,Disease Node,Degree,LCI
2048,2521,,0,354,
6147,7514,,0,1256,
16388,23450,,0,489,
16389,23451,,0,446,
6153,7520,,0,233,
2059,2534,,0,410,
6160,7529,,0,398,
6162,7531,,0,426,
6163,7532,,0,542,
6164,7533,,0,343,
6165,7534,,0,662,
8232,10211,,0,121,
18478,26528,,0,80,
60,71,,0,187,
8254,10236,,0,273,
65,81,,0,153,
67,87,,0,164,
694,830,,0,270,
15276,54919,,0,56,
16462,23530,,0,47,
12367,286887,,0,36,
82,103,,0,75,
5476,6721,,0,113,
3431,4176,,0,178,
20,25,,0,389,
6269,7706,,0,91,
2069,2547,,0,285,
16519,23594,,1,31,386.0
16520,23595,,0,45,
16527,23603,,0,103,
168,207,,0,378,
2220,2735,,0,66,
2222,2737,,0,29,
8372,10376,,0,125,
16567,23649,,0,68,
8377,10383,,0,154,
2242,2770,,0,107,
8391,10399,,0,286,
4371,5371,,0,237,
2249,2778,,0,98,
4300,5295,,0,307,
4305,5300,,0,309,
8403,10413,,0,137,
8409,10419,,0,360,
4319,5315,,0,194,
8421,10432,,0,117,
237,292,,0,335,
238,293,,0,207,
242,302,,0,200,
4339,5335,,0,279,
4343,5339,,0,105,
248,308,,0,45,
7893,9820,,1,649,959.0
8467,10482,,0,1153,
287,351,,0,2132,
2336,2879,,1,53,7233.0
2338,2885,,0,1081,
301,367,,0,301,
8504,10525,,0,80,
1759,2121,,1,2,2590.0
2375,2923,,0,144,
11661,81608,,0,62,
2384,2934,,0,88,
337,408,,0,314,
338,409,,0,366,
6500,8087,,0,170,
4463,5499,,0,356,
4464,5500,,0,253,
4465,5501,,0,308,
2422,2975,,0,189,
6531,8148,,0,99,
393,476,,0,160,
403,488,,0,84,
418,506,,0,158,
2468,3028,,0,122,
10663,79869,,0,100,
4524,5566,,0,420,
8623,10657,,0,191,
6899,8643,,1,5,4875.0
2500,3065,,0,611,
2501,3066,,0,387,
454,546,,0,58,
480,579,,1,14,3212.0
2534,3105,,0,104,
2536,3107,,0,115,
6635,8317,,0,62,
6636,8318,,0,39,
18514,59349,,0,75,
16883,56928,,0,10,
8710,10772,,0,149,
6666,8350,,0,309,
2577,3159,,0,105,
6686,8370,,0,84,
18977,27332,,0,52,
