Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
6147,7514,XPO1,0,1256,
6149,7516,XRCC2,1,13,103.0
6150,7517,XRCC3,0,143,
8202,10174,SORBS3,0,156,
2059,2534,FYN,0,410,
17069,286530,P2RY8,0,28,
6163,7532,YWHAG,0,542,
8212,10189,ALYREF,0,252,
6165,7534,YWHAZ,0,662,
20505,653361,NCF1,0,49,
687,823,CAPN1,0,110,
8227,10206,TRIM13,0,25,
4145,5111,PCNA,0,390,
53,60,ACTB,0,466,
2104,378708,CENPS,0,33,
10297,51455,REV1,0,27,
60,71,ACTG1,0,187,
8253,10235,RASGRP2,0,6,
2115,2597,GAPDH,0,304,
70,90,ACVR1,0,121,
17324,57521,RPTOR,0,88,
20558,37916,,0,4,
6225,6732,SRPK1,0,349,
4182,5155,PDGFB,0,27,
8287,10273,STUB1,0,258,
1383,1654,DDX3X,0,379,
20,25,ABL1,0,389,
2171,2670,GFAP,0,110,
12418,2919,CXCL1,0,14,
16534,23612,PHLDA3,0,98,
4259,5250,SLC25A3,0,311,
168,207,AKT1,1,378,121.0
169,208,AKT2,0,129,
4275,5268,SERPINB5,0,56,
8376,10382,TUBB4A,0,103,
187,226,ALDOA,0,141,
188,55655,NLRP2,0,36,
8391,10399,RACK1,0,286,
4296,5291,PIK3CB,0,37,
4298,5293,PIK3CD,0,25,
4299,5294,PIK3CG,0,39,
4300,5295,PIK3R1,0,307,
4301,5296,PIK3R2,0,144,
10447,79621,RNASEH2B,0,40,
10472,79648,MCPH1,0,32,
6378,7874,USP7,0,313,
237,292,SLC25A5,0,335,
238,293,SLC25A6,0,207,
4339,5335,PLCG1,0,279,
4349,5347,PLK1,0,268,
270,331,XIAP,0,164,
4371,5371,PML,0,237,
287,351,APP,0,2132,
16673,126074,SWSAP1,0,9,
2338,2885,GRB2,0,1081,
2340,2887,GRB10,0,62,
16680,353497,POLN,0,10,
18733,26994,RNF11,0,104,
303,369,ARAF,0,104,
306,373,TRIM23,0,265,
4408,5429,POLH,0,46,
8506,10527,IPO7,0,94,
16702,56647,BCCIP,0,63,
6469,8036,SHOC2,0,14,
2382,2932,GSK3B,0,362,
338,409,ARRB2,0,366,
14675,53918,PELO,0,40,
18784,92609,TIMM50,0,89,
12646,83481,EPPK1,0,62,
4458,5493,PPL,0,73,
4463,5499,PPP1CA,0,356,
4464,5500,PPP1CB,0,253,
4465,5501,PPP1CC,0,308,
2418,2969,GTF2I,0,149,
4477,5515,PPP2CA,0,262,
4485,5524,PTPA,0,67,
393,476,ATP1A1,0,160,
4491,5530,PPP3CA,0,87,
8597,10627,MYL12A,0,66,
2458,3014,H2AFX,0,307,
413,498,ATP5F1A,0,213,
6560,8202,NCOA3,0,134,
418,506,ATP5F1B,0,158,
12726,83593,RASSF5,0,56,
4535,5579,PRKCB,0,202,
16824,56852,RAD18,0,76,
4540,5584,PRKCI,0,179,
4541,5585,PKN1,0,116,
4542,5586,PKN2,0,78,
448,539,ATP5PO,0,106,
4546,5590,PRKCZ,0,229,
2499,3064,HTT,0,205,
453,545,ATR,0,134,
4555,5599,MAPK8,0,256,
14072,3313,HSPA9,0,264,
2516,3081,HGD,1,10,2.0
4174,5147,PDE6D,0,52,
18910,27246,RNF115,0,43,
481,580,BARD1,0,282,
5885,7189,TRAF6,0,552,
496,596,BCL2,0,136,
6665,8349,HIST2H2BE,0,207,
