Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C1856661,Cloudy cornea,0.16666666666666666,5689.03125,0.03511767387278024,5175.875,0.7312506775067751,0.19166666666666665
C0024003,Lordosis,0.016666666666666666,5297.037037037037,0.008260207976577791,6437.2962962962965,0.7590616038072208,0.06999999999999999
C4280636,Hypertrophy of supraorbital ridge,0.05,2899.0,0.018282932408307397,5696.789473684211,0.8695294363450646,0.2
C0423221,Globe of eye large,0.0,4499.05,0.0030565331482821935,6718.35,0.7787551655290894,0.1
C1876165,Copper-Overload Cirrhosis,0.0,1800.0,0.006022294706816042,4104.909090909091,0.9152789380859557,0.1
C0877056,Hypoglycaemic seizure,0.0,4286.7,0.0022925636156488106,7894.4,0.7913236181370956,0.1
C0242339,Dyslipidemias,0.0,6421.961538461538,0.0013643719728556034,6929.807692307692,0.7160373415075937,0.0
C0751401,Ophthalmoparesis,0.0,5845.181818181818,0.002987498606244429,6072.272727272727,0.7312064884433307,0.2
C4082299,Bulbar palsy,0.05,4403.9473684210525,0.004501451368665974,4347.473684210527,0.7930471724394095,0.05
C3808377,"CATARACT 16, MULTIPLE TYPES",0.4,3369.133333333333,0.22905293707620458,3830.2,0.8079333395227927,0.45
C0025286,Meningioma,0.0,3385.0,0.004314666135379505,4197.0,0.8340341630290083,0.13333333333333333
C0393706,Early infantile epileptic encephalopathy with suppression bursts,0.0,6492.8,0.0003894837468538684,7072.2,0.6735160347148095,0.0
C1847584,Distal sensory impairment,0.02,6105.461538461538,0.0037142755667946533,7629.942307692308,0.7180669611718205,0.06000000000000001
C4072834,Rough hair texture,0.0,3994.8064516129034,0.003814794439006301,6930.935483870968,0.8085450927560469,0.12499999999999997
C0020443,Hypercholesterolemia,0.0,4360.473684210527,0.002515091188127306,5746.684210526316,0.7971186315968832,0.05
C0405580,Adrenal cortical hypofunction,0.8,522.9375,0.3454134799386795,5685.125,0.9802098324126085,0.85
C0020255,Hydrocephalus,0.03636363636363636,4305.306306306306,0.015710302050297463,7380.378378378378,0.79958260210988,0.045454545454545456
