Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0857973,Increased serum parathyroid hormone,0.15,2764.6153846153848,0.03493709163372437,3720.6153846153848,0.8241018380987747,0.25
C0427055,Facial Paresis,0.06999999999999999,5169.71186440678,0.027950844994319195,5987.6949152542375,0.7476156696746984,0.13999999999999999
C0020455,Hypergammaglobulinemia,0.0,4058.8,0.0013594545251001205,4616.2,0.8002552559521046,0.0
C0007384,Cataplexy,0.0,6637.4,0.006240246387886922,4822.4,0.6219264862857938,0.4
C0270612,Leukoencephalopathies,0.1,5993.275862068966,0.023049676845508477,5934.448275862069,0.7253073516660473,0.19999999999999998
C1835763,Vertebral body fusion,0.11666666666666665,3083.84,0.07537229795380855,6229.52,0.8557848009164652,0.25
C0558242,Stretched skin,0.1111111111111111,7073.555555555556,0.11469518761538312,4483.444444444444,0.6314068848874864,0.2222222222222222
C0008350,Cholelithiasis,0.05,2583.6315789473683,0.006324269327969978,4031.4210526315787,0.8859538954406165,0.15
C0426818,Thin rib,0.13333333333333333,2642.3809523809523,0.03192592557438528,5366.428571428572,0.8584169143140169,0.13333333333333333
C4072832,Distortion of face,0.0,3316.127659574468,0.005505150965742243,4867.276595744681,0.8329883774988378,0.11000000000000001
C0239676,High forehead,0.08818181818181818,1885.3106796116506,0.06801453808522658,6384.9514563106795,0.9119507699348288,0.24545454545454545
C4280630,Pinched bridge of nose,0.0,6272.285714285715,0.0018617962557652443,5800.5,0.6618959754908788,0.05
C0005747,Blepharospasm,0.2,5088.545454545455,0.027455575710830942,3396.0,0.7448772393947832,0.2
C0206762,"Limb Deformities, Congenital",0.05,3116.6666666666665,0.008199666997713222,4350.4,0.8416651193018291,0.1
C1855019,Psychomotor regression,0.03222222222222222,2210.7204301075267,0.04281696204126958,6392.258064516129,0.8949160610013667,0.25
C4020897,Uroureter,0.2,3443.9333333333334,0.07061919275875901,7243.333333333333,0.8599201559743757,0.35
C0581381,Recurrent upper respiratory tract infection,0.36666666666666664,867.0,0.08094416003319503,4489.523809523809,0.9578821508172363,0.6
C0038013,Ankylosing spondylitis,0.0,5334.416666666667,0.005244268037784172,10002.916666666666,0.6961731260153168,0.2
C0239105,Conjunctival telangiectasis,0.6,569.5,0.12235841530299293,2721.214285714286,0.969618901731421,0.65
C1862939,AMYOTROPHIC LATERAL SCLEROSIS 1,0.0,5352.404255319149,0.0018843507743396385,4386.808510638298,0.7438025337052533,0.045
C0158646,Cleft palate with cleft lip,0.08333333333333333,2947.0,0.01852946583887032,5789.217391304348,0.868747097613077,0.3
C3665596,Warts,0.3,4283.4,0.065225419037204,4763.7,0.78079779087576,0.3
C0158733,Hand polydactyly,0.0,5218.272727272727,0.0007684138068450363,6051.454545454545,0.7473521767381417,0.0
C3463824,MYELODYSPLASTIC SYNDROME,0.025,5483.611111111111,0.01468058498354061,6641.361111111111,0.7383727909173985,0.08333333333333333
C3839460,Nonprogressive,0.0,8270.818181818182,0.0005713822769567816,4233.272727272727,0.5358651257774065,0.0
C0235942,Skull malformation,0.1,3467.2368421052633,0.08354762851511784,6028.421052631579,0.8403461282277677,0.13333333333333333
C1837388,Abnormal respiratory patterns,0.1,2260.3684210526317,0.013010269182490283,5454.631578947368,0.9032071222954776,0.35
C0009171,Cocaine Abuse,0.05,6640.75,0.014592595024679373,4809.1875,0.6584339167169585,0.2
C0007222,Cardiovascular Diseases,0.03333333333333333,4376.3050847457625,0.016606519924452983,3988.322033898305,0.7902610320339878,0.17333333333333334
C0948023,Urine phosphorous concentration above normal,0.0,5705.789473684211,0.0010896180174818212,4546.473684210527,0.677892561983471,0.0
C0003635,Apraxias,0.11666666666666665,2371.925925925926,0.02882086674328587,7039.777777777777,0.9046129431800589,0.4333333333333333
C0426891,Broad thumbs,0.16666666666666666,3478.5,0.01776208557896628,5328.821428571428,0.8445027637140601,0.26666666666666666
C0003886,Arthrogryposis,0.03666666666666667,4482.222222222223,0.013381000246549968,5498.944444444444,0.7763588801562573,0.13
C1836940,Excess nuchal skin,0.16666666666666666,3202.1,0.10417912213441285,6043.4,0.8524589275483502,0.19999999999999998
C0043202,Wolff-Parkinson-White Syndrome,0.3,1854.4615384615386,0.06647597294639436,4350.538461538462,0.9053646026735981,0.65
C0162539,IgG Deficiency,0.08333333333333333,2320.4545454545455,0.011638482495321009,4552.454545454545,0.8953711013079483,0.2333333333333333
C1860121,Decreased testosterone in males,0.03333333333333333,3415.75,0.005460112171412732,5923.178571428572,0.8360041494418381,0.13333333333333333
C4280368,Hypotrophic cheekbone,0.25,2687.9545454545455,0.1414286026462256,5154.272727272727,0.8635837009519388,0.4833333333333333
C0085110,Severe Combined Immunodeficiency,0.1,2323.294117647059,0.035113344642593185,4636.529411764706,0.8942931754874651,0.3
C1836926,Fundus with peripheral 'bony spicules',0.0,7342.7,0.0003070280753018918,8987.1,0.6493989882582263,0.0
C0235095,Visual field constriction,0.25,5074.257142857143,0.06795861614022866,6378.342857142857,0.7496888842424805,0.4
C0008073,Developmental Disabilities,0.0,4743.809523809524,0.0007865093060434427,7338.761904761905,0.78516708457157,0.0
C0040411,Tongue Neoplasms,0.0,3475.222222222222,0.0032107417159702107,3533.3333333333335,0.8256115545655178,0.1111111111111111
C0036920,Sezary Syndrome,0.06666666666666667,3546.6666666666665,0.011514978411619426,5217.259259259259,0.826571837745781,0.2333333333333333
C0004158,Athetosis,0.05,5300.625,0.050685214613953714,7090.125,0.7688477786546585,0.05
C4280623,Rotting teeth,0.08928571428571427,2713.810810810811,0.025353590409044176,5349.581081081081,0.8689199433439064,0.2357142857142857
C1704375,Hypophosphatemic Rickets,0.2,6986.1,0.053223311116654105,3158.3,0.5834431707430269,0.3
C0162154,Atrophic scar,0.2,342.5,0.11349799777747407,2711.8888888888887,0.9852140303635266,0.85
C0241178,Velvety skin,0.25,3398.6470588235293,0.06686021460813965,5354.294117647059,0.8452472144846797,0.35
