Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C1865200,Delayed epiphyseal ossification,0.1111111111111111,2769.6666666666665,0.11647707907023058,3349.5555555555557,0.8715013509890065,0.4444444444444444
C0085159,Seasonal Affective Disorder,0.2,4844.8125,0.0359581984457993,7743.8125,0.8232510097024278,0.3
C3495559,Juvenile arthritis,0.03205128205128205,5218.4838709677415,0.006613383101800839,7360.903225806452,0.7561173938582608,0.04038461538461539
C0033941,"Psychoses, Substance-Induced",0.0,3829.235294117647,0.007571059673140984,3369.705882352941,0.8439287372330548,0.25
C0282527,Infantile Refsum Disease (disorder),0.9,12.076923076923077,0.47612305099030766,6494.384615384615,0.9993710545859635,0.9
C0023794,Lipoidosis,0.05,6917.0,0.011675392076979957,7578.1578947368425,0.6771055808338751,0.1
C0037299,Skin Ulcer,0.08,3812.938775510204,0.01458839034510867,6630.34693877551,0.8207525106936954,0.165
C0427065,Distal muscle weakness,0.03333333333333333,5057.387096774193,0.005407702774799053,6373.4838709677415,0.7633918186953778,0.09523809523809522
C0020302,Hydrophthalmos,0.05,4982.1578947368425,0.006285487159317998,7258.1578947368425,0.7573776580926734,0.15
C0085207,Gestational Diabetes,0.0,4449.166666666667,0.003080212533036646,5366.5,0.7587236017637504,0.15
C1834055,Thin hypoplastic alae nasi,0.05333333333333333,3870.372549019608,0.01848270574715739,6651.529411764706,0.8171880715459252,0.11333333333333333
C0042900,Vitiligo,0.0,4173.105263157895,0.0025188525095510236,9371.736842105263,0.7897007614448881,0.05
C1856872,Sloping shoulders,0.1,3872.75,0.07695179454174944,6306.35,0.8201885127919395,0.15
C0011991,Diarrhea,0.017424242424242425,4106.377192982456,0.0058715938584531545,4744.596491228071,0.8091584772313916,0.06136363636363636
C0241181,Fragile skin,0.2,2427.3333333333335,0.09143453995646532,4281.166666666667,0.8704257393565161,0.5
C1720887,Female Urogenital Diseases,0.0,3564.6111111111113,0.006156080290399794,3840.9444444444443,0.8434850735874461,0.25
C0005745,Blepharoptosis,0.03932806324110672,3707.4323144104806,0.018508959339150102,6283.921397379912,0.8261474413193219,0.12193675889328064
C0426790,Narrow thorax,0.03666666666666667,4035.3396226415093,0.00528727205894023,7470.603773584906,0.8120693049355159,0.056666666666666664
C1862314,Basal cell nevi,0.23333333333333334,1504.8260869565217,0.06806243501845916,4958.478260869565,0.9204328039379586,0.4
C0149521,"Pancreatitis, Chronic",0.0,5784.0,0.0006821480047567656,3719.4444444444443,0.6887491491863128,0.0
C0002896,Sideroblastic anemia,0.0,5997.5,0.000793343578100794,8790.25,0.7612798793223486,0.0
C0748691,Shoulder weakness,0.1,2657.3,0.009318164896918122,6356.5,0.8767206571680513,0.3
C0087012,"Ataxia, Spinocerebellar",0.2,2410.9375,0.03821224309519392,7900.75,0.8906619934079197,0.25
C4020884,Anxiety disease,0.02727272727272727,3736.1160714285716,0.005913409551584427,6068.598214285715,0.8267507966114866,0.05454545454545454
C1846223,Adrenal hypoplasia,0.0,3730.0833333333335,0.001872822523192826,6539.0,0.8336690647482016,0.05
C0740279,Atrophy of cerebellum,0.02,3529.16,0.009458767432460621,7520.93,0.8362550682760871,0.09
C0240735,Personality change,0.3,3405.1304347826085,0.163738598278851,7417.869565217391,0.8534782204885298,0.3333333333333333
C2229182,"Psychomotor retardation, mild",0.15,4287.928571428572,0.030102233683635148,5768.0,0.7078842315369261,0.2
C0011609,Drug Eruptions,0.0,4024.8333333333335,0.002352350355181677,3426.6111111111113,0.7718707925159014,0.05
C0473527,Hypoalphalipoproteinemias,0.2,2469.0,0.05018103135343623,3591.6,0.8853993595396112,0.4
C0034012,Delayed Puberty,0.02222222222222222,4056.4239130434785,0.0063323475421504264,6393.152173913043,0.8079654735098482,0.05555555555555556
C0034885,Rectal Neoplasms,0.5,948.2777777777778,0.15012736706528867,4959.944444444444,0.9604299178234831,0.55
C4020878,Diffusely thickened skin,0.0,5262.714285714285,0.0037487730497794388,5306.9047619047615,0.7526084231054978,0.1
C0014067,Occipital Encephalocele,0.2,2895.7,0.20538546624006987,12422.2,0.8656750359678842,0.4
C0027726,Nephrotic Syndrome,0.09,3523.75,0.042262477859892664,4045.8928571428573,0.8346189324527542,0.22666666666666666
C1865037,Cone-shaped epiphyses,0.13333333333333333,3109.4166666666665,0.016646498056841923,7173.125,0.8566843139986687,0.18333333333333332
C0566620,Nasal voice,0.0,5431.205128205128,0.0012054020161779157,7110.333333333333,0.7451894925178919,0.0
C0040412,Fissured tongue,0.2,3035.3529411764707,0.037462361603677816,7176.0,0.8820241411327763,0.3
C0022661,"Kidney Failure, Chronic",0.05,3711.340909090909,0.008452808178929187,5263.818181818182,0.834153999907033,0.095
C0151878,Prolonged QT interval,0.2,1261.5294117647059,0.03601079185839838,3820.0,0.9417421077065924,0.6
C0008325,Cholecystitis,0.15,1299.5833333333333,0.055982343897119716,3086.4166666666665,0.9162589928057553,0.45
C4280627,Failure of development of eyelashes,0.0,5362.75,0.0018727903270362174,8504.75,0.7501404298779073,0.1
C0013404,Dyspnea,0.0,4438.161764705882,0.0033917858281018154,6120.985294117647,0.790402675566015,0.014285714285714285
C0376545,Hematologic Neoplasms,0.35,1232.590909090909,0.10606204295116665,3057.818181818182,0.9389327451435646,0.4666666666666666
C4072824,Wide skull shape,0.02361111111111111,5002.379310344828,0.007946898909436813,6780.781609195402,0.7680586606634581,0.10555555555555556
C1836047,Long face,0.0,5385.760563380281,0.00344718907899593,7773.760563380281,0.7458107272509673,0.04285714285714286
C0271623,Hypogonadotropic hypogonadism,0.014285714285714285,4630.583333333333,0.004926282426782748,6210.444444444444,0.7806036603610492,0.09642857142857142
C1836940,Excess nuchal skin,0.1,3326.6666666666665,0.055606431158601234,6043.4,0.8458811415122096,0.26666666666666666
C1833118,"Cataract, Pulverulent",0.55,1386.7272727272727,0.10919783318861871,3098.4545454545455,0.9325025526779912,0.65
C1522137,Hypertriglyceridemia result,0.025,3505.1388888888887,0.016248723767901457,3985.25,0.8353325434072147,0.075
C0026826,Muscle Hypertonia,0.03333333333333333,5379.022727272727,0.007389247730376487,5780.954545454545,0.7466786089503729,0.09166666666666666
C0563243,Poor coordination,0.25,4346.363636363636,0.2110523818082414,3968.6363636363635,0.7656363130047341,0.45
C1839829,Short distal phalanges,0.1,4896.44,0.030961594504579425,6189.86,0.7712512205328498,0.15999999999999998
C0338656,Impaired cognition,0.08222222222222222,4166.385416666667,0.024449468397172512,7055.0625,0.8061143210681909,0.13444444444444445
C0149630,Bicuspid aortic valve,0.0,3198.125,0.0034856701782687133,6462.25,0.8686063785339584,0.15
C0010495,Cutis Laxa,0.13333333333333333,3196.7083333333335,0.022442780914153866,7831.25,0.8491513026517439,0.25
C0008780,Ciliary Motility Disorders,0.0,9600.57142857143,0.0003664053907132228,12365.714285714286,0.5285599231793824,0.0
C0020626,Hypoparathyroidism,0.0,8846.5625,0.0006841542515593606,3744.125,0.5588888630982778,0.05
C0008924,Cleft Lip,0.075,4229.051282051282,0.016126948703125314,7223.2307692307695,0.8024057135541028,0.1
C0030312,Pancytopenia,0.03333333333333333,3754.0,0.007642157520790549,5286.714285714285,0.8221538812997553,0.08333333333333333
C0017567,Gingival Hypertrophy,0.0,5897.69696969697,0.0039921898155697855,5310.090909090909,0.728258571826798,0.125
C0018824,Heart valve disease,0.13333333333333333,2922.5833333333335,0.038450495923686545,4492.472222222223,0.857500619549897,0.2
C0262374,Stricture of anus,0.15,5571.692307692308,0.015261578762691496,10183.461538461539,0.7440122539918307,0.15
C0575081,Gait abnormality,0.014835164835164835,4424.661764705882,0.011355240135381507,6486.85294117647,0.7953671322841762,0.0945054945054945
C1842153,Irregular vertebral endplates,0.1,4532.533333333334,0.06981762903954562,5210.733333333334,0.7728541918113454,0.3
C0040822,Tremor,0.00909090909090909,3723.6363636363635,0.005789496042482055,6009.827272727272,0.8266591640280267,0.09090909090909091
C0259817,Xerosis,0.0,3469.133333333333,0.0043901957047205765,5428.16,0.8414912152366764,0.05357142857142857
C0162809,Kallmann Syndrome,0.1,8890.85,0.0066599578217124535,9422.05,0.6002867158842922,0.15
C4021800,Enamel abnormalities,0.03333333333333333,3233.9,0.013982338692680016,6598.9,0.8476664963379322,0.16666666666666666
C0015967,Fever,0.038461538461538464,4068.9596774193546,0.010829181452214884,4654.177419354839,0.8095209041413491,0.08012820512820513
C1857949,Prominent metopic ridge,0.15,1963.3333333333333,0.013759522959907122,2762.0666666666666,0.9178894717296444,0.2
C0014306,Enophthalmos,0.03333333333333333,3890.809523809524,0.009448535270009207,4743.650793650793,0.8209974433618241,0.09999999999999999
C2936346,22q11 Deletion Syndrome,0.0,8351.6,0.0001472057829564034,5750.4,0.5684689283891029,0.0
C2609414,Acute kidney injury,0.04285714285714286,5391.242857142857,0.005737516477528511,4654.814285714286,0.7488112413485896,0.07142857142857142
C4280630,Pinched bridge of nose,0.0,7046.642857142857,0.0009191870631355481,5800.5,0.6252054031471941,0.05
C1859778,Postnatal growth retardation,0.056666666666666664,4150.140350877193,0.014395594583677267,5626.596491228071,0.8054781395348837,0.12333333333333334
C0546964,Genu recurvatum,0.4,1282.8333333333333,0.12055741124181896,3287.5833333333335,0.9307217451844977,0.6
C0019202,Hepatolenticular Degeneration,0.1,2728.5833333333335,0.023092237648988757,4301.375,0.8776397467453056,0.18333333333333332
C1844383,Recurrent bacterial infection,0.175,2623.1666666666665,0.07901688326730692,5009.0,0.8807484313269812,0.225
C1848736,Distal amyotrophy,0.06000000000000001,4591.725490196079,0.008122025622470086,7928.274509803921,0.7856292042530768,0.06000000000000001
C0022521,Kartagener Syndrome,0.0,10813.548387096775,0.00026092621801565027,12353.774193548386,0.5078203877481495,0.0
C0026884,Mutism,0.0,2413.3,0.002191115544399953,8037.7,0.888044739406878,0.1
C1836926,Fundus with peripheral 'bony spicules',0.0,5566.9,0.001109455606494824,8987.1,0.7201582586903049,0.0
C0342276,Maturity onset diabetes mellitus in young,0.1,3870.3636363636365,0.006538167299688337,3232.7272727272725,0.8202357746217395,0.2
C0005695,Bladder Neoplasm,0.08363636363636365,5605.192660550459,0.03471501942676461,5679.1100917431195,0.738400147502628,0.09272727272727273
C0162820,"Dermatitis, Allergic Contact",0.0,5888.787878787879,0.0018695182569151234,6216.575757575758,0.7268708828280277,0.014285714285714285
C0149725,Lower respiratory tract infection,0.2,1712.4166666666667,0.03910306234046963,5014.416666666667,0.9333093525179856,0.5
C0266589,Congenital ear anomaly NOS (disorder),0.0,4634.3448275862065,0.0016551599560390422,6950.068965517241,0.7788898953301127,0.06666666666666667
C0546969,"Preauricular Fistulae, Congenital",0.06666666666666667,4407.2307692307695,0.008850116563524576,5959.461538461538,0.789913767745731,0.26666666666666666
C3278975,Attenuation of retinal blood vessels,0.05,6786.642857142857,0.005396161525358422,6925.0,0.6366429930836002,0.15
C1184923,Lumbar lordosis,0.05,5642.888888888889,0.029237588083581418,5578.666666666667,0.7328311106980778,0.1
C0542519,Congenital absence of kidney,0.1,4473.2,0.020019185921932414,5909.166666666667,0.7837847044796458,0.16666666666666666
C1691215,Penile hypospadias,0.07636363636363637,2973.9904761904763,0.030993049080442574,6418.038095238096,0.8608849355008223,0.2
C0232940,Secondary physiologic amenorrhea,0.13333333333333333,4459.95652173913,0.026082440871276043,5587.565217391304,0.8060005882170831,0.31666666666666665
C0022665,Kidney Neoplasm,0.13333333333333333,2504.5172413793102,0.013021175261018703,5041.172413793103,0.8860522730087947,0.13333333333333333
C1843479,"Neurogenic muscle atrophy, especially in the lower limbs",0.007142857142857143,4002.6323529411766,0.013964368643600733,7389.60294117647,0.8125984514528467,0.06483516483516483
C0002736,Amyotrophic Lateral Sclerosis,0.04,4096.448979591837,0.011962277409978853,6694.122448979592,0.809047563697229,0.14500000000000002
C0024530,Malaria,0.0,4050.5,0.002302728786837821,4276.375,0.8226939325008125,0.1
C0266464,Polymicrogyria,0.265,3154.25,0.12921362834292657,7967.4375,0.8540865451671393,0.325
C3550658,Maternal oligohydramnios,0.06666666666666667,3577.766666666667,0.009549281607621293,8268.1,0.8338892243848811,0.2
C0241703,High pitched voice,0.0,2407.8636363636365,0.0028381115744988503,5507.272727272727,0.8849117715347109,0.03333333333333333
C0836924,Thrombocytosis,0.15,2244.1428571428573,0.03135692477877098,3391.8571428571427,0.8976303207538411,0.25
C1866190,Atresia of the external auditory canal,0.13333333333333333,4759.391304347826,0.034437685319746676,8226.826086956522,0.7715101699637782,0.21666666666666665
C0037268,Skin Abnormalities,0.0,7236.648648648648,0.0007168951824018234,6456.621621621622,0.6687720724907064,0.0
C1956346,Coronary Artery Disease,0.06964285714285715,5136.246575342466,0.011457192238638749,6612.123287671233,0.7617958630342846,0.08214285714285714
C2748653,Chubby cheeks,0.08,4253.040816326531,0.017702465338741594,5923.428571428572,0.8036598010042775,0.16
C0008073,Developmental Disabilities,0.0,4167.809523809524,0.0015607803059031768,7338.761904761905,0.8137397845468053,0.05
C0234146,Absent reflex,0.0,5014.641304347826,0.002079791219744141,7019.858695652174,0.765481222662215,0.01111111111111111
C4022587,Fatigable weakness of respiratory muscles,0.03333333333333333,4136.2962962962965,0.008992890066150349,7677.407407407408,0.8086042731072922,0.14999999999999997
C1860614,ULNAR HYPOPLASIA,0.1,4511.958333333333,0.03141181768486345,4534.75,0.7971717828449357,0.2333333333333333
C4072825,Thickened facial skin with coarse facial features,0.10272727272727274,3127.841121495327,0.053554272752789386,7033.551401869159,0.854846471710108,0.1590909090909091
C4020969,Inflammatory abnormality of the eye,0.0,5631.6,0.0030124763822322893,5406.3,0.731647097043672,0.2
C2700617,Irritation - emotion,0.04523809523809523,3877.7611940298507,0.019459862233358376,5243.955223880597,0.8184136586230583,0.15238095238095237
C0162670,Mitochondrial Myopathies,0.05,2727.8571428571427,0.014054831732095426,5927.190476190476,0.8701573334571571,0.4666666666666666
C1263846,Attention deficit hyperactivity disorder,0.02,4510.959595959596,0.005427952345690595,6201.151515151515,0.7886813257940576,0.04
C0032285,Pneumonia,0.05694444444444444,2508.3295454545455,0.019221607945083357,5573.931818181818,0.884578992449061,0.2638888888888889
C1142533,Smooth philtrum,0.0,3568.6190476190477,0.0033549473656626057,7815.261904761905,0.8316067859632815,0.1
C0877359,Liver function test increased,0.05,4195.911392405063,0.012232129520995814,6223.810126582279,0.8016543506312106,0.1375
C4025616,CNS hypomyelination,0.15,2409.705882352941,0.08134807271941306,7523.0,0.8848491179201485,0.2
C3806443,Puffy cheeks,0.08,4253.040816326531,0.017702465338741594,5923.428571428572,0.8036598010042775,0.16
C0423867,Fine hair,0.045,4733.697674418605,0.030196384384515922,6593.976744186047,0.7825808775680951,0.06999999999999999
C0033860,Psoriasis,0.12999999999999998,5524.685185185185,0.01948219073244059,7820.981481481482,0.745070222759615,0.12999999999999998
C0311277,"Obesity, Abdominal",0.05,4860.666666666667,0.011309086692701677,6478.416666666667,0.774351383148346,0.13333333333333333
C0744641,Intermittent migraine headaches,0.05714285714285714,3138.1739130434785,0.018273202612889304,5111.927536231884,0.8544864464773252,0.11428571428571428
C0853193,Bipolar I disorder,0.0,7863.75,0.00043975542886961534,6082.1875,0.571007613388422,0.0
C0001126,Renal tubular acidosis,0.1,9633.1,0.10087030024516089,6075.1,0.560736993548986,0.1
C0037286,Skin Neoplasms,0.047619047619047616,3371.6,0.020713410067609867,3587.369230769231,0.8467964824120603,0.17380952380952377
C1857641,Severe postnatal growth retardation,0.05,4651.875,0.005653317328066759,7724.5,0.7874054129334758,0.2
C3150281,Fetal overgrowth,0.2,2245.4666666666667,0.03942300441358261,4787.4,0.8832443598551667,0.3
C1842774,Hyperpigmented macules,0.075,2944.9302325581393,0.016819906460213255,4974.395348837209,0.8599977921353537,0.195
C1858285,Decreased number of large and small myelinated fibers,0.0,6043.684210526316,0.002059658925603155,7249.8421052631575,0.7203384715386758,0.05
C0029453,Osteopenia,0.02,4311.755102040816,0.005569231056807478,6037.836734693878,0.7969149696320115,0.06222222222222222
C0344559,Irido-corneo-trabecular dysgenesis (disorder),0.2222222222222222,5358.666666666667,0.018925582515711057,9072.777777777777,0.7571468349730833,0.2222222222222222
C0009917,Contracture,0.01111111111111111,4679.010526315789,0.0037228922743848107,6108.989473684211,0.7816921380424315,0.05333333333333333
C0004509,Azoospermia,0.03333333333333333,6928.387096774193,0.0026328216000923834,5697.774193548387,0.6676906221933165,0.03333333333333333
C1861218,Hypoplastic ilia,0.05,7021.416666666667,0.005411975221504289,4279.083333333333,0.6511464376885588,0.05
C2675111,Abnormal eyelashes,0.1,1463.4615384615386,0.060012075953364476,6765.384615384615,0.9360819717786855,0.45
C4020958,Rough bone trabeculation,0.45,2047.909090909091,0.19853453929041046,9448.636363636364,0.8955908289241622,0.5
C0235032,Neurotoxicity Syndromes,0.0,5496.384615384615,0.002258228470541932,4365.307692307692,0.7483864350626228,0.06666666666666667
C0085298,Sudden Cardiac Death,0.13333333333333333,3352.2413793103447,0.04682054997175032,5180.068965517241,0.8359477579586276,0.16666666666666666
C0001925,Albuminuria,0.05,4186.809523809524,0.00791912600794262,4625.714285714285,0.7977417657256067,0.2
C0040588,Tracheoesophageal Fistula,0.19166666666666665,1410.388888888889,0.09128295709071689,6961.638888888889,0.937776667750879,0.5083333333333333
C0338502,Hypoplasia of the optic nerve,0.1,6419.411764705882,0.02037034297025702,9299.70588235294,0.6739890900649954,0.1
