Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0149721,Left Ventricular Hypertrophy,0.15,1378.1063829787233,0.023827136403340277,3389.5106382978724,0.9381048349604836,0.26
C0011071,Sudden death,0.05,1636.3529411764705,0.008557971914481318,4136.529411764706,0.9326404363974001,0.2
C2930812,Generalized elastolysis,0.16666666666666666,3835.1666666666665,0.022385124822425415,7831.25,0.8143752225266645,0.25
C0678222,Breast Carcinoma,0.13333333333333333,2379.153846153846,0.04621971777271314,5595.884615384615,0.8992166333813263,0.36666666666666664
C0234632,Reduced visual acuity,0.06999999999999999,5699.593220338983,0.009299728317527773,6733.1016949152545,0.7268358296895836,0.16999999999999998
C0576860,Narrowing of ear canal,0.0,4703.461538461538,0.006666244231185498,5541.384615384615,0.7773301151132566,0.35
C4072821,"Large, late-closing fontanelle",0.04,4622.4,0.031011753969648566,6081.777777777777,0.7955564336184456,0.18
C1846149,Progressive mental retardation,0.05833333333333333,3862.6944444444443,0.020819859097845138,6321.944444444444,0.8238342781469263,0.10833333333333332
C0427055,Facial Paresis,0.06999999999999999,3987.7796610169494,0.02733446088588546,5987.6949152542375,0.8141445715880546,0.16999999999999998
C1837760,Prominent eyes,0.04444444444444444,3023.6021505376343,0.01885084476455496,6426.451612903225,0.8590550068331471,0.17222222222222222
C0270612,Leukoencephalopathies,0.03333333333333333,5597.379310344828,0.022475168146576928,5934.448275862069,0.748035891242413,0.19999999999999998
C0026846,Muscular Atrophy,0.0,6221.5,0.0012511637067441797,5811.428571428572,0.7137376409970756,0.0
C1859126,Stippled epiphyses,0.29999999999999993,1507.4285714285713,0.04674378435459229,5983.857142857143,0.9246202796228344,0.5166666666666666
C0344539,Hypoplasia of iris,0.0,7621.8,0.00043582835666096457,3736.1,0.6463196732723813,0.0
C0522224,Paralysed,0.0,4448.658536585366,0.0020981110776183845,6837.390243902439,0.7913575943483919,0.025
C0239676,High forehead,0.049090909090909095,3209.883495145631,0.01498697568686248,6384.9514563106795,0.8504597362644812,0.14545454545454545
C4021972,Urogenital sinus anomaly,0.45,2098.866666666667,0.10742621718151638,5707.2,0.9047384179741899,0.45
C1855019,Psychomotor regression,0.07333333333333333,3512.6559139784945,0.03374208343036307,6392.258064516129,0.8349197364061787,0.23777777777777773
C0241654,VALVULAR ABNORMALITY,0.5,2717.6666666666665,0.3612262921531705,3770.6666666666665,0.8827825481550244,0.5
C0022821,Kyphosis deformity of spine,0.05227272727272727,3429.9473684210525,0.015877539209681095,5462.929824561404,0.8400560541760468,0.10454545454545454
C1827524,Wide spaced nipples,0.0,4762.304347826087,0.0036341065563949377,6293.565217391304,0.7701530612244898,0.11499999999999999
C4082299,Bulbar palsy,0.1,4014.2105263157896,0.012261558611184713,4347.473684210527,0.8134935927198439,0.25
C0235996,Hepatic enzyme increased,0.0625,4099.341772151899,0.023271711616094974,6223.810126582279,0.8066634629454725,0.1
C0018536,Hallux Valgus,0.08333333333333333,2216.28,0.01620056292067958,5683.52,0.89294847978203,0.35
C0001125,"Acidosis, Lactic",0.14666666666666667,2114.6344086021504,0.06932222592508192,6863.666666666667,0.8990500890379757,0.4255555555555556
C3808377,"CATARACT 16, MULTIPLE TYPES",0.5,2754.9333333333334,0.13489175429781566,3830.2,0.8507845139727044,0.55
C4280333,Recurrent sinus disease,0.0,9755.227272727272,0.001742473720638605,8018.318181818182,0.5690855970900086,0.05
C4280457,Defective enamel matrix,0.05833333333333333,2868.529411764706,0.008306494007351941,2931.4411764705883,0.8658020876891387,0.175
C1445953,Poor eye contact,0.0,4333.0,0.002994911969612636,5233.916666666667,0.8067602692039916,0.1
C1853241,Flat face,0.09333333333333334,2326.75,0.023580161672325257,5741.653846153846,0.8909862822599397,0.32999999999999996
C0231712,Waddling gait,0.025,4394.205882352941,0.009439702421164802,5511.205882352941,0.7928466059564186,0.19166666666666665
C0442874,Neuropathy,0.0,4278.862745098039,0.007522254949071186,6000.764705882353,0.8040387953749342,0.18
C0178417,Anhedonia,0.1,6331.7692307692305,0.017189279112082796,4475.846153846154,0.7241806387689068,0.15
C1855333,Small genitalia,0.35,3619.230769230769,0.04783401491271553,7841.153846153846,0.7671428239881173,0.35
C4280368,Hypotrophic cheekbone,0.15,3673.0,0.02166296756992293,5154.272727272727,0.8198552743595696,0.25
C0020550,Hyperthyroidism,0.35,2492.0,0.031038478736405743,3695.8571428571427,0.9132328366522768,0.45
C0235095,Visual field constriction,0.29166666666666663,4633.085714285714,0.12072445949611106,6378.342857142857,0.7764156057367655,0.35833333333333334
C0271901,Microcytic hypochromic anemia (disorder),0.2,5547.3,0.023251768430955583,6100.7,0.7674966352624494,0.3
C0004158,Athetosis,0.0,5465.75,0.0006365263989909709,7090.125,0.7176245299661111,0.0
C0431483,Simple ear,0.0,3851.731707317073,0.0036259960714588846,6560.365853658536,0.8207952221602529,0.075
C1843700,Variation in muscle fiber size,0.0,4888.5,0.00055699540426276,5212.25,0.7870119771598347,0.0
C0270850,Idiopathic generalized epilepsy,0.0,8843.333333333334,0.0003565141087553275,1989.6666666666667,0.49322537237251174,0.0
C0008073,Developmental Disabilities,0.0,4307.142857142857,0.004486765115363981,7338.761904761905,0.8027159949232294,0.1
C4280566,Abnormal development of end part of bone,0.35,3494.3571428571427,0.14235137475377535,1992.7142857142858,0.8140207956180662,0.45
C4280567,Abnormal skeletal development,0.06666666666666667,2511.8,0.013610324904477852,5890.216666666666,0.8834678482268844,0.2333333333333333
C0856975,Autistic behavior,0.0,4737.4,0.00112578348616707,6972.75,0.7799635510981103,0.0
C1850530,Flexion contractures of joints,0.03333333333333333,4620.923913043478,0.006915207731324769,5979.663043478261,0.7854362398736962,0.04444444444444444
C3714756,Intellectual Disability,0.008200666419844502,4924.3146374829,0.013847542712317779,7084.146374829002,0.7653317185716755,0.02734172528693076
C0341787,Bifid scrotum,0.0,4698.0625,0.004268524853582793,5813.9375,0.7852490599322223,0.1
C1846439,ODONTOID HYPOPLASIA,0.35,4628.0,0.24497965572652322,4242.75,0.8297769370038532,0.5
C0152021,Congenital heart disease,0.0,4335.875,0.0027697611605342403,5573.916666666667,0.7969678323193857,0.05
C1842774,Hyperpigmented macules,0.13999999999999999,2770.860465116279,0.03424044082439025,4974.395348837209,0.8672955982151158,0.33999999999999997
C4280607,Small wings of the pelvic girdle,0.0,6199.583333333333,0.004082451416417656,4279.083333333333,0.6869366442330007,0.15
C0024236,Lymphedema,0.0,4223.190476190476,0.00545164338069073,4709.714285714285,0.8173507924715204,0.25
C0009763,Conjunctivitis,0.08333333333333333,3745.675675675676,0.010674155292824273,5258.486486486487,0.823337205700124,0.15833333333333333
C0234132,Pyramidal sign,0.0,4844.666666666667,0.0010326035895252652,6480.148148148148,0.758427001083759,0.0
C3489733,Oculomotor apraxia,0.08333333333333333,5785.28,0.012362777628251085,10475.56,0.7241845470307758,0.21666666666666665
C0037769,West Syndrome,0.0,7341.277777777777,0.0008471616205998681,7961.388888888889,0.6597799340730768,0.0
C0239998,Recurrent infections,0.0,4700.520833333333,0.0019988311052192105,6482.604166666667,0.7823736575387048,0.045
C0037274,Dermatologic disorders,0.0,6213.565217391304,0.0022618446069045026,6796.282608695652,0.7097215622330927,0.03333333333333333
C1836996,Marfanoid body habitus,0.2,4108.727272727273,0.04198042261529012,3923.6363636363635,0.7921470342522973,0.2
C1866934,Decreased to absent deep tendon reflexes,0.195,3539.046511627907,0.1120376510695201,5384.0,0.8271138560937065,0.305
C0311375,Arsenic Poisoning,0.03333333333333333,4672.016666666666,0.0068650953917927,6928.183333333333,0.7828421795289265,0.08333333333333333
C0426886,Tapering fingers (finding),0.0,6977.583333333333,0.0007084155251019647,5906.291666666667,0.673321568445332,0.03333333333333333
C0009319,Colitis,0.06666666666666667,3968.0967741935483,0.011713917586253621,5651.677419354839,0.8153837220105918,0.225
C0268237,Cytochrome-c Oxidase Deficiency,0.45,2019.5,0.057117809626225466,8647.583333333334,0.9083917382223253,0.55
C1837458,Impaired smooth pursuit,0.0,6382.2307692307695,0.0002179347298835069,6104.923076923077,0.6695042703304864,0.0
C0349588,Short stature,0.009542815674891146,4137.635673624289,0.013947774703176088,6379.698292220114,0.8045936001302998,0.04560957910014513
C4280642,Deficiency of upper jaw bones,0.047619047619047616,3418.6615384615384,0.009406944816894563,5740.476923076923,0.8401441732471883,0.11190476190476191
C0036572,Seizures,0.01016949152542373,4665.571912013536,0.01279373957788658,5832.87986463621,0.7789168965249628,0.02542372881355932
C0043202,Wolff-Parkinson-White Syndrome,0.2,1983.076923076923,0.04583769876178565,4350.538461538462,0.8950856386929076,0.45
C0018939,Hematological Disease,0.0,6298.777777777777,0.0033282955055866864,5894.666666666667,0.6823633873438878,0.1
C0020514,Hyperprolactinemia,0.0,4725.4,0.001165408862013813,2956.9,0.7807397781593725,0.0
C0151744,Myocardial Ischemia,0.0,3987.779761904762,0.00561363831466943,4791.863095238095,0.8140700586887707,0.030514705882352944
C0035305,Retinal Detachment,0.025,3131.939393939394,0.008854013553717103,5769.151515151515,0.8470958774701108,0.08333333333333333
C1833058,Small intestine biopsy shows villous atrophy,0.2,4417.3125,0.03483236546817865,6639.0625,0.7416554477508008,0.3
C3552463,Very poor growth,0.0,4678.136363636364,0.004723154183557155,6358.236363636363,0.7814703900100459,0.06363636363636364
C4021785,Abnormality of the metacarpal bones,0.05,3964.1176470588234,0.008794614366236735,4505.294117647059,0.8290355153203341,0.2
C0040588,Tracheoesophageal Fistula,0.25833333333333336,1368.5555555555557,0.03870014960901156,6961.638888888889,0.9383962176478786,0.425
C0018671,Head and Neck Neoplasms,0.03333333333333333,5898.653846153846,0.004502330683856761,4069.0384615384614,0.7181439939312309,0.1
