density_CI,density_DN,disease_id,disease_name,disease_size,null_densitys_CI,null_densitys_DN,pvalue_CI,pvalue_DN
0.09402219305572128,0.018518518518518517,C4020858,Choreatic disease,28,"[0.09839843 0.11897483 0.21056305 0.1644565  0.10471578 0.21372023
 0.17442931 0.16499443 0.21960227 0.11784608 0.17357518 0.1139162
 0.09970811 0.24733402 0.09194548 0.14431254 0.10244921 0.2284852
 0.17597831 0.17625133 0.13124443 0.24965624 0.28310907 0.25270333
 0.11407115 0.17803769 0.14361953 0.14505533 0.11280156 0.12292673
 0.19979719 0.15434538 0.22863092 0.23797881 0.12613715 0.21347752
 0.1112293  0.11213477 0.20241705 0.22526334 0.13475671 0.11158115
 0.08070858 0.14531185 0.09738259 0.2204077  0.108364   0.10381398
 0.18584196 0.13337266 0.21817602 0.12347826 0.11465511 0.11129013
 0.10913252 0.14525795 0.23883514 0.12618894 0.08323606 0.13833573
 0.1146668  0.18538994 0.14358607 0.19269269 0.23425037 0.23014074
 0.20923051 0.10047156 0.14801303 0.08804168 0.12519522 0.09563972
 0.17727897 0.21088565 0.21157942 0.09710932 0.19062244 0.12174902
 0.08745844 0.17612746 0.12053022 0.10358247 0.12675363 0.10864092
 0.20890023 0.23291139 0.12643825 0.1468105  0.18026626 0.20820948
 0.0858268  0.11268335 0.11371826 0.10249827 0.07697468 0.10424357
 0.14234357 0.12811614 0.07724764 0.17716501]","[0.00529101 0.0026455  0.01058201 0.00793651 0.00529101 0.00529101
 0.0026455  0.00529101 0.00529101 0.0026455  0.00793651 0.0026455
 0.00793651 0.0026455  0.         0.0026455  0.0026455  0.0026455
 0.         0.0026455  0.         0.01322751 0.01058201 0.00529101
 0.00793651 0.00793651 0.0026455  0.0026455  0.01322751 0.0026455
 0.00793651 0.00529101 0.01322751 0.00529101 0.01322751 0.01058201
 0.00793651 0.01058201 0.00793651 0.00793651 0.00529101 0.00529101
 0.00529101 0.01058201 0.00793651 0.01058201 0.         0.0026455
 0.00529101 0.         0.         0.00793651 0.00793651 0.00529101
 0.0026455  0.01322751 0.00529101 0.00793651 0.01587302 0.01058201
 0.00529101 0.00793651 0.00529101 0.         0.00793651 0.00529101
 0.01058201 0.00529101 0.00793651 0.0026455  0.00529101 0.
 0.00529101 0.0026455  0.00529101 0.         0.00793651 0.
 0.00793651 0.00793651 0.0026455  0.00793651 0.00793651 0.01058201
 0.00529101 0.00793651 0.00529101 0.0026455  0.01322751 0.00793651
 0.0026455  0.01058201 0.0026455  0.00793651 0.01058201 0.01058201
 0.0026455  0.00529101 0.0026455  0.0026455 ]",0.92,0.0
0.19269102990033224,0.0,C4020859,Pyramidal tract disease,10,"[0.3965673  0.60150376 0.37010955 0.25311943 0.22222222 0.22410148
 0.17439024 0.25252525 0.3226769  0.15508021 0.11895161 0.18627451
 0.18716578 0.16358464 0.15769231 0.16995074 0.26248548 0.41616162
 0.32163265 0.21034242 0.21816168 0.18794326 0.20243902 0.15763547
 0.43107345 0.20454545 0.17054264 0.14039409 0.20731707 0.27070707
 0.20672269 0.21153846 0.25384615 0.2304878  0.1372549  0.18560606
 0.20163934 0.21538462 0.16829268 0.18758435 0.29882353 0.1804878
 0.26829268 0.25138427 0.44611529 0.16996047 0.12655367 0.17343977
 0.23897582 0.15104967 0.19756098 0.20808081 0.23225806 0.15458937
 0.15555556 0.32411674 0.18003565 0.1902834  0.20564516 0.25236167
 0.23846154 0.34242424 0.20489796 0.2228164  0.20199147 0.18197279
 0.45499316 0.26916221 0.14605171 0.20351526 0.17333333 0.55997282
 0.16260163 0.19230769 0.15897436 0.18262411 0.27570922 0.1942959
 0.25376344 0.20504202 0.21835075 0.23681776 0.1679198  0.19426457
 0.17348679 0.16239316 0.22571628 0.24389234 0.1986532  0.2712585
 0.23847518 0.20199147 0.18888889 0.20336134 0.23399015 0.13411765
 0.38415003 0.22804878 0.52740385 0.62392612]","[0.         0.         0.         0.         0.         0.
 0.         0.02222222 0.         0.02222222 0.         0.
 0.         0.02222222 0.         0.         0.         0.
 0.         0.02222222 0.         0.02222222 0.         0.
 0.         0.         0.         0.         0.         0.02222222
 0.         0.         0.         0.02222222 0.         0.
 0.02222222 0.         0.         0.02222222 0.         0.02222222
 0.04444444 0.02222222 0.         0.         0.         0.
 0.         0.02222222 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.02222222 0.         0.         0.         0.04444444 0.
 0.02222222 0.         0.02222222 0.         0.         0.02222222
 0.         0.02222222 0.         0.02222222 0.         0.
 0.         0.         0.         0.         0.02222222 0.02222222
 0.         0.         0.02222222 0.02222222 0.         0.02222222
 0.         0.         0.02222222 0.         0.         0.
 0.         0.02222222 0.         0.02222222]",0.63,1.0
0.12796780684104628,0.01282051282051282,C2675111,Abnormal eyelashes,13,"[0.15647226 0.22074468 0.13621262 0.1355102  0.20734694 0.16235294
 0.12727273 0.21098901 0.13903743 0.12944523 0.14146341 0.13737374
 0.19903382 0.11074197 0.10241821 0.15508021 0.12043011 0.20656028
 0.16231884 0.19786096 0.10769231 0.16734143 0.09756098 0.14082504
 0.13499246 0.15       0.20456541 0.16651249 0.11428571 0.17886179
 0.13655761 0.17575758 0.55462735 0.18493909 0.21411765 0.11711712
 0.12258065 0.15353535 0.20081633 0.1372549  0.18095238 0.15555556
 0.125      0.13240418 0.15365854 0.19495798 0.17373737 0.16558442
 0.15362731 0.25250627 0.14       0.14126984 0.18666667 0.16098485
 0.57009346 0.13793103 0.14246068 0.18318318 0.14793741 0.12185792
 0.15234102 0.12543554 0.13704994 0.16071429 0.15686275 0.13225371
 0.19982993 0.24545455 0.16843972 0.18846154 0.17936508 0.15396825
 0.34285714 0.55659296 0.17317073 0.18292683 0.10299003 0.12643678
 0.1733871  0.15343915 0.11895161 0.17004049 0.16927454 0.17560976
 0.14102564 0.10084034 0.14651494 0.16869096 0.13232323 0.16935484
 0.16038647 0.1480111  0.18924731 0.1351052  0.11666667 0.17234848
 0.18357488 0.10510511 0.15433404 0.16281221]","[0.         0.         0.01282051 0.         0.         0.
 0.         0.02564103 0.         0.         0.         0.01282051
 0.         0.01282051 0.         0.         0.         0.
 0.         0.01282051 0.         0.         0.01282051 0.
 0.01282051 0.         0.01282051 0.         0.         0.01282051
 0.         0.         0.01282051 0.         0.         0.01282051
 0.         0.01282051 0.         0.         0.         0.
 0.         0.01282051 0.         0.         0.         0.
 0.         0.         0.         0.         0.01282051 0.
 0.01282051 0.         0.         0.         0.         0.01282051
 0.         0.         0.01282051 0.         0.         0.
 0.         0.         0.01282051 0.01282051 0.         0.01282051
 0.         0.01282051 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01282051 0.         0.         0.01282051
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01282051 0.        ]",0.82,0.24
0.149822695035461,0.01818181818181818,C0003803,Arnold Chiari Malformation,11,"[0.17989418 0.13535354 0.22421142 0.19890873 0.21592443 0.12912913
 0.15632184 0.14285714 0.13105413 0.15873016 0.13675214 0.22668651
 0.1697479  0.18390805 0.15630252 0.15924426 0.16666667 0.21003401
 0.12896406 0.20512821 0.13257576 0.16422082 0.18492176 0.18991597
 0.17741935 0.1952381  0.14666667 0.29255319 0.22323232 0.19458128
 0.17391304 0.14285714 0.17313546 0.17487685 0.25       0.19061166
 0.12121212 0.17       0.16921769 0.18333333 0.15019763 0.22988506
 0.17137097 0.24163265 0.15731293 0.13174603 0.21370499 0.20862745
 0.20910384 0.16057586 0.15517241 0.15053763 0.15362731 0.12684989
 0.17045455 0.18207681 0.21219512 0.15608466 0.1773399  0.2027027
 0.17983193 0.16190476 0.14439946 0.15769231 0.18617021 0.23574879
 0.17980296 0.11904762 0.1659919  0.17267267 0.16785206 0.16825397
 0.15       0.14623656 0.16363636 0.17424242 0.17204301 0.17142857
 0.22693878 0.14453782 0.11895161 0.17912458 0.15942029 0.17195122
 0.1697479  0.16666667 0.16287879 0.13546798 0.14844804 0.17503966
 0.22638146 0.20606061 0.19914651 0.17460317 0.15692308 0.14616756
 0.1483871  0.20197044 0.18538324 0.1108871 ]","[0.         0.         0.01818182 0.         0.         0.
 0.         0.         0.         0.         0.         0.01818182
 0.         0.         0.01818182 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01818182 0.         0.         0.01818182 0.03636364 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.01818182 0.         0.
 0.01818182 0.         0.         0.         0.01818182 0.
 0.         0.         0.         0.         0.         0.
 0.         0.01818182 0.         0.01818182 0.         0.
 0.         0.         0.         0.         0.01818182 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01818182
 0.         0.         0.         0.         0.01818182 0.03636364
 0.         0.01818182 0.         0.         0.         0.
 0.         0.03636364 0.         0.        ]",0.78,0.17
0.1913978494623656,0.01818181818181818,C1837082,Metaphyseal cupping,11,"[0.14728682 0.14229249 0.24603175 0.2        0.19512195 0.18360071
 0.16091954 0.17753623 0.22812846 0.21353066 0.17241379 0.17829457
 0.17777778 0.2047619  0.17825312 0.30094467 0.14153846 0.14778325
 0.15641026 0.16470588 0.18577075 0.15789474 0.13563218 0.18699187
 0.13781513 0.17653891 0.1957672  0.16216216 0.18168168 0.13333333
 0.18168168 0.18894831 0.19139785 0.13       0.22222222 0.11182796
 0.13809524 0.20504202 0.2010582  0.17724868 0.15217391 0.17011494
 0.1453202  0.14574899 0.18472906 0.15238095 0.21727395 0.16307692
 0.1182266  0.22698413 0.19128788 0.29310345 0.16194332 0.18115942
 0.20362903 0.18234611 0.17011494 0.18153846 0.16785206 0.17666667
 0.18965517 0.11948791 0.11923077 0.23492063 0.20634921 0.15384615
 0.12169312 0.14962121 0.15666667 0.18951613 0.12       0.30769231
 0.15217391 0.11285846 0.18803419 0.16304348 0.11428571 0.18719212
 0.14769231 0.17011494 0.16137566 0.10294118 0.22816399 0.22995169
 0.14583333 0.13492063 0.16666667 0.16256158 0.13809524 0.13666667
 0.16330645 0.17815126 0.12280702 0.12068966 0.21337127 0.12962963
 0.13015873 0.17487685 0.17       0.11931818]","[0.         0.         0.         0.         0.01818182 0.
 0.         0.         0.01818182 0.03636364 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01818182 0.         0.03636364 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01818182 0.         0.         0.         0.01818182 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01818182 0.         0.         0.         0.         0.03636364
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01818182 0.
 0.         0.01818182 0.         0.         0.01818182 0.
 0.         0.         0.         0.        ]",0.22,0.12
0.1250251256281407,0.026143790849673203,C4020851,Cortical white matter abnormalities seen on MRI,18,"[0.26052142 0.14128519 0.20980519 0.1335992  0.18833747 0.22179794
 0.19532009 0.14436188 0.11392774 0.13800012 0.28042954 0.18890135
 0.14160034 0.15663317 0.32706064 0.35030393 0.13638817 0.12039493
 0.19283582 0.1316958  0.30794295 0.13839192 0.28914895 0.13103448
 0.33434753 0.13750537 0.1689622  0.16505057 0.18613168 0.37195994
 0.34514525 0.39484329 0.14202691 0.17854963 0.15758963 0.18598958
 0.13017751 0.18430213 0.20810393 0.20626866 0.35832296 0.15996578
 0.15481589 0.12537177 0.11819923 0.11305783 0.28075086 0.22104256
 0.21414454 0.14036109 0.17619687 0.15962441 0.1816526  0.15912852
 0.26197559 0.12886683 0.15179505 0.11577965 0.21250642 0.25101909
 0.10225318 0.08833678 0.12795031 0.12908181 0.1509801  0.13977591
 0.19207544 0.10820059 0.11197318 0.19513654 0.15710013 0.18252651
 0.20191124 0.37173355 0.12384943 0.13077594 0.11016949 0.11752833
 0.22855515 0.14923372 0.1701433  0.2080221  0.35696537 0.36579494
 0.12676519 0.11463708 0.20799365 0.12051841 0.11794411 0.27120603
 0.14635093 0.22714535 0.15048816 0.19467832 0.11729747 0.2842758
 0.09930159 0.30525657 0.16696231 0.20749782]","[0.0130719  0.01960784 0.0130719  0.         0.         0.0130719
 0.         0.0130719  0.         0.0130719  0.0130719  0.0130719
 0.00653595 0.0130719  0.0130719  0.0130719  0.0130719  0.
 0.00653595 0.00653595 0.00653595 0.00653595 0.         0.01960784
 0.00653595 0.         0.0130719  0.         0.         0.00653595
 0.00653595 0.0130719  0.         0.0130719  0.0130719  0.
 0.00653595 0.00653595 0.00653595 0.00653595 0.0130719  0.
 0.         0.         0.0130719  0.00653595 0.         0.00653595
 0.00653595 0.         0.00653595 0.         0.00653595 0.
 0.         0.00653595 0.         0.00653595 0.         0.0130719
 0.0130719  0.00653595 0.         0.0130719  0.00653595 0.00653595
 0.00653595 0.00653595 0.0130719  0.         0.         0.01960784
 0.00653595 0.00653595 0.0130719  0.         0.0130719  0.00653595
 0.0130719  0.         0.00653595 0.01960784 0.0130719  0.0130719
 0.         0.         0.00653595 0.0130719  0.00653595 0.00653595
 0.01960784 0.00653595 0.00653595 0.0130719  0.         0.00653595
 0.00653595 0.02614379 0.         0.        ]",0.83,0.01
0.13417428483688848,0.04411764705882353,C0033941,"Psychoses, Substance-Induced",17,"[0.20253821 0.19852264 0.22565625 0.25611928 0.16779383 0.17483715
 0.21411138 0.25375052 0.19252357 0.24057342 0.14987601 0.20399877
 0.21085931 0.22574524 0.11226822 0.13729312 0.23057825 0.1576666
 0.26703393 0.17897415 0.17558139 0.20780139 0.16872736 0.2442408
 0.1151285  0.27356763 0.11444207 0.18709709 0.18332667 0.14027315
 0.1085256  0.21179107 0.14507943 0.13276044 0.18890649 0.12181632
 0.27318625 0.20455347 0.11125629 0.12563722 0.1956008  0.1212448
 0.23453894 0.19341873 0.19899762 0.11882279 0.19610697 0.2242767
 0.18672309 0.24649421 0.21508107 0.12735458 0.19757576 0.23661568
 0.22054776 0.11002533 0.24898094 0.2000024  0.21877039 0.14232782
 0.23706394 0.08843957 0.12240887 0.16311873 0.17009075 0.20268254
 0.20330553 0.23270267 0.14574863 0.14117133 0.07352077 0.16117778
 0.24033576 0.15895582 0.17944505 0.06679527 0.16608587 0.16127363
 0.1993563  0.16966762 0.26135052 0.12111654 0.16606468 0.20070395
 0.13239883 0.24208344 0.20630422 0.20017523 0.10420666 0.08624828
 0.17051251 0.2363379  0.24758923 0.22998265 0.14107456 0.21670961
 0.26895898 0.11668175 0.22419368 0.20294885]","[0.01470588 0.05147059 0.02205882 0.02941176 0.02941176 0.02941176
 0.02941176 0.04411765 0.04411765 0.04411765 0.02941176 0.02205882
 0.04411765 0.01470588 0.04411765 0.01470588 0.03676471 0.02205882
 0.03676471 0.05882353 0.02941176 0.01470588 0.03676471 0.02941176
 0.         0.06617647 0.00735294 0.04411765 0.07352941 0.05147059
 0.03676471 0.03676471 0.02205882 0.03676471 0.05147059 0.01470588
 0.02941176 0.01470588 0.         0.01470588 0.04411765 0.03676471
 0.05147059 0.07352941 0.01470588 0.02205882 0.05147059 0.05147059
 0.04411765 0.02941176 0.02941176 0.02941176 0.06617647 0.04411765
 0.06617647 0.01470588 0.02941176 0.06617647 0.02941176 0.04411765
 0.05147059 0.01470588 0.02941176 0.02205882 0.02941176 0.05147059
 0.02941176 0.05147059 0.05147059 0.01470588 0.02205882 0.03676471
 0.02205882 0.01470588 0.02205882 0.04411765 0.03676471 0.08088235
 0.02205882 0.00735294 0.05147059 0.05882353 0.01470588 0.02941176
 0.02941176 0.04411765 0.04411765 0.02205882 0.02205882 0.02941176
 0.02205882 0.01470588 0.05147059 0.07352941 0.02205882 0.01470588
 0.06617647 0.03676471 0.02205882 0.01470588]",0.79,0.36
0.08223803900290447,0.030197444831591175,C4020854,Neuro-degenerative disease,42,"[0.09277803 0.08731498 0.11922473 0.08879142 0.09139601 0.07770077
 0.10975008 0.10822921 0.07841585 0.07962873 0.11793657 0.08900229
 0.09434886 0.09902428 0.11498801 0.09297675 0.11186432 0.10584784
 0.08877474 0.08621845 0.09653514 0.10893495 0.07993462 0.09750218
 0.11430068 0.08173192 0.10844401 0.08337904 0.10293237 0.0510019
 0.09876343 0.10425555 0.07305589 0.07922031 0.06828542 0.11008708
 0.10391409 0.09441658 0.09872946 0.12196585 0.091158   0.10035879
 0.09391043 0.10638838 0.10114851 0.08861871 0.09550194 0.1067199
 0.06095509 0.10734193 0.10647845 0.08800802 0.09357384 0.09904707
 0.09029038 0.1024337  0.09765449 0.09308991 0.10439879 0.11897138
 0.10919853 0.09950294 0.10605762 0.10014659 0.10789885 0.06269631
 0.09766716 0.10402078 0.05078777 0.08789314 0.08305371 0.09869427
 0.06706077 0.10225181 0.11169608 0.09533619 0.07632067 0.09202212
 0.07854281 0.10965661 0.07410842 0.10155098 0.11321182 0.090892
 0.07952837 0.09678878 0.1013289  0.06818413 0.11872881 0.12261846
 0.08850461 0.09326906 0.12479548 0.07822997 0.11138392 0.0991066
 0.09359781 0.11863163 0.08730715 0.109808  ]","[0.00813008 0.0174216  0.02555168 0.0174216  0.01974448 0.029036
 0.01509872 0.01509872 0.01858304 0.02787456 0.03716609 0.02206736
 0.029036   0.01974448 0.02439024 0.0174216  0.0232288  0.029036
 0.0174216  0.01045296 0.02555168 0.03135889 0.0174216  0.0174216
 0.03716609 0.01393728 0.02439024 0.01045296 0.02090592 0.02090592
 0.01974448 0.01974448 0.01509872 0.0174216  0.02090592 0.03368177
 0.02090592 0.029036   0.01509872 0.02787456 0.0174216  0.00813008
 0.01858304 0.02439024 0.0174216  0.02090592 0.01045296 0.02090592
 0.01626016 0.029036   0.02787456 0.01858304 0.01509872 0.01509872
 0.01858304 0.02787456 0.01858304 0.02090592 0.0174216  0.02090592
 0.01277584 0.0232288  0.0232288  0.01509872 0.02090592 0.00929152
 0.02671312 0.0174216  0.01393728 0.02090592 0.01277584 0.01509872
 0.0174216  0.02090592 0.02555168 0.01509872 0.01509872 0.0174216
 0.0174216  0.02555168 0.01045296 0.02206736 0.0174216  0.01974448
 0.01509872 0.01858304 0.01858304 0.0116144  0.01858304 0.02671312
 0.01626016 0.0174216  0.029036   0.01974448 0.02206736 0.02671312
 0.01277584 0.01509872 0.01974448 0.0232288 ]",0.81,0.04
0.10869565217391304,0.01904761904761905,C1837087,Macular pigmentary changes,15,"[0.07368421 0.05789474 0.03676471 0.17307692 0.16025641 0.08225108
 0.04411765 0.13663664 0.08225108 0.02941176 0.17567568 0.0952381
 0.16935484 0.03921569 0.14574899 0.01666667 0.13513514 0.04575163
 0.05228758 0.01666667 0.03921569 0.08994709 0.05847953 0.1525641
 0.11764706 0.11470985 0.02941176 0.08225108 0.06315789 0.10520487
 0.025      0.04575163 0.07017544 0.03921569 0.03921569 0.08095238
 0.13623188 0.06842105 0.01666667 0.16289593 0.01666667 0.09666667
 0.08695652 0.05263158 0.14973262 0.1        0.01666667 0.12802276
 0.16638655 0.13333333 0.07189542 0.08095238 0.10505051 0.12252964
 0.04678363 0.03921569 0.03921569 0.14717742 0.12944523 0.03921569
 0.16349206 0.         0.02941176 0.02941176 0.09620722 0.05263158
 0.02941176 0.01666667 0.08658009 0.01666667 0.06315789 0.02941176
 0.01666667 0.         0.13765182 0.01666667 0.01666667 0.14954577
 0.05789474 0.11111111 0.04575163 0.02941176 0.2        0.11182796
 0.05263158 0.13229018 0.05228758 0.18758435 0.05263158 0.07905138
 0.07792208 0.03676471 0.14285714 0.05263158 0.05714286 0.05263158
 0.10084034 0.07368421 0.07142857 0.06666667]","[0.         0.         0.         0.00952381 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.01904762 0.         0.01904762 0.00952381
 0.         0.         0.         0.         0.         0.02857143
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00952381 0.         0.
 0.00952381 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00952381
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00952381 0.
 0.         0.00952381 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.28,0.03
0.08098503740648379,0.016913319238900635,C1837084,Short metacarpal,44,"[0.09646059 0.14288761 0.11418424 0.08941903 0.09787107 0.1248227
 0.07021782 0.083669   0.09955846 0.13246502 0.07889931 0.09900868
 0.17742567 0.10614858 0.10538733 0.09391543 0.15143998 0.16825154
 0.08843188 0.09348371 0.08952138 0.12910103 0.11896516 0.11883164
 0.08637946 0.13928379 0.12276969 0.08802882 0.13684292 0.18783937
 0.1545657  0.14182117 0.18574967 0.09106088 0.09242762 0.11432265
 0.08841743 0.12568049 0.19841867 0.09571278 0.077886   0.11784079
 0.12555149 0.10418284 0.14477978 0.08866467 0.16974988 0.17727117
 0.09722539 0.10632535 0.15021313 0.15129928 0.17491817 0.15590346
 0.14020533 0.13284693 0.08190212 0.0973568  0.07746884 0.08156685
 0.12751295 0.18765273 0.08237756 0.14322055 0.09538242 0.11031837
 0.09825869 0.11192151 0.07238298 0.08027992 0.12095202 0.17090646
 0.12951644 0.19229935 0.12170222 0.11397814 0.08721036 0.20341284
 0.14113498 0.1354954  0.09552941 0.09063263 0.09884604 0.144238
 0.11358463 0.14556189 0.1469508  0.12620897 0.16613215 0.08875628
 0.10586224 0.10784143 0.13023631 0.10023187 0.10973767 0.15704295
 0.09662411 0.17781621 0.16573809 0.09640223]","[0.00105708 0.00528541 0.00528541 0.00211416 0.00317125 0.00528541
 0.00528541 0.00528541 0.00211416 0.00739958 0.00528541 0.00422833
 0.00317125 0.00422833 0.00105708 0.00317125 0.00317125 0.00528541
 0.00845666 0.00317125 0.00951374 0.00211416 0.00422833 0.00845666
 0.00422833 0.00739958 0.00422833 0.00317125 0.00739958 0.00634249
 0.00211416 0.00422833 0.00528541 0.00211416 0.00951374 0.00634249
 0.01057082 0.00422833 0.00317125 0.00211416 0.00317125 0.01057082
 0.00422833 0.00634249 0.00634249 0.00528541 0.00634249 0.00634249
 0.00317125 0.00317125 0.00739958 0.00739958 0.00211416 0.00317125
 0.00528541 0.00211416 0.00211416 0.00211416 0.00528541 0.00739958
 0.00422833 0.00422833 0.00211416 0.00528541 0.00317125 0.00422833
 0.00317125 0.00528541 0.00739958 0.00317125 0.00845666 0.00211416
 0.00634249 0.00528541 0.00422833 0.00634249 0.00422833 0.00422833
 0.00105708 0.01057082 0.00845666 0.00211416 0.00422833 0.00422833
 0.01162791 0.00422833 0.00317125 0.00422833 0.00634249 0.00739958
 0.00317125 0.00528541 0.00951374 0.00739958 0.00739958 0.00422833
 0.00739958 0.00317125 0.00528541 0.00422833]",0.94,0.0
