disease_id,disease_name,disease_size,loo_median_COMP,loo_median_DNS,null_loo_medians_COMP,null_loo_medians_DNS,pvalue_COMP,pvalue_DNS
C4020858,Choreatic disease,28,0.02528466476547226,0.0,"[0.01793578 0.01979757 0.0243287  0.02505011 0.02390796 0.02209102
 0.02326528 0.01419032 0.01632444 0.01527295 0.01412337 0.02079147
 0.0187755  0.02030577 0.02266134 0.01518203 0.01811569 0.01643347
 0.02451277 0.0184328  0.02330393 0.01813047 0.01674365 0.01599489
 0.02016858 0.01842234 0.02631767 0.01767317 0.02474627 0.02061921
 0.02004063 0.01355251 0.02387756 0.0186395  0.02711619 0.02080166
 0.02349695 0.02007823 0.01740732 0.02023783 0.01577174 0.01680958
 0.02248813 0.01344606 0.01529277 0.02512006 0.01818167 0.01699291
 0.01517473 0.01460613 0.0221215  0.01612718 0.0214448  0.01867708
 0.01705706 0.02224182 0.0235342  0.0206951  0.02025625 0.01889121
 0.02016611 0.01824648 0.02000502 0.02215611 0.01425463 0.02520262
 0.01749906 0.02230965 0.02236655 0.01344078 0.01967482 0.01524988
 0.02169507 0.0220545  0.0182319  0.02199509 0.01853589 0.01775323
 0.01772859 0.02141033 0.02151888 0.02278626 0.02529149 0.02022224
 0.02079061 0.02801783 0.01993787 0.01156754 0.01493453 0.01334698
 0.01678339 0.01580594 0.01900144 0.01769913 0.01756162 0.02139878
 0.02242306 0.01958459 0.01434194 0.01544299]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.04,1.0
C4020859,Pyramidal tract disease,10,0.005681270045864745,0.0,"[0.00324076 0.0097193  0.0051121  0.01153893 0.0046628  0.00415314
 0.00251284 0.00543838 0.00677295 0.00302747 0.00429844 0.00272648
 0.00450366 0.00764748 0.00195357 0.00251891 0.00361521 0.00587485
 0.00205131 0.00897155 0.00532977 0.00656802 0.0006608  0.00369006
 0.00480828 0.00681973 0.00406154 0.00260709 0.00323322 0.00708145
 0.00280929 0.00429966 0.01067429 0.00540949 0.00540902 0.00421248
 0.0067886  0.00220676 0.00858113 0.00762816 0.00666267 0.00290456
 0.00763592 0.00652036 0.00665794 0.00392741 0.00558702 0.00255849
 0.00392375 0.00281612 0.00543589 0.0050625  0.0050591  0.00488998
 0.00440923 0.00677225 0.00566877 0.0078127  0.01180801 0.00458696
 0.0040685  0.00310732 0.00675919 0.00486219 0.00802326 0.00778685
 0.00607434 0.00500857 0.00607058 0.00892538 0.0041069  0.00557253
 0.00709043 0.00263808 0.00584931 0.00314473 0.00359756 0.00470874
 0.00632388 0.00453002 0.00232761 0.00475085 0.00633977 0.00337212
 0.00675735 0.00903777 0.00525712 0.00554567 0.00221413 0.00542773
 0.00382961 0.00751861 0.00417742 0.00547194 0.00735233 0.00522018
 0.00062984 0.00715223 0.0067148  0.00568722]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.37,1.0
C2675111,Abnormal eyelashes,13,0.05117993612502903,0.0,"[0.00547758 0.00976531 0.00267759 0.00782358 0.01000283 0.00579101
 0.0030014  0.00307514 0.00793933 0.00507903 0.00512783 0.00637879
 0.00421193 0.00547761 0.00639708 0.01150726 0.00760775 0.00453455
 0.0044551  0.011313   0.00933367 0.00539142 0.00572775 0.00340503
 0.00757954 0.00831542 0.00700385 0.00962446 0.01004206 0.00625122
 0.00565053 0.00306581 0.00695548 0.00957466 0.00523366 0.00916324
 0.00302    0.00696226 0.00686435 0.01085973 0.00509504 0.00921719
 0.00876068 0.01255276 0.01004299 0.00808135 0.00974841 0.00625738
 0.00739506 0.0029026  0.00840306 0.00539532 0.00802023 0.00300986
 0.00942073 0.00608515 0.00454178 0.00851476 0.00495504 0.00518717
 0.00274378 0.00835396 0.00845154 0.00728385 0.00369786 0.00689413
 0.00457071 0.01040195 0.0069758  0.00638007 0.00271645 0.00886251
 0.00948389 0.00388582 0.01355802 0.00447234 0.00929202 0.00765041
 0.00346196 0.01061834 0.00472602 0.00416813 0.00864494 0.00221838
 0.00693827 0.00398903 0.00748269 0.00754606 0.00669123 0.00379351
 0.00414087 0.00586798 0.00654982 0.00435456 0.00271912 0.0082276
 0.00831313 0.00571164 0.00639554 0.00857521]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,1.0
C0003803,Arnold Chiari Malformation,11,0.007561814308267323,0.0,"[0.00980743 0.005214   0.00802709 0.00897303 0.00875548 0.0066224
 0.00529585 0.00573931 0.00722579 0.00585574 0.00457758 0.00420983
 0.00962775 0.00572389 0.00840569 0.0070732  0.00493408 0.00546211
 0.01186164 0.00354185 0.00680036 0.00953911 0.00818907 0.01201018
 0.00530845 0.00515051 0.00488992 0.00359556 0.00813419 0.00772088
 0.00432866 0.00949516 0.00093655 0.01129956 0.01005282 0.01065285
 0.0091489  0.00845938 0.00397422 0.00659225 0.00821706 0.00768487
 0.00638825 0.00845898 0.00633338 0.0105246  0.0032997  0.00513253
 0.00809422 0.0047395  0.00769901 0.0041476  0.01224289 0.0075394
 0.00532468 0.00536533 0.00491335 0.00485872 0.00503341 0.0051798
 0.00750389 0.00558194 0.00887215 0.00498494 0.00938753 0.00850176
 0.00814811 0.00433162 0.00938436 0.00442015 0.01038933 0.00470673
 0.00803729 0.00547059 0.00567285 0.00620562 0.00776405 0.00702361
 0.00698818 0.00476888 0.00625218 0.0066107  0.00619969 0.0085024
 0.00430774 0.00708803 0.00352822 0.00675035 0.01052019 0.00821591
 0.00698951 0.00247834 0.00484786 0.01281262 0.01089706 0.00800951
 0.00624    0.00703595 0.00324238 0.00700979]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.39,1.0
C1837082,Metaphyseal cupping,11,0.005181574116129149,0.0,"[0.00908487 0.00253138 0.00901622 0.00432107 0.00725088 0.00809589
 0.00312305 0.00416725 0.00814268 0.0012597  0.00543699 0.00364541
 0.00739719 0.009245   0.00438907 0.00603218 0.00474026 0.00637963
 0.00200056 0.00300633 0.00577803 0.00887291 0.00547503 0.00362669
 0.00516904 0.00429596 0.00789111 0.00573625 0.00510264 0.00498836
 0.00302365 0.00164973 0.00348472 0.00490614 0.00462998 0.01104756
 0.00377763 0.0043749  0.00163523 0.         0.0075176  0.00627523
 0.00476046 0.00190888 0.00906902 0.00411977 0.00420078 0.00726413
 0.00376261 0.00306476 0.00620454 0.00642227 0.00465409 0.00239332
 0.00255527 0.00711927 0.00641171 0.00376227 0.00492276 0.00390692
 0.0038717  0.00075517 0.00634422 0.00437928 0.00630929 0.00610202
 0.00521635 0.00609453 0.00571809 0.00685139 0.00346021 0.00618846
 0.0037227  0.00211266 0.00273555 0.01037777 0.00136852 0.00605508
 0.00761651 0.00489829 0.00333669 0.00477206 0.00184325 0.00391161
 0.00388848 0.00508031 0.00540761 0.00250678 0.00530392 0.00287683
 0.00988178 0.00723098 0.00219997 0.00214083 0.00526245 0.00145396
 0.00306412 0.00563458 0.00223058 0.00458578]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.41,1.0
C4020851,Cortical white matter abnormalities seen on MRI,18,0.020791269227179474,0.0,"[0.01232768 0.0101055  0.01386563 0.01228414 0.00682905 0.01253437
 0.01586644 0.01230291 0.01081543 0.01957013 0.01500124 0.01015321
 0.01310285 0.01126285 0.01422287 0.02207179 0.0119093  0.01241016
 0.0126664  0.01276168 0.0098687  0.01705846 0.01169182 0.00843097
 0.01829049 0.01816255 0.01507286 0.01459725 0.01824842 0.01526888
 0.01055306 0.01137823 0.01623835 0.01419757 0.0124623  0.01697475
 0.00735262 0.01252192 0.011705   0.01500156 0.0171262  0.01532129
 0.00670423 0.01121645 0.01651031 0.01294287 0.01042005 0.01145229
 0.00864322 0.01230015 0.01704113 0.00959481 0.0110632  0.01774309
 0.01171766 0.01124393 0.01049429 0.01065545 0.01632158 0.0141711
 0.01319401 0.00819941 0.01721886 0.0115237  0.00784432 0.008478
 0.01527165 0.01218842 0.01638107 0.01707565 0.01545113 0.01178786
 0.00902171 0.01468883 0.01440169 0.01321284 0.00993256 0.01216544
 0.01012404 0.01838796 0.01627527 0.01390015 0.01250369 0.00968475
 0.01071077 0.01291475 0.01039591 0.0118681  0.01868474 0.01186108
 0.00956252 0.01269409 0.01287094 0.00708437 0.01714126 0.00969765
 0.0123247  0.01864797 0.01121178 0.01266978]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.01,1.0
C1837081,Tibial bowing,19,0.01790963646002959,0.0,"[0.00990536 0.00763886 0.00503474 0.01110504 0.01045885 0.00645591
 0.00580139 0.00800892 0.01189678 0.00881752 0.00557688 0.0120822
 0.00897232 0.01356922 0.01360746 0.00867913 0.008891   0.01629473
 0.00912529 0.01078842 0.00806282 0.00294931 0.01217087 0.00672617
 0.00613467 0.01092492 0.00605782 0.00653699 0.01142449 0.00783432
 0.01010271 0.00897358 0.00824856 0.00409537 0.00475222 0.00953993
 0.00964283 0.00791517 0.00451237 0.00517095 0.00834205 0.01382939
 0.01268721 0.00594435 0.00362357 0.00721862 0.00556428 0.0110549
 0.00688922 0.00645382 0.00425289 0.00816019 0.01266587 0.00363937
 0.00766058 0.00856766 0.0073953  0.01163827 0.00662621 0.00483284
 0.00853665 0.00382774 0.00398916 0.00513667 0.00892903 0.00988564
 0.00500487 0.0071562  0.01131078 0.00669672 0.00525031 0.00679983
 0.00742063 0.00740797 0.00710669 0.01019898 0.00724199 0.00623112
 0.00807003 0.00735034 0.01087185 0.00846446 0.01105459 0.00635365
 0.00708441 0.00763587 0.01372301 0.00572032 0.00622469 0.01109156
 0.00875468 0.00636091 0.00495015 0.01010327 0.00960439 0.00611093
 0.00712884 0.00791167 0.0062958  0.01009775]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,1.0
C4020854,Neuro-degenerative disease,42,0.042977266720506876,0.0,"[0.03555406 0.04506693 0.03447644 0.04689361 0.03466606 0.0337285
 0.04550727 0.03822289 0.04043537 0.031892   0.04590773 0.05015594
 0.03161042 0.03654543 0.04142862 0.03777754 0.04270941 0.04753156
 0.03423617 0.03752809 0.04407481 0.0384804  0.03283327 0.03874509
 0.02494375 0.04171966 0.04233097 0.03156572 0.03121127 0.03745152
 0.03998488 0.04064973 0.0379623  0.03272685 0.04114554 0.03907411
 0.04589699 0.04573235 0.03918175 0.05794608 0.03494227 0.04186067
 0.03539986 0.03637674 0.04183569 0.04171777 0.04251155 0.0407841
 0.03761952 0.04354153 0.04401472 0.04043933 0.04168886 0.03932253
 0.04342537 0.04149201 0.03612771 0.04490136 0.03818129 0.03901873
 0.03700529 0.04138981 0.04118665 0.05376464 0.03942729 0.03702131
 0.04867545 0.03864768 0.04815221 0.03896182 0.04148628 0.033903
 0.04499984 0.03831618 0.04447033 0.03455014 0.04061261 0.03882259
 0.03395145 0.03437479 0.03661317 0.02985176 0.03833216 0.03278746
 0.05034157 0.03962217 0.03216057 0.03259043 0.0439949  0.04344987
 0.03463624 0.03503337 0.03572516 0.04318474 0.04615036 0.04267029
 0.04422388 0.03923067 0.03993466 0.03942367]","[0.         0.         0.         0.         0.00506599 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.0028343
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0018797  0.         0.         0.         0.
 0.         0.00316456 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00252525 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00163399 0.         0.
 0.         0.         0.         0.        ]",0.25,1.0
C4020855,Respiratory function loss,121,0.11052783533829919,0.012195121951219513,"[0.06126365 0.06067255 0.06241953 0.06221687 0.06037549 0.06235459
 0.06110488 0.06624703 0.06097212 0.06743271 0.06188438 0.05663048
 0.06149476 0.06911396 0.05626464 0.05939562 0.06129337 0.06422816
 0.05974337 0.06166258 0.07856293 0.05990743 0.07186534 0.0587263
 0.05981449 0.06227183 0.06037193 0.05537795 0.05616599 0.06524021
 0.05951377 0.05720003 0.07197029 0.06701217 0.05668674 0.06641836
 0.05082054 0.06113679 0.06891002 0.05370761 0.05943768 0.06271431
 0.06251368 0.05672259 0.05697202 0.05606313 0.07375848 0.06371299
 0.06958087 0.0591477  0.06186417 0.0634383  0.06042969 0.05769336
 0.06498797 0.06006603 0.05873669 0.06681707 0.06270475 0.06769052
 0.06598523 0.06282831 0.06205366 0.06147833 0.05552257 0.06524029
 0.06190068 0.06574284 0.06590008 0.05581665 0.06228288 0.06516432
 0.061378   0.06102868 0.06010286 0.05956495 0.06026823 0.05617109
 0.06494119 0.06491783 0.06663409 0.05703261 0.06682431 0.05926282
 0.07196192 0.06129908 0.06148064 0.05901764 0.05600808 0.06572239
 0.06969964 0.05956191 0.06147016 0.05917181 0.05853696 0.06312306
 0.06338268 0.06905358 0.05573593 0.06048311]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
C4020856,Terminal tremor,20,0.013596119609221111,0.0,"[0.01209445 0.01119161 0.01262874 0.0122019  0.01463388 0.01137289
 0.01112952 0.01740433 0.01314748 0.01288582 0.01602306 0.01690757
 0.01575463 0.00914713 0.01174395 0.01335253 0.01425817 0.01098431
 0.01427625 0.01338508 0.01361687 0.01783694 0.01383032 0.01631219
 0.01237334 0.01188549 0.01257912 0.01301701 0.01796659 0.01767654
 0.01640796 0.01771824 0.012606   0.00872396 0.01639932 0.02139431
 0.01354239 0.01336137 0.0143436  0.0125866  0.01335359 0.01576407
 0.01899313 0.00896745 0.01120945 0.0132622  0.01077504 0.01188448
 0.01973526 0.01843359 0.02126101 0.01559492 0.01764794 0.01388369
 0.02353534 0.01656329 0.01585815 0.00749776 0.00821704 0.02337659
 0.0210831  0.01587985 0.01141028 0.01815324 0.0135596  0.02248331
 0.01280539 0.00647938 0.00812795 0.01561275 0.01127568 0.01381063
 0.01608727 0.01400616 0.01805409 0.01326153 0.01304489 0.00872336
 0.01203098 0.01325546 0.01391571 0.01209589 0.01910026 0.01314001
 0.01441638 0.01304202 0.01522255 0.01783163 0.01408022 0.01369803
 0.01290407 0.01353186 0.01392108 0.01620812 0.01062944 0.00967519
 0.01047361 0.01244802 0.02134404 0.01227711]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.49,1.0
