disease_id,disease_name,disease_size,loo_median_CI,loo_median_DI,null_loo_medians_CI,null_loo_medians_DI,pvalue_CI,pvalue_DI
C4020858,Choreatic disease,28,0.02528466476547226,0.0,"[0.01529783 0.02160917 0.01700733 0.02005399 0.01833205 0.02690534
 0.02099933 0.01988772 0.01794803 0.01720512 0.01866115 0.02040587
 0.028907   0.01964984 0.01910502 0.01853044 0.01864042 0.02598026
 0.01535564 0.02455424 0.01641944 0.02024423 0.02410014 0.02259449
 0.0177607  0.01423256 0.02297782 0.01300356 0.01765487 0.01648031
 0.0172903  0.02052923 0.01933561 0.019624   0.02390812 0.02144001
 0.01992047 0.01757754 0.02546813 0.01775922 0.01943835 0.01870803
 0.01803642 0.01781063 0.01506779 0.02222949 0.01760129 0.02105871
 0.02977143 0.01805138 0.01829009 0.02444157 0.02483743 0.01791027
 0.01464241 0.02348678 0.01851378 0.02197292 0.02612096 0.0218088
 0.02231288 0.02242121 0.01626473 0.017213   0.0302481  0.02390141
 0.02016589 0.02318292 0.01732791 0.02320655 0.01499287 0.01951836
 0.01683109 0.02268944 0.01752998 0.02033552 0.01854106 0.01646404
 0.02783964 0.02004544 0.01577841 0.02257672 0.02132027 0.01788848
 0.02763639 0.0155928  0.02051346 0.02383469 0.01663785 0.02206193
 0.02246571 0.0254697  0.01980481 0.02224255 0.02027196 0.02177306
 0.01716911 0.01459964 0.02086282 0.02319163]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.1,0.47
C4020859,Pyramidal tract disease,10,0.005681270045864745,0.0,"[0.00797727 0.00461819 0.00415493 0.00295241 0.004622   0.00320567
 0.00347946 0.00721599 0.00571838 0.00369531 0.00449823 0.00493091
 0.00363124 0.00442429 0.00464631 0.00532339 0.00741574 0.0088479
 0.00517141 0.00767066 0.0042635  0.00697703 0.00522946 0.00333646
 0.00402373 0.00594325 0.00255591 0.00421072 0.00634935 0.00505656
 0.00438039 0.01298786 0.00367679 0.00629891 0.00388903 0.00782901
 0.00672229 0.00668141 0.0076712  0.00328746 0.00517744 0.00632625
 0.0071747  0.00423551 0.00617914 0.00364496 0.00491917 0.00661051
 0.0059683  0.00489505 0.00937819 0.00508092 0.00610381 0.00347415
 0.00225286 0.00737302 0.00614617 0.00410395 0.00575999 0.00372167
 0.00488767 0.00866292 0.00547796 0.00488077 0.00324569 0.01140143
 0.00056992 0.00426562 0.00340496 0.0065635  0.00595152 0.00726196
 0.0040488  0.00495098 0.00773123 0.00778778 0.00074381 0.00492757
 0.00343533 0.0050053  0.00398274 0.01227441 0.00494375 0.00875282
 0.0095089  0.00370449 0.00659988 0.00787147 0.0015719  0.00807661
 0.00576077 0.01160256 0.00186394 0.0055253  0.00333826 0.00481496
 0.00145848 0.00577717 0.00309418 0.00747005]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.42,0.66
C2675111,Abnormal eyelashes,13,0.05117993612502903,0.0,"[0.00573729 0.00551173 0.00533652 0.00690968 0.00585559 0.01435863
 0.00627517 0.00953964 0.00461111 0.0044527  0.00558063 0.00704152
 0.00264787 0.00510994 0.00508817 0.00643578 0.00803935 0.00858896
 0.00974075 0.00944315 0.00503482 0.00287679 0.00220385 0.00670086
 0.00342936 0.01366731 0.00730006 0.00772798 0.00522553 0.00610274
 0.00370281 0.00816584 0.01359101 0.00744498 0.00539771 0.00812915
 0.00689672 0.01112067 0.00664679 0.00828368 0.00534491 0.00620373
 0.00490454 0.00243787 0.00774825 0.00515693 0.00625031 0.00914751
 0.00505957 0.00454761 0.00529474 0.00366988 0.00784009 0.00399619
 0.00618625 0.00591934 0.00951457 0.00651082 0.00754786 0.01080691
 0.00610754 0.01209262 0.00444438 0.01335127 0.00205397 0.0070501
 0.00736365 0.00906101 0.00850386 0.00521507 0.00496326 0.00605637
 0.00397502 0.00653291 0.00439582 0.00562931 0.00356894 0.0027562
 0.0045091  0.00579379 0.01407628 0.00760897 0.00700112 0.00765276
 0.00781666 0.00717012 0.00980956 0.00462126 0.0061273  0.00418878
 0.00445523 0.00379296 0.00562887 0.00675492 0.00800154 0.00981021
 0.00591152 0.00336647 0.00975693 0.00392772]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.59
C0003803,Arnold Chiari Malformation,11,0.007561814308267323,0.0,"[0.00684427 0.01319097 0.00637073 0.00874972 0.00245517 0.0069114
 0.00178253 0.00759041 0.00795503 0.01384981 0.00638185 0.00457803
 0.00694392 0.0044387  0.01020089 0.00993639 0.00536056 0.00571056
 0.00919847 0.0029119  0.00644421 0.0084069  0.0135718  0.00978043
 0.00695976 0.00513779 0.00787621 0.005708   0.01470121 0.00572216
 0.00360469 0.007623   0.00747942 0.00695499 0.00197965 0.00268633
 0.00755946 0.00466947 0.01003186 0.00192343 0.00669351 0.00463919
 0.00279266 0.00804694 0.00551724 0.01054413 0.00307356 0.00764175
 0.00500758 0.00752679 0.00928147 0.00810518 0.01021696 0.00495242
 0.00639066 0.00803785 0.0057617  0.01021879 0.01151331 0.00417046
 0.01052608 0.00401324 0.00808023 0.00565604 0.0042213  0.00588125
 0.00371057 0.0040209  0.00770273 0.01028763 0.00741218 0.00801181
 0.01006436 0.00495171 0.00496802 0.00139191 0.00798791 0.00622648
 0.01094851 0.00823527 0.00492484 0.00581449 0.00825043 0.00420667
 0.00488103 0.00181546 0.00906215 0.00893901 0.00566129 0.00660816
 0.00198473 0.00653278 0.00820333 0.00835531 0.00464699 0.00621235
 0.00768436 0.00636199 0.00277079 0.00772333]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.4,0.47
C1837082,Metaphyseal cupping,11,0.005181574116129149,0.0,"[0.00299145 0.00382707 0.00161817 0.00374554 0.00622711 0.00374148
 0.00902308 0.00368986 0.00598179 0.00444735 0.00384124 0.01134549
 0.00135872 0.00759847 0.00537179 0.004431   0.00564507 0.00576971
 0.00207866 0.00364697 0.00522757 0.00451617 0.00274891 0.00557367
 0.0036875  0.00315657 0.0069194  0.00461127 0.00332489 0.00349476
 0.0042236  0.00473843 0.00806447 0.00467725 0.00232299 0.00824273
 0.00268936 0.00960025 0.00550425 0.01011981 0.00672873 0.00603709
 0.00387588 0.00469285 0.00642689 0.00502938 0.00288151 0.00584052
 0.00353881 0.002033   0.00894424 0.00847688 0.00682726 0.00107043
 0.00381144 0.00408083 0.00261708 0.00439634 0.0067222  0.00284461
 0.00336664 0.00361618 0.00682789 0.0032556  0.00154265 0.00572164
 0.00565219 0.0028946  0.00438218 0.00700401 0.00338525 0.00804562
 0.006537   0.00499554 0.00165885 0.0029254  0.00400232 0.00445908
 0.01055934 0.00587584 0.00433012 0.00440262 0.00906041 0.0061406
 0.00338323 0.00158837 0.00411544 0.00735465 0.00674295 0.0019805
 0.00792394 0.00514399 0.00485058 0.00404177 0.00108142 0.00244145
 0.00687456 0.00340979 0.00267949 0.00420396]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.38,0.47
C4020851,Cortical white matter abnormalities seen on MRI,18,0.020791269227179474,0.0,"[0.00962736 0.01416668 0.01312489 0.0144405  0.01549298 0.00524047
 0.01187052 0.00935336 0.0135801  0.01214699 0.0080933  0.00840929
 0.01738553 0.01180527 0.01147678 0.01726153 0.01162226 0.01410293
 0.01491592 0.01448662 0.0144108  0.00978159 0.01434656 0.01401487
 0.0163204  0.00910113 0.01539885 0.01011841 0.00904046 0.01055565
 0.01644831 0.01494111 0.009855   0.01339407 0.01520076 0.00966915
 0.00923665 0.01250576 0.0111687  0.01112218 0.01431893 0.01150541
 0.00889494 0.01340263 0.00831624 0.00907969 0.00924083 0.01545078
 0.01613681 0.01011441 0.01024638 0.0113401  0.0090825  0.01333911
 0.01365706 0.01236698 0.01528008 0.01567671 0.00985582 0.00614892
 0.00861585 0.00935011 0.0142359  0.00963972 0.01529262 0.00876825
 0.01294703 0.01677822 0.00923609 0.01569958 0.01060035 0.00850156
 0.01272757 0.00731362 0.01286037 0.01299723 0.01671111 0.01158109
 0.00798612 0.01036288 0.01591642 0.01378301 0.0133877  0.01224253
 0.00913801 0.00764269 0.00793905 0.01757084 0.01224908 0.01229126
 0.01167492 0.01237252 0.01548121 0.01716181 0.01509196 0.0176885
 0.01499979 0.01568037 0.01257507 0.01492313]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.44
C0033941,"Psychoses, Substance-Induced",17,0.021643255821474732,0.0,"[0.01810534 0.0123924  0.01318128 0.0154568  0.02236242 0.01097717
 0.02278522 0.01520828 0.01473578 0.01812864 0.01824486 0.02326163
 0.01566777 0.01025333 0.01286455 0.01839526 0.01975388 0.0170741
 0.01346354 0.01774805 0.00807127 0.0127396  0.01662046 0.01065442
 0.01198955 0.02272174 0.01428245 0.01286674 0.02125917 0.01644003
 0.01424509 0.01425732 0.02112194 0.01194748 0.01883824 0.00983329
 0.02340228 0.01656092 0.01398263 0.01943353 0.01446873 0.01855144
 0.02812058 0.0108543  0.01792041 0.0143147  0.01463904 0.01929102
 0.01136957 0.01618337 0.0158267  0.01583305 0.01283939 0.0162523
 0.01844176 0.01593485 0.01105398 0.02873021 0.02082659 0.01020626
 0.01773065 0.01762316 0.01776564 0.0244597  0.01566643 0.01567628
 0.02682156 0.01445846 0.01749542 0.01654792 0.0112755  0.02192961
 0.01671154 0.00965974 0.01314758 0.01904016 0.02355574 0.02491566
 0.0122128  0.01586246 0.02345661 0.02061581 0.00996995 0.02084865
 0.01394883 0.00982065 0.01344412 0.01222595 0.01576635 0.01820304
 0.01062397 0.01235354 0.01724674 0.01784638 0.0175256  0.01814014
 0.01874859 0.00960732 0.01721829 0.02512777]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00215983 0.00239234 0.         0.         0.
 0.00217865 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.14,0.47
C4020854,Neuro-degenerative disease,42,0.042977266720506876,0.0,"[0.03769048 0.02808027 0.03970292 0.04127536 0.03873927 0.03962013
 0.04316745 0.03150352 0.03703722 0.04134416 0.04013266 0.03832303
 0.03050069 0.04695472 0.03445117 0.03812535 0.03549158 0.04021779
 0.04869062 0.03290929 0.03704939 0.03581737 0.0350945  0.03515196
 0.04252383 0.04457775 0.04532499 0.03514693 0.0361692  0.03367113
 0.04072775 0.04349356 0.0372831  0.03786414 0.04276939 0.0393848
 0.03629453 0.03058043 0.04065387 0.03526372 0.04273097 0.04355696
 0.04057839 0.04108198 0.03492227 0.0420997  0.05142212 0.04667293
 0.0303627  0.02991476 0.0393893  0.03881553 0.04194737 0.03634621
 0.04048493 0.05079505 0.03858103 0.03724758 0.04070587 0.04260598
 0.03486793 0.04834237 0.03254794 0.0303497  0.03174816 0.04723336
 0.03462264 0.03891211 0.03697855 0.03487223 0.03885093 0.03742379
 0.03703477 0.03478053 0.0397252  0.03889695 0.04399362 0.04657538
 0.03433124 0.03794345 0.04362546 0.03580069 0.03741674 0.03762898
 0.03643021 0.03456069 0.04144515 0.03488736 0.0365833  0.03600303
 0.03351223 0.04494317 0.0370568  0.04230816 0.04388838 0.03572398
 0.03932236 0.04079388 0.04493911 0.04189715]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0016129  0.         0.         0.
 0.         0.         0.00218341 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00485447 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00166667 0.         0.         0.
 0.         0.         0.         0.00248756 0.002829   0.
 0.         0.         0.         0.        ]",0.18,0.56
C1837087,Macular pigmentary changes,15,0.02157325555481967,0.0,"[0.         0.         0.         0.         0.00071796 0.00384042
 0.         0.         0.         0.         0.         0.00208967
 0.         0.         0.         0.         0.         0.
 0.00254502 0.00186246 0.         0.0049067  0.         0.0055115
 0.         0.         0.         0.         0.         0.
 0.00347197 0.00216776 0.         0.         0.         0.00036106
 0.00198764 0.         0.         0.         0.         0.0015791
 0.         0.         0.         0.00185218 0.         0.
 0.         0.         0.00148454 0.         0.00142186 0.00282993
 0.00024458 0.         0.         0.00342514 0.         0.
 0.00107665 0.00189859 0.00192643 0.00446487 0.         0.
 0.         0.00925439 0.         0.00414884 0.         0.
 0.         0.00366126 0.00233575 0.00054792 0.         0.
 0.00267306 0.         0.00275695 0.00727884 0.         0.
 0.         0.         0.         0.         0.00764272 0.
 0.         0.         0.         0.         0.         0.
 0.00412674 0.         0.         0.        ]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.43
C1837084,Short metacarpal,44,0.03811569282899374,0.009579417936319678,"[0.0248042  0.02309974 0.02908484 0.02780945 0.02409477 0.02744786
 0.0320981  0.02063055 0.02520173 0.01993053 0.02583406 0.02481266
 0.02656692 0.02441804 0.0236631  0.02317648 0.01639917 0.02217013
 0.02492528 0.02291392 0.02207599 0.02500221 0.01954148 0.01969154
 0.02150571 0.01995161 0.0220959  0.02061808 0.02678412 0.02764898
 0.02468745 0.01656254 0.02579093 0.02404414 0.02742733 0.01787841
 0.02551419 0.02013165 0.02425629 0.02400281 0.02498489 0.02548324
 0.02484074 0.02446157 0.02377057 0.02260072 0.02801945 0.0293485
 0.01841005 0.02454194 0.02857308 0.02246208 0.02680678 0.0238056
 0.02420413 0.02369453 0.0176846  0.02427039 0.02100361 0.02423015
 0.02259632 0.02376789 0.02544674 0.02325592 0.02618449 0.02969787
 0.02258222 0.02244866 0.01883707 0.03003874 0.03044211 0.02202284
 0.02341693 0.03073427 0.01793216 0.0181102  0.02067552 0.0258228
 0.02876369 0.02483782 0.02796376 0.01904945 0.02177589 0.02017035
 0.02224124 0.02291249 0.0219331  0.0203424  0.030838   0.03555135
 0.02179094 0.0232888  0.02158945 0.02273684 0.02361992 0.02635083
 0.02247026 0.02331154 0.02527873 0.02861964]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0,0.0
