,disease_id,disease_name,disease_size,median_comp,null_medians_comp,pvalue_comp
0,C4020858,Choreatic disease,28,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00032085 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00019    0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00022432 0.         0.         0.        ]",0.03
1,C4020859,Pyramidal tract disease,10,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00043014
 0.00044218 0.         0.         0.         0.         0.
 0.         0.         0.         0.00144956 0.         0.
 0.         0.         0.         0.         0.00099629 0.
 0.         0.         0.         0.         0.00078778 0.
 0.00076074 0.00048012 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00024594 0.00039769 0.         0.         0.         0.00048683
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00104639
 0.         0.         0.         0.         0.         0.
 0.00046105 0.         0.         0.         0.         0.
 0.         0.00059672 0.         0.        ]",0.13
2,C2675111,Abnormal eyelashes,13,0.00041155734461226917,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00070046 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00056701
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.02
3,C0003803,Arnold Chiari Malformation,11,0.0,"[0.         0.         0.         0.00014082 0.         0.
 0.         0.         0.00021158 0.         0.         0.00052005
 0.         0.00058746 0.         0.00032109 0.         0.
 0.         0.         0.         0.         0.         0.00033232
 0.         0.         0.00095559 0.         0.         0.00085267
 0.         0.         0.         0.         0.         0.00064063
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00092067 0.         0.
 0.00068206 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00081979 0.         0.000301   0.         0.00055467
 0.00018261 0.         0.         0.00040879 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00017662 0.         0.         0.
 0.         0.         0.         0.         0.00053422 0.
 0.         0.         0.00057757 0.        ]",0.19
4,C1837082,Metaphyseal cupping,11,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00013581 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00021152
 0.00052086 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.03
5,C4020851,Cortical white matter abnormalities seen on MRI,18,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00048813 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.0004009  0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00018995 0.         0.         0.
 0.00053324 0.         0.         0.         0.         0.
 0.0004434  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00039361 0.         0.         0.         0.
 0.         0.         0.         0.        ]",0.06
6,C1837081,Tibial bowing,19,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
7,C4020854,Neuro-degenerative disease,42,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00033424 0.00034995
 0.00012396 0.         0.         0.         0.         0.00028759
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.0003251  0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00037861
 0.00014808 0.         0.00044092 0.         0.         0.
 0.         0.00028371 0.00030016 0.00022056 0.         0.
 0.         0.         0.00024614 0.         0.00022068 0.
 0.         0.         0.         0.0001534  0.         0.
 0.         0.         0.         0.00022968]",0.15
8,C4020855,Respiratory function loss,121,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
9,C4020856,Terminal tremor,20,0.0,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00056994 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.00031092 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00012325 0.
 0.         0.00010589 0.         0.         0.00030328 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.00016734 0.
 0.         0.         0.         0.         0.         0.
 0.         0.00019476 0.         0.        ]",0.07
10,C0020461,Hyperkalemia,17,0.0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0.]",0.0
