Node ID,Protein ID,Protein Name,Disease Node,Degree,Comp_rnorm_cnorm
4609,5663,PSEN1,0,137,
4610,5664,PSEN2,0,80,
6147,7514,XPO1,0,1256,
2059,2534,FYN,0,410,
17422,123169,LEO1,0,53,
17423,57634,EP400,0,59,
7699,9612,NCOR2,0,136,
20,25,ABL1,0,389,
15893,22919,MAPRE1,0,177,
6752,8467,SMARCA5,0,215,
29,34,ACADM,0,88,
2594,3178,HNRNPA1,0,701,
2092,2571,GAD1,1,35,12832.0
7726,9641,IKBKE,0,392,
17460,57680,CHD8,0,51,
5180,6386,SDCBP,0,332,
8768,10856,RUVBL2,0,367,
18016,25852,ARMC8,0,32,
3144,3840,KPNA4,0,86,
13391,51592,TRIM33,0,84,
4691,5764,PTN,0,107,
1620,1956,EGFR,0,926,
4694,5770,PTPN1,0,142,
2144,2639,GCDH,1,38,17237.0
7284,9112,MTA1,0,128,
8821,10919,EHMT2,0,160,
15991,55791,LRIF1,0,161,
6165,7534,YWHAZ,0,662,
3729,4609,MYC,0,583,
15509,55183,RIF1,0,160,
6807,8533,COPS3,0,97,
2712,3312,HSPA8,0,600,
2500,3065,HDAC1,0,611,
7836,9759,HDAC4,0,203,
5277,6500,SKP1,0,251,
5793,7088,TLE1,0,142,
2724,3329,HSPD1,0,379,
5285,22930,RAB3GAP1,1,29,9569.0
10412,79577,CDC73,0,107,
5661,6929,TCF3,0,208,
185,224,ALDH3A2,1,106,3572.0
1653,1994,ELAVL1,0,1866,
705,841,CASP8,0,196,
13506,51733,UPB1,0,18,
1223,1459,CSNK2A2,0,341,
1741,2099,ESR1,0,789,
3283,4000,LMNA,0,258,
6359,7846,TUBA1A,0,399,
1249,1487,CTBP1,0,171,
6378,7874,USP7,0,313,
1259,1499,CTNNB1,1,395,367.0
1260,1500,CTNND1,0,62,
6867,8607,RUVBL1,0,279,
15616,55299,BRIX1,0,167,
21376,65123,INTS3,0,57,
2044,2516,NR5A1,0,51,
8467,10482,NXF1,0,1153,
17694,6299,SALL1,0,20,
287,351,APP,0,2132,
2338,2885,GRB2,0,1081,
10535,79718,TBL1XR1,0,69,
2524,3091,HIF1A,0,182,
301,367,AR,0,301,
5422,6657,SOX2,1,351,7353.0
5432,6667,SP1,0,441,
4925,6059,ABCE1,0,243,
4437,5460,POU5F1,0,68,
18265,26173,INTS1,0,51,
861,1017,CDK2,0,892,
3422,4163,MCC,0,306,
3426,4171,MCM2,0,918,
3942,4860,PNP,1,61,6882.0
13672,84735,CNDP1,0,32,
4459,5494,PPM1A,0,55,
16241,23291,FBXW11,0,403,
6520,8125,ANP32A,0,66,
20857,64210,MMS19,0,193,
2938,3611,ILK,0,254,
8064,10013,HDAC6,0,259,
15240,54880,BCOR,1,60,1249.0
3469,4223,MEOX2,0,687,
13710,84790,TUBA1C,0,175,
13200,51377,UCHL5,0,219,
3986,4914,NTRK1,0,1965,
15767,55553,SOX6,0,19,
5539,6790,AURKA,0,297,
1444,51341,ZBTB7A,0,36,
7077,8841,HDAC3,0,238,
4524,5566,PRKACA,0,420,
8112,10075,HUWE1,0,461,
16308,23363,OBSL1,0,619,
6583,8239,USP9X,0,139,
8120,10084,PQBP1,1,51,2052.0
2499,3064,HTT,0,205,
6596,8260,NAA10,1,72,4946.0
4045,4990,SIX6,1,4,14722.0
3236,3945,LDHB,0,157,
7132,8905,AP1S2,1,33,5816.0
17402,90379,DCAF15,0,21,
15845,22870,PPP6R1,0,57,
3561,4343,MOV10,0,1178,
7147,8924,HERC2,0,224,
6739,8452,CUL3,0,1228,
503,604,BCL6,0,158,
2042,2512,FTL,1,50,6550.0
8187,10157,AASS,1,7,12005.0
1020,1211,CLTA,0,83,
7165,8945,BTRC,0,353,
