Disease ID,Disease Name,# of Disease Nodes,# of Intermediate Nodes,Density of Disease Subgraph,Density of Disease-Intermediate Subgraph,Density of Intermediate Subgraph,Conductance of Disease Nodes,Conductance of Disease-Intermediate Nodes,Conductance of Intermediate Nodes,Conductance of Intermediate Nodes deg < 100,Mean Frac. of Intermediate-Disease Interactions
C4020858,Choreatic disease,28,262,0.0582010582010582,0.09456029462997063,0.10163493316954754,0.9776989356310187,0.8715239624714732,0.8800276195408251,0.8674433656957928,0.08505997818974916
C4020859,Pyramidal tract disease,10,33,0.13333333333333333,0.2203765227021041,0.23295454545454544,0.98145285935085,0.9697912713472486,0.9803639846743295,0.9464469618949537,0.21212121212121213
C2675111,Abnormal eyelashes,13,58,0.0641025641025641,0.14285714285714285,0.12764670296430733,0.9835796387520526,0.9618973990833287,0.9759269823160297,0.9239646978954514,0.17904509283819625
C0003803,Arnold Chiari Malformation,11,37,0.09090909090909091,0.13333333333333333,0.13813813813813813,0.9816849816849816,0.960161662817552,0.9716486902927581,0.8788870703764321,0.22604422604422603
C1837082,Metaphyseal cupping,11,20,0.12727272727272726,0.23891625615763548,0.30526315789473685,0.9723320158102767,0.9798399667463369,0.9873541916494059,0.9216101694915254,0.18636363636363634
C4020851,Cortical white matter abnormalities seen on MRI,18,182,0.0915032679738562,0.1260904044409199,0.13180741910023677,0.9829580036518564,0.9125845291110012,0.918951710749818,0.9345268542199489,0.13308913308913312
C1837081,Tibial bowing,19,139,0.06432748538011696,0.12572373862696443,0.1358565321655719,0.9775510204081632,0.9270668394030996,0.9362399686827167,0.9116179615110478,0.11359333585762967
C4020854,Neuro-degenerative disease,42,928,0.053426248548199766,0.0812978916645357,0.08466317003310643,0.9819182389937107,0.6191444976867151,0.6218837284158282,0.9014394898485488,0.06814449917898194
C4020855,Respiratory function loss,121,1134,0.018044077134986226,0.04465474697067865,0.04817476662136856,0.9565793834935367,0.6711871288636249,0.6815525189331577,0.8160971955310902,0.024377978923433467
C4020856,Terminal tremor,20,205,0.04736842105263158,0.15144103379397497,0.165662362505978,0.98851308232291,0.8830639449786745,0.8894667985577076,0.9256110520722636,0.11073170731707319
C0020461,Hyperkalemia,17,65,0.08088235294117647,0.13403508771929826,0.1605769230769231,0.9855737704918033,0.9652569349704411,0.9693423286979669,0.947800149142431,0.1321266968325792
C0079924,Oligohydramnios,30,119,0.0367816091954023,0.08116671326064673,0.08759435977780942,0.9744816586921851,0.9404668329858856,0.9561606729158498,0.913972286374134,0.07394957983193275
C0003578,Apnea,44,431,0.0306553911205074,0.09739703582334103,0.10571413154912858,0.9775802087359876,0.7980581774663655,0.807932866694116,0.9014675052410901,0.05494621387892849
C0332606,Elfin facies,10,62,0.06666666666666667,0.2312206572769953,0.24061343204653624,0.9913169319826338,0.9572297003907946,0.9662275004639079,0.9579524680073126,0.21451612903225803
C0857973,Increased serum parathyroid hormone,13,128,0.1282051282051282,0.17206955775010735,0.18245570866141733,0.980411361410382,0.9230492283320932,0.9281440027133755,0.9278162595698141,0.17728365384615383
C0240310,Hypoplasia of the maxilla,65,1231,0.03701923076923077,0.06333329592736259,0.06590715460363376,0.9741350352704065,0.5531195150598037,0.5576183953293524,0.857492703545909,0.04570393051302881
C0241210,Speech Delay,112,1769,0.016891891891891893,0.03982625273588037,0.04212633872960412,0.9745423687719723,0.5192938101257687,0.5255937549509585,0.8353949358253518,0.027330816441896142
C0027720,Nephrosis,15,160,0.18095238095238095,0.182039911308204,0.1915880503144654,0.97264218862491,0.8964560474208602,0.897335439705108,0.921344537815126,0.14416666666666664
C0026636,Mouth Diseases,12,130,0.15151515151515152,0.15292908530318602,0.16100178890876565,0.9826539462272333,0.9150490979675725,0.9219833564493759,0.9142394822006472,0.1814102564102564
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,20,117,0.3631578947368421,0.2988754911258637,0.3225758915414088,0.8681948424068768,0.7995456610631531,0.8008008008008008,0.5422310756972112,0.34487179487179487
