Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C4082243,Maxillary retrognathia,0.328571428571,0.05,3872.56923077,0.013043678012,5740.47692308,0.821008149212,0.097619047619
C1720508,Retinal pigment epithelial abnormality,0.371818181818,0.0636363636364,4914.52777778,0.022895822014,7132.71296296,0.772332191795,0.119090909091
C0392775,Cystic medial necrosis of aorta,0.55,0.3,681.583333333,0.0276715560768,4326.75,0.968092364818,0.55
C0266619,Potter's facies,0.555555555556,0.333333333333,5606.77777778,0.0567013585878,5042.33333333,0.722763649114,0.444444444444
C0233715,Speech impairment,0.189393939394,0.0181818181818,5760.63392857,0.00387629504563,7053.75892857,0.73140150632,0.0363636363636
C0522055,Electrocardiogram abnormal,0.409722222222,0.0125,4293.01234568,0.00753909602977,4467.5308642,0.800886034281,0.1625
C0282612,Prostatic Intraepithelial Neoplasias,0.7,0.3,816.272727273,0.205391710993,2530.36363636,0.959950802933,0.3
C0008780,Ciliary Motility Disorders,0.166666666667,0.0,7791.91428571,0.000848057867061,12365.7142857,0.623996569402,0.025
C0085583,Choreoathetosis,0.466666666667,0.0583333333333,4213.5,0.00523979782503,3991.625,0.801837398374,0.0833333333333
C0010606,Adenoid Cystic Carcinoma,0.334444444444,0.0411111111111,5108.33333333,0.0189887166149,8656.15151515,0.76393165978,0.0911111111111
C1969913,"Hyperkeratosis, generalized",0.85,0.6,1072.35714286,0.105159227105,4414.92857143,0.943023255814,0.7
C1849367,Nasal bridge wide,0.177898550725,0.0173913043478,5380.57142857,0.00631940471729,6306.51948052,0.748150706017,0.0304347826087
C1846803,Small epiphyses,0.4,0.4,6039.7,0.0584069832268,5548.2,0.688358008075,0.4
C1851792,Aplasia/Hypoplasia of the earlobes,0.4,0.3,4285.54545455,0.0251569405327,5043.18181818,0.772735078437,0.3
C0013182,Drug Allergy,0.35,0.0583333333333,7324.65714286,0.00632285389569,4288.05714286,0.673812261872,0.15
C1333990,Hereditary Nonpolyposis Colorectal Cancer,0.6,0.6,1340.0,0.241884943711,6314.72727273,0.931646245243,0.6
C0013386,"Dyskinesia, Drug-Induced",0.3,0.2,4749.13333333,0.0106198661331,3679.33333333,0.727771330424,0.2
C0085581,Restrictive lung disease,0.35,0.15,5952.63636364,0.0395286588446,2957.0,0.711419753086,0.35
C1858120,Generalized hypotonia,0.108333333333,0.0,5819.89189189,0.000874192002836,6729.0,0.725217627014,0.0
C1858127,Limb-girdle muscle weakness,0.5,0.2,4067.0,0.0185834812239,3334.33333333,0.838278022743,0.4
