Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0232940,Secondary physiologic amenorrhea,0.21666666666666665,3904.217391304348,0.021948236902393677,5587.565217391304,0.6959033776044083,0.21666666666666665
C1833999,Pigmentary retinal degeneration,0.1,5159.363636363636,0.0016311105530228364,8059.090909090909,0.6703030724960549,0.25
C1855333,Small genitalia,0.35,4980.923076923077,0.0684637672938184,7841.153846153846,0.6716661251392498,0.35
C1848924,Infantile onset,0.004347826086956522,4949.485106382978,0.00779349897924132,6429.608510638298,0.7148526467525546,0.01286231884057971
C0023418,leukemia,0.08,3032.0,0.020133198168158305,4884.923076923077,0.8066255909478416,0.21333333333333332
C1527336,Sjogren's Syndrome,0.0,5279.0,0.000347686982188142,6147.25,0.5626073334880484,0.0
C0009081,Congenital clubfoot,0.0,6058.281818181818,0.0008639665643544057,6677.2,0.592742574719075,0.0
C0040411,Tongue Neoplasms,0.0,3572.3333333333335,0.00038561801914372334,3533.3333333333335,0.5922024214673185,0.0
C0431399,Familial aplasia of the vermis,0.0,10310.157894736842,0.0014442779849085428,14249.105263157895,0.6301084130374222,0.05
C0376628,Chromosome Breakage,0.4,1632.09375,0.09264887659031373,4485.6875,0.8489200542005418,0.4833333333333333
C0020490,Hyperopia,0.0,7999.418604651163,0.000360034620733706,8188.906976744186,0.5396845077623873,0.025
C0878575,Peripheral demyelination,0.0,3166.5,0.0009778275671519009,5916.9375,0.7140603964532751,0.0
C1853743,Axial hypotonia,0.0,6810.173913043478,0.0009143640065077306,8383.869565217392,0.6498027753242528,0.02
C1846449,Irregular epiphyses,0.0,4625.2,0.001203317085919225,4758.7,0.5962639810646494,0.2
C0023787,Lipodystrophy,0.0,6607.823529411765,0.0001873104794119688,6244.823529411765,0.5427646239554318,0.0
C2267233,Neonatal Hypotonia,0.014285714285714285,4742.828125,0.001480824244004833,6307.0,0.6693308784920008,0.030952380952380953
C0007134,Renal Cell Carcinoma,0.029120879120879118,4943.257352941177,0.006085644871367569,6494.5,0.7260938352063884,0.0802197802197802
C0266435,Congenital hypoplasia of penis,0.0,5265.78488372093,0.00290492269586336,6772.808139534884,0.6795203023926427,0.028758169934640525
C0699743,Congenital muscular dystrophy (disorder),0.1,3652.214285714286,0.0009266614943507313,7142.357142857143,0.6165506196908509,0.15
C3854388,Hyperferritinaemia,0.2,6570.285714285715,0.010558184043446812,7466.0,0.695324467344381,0.35
C1833225,Dystrophic toenail changes,0.0,4144.545454545455,0.0005858548021053182,6211.181818181818,0.6604485751415576,0.0
C0085605,Liver Failure,0.08571428571428572,3427.9295774647885,0.02546862852275797,6656.211267605634,0.755077434143163,0.3142857142857142
C1846228,Absence of pubertal development,0.05,3994.823529411765,0.003908085344844722,5249.058823529412,0.7501961467038069,0.1
C0685409,Congenital Camptodactyly,0.025,6339.421052631579,0.0017186002951880893,8499.236842105263,0.6614766795235218,0.05833333333333333
C1846223,Adrenal hypoplasia,0.0,5828.333333333333,0.0004855028441429323,6539.0,0.5650614991877466,0.05
C0007138,"Carcinoma, Transitional Cell",0.13333333333333333,3002.6875,0.062223028636951984,4984.4375,0.7537133178474641,0.21666666666666665
C1846226,Mineralocorticoid insufficiency,0.2,2038.25,0.006715982512474542,3508.0,0.7673532142028313,0.25
C0085606,Urgency of micturition,0.0,6534.285714285715,0.0004444048472579369,8877.785714285714,0.6519658357703199,0.0
C0025202,melanoma,0.009761904761904762,6405.862068965517,0.005349590193623119,6978.689655172414,0.6591332280781564,0.02976190476190476
C0004936,Mental disorders,0.0,6602.916666666667,0.00041665411276813535,6816.083333333333,0.5656730099791135,0.0
C1389280,Basal ganglia calcification,0.1,3335.0,0.0028676310504637016,5495.0625,0.737571375516457,0.1
C0032460,Polycystic Ovary Syndrome,0.0,7818.158940397351,0.0010686927403837387,7868.0066225165565,0.5569759257529041,0.006666666666666666
C0497202,Abnormal ocular motility,0.0,7263.578947368421,0.00015705048618853284,7143.368421052632,0.5220401151453246,0.0
C3887611,Restlessness,0.0,3668.5,0.0027558184285909524,5936.0,0.7278524346655526,0.1
C4025814,Abnormality of the metaphyses,0.0,5055.553191489362,0.0015202622043882675,5930.829787234043,0.6465675267317528,0.085
C4025819,Abnormality of the hypothalamus-pituitary axis,0.1,4190.583333333333,0.008707059488999367,6308.416666666667,0.637512183801346,0.1
C0018824,Heart valve disease,0.025,4248.277777777777,0.006716756758051905,4492.472222222223,0.6192565788454688,0.16666666666666666
C0015300,Exophthalmos,0.01111111111111111,5502.204301075269,0.0029413436421099155,6426.451612903225,0.6614527943429825,0.02222222222222222
C3279222,Cerebellar hypoplasia and atrophy,0.0,4849.707317073171,0.002151109065325694,6033.926829268293,0.7005979271240007,0.075
C3278401,Hair hypopigmentation,0.0,4732.363636363636,0.0009426810537025892,6068.272727272727,0.6646129211918685,0.05
C0853087,Nail abnormality,0.05,3183.4285714285716,0.008513177583133143,4162.714285714285,0.7279620944774641,0.2833333333333333
C2220104,Blister of skin,0.0,3436.1785714285716,0.003428779017368233,5392.857142857143,0.7171473419840937,0.08666666666666667
C1860844,"Thin, sparse hair",0.0,5107.466666666666,0.0021104831387715886,6871.45,0.6834697864818347,0.03333333333333333
C1970705,Fragile hair,0.0,4793.32,0.0026341622875629073,5496.2,0.6496079478605485,0.08333333333333333
C0339527,Leber Congenital Amaurosis,0.0,9384.263157894737,0.00025609151258714174,10070.578947368422,0.534587705450831,0.0
C0042580,Vesico-Ureteral Reflux,0.11666666666666665,5831.0,0.006031299794873714,7428.545454545455,0.6382987208077804,0.11666666666666665
C0010038,Corneal Opacity,0.13666666666666666,3588.509433962264,0.03978038150950685,5670.584905660377,0.738371853298611,0.25000000000000006
C0344559,Irido-corneo-trabecular dysgenesis (disorder),0.0,5317.666666666667,0.0015869287913995956,9072.777777777777,0.7156683786069344,0.1111111111111111
C1839326,Abnormally-shaped vertebrae,0.0,4615.096774193548,0.0013042943291441448,4677.451612903225,0.613059401034408,0.06666666666666667
C0948740,Pituitary hypoplasia,0.0,4424.615384615385,0.0004075462677273141,5626.461538461538,0.6282735332343112,0.0
C0008519,Ectopic Tissue,0.0,4100.642857142857,0.0017101547280416335,6048.642857142857,0.6768788005384578,0.25
C1861869,Underdeveloped supraorbital ridges,0.21666666666666665,3125.5135135135133,0.032017169005838966,5872.135135135135,0.7489796313506816,0.3166666666666667
C1843663,Sphincter disturbances,0.0,4553.8125,0.0001723478383990178,5501.0625,0.5261071909382108,0.0
C0152191,"Scotoma, Central",0.05,2717.842105263158,0.01147002740686328,4165.684210526316,0.7208224997678522,0.4
C1859480,Cone-shaped epiphyses of phalanges,0.0,5764.0,0.0002384902943403621,5438.6875,0.5552481314702197,0.05
C3714757,Juvenile rheumatoid arthritis,0.1,2019.7272727272727,0.0033614591274036395,4568.090909090909,0.7412187877100158,0.2
C1565489,Renal Insufficiency,0.0125,4775.764705882353,0.003638020021848507,5340.835294117647,0.6231643082981455,0.025
C0522214,Abnormal visual evoked potential,0.0,4345.0,0.0004896632659815997,6004.04,0.6025311164778004,0.05
