Disease ID,Disease Name,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0011606,Exfoliative dermatitis,0.0,6721.083333333333,0.0004915112201958264,5364.625,0.6847695010758681,0.0
C0751778,"Myoclonic Epilepsies, Progressive",0.0,8495.55,0.0003825723618225887,6225.65,0.60275712227541,0.0
C0241054,Skin bulla,0.0,6161.446428571428,0.0009242237517162423,5437.517857142857,0.715539277242919,0.016666666666666666
C0270612,Leukoencephalopathies,0.0,9163.862068965518,0.00024307963429708482,6046.931034482759,0.5763710826210826,0.0
C1277241,Delayed myelination,0.0,7433.0,0.0003770411557358892,6247.409090909091,0.6722947140314217,0.0
C0240635,Byzanthine arch palate,0.0,6351.870466321244,0.0029091265595721522,6302.21243523316,0.7033675563417061,0.026052631578947365
C3806443,Puffy cheeks,0.0,7824.551020408163,0.0007424887356873358,6065.734693877551,0.6364380695555142,0.0
C0340543,Familial primary pulmonary hypertension,0.0,5487.909090909091,0.0021855849706348754,4159.090909090909,0.7516058665181473,0.1
C0019294,"Hernia, Inguinal",0.0,6870.397727272727,0.0012400736033355813,5860.329545454545,0.6804069562832197,0.01111111111111111
C1839797,Deep philtrum,0.0,4908.428571428572,0.001148072556418005,4981.428571428572,0.7777365032194157,0.0
C4021664,Abnormality of the abdominal wall,0.0,5309.7,0.0017902071237006893,3066.5,0.7536223140112314,0.0
C0543541,HYPERGLYCINURIA (disorder),0.0,8120.2,0.00015557797057565815,4328.0,0.5890866477931962,0.0
C0027404,Narcolepsy,0.0,10811.1875,0.00010570493917117447,5142.75,0.3767919316651966,0.0
C0001418,Adenocarcinoma,0.026515151515151512,5138.178571428572,0.005411992052207227,4647.428571428572,0.7606804934398779,0.053030303030303025
C0267963,Exocrine pancreatic insufficiency,0.0,5747.727272727273,0.0006237006296952745,5760.727272727273,0.741397475169405,0.0
C0854110,Insulin resistant diabetes,0.0,6932.461538461538,0.0003006165263210594,4404.923076923077,0.682409255477163,0.0
C1836653,Ascending aortic dissection,0.0,7009.916666666667,0.001618413371182403,4734.083333333333,0.663119053144581,0.05
C1861329,Spinal canal stenosis,0.0,8542.416666666666,0.00044892177323442123,5724.0,0.629420979345556,0.0
C1446712,Overlapping fingers,0.0,8281.8,0.00016719422887041046,4432.9,0.5870794078061911,0.0
C0266387,Bicornuate uterus,0.0,8646.0,0.00016681800649647214,6859.181818181818,0.5707022185092361,0.0
C4280269,Noncancerous mole,0.0,4676.035714285715,0.0011178587757005197,5109.5,0.7819150912722375,0.0
C0003486,Aortic Aneurysm,0.0,4633.3,0.0007199628272149174,5610.5,0.7850141551027985,0.0
