Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0848558,Hypospadias,0.2,0.0,8347.92857143,0.000441273399043,7835.21428571,0.567828296895,0.0
C0024301,"Lymphoma, Follicular",0.333333333333,0.0,6104.66666667,0.00167528456394,5688.9047619,0.714485048291,0.0
C0030567,Parkinson Disease,0.157777777778,0.0,6501.10416667,0.00141244858232,6903.95833333,0.695991436663,0.0
C0040028,"Thrombocythemia, Essential",0.4,0.15,3026.16666667,0.0279617965019,5076.41666667,0.826444650731,0.15
C0003864,Arthritis,0.0,0.0,10645.0,0.000117360145864,6943.66666667,0.45589691232,0.0
C0011881,Diabetic Nephropathy,0.25,0.0,4336.54054054,0.0028751019187,7075.97297297,0.804402687423,0.0583333333333
C0020649,Hypotension,0.53,0.133333333333,2141.64150943,0.0451616431519,3666.90566038,0.895863560268,0.166666666667
C0027819,Neuroblastoma,0.185,0.0,5397.45454545,0.00250464768888,7176.04545455,0.752584832427,0.065
C0993582,"Arthritis, Experimental",0.316666666667,0.125,4330.02564103,0.0549054634773,4101.05128205,0.79671592775,0.125
C0024305,"Lymphoma, Non-Hodgkin",0.4,0.1,4154.36363636,0.0134235179567,4602.27272727,0.810068880118,0.283333333333
C0018843,Heat Stroke,0.9,0.4,761.666666667,0.0341904338457,3729.08333333,0.977285913205,0.7
C0038644,Sudden infant death syndrome,0.45,0.15,5612.66666667,0.00779352338377,5363.66666667,0.675292411232,0.15
C0013182,Drug Allergy,0.25,0.116666666667,7647.17142857,0.0212760992812,4288.05714286,0.649928367872,0.183333333333
C1840235,SOLITARY MEDIAN MAXILLARY CENTRAL INCISOR,0.45,0.0,6007.28571429,0.00333096746645,5908.28571429,0.722205588822,0.15
C0025149,Medulloblastoma,0.36,0.05,3962.93181818,0.006928636295,6457.77272727,0.81714928183,0.07
C0008924,Cleft Lip,0.616666666667,0.35,3490.68,0.0399310898286,4949.24,0.830199238343,0.45
C0015695,Fatty Liver,0.355,0.0,3707.04166667,0.00301773572336,6386.5,0.823050467246,0.04
C0151786,Muscle Weakness,0.287777777778,0.0222222222222,7418.75824176,0.00348363135749,8613.58241758,0.654721963415,0.0433333333333
C0027643,"Neoplasm Recurrence, Local",0.333333333333,0.0,4515.16666667,0.00271874788476,5191.70833333,0.807725738789,0.1
C0004114,Astrocytoma,0.666666666667,0.2,2368.83333333,0.0231028726311,6545.83333333,0.90344122974,0.45
C1260899,"Anemia, Diamond-Blackfan",0.85,0.3,767.6,0.0408486483047,5637.73333333,0.963712747192,0.85
C1565489,Renal Insufficiency,0.5,0.0,1563.7,0.00654458543297,2485.4,0.927465540446,0.2
C0023290,"Leishmaniasis, Visceral",0.35,0.15,3968.58333333,0.100837591408,2767.5,0.746828730564,0.15
C0311375,Arsenic Poisoning,0.186666666667,0.0,7605.50847458,0.00133945033245,6995.47457627,0.645389571123,0.0166666666667
C0025286,Meningioma,0.25,0.0,4863.08333333,0.00379151531018,2964.25,0.771134834068,0.2
C0006625,Cachexia,0.4,0.0,5827.6,0.00312494309623,4813.4,0.72958184434,0.2
C0035229,Respiratory Insufficiency,0.0,0.0,9574.81818182,0.000162743771008,8933.72727273,0.533813700919,0.0
C0035228,Respiratory Hypersensitivity,0.4,0.0,5644.61111111,0.00327413736751,6592.38888889,0.70857630345,0.1
C2931822,Nasopharyngeal carcinoma,0.15,0.0,5986.25,0.00266001402055,4838.7,0.72211891164,0.1
C0020429,Hyperalgesia,0.442857142857,0.0428571428571,3298.76811594,0.00798238626859,4777.04347826,0.845870286406,0.128571428571
C0339527,Leber Congenital Amaurosis,0.183333333333,0.0,5068.0952381,0.00098964913547,9600.19047619,0.76801827947,0.0
C0917796,"Optic Atrophy, Hereditary, Leber",0.7,0.0,2370.21428571,0.0148429324039,4178.64285714,0.903125145059,0.7
C1720824,Sudden Cardiac Arrest,0.1,0.0,8668.73333333,0.000407472274919,9458.86666667,0.59081677653,0.0
C3714756,Intellectual Disability,0.102564102564,0.0,9154.58267717,0.00129844170604,8956.69291339,0.572660525623,0.0
C0018213,Graves Disease,0.1,0.1,6685.13333333,0.0109352705852,8138.26666667,0.675857626961,0.1
C0003469,Anxiety Disorders,0.216666666667,0.05,5223.35294118,0.00908671168072,3898.97058824,0.746358740262,0.108333333333
C0334588,Giant Cell Glioblastoma,0.35,0.2,4503.16666667,0.0405386807428,4971.75,0.825177535391,0.2
C3495498,"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)",0.7,0.2,1304.9,0.0403070533795,4925.0,0.939488095791,0.4
C0004238,Atrial Fibrillation,0.333333333333,0.0,4996.11538462,0.00172866573062,5006.84615385,0.778722152555,0.0333333333333
C0019189,"Hepatitis, Chronic",0.45,0.0,3532.22727273,0.00407670707583,4523.0,0.836809844439,0.2
C0004943,Behcet Syndrome,0.2,0.0666666666667,5335.58333333,0.00838495360073,6099.33333333,0.76393442623,0.116666666667
C0007370,Catalepsy,0.65,0.1,1332.2,0.0112986604263,5024.2,0.942461238511,0.35
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.285714285714,0.0285714285714,5338.64788732,0.0316755103455,8051.6056338,0.750496752038,0.0714285714286
C0014170,Endometrial Neoplasms,0.36,0.04,3297.18,0.0166390315287,6660.2,0.846834054029,0.08
C0035126,Reperfusion Injury,0.434722222222,0.0111111111111,2678.29411765,0.00635716155655,4344.58823529,0.875869899042,0.0958333333333
C1959629,Seizure Adverse Event,0.0,0.0,11826.5263158,0.000128378440869,10387.7368421,0.439313074566,0.0
C0242422,Parkinsonian Disorders,0.316666666667,0.0833333333333,3992.36363636,0.0439434650527,4819.04545455,0.805366457705,0.166666666667
C0027540,Necrosis,0.26,0.02,5828.31372549,0.00477452618895,5272.88235294,0.730101909545,0.12
C0085207,Gestational Diabetes,0.0,0.0,9360.08333333,0.000164581226554,6535.58333333,0.530314458111,0.0
C0400966,Non-alcoholic Fatty Liver Disease,0.175,0.0,6533.25,0.00173699137267,6001.75,0.695326369847,0.075
C0086445,Idiopathic Membranous Glomerulonephritis,0.0,0.0,10949.5625,0.000248842695307,6747.8125,0.498738452254,0.0
C0020517,Hypersensitivity,0.480952380952,0.109523809524,3271.07936508,0.0238980671148,5313.31746032,0.845475813848,0.207142857143
C0242350,Erectile dysfunction,0.7,0.2,1638.7,0.0344211799137,4285.5,0.923996380006,0.2
C0027092,Myopia,0.0666666666667,0.0,8374.93103448,0.00111057397497,6371.48275862,0.605291945373,0.0333333333333
C0020452,Hyperemia,0.4,0.0,3902.15384615,0.00207659029939,2513.38461538,0.794446249536,0.0
C0040427,Tooth Abnormalities,0.1,0.0,7518.3,0.000470585146851,6941.1,0.649178539936,0.0
C0206698,Cholangiocarcinoma,0.233333333333,0.0833333333333,6303.08333333,0.0188784555664,6235.0,0.702551897088,0.0833333333333
C0020456,Hyperglycemia,0.3,0.0,5526.95,0.00108358042426,3999.75,0.744431675721,0.0
C0023493,Adult T-Cell Lymphoma/Leukemia,0.458333333333,0.0,3343.80645161,0.00355080414961,4892.03225806,0.846780637369,0.0583333333333
C0028326,Noonan Syndrome,0.7,0.25,3009.76470588,0.0236064656115,5828.70588235,0.875776462396,0.6
C0020459,Hyperinsulinism,0.4,0.0,4196.1875,0.0027057679599,3295.1875,0.800099809665,0.0
C0018923,Hemangiosarcoma,0.85,0.15,2295.83333333,0.0178082076421,4103.05555556,0.894867449742,0.4
C0020179,Huntington Disease,0.0,0.0,10339.0,0.000106483049996,4950.83333333,0.485161290323,0.0
C0019829,Hodgkin Disease,0.2,0.0,7349.06666667,0.000557824038409,4828.13333333,0.675846021725,0.0
C0005944,Metabolic Bone Disorder,0.2,0.0,4426.2,0.00182042143353,5063.9,0.792713602822,0.1
C0005941,"Bone Diseases, Developmental",0.0,0.0,8784.25,0.000261478347947,6854.45833333,0.594083499745,0.0
C0042514,"Tachycardia, Ventricular",0.2,0.0,7285.5,0.00203285292311,6428.8,0.660788044739,0.1
C0017636,Glioblastoma,0.211904761905,0.0,5124.8852459,0.00188848540396,4516.47540984,0.758724879047,0.0333333333333
C0013421,Dystonia,0.0,0.0,8154.23076923,0.000178108977375,6086.69230769,0.589721036019,0.0
C1168401,Squamous cell carcinoma of the head and neck,0.3,0.0666666666667,5288.125,0.00502401970127,5022.58333333,0.746942677131,0.0666666666667
C0024667,Animal Mammary Neoplasms,0.0945054945055,0.0,6919.86131387,0.00169584183098,4414.48175182,0.676326158669,0.0
C0029422,Osteochondrodysplasias,0.5,0.0,4477.46666667,0.00745382622036,5765.0,0.786445084022,0.3
C0162671,MELAS Syndrome,1.0,0.2,54.9,0.0274528665403,3877.3,0.997498491669,1.0
C0015625,Fanconi Anemia,0.8,0.45,814.631578947,0.169288326045,7086.94736842,0.964116909648,0.55
C0243026,Sepsis,0.383333333333,0.1,3295.66666667,0.00896486924808,3095.33333333,0.845279996285,0.1
C0236733,Amphetamine-Related Disorders,0.15,0.0,7158.67123288,0.00149211196191,7088.90410959,0.664684142019,0.0125
C0009375,Colonic Neoplasms,0.151282051282,0.0,6174.408,0.00180266362763,4894.696,0.713470331926,0.0153846153846
C0029172,Oral Submucous Fibrosis,0.65,0.35,2706.86666667,0.0220720787456,3444.8,0.830164330146,0.35
C0206762,"Limb Deformities, Congenital",0.25,0.0,3744.6,0.00680457960641,4350.4,0.793163355306,0.25
C0242339,Dyslipidemias,0.55,0.05,4979.875,0.00558701531141,8157.3125,0.773711758971,0.25
C0429087,Electrocardiogram: P-R interval,0.0,0.0,11723.1111111,9.75440639324e-05,6904.11111111,0.396445661366,0.0
C0020437,Hypercalcemia,0.7,0.0,2143.3,0.00388599513795,5568.3,0.883726272799,0.1
C0024668,"Mammary Neoplasms, Experimental",0.0920833333333,0.0,6512.94701987,0.00185370641002,4135.05960265,0.696023389081,0.0
C0018824,Heart valve disease,0.316666666667,0.0,3127.75,0.00128676844352,4853.375,0.847680304649,0.0
C0079744,Diffuse Large B-Cell Lymphoma,0.241666666667,0.025,3869.25,0.00479144870402,5403.88888889,0.822019190558,0.141666666667
C0920269,Microsatellite Instability,0.5,0.0,2604.25,0.00335884496452,5700.33333333,0.872979809701,0.0
C0036421,Systemic Scleroderma,0.05,0.0,7649.82608696,0.000422374045431,7066.52173913,0.652538621095,0.0
C0271650,Impaired glucose tolerance,0.15,0.15,4450.27272727,0.00781515033416,5936.45454545,0.785781583589,0.15
C0038325,Stevens-Johnson Syndrome,0.6,0.0,2133.5,0.00347242006258,4889.63333333,0.900984809774,0.0
C0002622,Amnesia,0.4,0.1,3472.23529412,0.0104787674283,4785.70588235,0.846205896007,0.1
C0023452,"Leukemia, Lymphocytic, Acute, L1",0.0,0.0,12941.9090909,8.25199448884e-05,8987.09090909,0.388227513228,0.0
C1272641,Systemic arterial pressure,0.1,0.0,8044.22,0.000755821221323,8634.04,0.625109964198,0.0
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.3,0.0,3853.5,0.00419955562137,6835.27777778,0.813454663633,0.1
C0023186,Learning Disorders,0.183333333333,0.0,8241.11111111,0.00250985766723,5175.33333333,0.596527713268,0.0833333333333
C0265221,Walker-Warburg congenital muscular dystrophy,0.95,0.0,937.0,0.00970272842667,9938.46153846,0.968146583736,0.2
C0024796,Marfan Syndrome,0.5,0.2,1957.1,0.0267213298919,3665.8,0.90921706038,0.5
C0009363,Congenital ocular coloboma (disorder),0.15,0.0,8246.33333333,0.00122330991752,5897.41666667,0.634644929218,0.0
C0024121,Lung Neoplasms,0.173529411765,0.0,5720.73837209,0.00281990243631,4498.22093023,0.732438739817,0.0173202614379
C0270853,"Myoclonic Epilepsy, Juvenile",0.0,0.0,4701.57142857,0.000312564226338,3917.28571429,0.673881339079,0.0
C1876165,Copper-Overload Cirrhosis,0.25,0.0,4829.54545455,0.00138994644309,4104.90909091,0.778058572357,0.0
C0043459,Zellweger Syndrome,1.0,0.5,57.2,0.0743737426964,6124.13333333,0.996771423266,0.75
C0006142,Malignant neoplasm of breast,0.0,0.0,8678.25806452,0.000638008620877,9173.51612903,0.598126640747,0.0
C1458155,Mammary Neoplasms,0.115853658537,0.005,6418.83292383,0.00451336371181,5809.83783784,0.697683104134,0.01
C0036920,Sezary Syndrome,0.466666666667,0.0,2881.57692308,0.00470233309603,5614.07692308,0.878051027201,0.183333333333
C0270850,Idiopathic generalized epilepsy,0.333333333333,0.0,5123.0,0.000811604839937,1989.66666667,0.66580050423,0.0
C0015967,Fever,0.3,0.0,7608.45,0.00229470412966,4236.25,0.617574406835,0.05
C0027796,Neuralgia,0.0,0.0,6715.5,0.000338212927321,4769.0,0.667053418109,0.0
C0001430,Adenoma,0.125,0.0,6242.625,0.000635859554041,4462.59375,0.713849980643,0.0
C0027794,Neural Tube Defects,0.116666666667,0.0,8048.65384615,0.000630197079305,6071.23076923,0.61409595467,0.0
C0162820,"Dermatitis, Allergic Contact",0.107142857143,0.0,7653.51515152,0.000802103468095,6216.57575758,0.643750041546,0.0
C0162670,Mitochondrial Myopathies,0.5,0.333333333333,3882.66666667,0.0505933814074,5510.66666667,0.821821879882,0.333333333333
C0025521,Inborn Errors of Metabolism,0.15,0.0,7843.125,0.000648087955653,5128.8125,0.594792488742,0.0
C0036095,Salivary Gland Neoplasms,0.0,0.0,6964.93181818,0.000521627547816,7086.90909091,0.67615430205,0.0
C0344388,Platelet mean volume finding,0.0666666666667,0.0,9961.21428571,0.000704855538495,8299.60714286,0.524208432037,0.0
C0017638,Glioma,0.314285714286,0.0285714285714,5102.02985075,0.0303168354193,4895.94029851,0.763231901881,0.0285714285714
C0021841,Intestinal Neoplasms,0.65,0.2,1385.72727273,0.0273168466169,2835.0,0.933412234289,0.4
C0020615,Hypoglycemia,0.8,0.0,655.6,0.00480714909253,4902.7,0.969619900682,0.2
C2607914,Allergic rhinitis (disorder),0.0,0.0,11017.5454545,8.98122838368e-05,9053.09090909,0.411279355797,0.0
C0699790,Colon Carcinoma,0.366666666667,0.0666666666667,3976.875,0.00686451445629,4347.08333333,0.817203439682,0.0666666666667
C1271104,Blood pressure finding,0.1,0.0,8044.22,0.000755821221323,8634.04,0.625109964198,0.0
C0242383,Age related macular degeneration,0.225,0.0,6501.80555556,0.00201197292009,6256.36111111,0.690400461565,0.025
C0022116,Ischemia,0.216666666667,0.0666666666667,4414.92592593,0.0430757777833,3757.77777778,0.795048769159,0.0666666666667
C0007193,"Cardiomyopathy, Dilated",0.41,0.09,5194.19148936,0.0105314416619,5440.85106383,0.756401092515,0.225
C3160731,Pulmonary function (finding),0.0,0.0,10807.6333333,0.00019214853514,8566.86666667,0.49264102445,0.0
C0080178,Spina Bifida,0.3,0.2,4588.63636364,0.0113271792105,5911.63636364,0.811431356168,0.2
C0007194,Hypertrophic Cardiomyopathy,0.2,0.0,5691.95238095,0.000809148980236,6898.47619048,0.744794762259,0.0
C0752166,Bardet-Biedl Syndrome,0.85,0.616666666667,923.380952381,0.383482682469,11208.7142857,0.955314744304,0.616666666667
C0013080,Down Syndrome,0.216666666667,0.01,8540.90625,0.00314826984356,8472.89583333,0.598510864669,0.0411111111111
C0022548,Keloid,0.35,0.0583333333333,3445.09090909,0.0116309146311,4772.39393939,0.837340875302,0.15
C0025202,melanoma,0.0781578947368,0.00526315789474,8632.14583333,0.00279020278539,7471.734375,0.596574303768,0.0210526315789
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.15,0.0,3326.23809524,0.000918830526354,4593.9047619,0.857661202947,0.0
C0149931,Migraine Disorders,0.0833333333333,0.0,8752.11538462,0.000389757568585,8827.96153846,0.600577461954,0.0
C0032285,Pneumonia,0.645,0.145,2841.23404255,0.0324385774444,5301.93617021,0.86830172013,0.295
C0026603,Motion Sickness,0.35,0.0,6834.85714286,0.00139685798004,13157.0714286,0.653675207724,0.05
C0033805,Pseudohypoaldosteronism,0.666666666667,0.555555555556,1814.66666667,0.216617149702,9468.44444444,0.915823587649,0.555555555556
C0030305,Pancreatitis,0.25,0.1,6706.55,0.00735290136146,4419.6,0.677848586154,0.1
