Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,Nodes,AUROC,Recall-at-100
C0027720,Nephrosis,0.65,0.15,1914.0,0.0163048524156,4961.06666667,0.922090567264,0.3
C0007273,Carotid Artery Diseases,0.3,0.0,5612.18181818,0.00098800313365,3418.90909091,0.725823818806,0.0
C0018273,Growth Disorders,0.125,0.0,6795.40625,0.000921586859992,5862.34375,0.683939217964,0.025
C0014553,Absence Epilepsy,0.444444444444,0.0,5376.88888889,0.00144132398941,5414.11111111,0.71388682631,0.0
C0014556,"Epilepsy, Temporal Lobe",0.683333333333,0.15,2758.91304348,0.0571353295984,6118.34782609,0.879937153648,0.366666666667
C0025261,Memory Disorders,0.241666666667,0.0,4912.25,0.00212078366554,5586.94444444,0.764320895869,0.05
C0036421,Systemic Scleroderma,0.05,0.0,7518.60869565,0.000352293930796,7066.52173913,0.653407402248,0.0
C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.6,0.05,2696.38888889,0.00465228654925,6835.27777778,0.879843539626,0.05
C1876165,Copper-Overload Cirrhosis,0.5,0.0,2124.45454545,0.00352013312412,4104.90909091,0.902246356632,0.1
C0004936,Mental disorders,0.5,0.0,4810.90909091,0.00408826242991,6242.18181818,0.724772579597,0.0
C0346647,Malignant neoplasm of pancreas,0.0,0.0,6741.84615385,0.000262515329825,5145.61538462,0.648393984404,0.0
C0036095,Salivary Gland Neoplasms,0.245,0.0,6175.84090909,0.00107054802127,7086.90909091,0.718403058616,0.0
C0162809,Kallmann Syndrome,0.2,0.2,8824.15,0.0236567292869,9422.05,0.60350095185,0.2
C0265275,Jeune thoracic dystrophy,0.666666666667,0.333333333333,3076.33333333,0.0528691181918,13767.2222222,0.849447228926,0.666666666667
C0017638,Glioma,0.42380952381,0.0452380952381,4059.41791045,0.0333762135519,4895.94029851,0.813253562011,0.0785714285714
C0003873,Rheumatoid Arthritis,0.223376623377,0.0047619047619,5999.7535545,0.00422163494869,6657.45971564,0.720173969352,0.0235930735931
C0006118,Brain Neoplasms,0.35,0.05,4100.2173913,0.00736902550271,6392.0,0.819577567258,0.183333333333
C0079772,T-Cell Lymphoma,0.75,0.2,2527.54545455,0.0266440212624,5393.18181818,0.878914879792,0.4
C0002171,Alopecia Areata,0.444444444444,0.222222222222,5139.11111111,0.0624998941611,8803.77777778,0.754560877008,0.333333333333
C0008370,Cholestasis,0.391666666667,0.025,3700.46153846,0.005668990499,6442.87179487,0.832297185302,0.1
C0013080,Down Syndrome,0.125555555556,0.0111111111111,8554.01041667,0.00208919712375,8472.89583333,0.59958063464,0.0322222222222
C0282525,"Adrenoleukodystrophy, Neonatal",1.0,0.9,4.46153846154,0.787226890756,6494.38461538,0.999812012625,1.0
C0043459,Zellweger Syndrome,1.0,0.8,9.0,0.573599537037,6124.13333333,0.999521864265,1.0
C0037268,Skin Abnormalities,0.1,0.0,7946.3,0.000454982256688,6525.5,0.647011184852,0.0
C0035229,Respiratory Insufficiency,0.0,0.0,9057.45454545,0.000187560205499,8933.72727273,0.570567622761,0.0
C0740392,"Infarction, Middle Cerebral Artery",0.383333333333,0.0,2742.56,0.00545534968774,4460.92,0.876798098953,0.233333333333
C0038356,Stomach Neoplasms,0.279926108374,0.0176108374384,4514.62411348,0.0112119120505,6342.0070922,0.788534352515,0.0529556650246
C0009952,Febrile Convulsions,0.15,0.0,10515.8181818,0.000725716614529,7617.81818182,0.475925925926,0.0
C0020445,"Hypercholesterolemia, Familial",0.75,0.3,1701.1875,0.0342139351396,5892.3125,0.924137690915,0.6
C0003123,Anorexia,0.9,0.3,1554.33333333,0.062341415257,4652.73333333,0.936917417139,0.55
C0149931,Migraine Disorders,0.233333333333,0.0,7541.76923077,0.00624007079679,8827.96153846,0.65780579939,0.2
C0023493,Adult T-Cell Lymphoma/Leukemia,0.616666666667,0.0,2639.83870968,0.00712598224385,4892.03225806,0.881379107436,0.166666666667
C0005695,Bladder Neoplasm,0.263636363636,0.0763636363636,5278.54716981,0.0400731497335,5689.40566038,0.752720152907,0.0954545454545
C0002514,"Amino Acid Metabolism, Inborn Errors",0.3,0.0,6434.61538462,0.000874791902335,4705.61538462,0.731722289268,0.0
C0018784,Sensorineural Hearing Loss (disorder),0.444444444444,0.111111111111,3982.33333333,0.00987524382379,2209.0,0.815231627581,0.222222222222
C0524620,Metabolic Syndrome X,0.34,0.0,5764.56097561,0.00343823911147,7817.48780488,0.733522959658,0.1
C0018781,Noise-induced hearing loss,0.6,0.4,5811.0,0.0537903882743,6968.2,0.743253526355,0.4
C0023467,"Leukemia, Myelocytic, Acute",0.247727272727,0.0,4005.09734513,0.00396995682609,5521.5840708,0.813945802457,0.0439393939394
C0023794,Lipoidosis,0.3,0.1,7415.10526316,0.00733980537229,7578.15789474,0.650177593091,0.1
C0376358,Malignant neoplasm of prostate,0.142857142857,0.0309523809524,6583.73015873,0.0165852578369,10032.8095238,0.692644292759,0.047619047619
C0008312,Primary biliary cirrhosis,0.4,0.25,5417.10526316,0.109207416796,7651.89473684,0.759514578884,0.3
C1319853,"Asthma, Aspirin-Induced",0.45,0.35,6975.15384615,0.157511352782,8590.69230769,0.631733893427,0.35
C0017636,Glioblastoma,0.457142857143,0.0642857142857,3398.95081967,0.00934893674858,4516.47540984,0.839296402875,0.114285714286
C0007134,Renal Cell Carcinoma,0.257051282051,0.00833333333333,5144.08264463,0.00493896950924,6873.49586777,0.760435506289,0.0660256410256
C0007137,Squamous cell carcinoma,0.468055555556,0.0736111111111,3031.15662651,0.0173814714121,4644.89156627,0.859054457328,0.172222222222
C1960469,Left ventricular noncompaction,0.45,0.05,2603.75,0.00667960826996,8477.91666667,0.857980970063,0.15
