Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0020542,Pulmonary Hypertension,0.2,0.0,6545.48387097,0.00116470936257,0.702312319985,0.0333333333333
C3875321,Inflammatory dermatosis,0.0833333333333,0.0,7011.70588235,0.00055449536265,0.663988330313,0.0
C0020672,"Hypothermia, natural",0.4,0.05,4608.75,0.00941871145568,0.79188906939,0.25
C0023794,Lipoidosis,0.25,0.1,7938.73684211,0.0101105637722,0.630528600613,0.1
C0003469,Anxiety Disorders,0.35,0.0916666666667,4574.70588235,0.034973434063,0.78708765042,0.116666666667
C0023893,"Liver Cirrhosis, Experimental",0.372727272727,0.00909090909091,5022.26168224,0.00648384202459,0.763470247934,0.0818181818182
C0242488,Acute Lung Injury,0.35,0.0,2555.75,0.00160052355244,0.885253702242,0.0
C0016059,Fibrosis,0.475,0.15,2816.875,0.0447201124251,0.86727877957,0.175
C0424295,Hyperactive behavior,0.633333333333,0.0333333333333,2907.4,0.00936093115517,0.855604589585,0.166666666667
C0023895,Liver diseases,0.207142857143,0.0,5573.43076923,0.00183976390661,0.744843042372,0.0166666666667
C0020443,Hypercholesterolemia,0.45,0.0,3759.0,0.0047881550252,0.825552950099,0.15
C0022661,"Kidney Failure, Chronic",0.36,0.025,4416.93181818,0.0063653888057,0.797364616743,0.115
C0025958,Microcephaly,0.383333333333,0.15,3154.65217391,0.0554475268849,0.854912386613,0.15
C1262477,Weight decreased,0.4,0.0,3577.44444444,0.00143480208527,0.838472073912,0.0
C2609414,Acute kidney injury,0.428571428571,0.0309523809524,4923.55384615,0.00748031889857,0.771918620882,0.0904761904762
C0004943,Behcet Syndrome,0.416666666667,0.166666666667,4360.20833333,0.0286890991373,0.80717774269,0.166666666667
C0238463,Papillary thyroid carcinoma,0.466666666667,0.1,2513.03846154,0.00776432791413,0.889731085412,0.133333333333
C0040411,Tongue Neoplasms,0.111111111111,0.0,5733.33333333,0.000758230009615,0.723787203762,0.0
C0023264,Leigh Disease,0.816666666667,0.2,1484.64516129,0.064045147784,0.933643036328,0.6
C0338480,Common Migraine,0.0,0.0,9946.0,0.000289504805762,0.512990810359,0.0
C1319853,"Asthma, Aspirin-Induced",0.25,0.05,8358.61538462,0.00524016293654,0.538569903453,0.15
C0007570,Celiac Disease,0.233333333333,0.05,7383.68421053,0.0110740606184,0.655078845052,0.15
C0007273,Carotid Artery Diseases,0.3,0.0,5788.81818182,0.00125896209059,0.716381230855,0.0
C0038356,Stomach Neoplasms,0.269458128079,0.0214285714286,4611.24822695,0.0111983900608,0.784070435825,0.0600985221675
C0017601,Glaucoma,0.05,0.0,8455.14285714,0.000379262746145,0.598655352278,0.0
C0263454,Chloracne,0.416666666667,0.1,4488.03030303,0.0181274517122,0.783523237626,0.15
C0014553,Absence Epilepsy,0.444444444444,0.0,5359.77777778,0.0019918194648,0.714572633707,0.111111111111
C0037268,Skin Abnormalities,0.1,0.0,8137.2,0.000390580296961,0.638165405857,0.0
C0039231,Tachycardia,0.4,0.2,3890.23529412,0.0418570149139,0.792325905292,0.4
C0018273,Growth Disorders,0.125,0.0,6841.6875,0.00124537801239,0.681653116531,0.025
C0346153,"Breast Cancer, Familial",0.95,0.6,995.166666667,0.371962643566,0.970656764911,0.7
C0014556,"Epilepsy, Temporal Lobe",0.683333333333,0.25,2716.39130435,0.136053752251,0.88297150243,0.416666666667
C0032580,Adenomatous Polyposis Coli,0.444444444444,0.0,5961.22222222,0.00141437178838,0.71945836685,0.0
C0008370,Cholestasis,0.375,0.0,4651.07692308,0.00392223446521,0.789807757846,0.075
C0007370,Catalepsy,0.8,0.3,1128.53333333,0.185483372126,0.950895924241,0.45
C0022116,Ischemia,0.416666666667,0.0833333333333,3460.7037037,0.0118180389256,0.842160551169,0.2
C0025261,Memory Disorders,0.383333333333,0.0,4760.38888889,0.00373179565998,0.770154732587,0.075
C0030319,Panic Disorder,0.0,0.0,6782.5,0.000256251123856,0.596907049051,0.0
C1333990,Hereditary Nonpolyposis Colorectal Cancer,0.55,0.35,1660.92307692,0.226838322283,0.922549201634,0.45
