Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0751778,"Myoclonic Epilepsies, Progressive",0.15,0.0,4980.33333333,0.00124343456319,0.776412160594,0.0
C0028326,Noonan Syndrome,0.75,0.45,3103.29411765,0.17761276878,0.87217270195,0.6
C0206762,"Limb Deformities, Congenital",0.4,0.1,3769.6,0.0211732173868,0.796699470801,0.25
C0013604,Edema,0.433333333333,0.0333333333333,2959.32,0.00777060352525,0.870824818874,0.1
C0429087,Electrocardiogram: P-R interval,0.0,0.0,10024.4444444,0.000158033648916,0.470721696265,0.0
C0005944,Metabolic Bone Disorder,0.3,0.0,4391.8,0.00111458254543,0.794363484476,0.0
C0341106,Eosinophilic esophagitis,0.0,0.0,10869.4375,0.000141979508611,0.49479364932,0.0
C0020456,Hyperglycemia,0.4,0.05,4267.95,0.00527163262197,0.802842782189,0.15
C0024668,"Mammary Neoplasms, Experimental",0.330833333333,0.0529166666667,3997.06622517,0.0102490130601,0.813344642468,0.0595833333333
C0018824,Heart valve disease,0.566666666667,0.0,2349.75,0.00386716510719,0.878461740894,0.0333333333333
C0042514,"Tachycardia, Ventricular",0.3,0.0,5787.4,0.00160693866639,0.715125075417,0.0
C0079744,Diffuse Large B-Cell Lymphoma,0.541666666667,0.025,2204.61111111,0.00501893783695,0.897278239859,0.05
C0019158,Hepatitis,0.15,0.0,5104.66666667,0.00110272199013,0.779691489856,0.0
C0271650,Impaired glucose tolerance,0.5,0.15,4545.72727273,0.0515728294734,0.769843590458,0.15
C0034069,Pulmonary Fibrosis,0.775,0.1,1785.64583333,0.0355351300312,0.919728020828,0.35
C0162666,Mitochondrial Encephalomyopathies,0.45,0.0,3615.18181818,0.00961907365946,0.82594217024,0.25
C0019151,Hepatic Encephalopathy,0.6,0.05,2267.53846154,0.0219508631677,0.889006219829,0.35
C0026769,Multiple Sclerosis,0.231944444444,0.0111111111111,6962.51136364,0.00301564796048,0.677968750809,0.0694444444444
C0600467,Neurogenic Inflammation,0.4,0.1,6395.25,0.00816026177955,0.706797400789,0.2
C0023890,Liver Cirrhosis,0.53,0.0566666666667,3050.81481481,0.0310036238664,0.861106589778,0.213333333333
C0008073,Developmental Disabilities,0.25,0.0,5039.89473684,0.00232063416417,0.744254341164,0.05
C0020459,Hyperinsulinism,0.4,0.15,4104.375,0.0318987769477,0.813050694025,0.25
C0024141,"Lupus Erythematosus, Systemic",0.266071428571,0.0142857142857,5927.74324324,0.00418319995307,0.719572535759,0.0535714285714
C0020542,Pulmonary Hypertension,0.2,0.0,6545.4516129,0.00143628561739,0.703504289386,0.0333333333333
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",0.4,0.0,3094.8,0.00357373014756,0.856416206432,0.1
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma,0.49,0.075,4053.79069767,0.0109745086345,0.81516803012,0.12
C0152013,Adenocarcinoma of lung (disorder),0.46,0.02,2977.89130435,0.0133387902388,0.86044535354,0.07
C0175702,Williams Syndrome,0.4,0.1,4859.3,0.0124162194836,0.77452545598,0.2
