Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0948089,Acute Coronary Syndrome,0.191666666667,0.133333333333,3563.64516129,0.0101268622328,0.589610432345,0.158333333333
C0023473,"Myeloid Leukemia, Chronic",0.316666666667,0.15,3049.86363636,0.103272538224,0.65284730284,0.216666666667
C0029927,Ovarian Cysts,0.0333333333333,0.0,6830.83870968,0.000254858217404,0.50958530769,0.0
C0018273,Growth Disorders,0.0583333333333,0.0583333333333,5775.40625,0.00255623268886,0.522573751452,0.0583333333333
C0011882,Diabetic Neuropathies,0.05,0.0,3156.46153846,0.000489969362361,0.518235935759,0.05
C0162666,Mitochondrial Encephalomyopathies,0.25,0.0,9617.0,0.00271320717364,0.619134642161,0.25
C0042373,Vascular Diseases,0.0,0.0,4681.13333333,3.48130154427e-05,0.49303685823,0.0
C0333641,Atrophic,0.4,0.0,6790.7,0.00225003491713,0.693938831392,0.1
C1876165,Copper-Overload Cirrhosis,0.1,0.0,3776.54545455,0.000611440165292,0.543344472292,0.1
C0243026,Sepsis,0.05,0.05,3059.42857143,0.00121671909808,0.518333255944,0.05
C0021364,Male infertility,0.125,0.05,4990.39534884,0.00896325826139,0.55605361625,0.1
C0238288,"Muscular Dystrophy, Facioscapulohumeral",0.0,0.0,5397.66666667,2.78469654676e-05,0.493037827802,0.0
C0019151,Hepatic Encephalopathy,0.4,0.15,2060.84615385,0.00788442751893,0.694833828444,0.3
C0018801,Heart failure,0.0375,0.0,4939.3375,0.000807985309309,0.511842901709,0.0125
C0079744,Diffuse Large B-Cell Lymphoma,0.05,0.025,5173.13888889,0.00163090577795,0.518196180475,0.025
C0018800,Cardiomegaly,0.15,0.0142857142857,4487.34848485,0.0174773222493,0.568532785596,0.119047619048
C0019158,Hepatitis,0.05,0.05,4916.22222222,0.00112279318397,0.518329541761,0.05
C1260899,"Anemia, Diamond-Blackfan",0.5,0.1,3421.86666667,0.054724256625,0.74506777458,0.45
C0032273,Pneumoconiosis,0.0,0.0,8499.5,3.24907832439e-05,0.493037181451,0.0
C0021361,Female infertility,0.316666666667,0.15,3675.81481481,0.0116593154772,0.65265946741,0.233333333333
C0021051,Immunologic Deficiency Syndromes,0.15,0.15,2817.76470588,0.0188681492577,0.569061049211,0.15
C0023418,leukemia,0.158333333333,0.0916666666667,5622.3125,0.0142812032303,0.572885404568,0.125
C0021368,Inflammation,0.0727272727273,0.00909090909091,4599.08256881,0.00261417674856,0.52951493676,0.0454545454545
C2931673,"Ceroid lipofuscinosis, neuronal 1, infantile",0.2,0.0,5342.7,0.000600771696908,0.592778577064,0.0
C0010606,Adenoid Cystic Carcinoma,0.141111111111,0.0411111111111,8010.50505051,0.00479558333136,0.563940125931,0.0811111111111
C2239176,Liver carcinoma,0.133982683983,0.0233766233766,4983.91705069,0.0129081391343,0.557967107479,0.0785714285714
C0162871,"Aortic Aneurysm, Abdominal",0.05,0.05,6340.18181818,0.00843987164553,0.518382762462,0.05
C0271650,Impaired glucose tolerance,0.1,0.1,5650.90909091,0.0125232048712,0.543720412141,0.1
