Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0035126,Reperfusion Injury,0.165277777778,0.0,3600.48235294,0.0015976725503,0.74728612974,0.0
C2239176,Liver carcinoma,0.0510822510823,0.0,4601.12903226,0.00267814672552,0.75955597784,0.0
C0751617,Semilobar Holoprosencephaly,0.55,0.15,3644.78571429,0.0131339881247,0.769852156153,0.3
C1168401,Squamous cell carcinoma of the head and neck,0.1,0.0,4659.83333333,0.000464139580007,0.655628183099,0.0
C0019829,Hodgkin Disease,0.35,0.0,4164.4,0.00148028507365,0.651674635596,0.05
C0024305,"Lymphoma, Non-Hodgkin",0.333333333333,0.0,3666.90909091,0.00164759329635,0.732526894203,0.0
C0010068,Coronary heart disease,0.206666666667,0.0,7610.56140351,0.000949051026025,0.60434875969,0.0
C1112705,Nuclear non-senile cataract,0.4,0.4,2947.08333333,0.0545364564521,0.698177071246,0.4
C0011853,"Diabetes Mellitus, Experimental",0.269090909091,0.0,2921.50943396,0.00309354951698,0.807529888414,0.0
C0008074,"Child Development Disorders, Pervasive",0.156666666667,0.02,6999.42307692,0.00271461488582,0.55472231264,0.08
C0027540,Necrosis,0.0566666666667,0.0,5460.64705882,0.000626972032669,0.658665643696,0.0
C0455988,"Hydrops Fetalis, Non-Immune",0.25,0.1,7103.0,0.00918717861147,0.621551404038,0.25
C0043459,Zellweger Syndrome,1.0,0.35,42.0666666667,0.0571127788733,0.997902933804,0.9
C0020557,Hypertriglyceridemia,0.2,0.0,4466.42857143,0.00451474147034,0.593581441768,0.2
C0029456,Osteoporosis,0.207142857143,0.0,5215.0952381,0.0012397803432,0.691460684488,0.0
C0007621,Neoplastic Cell Transformation,0.0972222222222,0.0,4086.13414634,0.00137310366145,0.777781011512,0.0
C0028754,Obesity,0.163076923077,0.0,6709.71317829,0.00289097345885,0.642747973,0.00384615384615
C0034069,Pulmonary Fibrosis,0.44,0.0,3091.64583333,0.00526646450436,0.702514296341,0.08
C0086445,Idiopathic Membranous Glomerulonephritis,0.1,0.0,6304.8125,0.000308928363543,0.532983612646,0.0
C0024141,"Lupus Erythematosus, Systemic",0.226785714286,0.0,5968.25675676,0.00179363912902,0.599931050133,0.0678571428571
C0037268,Skin Abnormalities,0.2,0.0,6045.7,0.000653472404922,0.586548011324,0.0
C0004114,Astrocytoma,0.333333333333,0.0,2114.375,0.00151864648446,0.803765151163,0.05
C0341106,Eosinophilic esophagitis,0.0,0.0,9733.0625,7.42709264438e-05,0.48806694211,0.0
C0006625,Cachexia,0.5,0.0,2516.1,0.00437733405256,0.740458068409,0.2
C0023470,Myeloid Leukemia,0.45,0.0,5914.94117647,0.0012984089365,0.700512999071,0.0
C0023892,Biliary cirrhosis,0.175,0.025,5253.71875,0.0025675613976,0.565535036779,0.05
C0030319,Panic Disorder,0.0,0.0,5335.75,4.6403712297e-05,0.495988792983,0.0
C0018995,Hemochromatosis,0.55,0.4,1606.83333333,0.0420643314893,0.772399628684,0.55
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.833333333333,0.283333333333,2434.22222222,0.0630713763856,0.914123316303,0.833333333333
C0038358,Gastric ulcer,0.4,0.0,2039.11111111,0.0025845832683,0.686789080273,0.1
C0020672,"Hypothermia, natural",0.0,0.0,5516.08333333,5.56939309352e-05,0.489101879786,0.0
C0238463,Papillary thyroid carcinoma,0.133333333333,0.0,3884.96153846,0.0006989260103,0.735549130711,0.0
C0027726,Nephrotic Syndrome,0.15,0.0,3294.47619048,0.000316430051648,0.5721988763,0.0
C0001624,Adrenal Gland Neoplasms,0.4,0.0,1156.36363636,0.00179003077557,0.948655202822,0.0
C0030354,Papilloma,0.1,0.0,3760.27272727,0.000369980642418,0.655342058851,0.0
C0004238,Atrial Fibrillation,0.233333333333,0.05,4905.46153846,0.00363418010587,0.602658182775,0.1
C0162871,"Aortic Aneurysm, Abdominal",0.45,0.0,5682.45454545,0.00260484699152,0.716187459389,0.0
C0023418,leukemia,0.258333333333,0.0,4731.8125,0.00150687704871,0.715696864111,0.0333333333333
C0020452,Hyperemia,0.15,0.0,2528.76923077,0.00129961187282,0.565850120683,0.0
C0026636,Mouth Diseases,0.35,0.0,6153.0,0.00191267660365,0.654690183337,0.1
C1720887,Female Urogenital Diseases,0.35,0.0,2936.05555556,0.0042913404366,0.657775430614,0.2
C0038644,Sudden infant death syndrome,0.3,0.1,4716.16666667,0.00944215708,0.646031561847,0.3
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,0.85,0.0,551.928571429,0.0032603536976,0.974221324792,0.0
C0206062,"Lung Diseases, Interstitial",0.0,0.0,10488.9333333,6.96260308854e-05,0.483611085322,0.0
C0004782,Basal Ganglia Diseases,0.1,0.0,3965.91666667,0.00147725450363,0.544579948944,0.05
C0007117,Basal cell carcinoma,0.25,0.05,7470.68181818,0.00351586702564,0.597650336661,0.15
C0151744,Myocardial Ischemia,0.0529411764706,0.0,5412.03571429,0.00155647743195,0.679788685017,0.0
C0268362,Osteogenesis imperfecta type III (disorder),0.55,0.0,2535.81818182,0.00305886325666,0.765679244407,0.0
C0017601,Glaucoma,0.0,0.0,9913.61904762,9.75014426491e-05,0.489245913819,0.0
C0022658,Kidney Diseases,0.204166666667,0.0,5614.80722892,0.00145280281778,0.645008563327,0.0
C0019163,Hepatitis B,0.4,0.0,3413.0625,0.00601474566209,0.693224548535,0.25
C0677886,Epithelial ovarian cancer,0.1,0.0,9110.78947368,0.000432975077233,0.520921162596,0.0
C0206726,gliosarcoma,0.0,0.0,5189.8,0.000224715138624,0.589853541918,0.0
C0024115,Lung diseases,0.16,0.0,5606.93333333,0.00161584737557,0.605613146151,0.05
C0948089,Acute Coronary Syndrome,0.325,0.0,2394.87096774,0.00148391040459,0.808586321967,0.0
