Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0265221,Walker-Warburg congenital muscular dystrophy,0.85,0.0,1241.76923077,0.00767173282749,0.958758819161,0.25
C0020542,Pulmonary Hypertension,0.166666666667,0.0333333333333,4848.35483871,0.00501472657011,0.778537582458,0.1
C0013080,Down Syndrome,0.133333333333,0.0,9484.29166667,0.00102002819491,0.557784508333,0.0
C0004238,Atrial Fibrillation,0.25,0.0,6437.76923077,0.00244426920774,0.722487730869,0.0833333333333
C0020452,Hyperemia,0.2,0.1,2782.07692308,0.00724522940056,0.879857500928,0.1
C1260899,"Anemia, Diamond-Blackfan",0.85,0.3,865.533333333,0.0308023393418,0.953031287717,0.85
C0020456,Hyperglycemia,0.35,0.0,4298.9,0.00468210954454,0.800464317222,0.15
C0028326,Noonan Syndrome,0.65,0.05,4402.29411765,0.0571589560768,0.823874187558,0.3
C0036346,"Schizophrenia, Childhood",0.15,0.0,9336.46666667,0.000461384770586,0.549442948658,0.0
C0020517,Hypersensitivity,0.547619047619,0.0952380952381,2336.80952381,0.0325652637318,0.895795282847,0.192857142857
C0020459,Hyperinsulinism,0.5,0.05,3602.875,0.0536683110843,0.818706188199,0.15
C0017178,Gastrointestinal Diseases,0.35,0.1,6168.0,0.0276933314749,0.710320259921,0.2
C0013604,Edema,0.35,0.0,5281.8,0.00192854602273,0.756042169794,0.0
C0019829,Hodgkin Disease,0.3,0.0,6315.8,0.0013225210291,0.692029523721,0.0
C0005944,Metabolic Bone Disorder,0.4,0.0,6712.2,0.00155380701733,0.688532046225,0.0
C0024301,"Lymphoma, Follicular",0.233333333333,0.0,6077.19047619,0.000814846798081,0.712796402922,0.0
C0027092,Myopia,0.0666666666667,0.0,10206.5517241,0.000594082690587,0.52739223337,0.0
C0018824,Heart valve disease,0.533333333333,0.0,3052.16666667,0.004350581035,0.864946825802,0.133333333333
C0455988,"Hydrops Fetalis, Non-Immune",0.5,0.0,4137.83333333,0.00218768672203,0.793172429798,0.1
C0032273,Pneumoconiosis,0.0,0.0,11656.0,0.000129613330618,0.426932182147,0.0
C0013421,Dystonia,0.1,0.0,7702.15384615,0.000328549160077,0.591148347568,0.0
C1168401,Squamous cell carcinoma of the head and neck,0.133333333333,0.0,7229.375,0.000792105417252,0.656092973575,0.0
C0034065,Pulmonary Embolism,0.25,0.0,6381.81818182,0.00301628433895,0.68355843312,0.15
C0034069,Pulmonary Fibrosis,0.66,0.06,1954.16666667,0.0155259583723,0.910433539449,0.27
C0037769,West Syndrome,0.15,0.0,10767.0,0.000488515698988,0.517173428651,0.0
C0036341,Schizophrenia,0.0961956521739,0.0,8811.72689076,0.00255887764377,0.587025190498,0.029347826087
C2937358,Cerebral Hemorrhage,0.6,0.0666666666667,1274.75,0.00651894325972,0.940621177636,0.1
C0024121,Lung Neoplasms,0.312418300654,0.0117647058824,5355.58139535,0.00662878278887,0.750069378542,0.0581699346405
C0035828,Romano-Ward Syndrome,0.6,0.05,822.142857143,0.0607734026592,0.948684027294,0.4
C0026640,Mouth Neoplasms,0.345,0.02,3624.35714286,0.00527365366134,0.830071113177,0.115
C0023890,Liver Cirrhosis,0.456666666667,0.06,3152.46296296,0.0154275682038,0.858606085972,0.213333333333
C0028754,Obesity,0.178615384615,0.0195384615385,7002.65891473,0.00642889519625,0.671421446294,0.0350769230769
C0023892,Biliary cirrhosis,0.233333333333,0.025,7196.84375,0.0116828768931,0.655165311653,0.108333333333
C0040427,Tooth Abnormalities,0.0,0.0,9507.9,0.000209676424744,0.558783125261,0.0
C0008370,Cholestasis,0.291666666667,0.025,5647.33333333,0.0137475080023,0.741456764879,0.025
C0020179,Huntington Disease,0.0,0.0,14342.75,0.000105416139669,0.361622186122,0.0
C0019196,Hepatitis C,0.25,0.0,3593.73333333,0.0015738692988,0.821358276855,0.1
C0878544,Cardiomyopathies,0.3,0.0111111111111,4424.24444444,0.00422408617042,0.794137772188,0.0666666666667
C1832200,Peroxisome biogenesis disorders,1.0,0.7,48.0909090909,0.587101680985,0.997600482688,0.8
C0265965,Dyskeratosis Congenita,0.65,0.3,2773.5,0.09219315725,0.879972151311,0.55
C0041948,Uremia,0.3,0.1,3467.17647059,0.0156798355615,0.843769730734,0.15
C0013182,Drug Allergy,0.3,0.0,3656.11428571,0.0020996633152,0.835514822043,0.0333333333333
C0011581,Depressive disorder,0.316666666667,0.05,4634.22222222,0.00674685039926,0.781570326658,0.05
