Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.8666666666666666,0.6,1239.111111111111,0.11787993681512947,0.948242762037467,0.8666666666666666
Mean,,0.8666666666666666,0.6,1239.111111111111,0.11787993681512947,0.948242762037467,0.8666666666666666
Median,,0.8666666666666666,0.6,1239.111111111111,0.11787993681512947,0.948242762037467,0.8666666666666666
STD,,0.0,0.0,0.0,0.0,0.0,0.0
Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0268237,Cytochrome-c Oxidase Deficiency,0.0,0.0,11570.076923076924,0.00013052703768512308,0.4867689379873747,0.0
C0043459,Zellweger Syndrome,0.0,0.0,11059.933333333332,0.0001591176492524745,0.48634295794262367,0.0
C0022658,Kidney Diseases,0.025,0.0,12978.746987951807,0.00044802230605062236,0.3912140197965498,0.0
C0206062,"Lung Diseases, Interstitial",0.0,0.0,13853.666666666666,0.00010680519893949085,0.34580586760746446,0.0
C0007117,Basal cell carcinoma,0.0,0.0,12276.772727272728,0.00020565946453361808,0.43365180713567053,0.0
C2239176,Liver carcinoma,0.0,0.0,15980.202764976959,0.0006797595341161195,0.24661287361498233,0.0
C0206726,gliosarcoma,0.0,0.0,16885.133333333335,7.923164668841327e-05,0.2173022467737443,0.0
C0948089,Acute Coronary Syndrome,0.0,0.0,17621.483870967742,0.0001263006676578275,0.17327321223946235,0.0
C0018923,Hemangiosarcoma,0.0,0.0,15492.888888888889,0.00011849442223767548,0.28023236919077027,0.0
C0029927,Ovarian Cysts,0.0,0.0,12284.225806451614,0.00018638509398650777,0.4231696553005667,0.0
C0036346,"Schizophrenia, Childhood",0.05,0.0,12351.6,0.0001546476949149279,0.4110319376102497,0.0
C0206686,Adrenocortical carcinoma,0.0,0.0,18418.882352941175,7.456557002116714e-05,0.12382079851439183,0.0
C0036341,Schizophrenia,0.029528985507246374,0.004166666666666667,13059.180672268907,0.001387786414599256,0.3867929905010907,0.008514492753623187
C0333641,Atrophic,0.0,0.0,16520.0,6.489652466197987e-05,0.2265303754583005,0.0
C0887833,"Carcinoma, Pancreatic Ductal",0.0,0.0,15635.0,0.00010694626982052755,0.2689847703951339,0.0
C1800706,Idiopathic Pulmonary Fibrosis,0.0,0.0,11837.3125,0.00016487430892891936,0.4249849124924562,0.0
C0005138,Berylliosis,0.0,0.0,15333.444444444445,6.774198452433799e-05,0.2873816595507704,0.0
C0007134,Renal Cell Carcinoma,0.0,0.0,15192.066115702479,0.0004158232210337631,0.28869698889000533,0.0
C0011616,Contact Dermatitis,0.0,0.0,14046.185714285713,0.00029298904088111995,0.34307288792558954,0.0
C0025149,Medulloblastoma,0.0,0.0,16555.386363636364,0.00018064529861428055,0.21936212987495934,0.0
C0020649,Hypotension,0.0,0.0,11345.528301886792,0.0002979588421458409,0.46875976562500005,0.0
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",0.0,0.0,14279.363636363636,0.000544898819451808,0.32918583259356166,0.0
C0002878,"Anemia, Hemolytic",0.0,0.0,14462.583333333334,8.721001500328736e-05,0.3207635182176839,0.0
C0011615,"Dermatitis, Atopic",0.0,0.0,11069.9,0.0002717995126105939,0.48381163731003396,0.0
C1838979,MITOCHONDRIAL COMPLEX I DEFICIENCY,0.0,0.0,14944.518518518518,0.00013502647993718348,0.28362130360736953,0.0
C0039685,Tetralogy of Fallot,0.0,0.0,12319.066666666668,0.0001426340558727365,0.4352114474050691,0.0
C0007222,Cardiovascular Diseases,0.0,0.0,13045.12,0.0002286208361962409,0.3909940949458316,0.0
C0151786,Muscle Weakness,0.0,0.0,12274.395604395604,0.0004254776342071942,0.42754311728107497,0.0
C0029456,Osteoporosis,0.0,0.0,15575.873015873016,0.0002371647824109128,0.27539706540474196,0.0
C0023343,Leprosy,0.0,0.0,12143.333333333334,0.00016242034604786414,0.4666395840103997,0.0
C0428977,Bradycardia,0.0,0.0,9089.041666666666,0.00023139474712384,0.5764996362172788,0.0
C0035229,Respiratory Insufficiency,0.0,0.0,13384.0,0.00010635082001085271,0.3772301123178316,0.0
C0035126,Reperfusion Injury,0.0,0.0,15616.04705882353,0.0002979047032221261,0.2665780499668819,0.0
C0751617,Semilobar Holoprosencephaly,0.0,0.0,10416.714285714286,0.00013526193003027997,0.46702757276145385,0.0
C0013990,Pathological accumulation of air in tissues,0.0,0.0,17138.3,6.019846571881477e-05,0.20012762797605235,0.0
C0018801,Heart failure,0.0125,0.0,13892.9125,0.0003235942877251333,0.3491441425711226,0.0
C0042514,"Tachycardia, Ventricular",0.0,0.0,14870.2,7.152719295492712e-05,0.304288299995359,0.0
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,0.0,0.0,18673.571428571428,6.558005214804304e-05,0.12939934085317736,0.0
C3495559,Juvenile arthritis,0.024358974358974356,0.0,13780.877049180328,0.0005382267940174431,0.35555467334158725,0.0
C0002170,Alopecia,0.0,0.0,14935.642857142857,8.916450170910704e-05,0.28111103374646057,0.0
C0038325,Stevens-Johnson Syndrome,0.0,0.0,17855.866666666665,0.00014534533718291273,0.16339558074356234,0.0
C0013421,Dystonia,0.0,0.0,14371.615384615385,9.592329534842108e-05,0.3418654845896769,0.0
C0003811,Cardiac Arrhythmia,0.0,0.0,13263.4,0.00013677282364165294,0.3824012165111204,0.0
C0027643,"Neoplasm Recurrence, Local",0.03333333333333333,0.0,16385.958333333332,0.0001672556072077613,0.2312729299215158,0.0
C1168401,Squamous cell carcinoma of the head and neck,0.05,0.0,15730.958333333334,0.00019623803948498023,0.260646836638338,0.0
C0018995,Hemochromatosis,0.0,0.0,9645.083333333334,0.0001408374420647876,0.5516337897423995,0.0
C0025286,Meningioma,0.0,0.0,15680.916666666666,7.263894215130697e-05,0.2696692968206081,0.0
C0029401,Osteitis Deformans,0.0,0.0,16431.625,0.00016856033262200123,0.24423117081999166,0.0
C0011853,"Diabetes Mellitus, Experimental",0.0,0.0,14674.575471698114,0.00039216806967747156,0.30775261589839,0.0
C0006625,Cachexia,0.0,0.0,14883.6,7.669022165352068e-05,0.30852786930895254,0.0
C0349788,Arrhythmogenic Right Ventricular Dysplasia,0.0,0.0,16975.2,6.102126568185684e-05,0.20609597623799134,0.0
C0005695,Bladder Neoplasm,0.00909090909090909,0.0,15024.443396226416,0.00041788114985575817,0.29540597810655145,0.0
C0524851,Neurodegenerative Disorders,0.0,0.0,15009.27027027027,0.00016178170944496512,0.3065040272614622,0.0
C0033860,Psoriasis,0.014285714285714285,0.0,14025.015625,0.0003081958071307691,0.3420433673865023,0.0
C0018843,Heat Stroke,0.0,0.0,17402.916666666668,6.225610029531334e-05,0.13024831747505222,0.0
C0036920,Sezary Syndrome,0.0,0.0,17540.03846153846,0.00010945150964815703,0.16894361618131995,0.0
C0036095,Salivary Gland Neoplasms,0.0,0.0,14357.068181818182,0.00020735967716095324,0.3204062659787105,0.0
C0001973,"Alcoholic Intoxication, Chronic",0.0,0.0,10989.973684210527,0.00025285091324699896,0.49223941632975504,0.0
C0037769,West Syndrome,0.0,0.0,14619.533333333333,9.363464987610236e-05,0.3321755175935382,0.0
C0011882,Diabetic Neuropathies,0.0,0.0,16556.153846153848,6.789701914538374e-05,0.2009144077237282,0.0
C0021364,Male infertility,0.05,0.0,13440.813953488372,0.00027235538509825234,0.3677325230082737,0.0
C0265221,Walker-Warburg congenital muscular dystrophy,0.0,0.0,10143.846153846154,0.00019259582755194136,0.5422298551800966,0.0
C1136249,"Mental Retardation, X-Linked",0.0,0.0,12722.111111111111,0.00012273217859114729,0.39543038209759046,0.0
C0403553,Renal dysplasia and retinal aplasia (disorder),0.0,0.0,13341.3,0.00012667118351829672,0.39128648999860766,0.0
C0520459,Necrotizing Enterocolitis,0.0,0.0,16322.882352941177,8.354483227848959e-05,0.23623142989786444,0.0
C0242422,Parkinsonian Disorders,0.0,0.0,15677.545454545454,0.00010200214642462177,0.25929726801331177,0.0
C0040034,Thrombocytopenia,0.0,0.0,13719.90909090909,0.0001428125813704693,0.34730129246962305,0.0
C0021361,Female infertility,0.0,0.0,14694.74074074074,0.0001308799871919585,0.30185555039479794,0.0
C0018772,"Hearing Loss, Partial",0.05,0.0,10928.045454545454,0.0003082692807202079,0.47970048757836087,0.0
C0035228,Respiratory Hypersensitivity,0.0,0.0,12533.833333333334,0.0001278392414251503,0.3990784158967454,0.0
C0043094,Weight Gain,0.0,0.0,14501.897727272728,0.00033556631864302714,0.32152208481479755,0.0
C0242383,Age related macular degeneration,0.025,0.0,12613.25,0.00038693936162726377,0.4223334185214441,0.0
C0007193,"Cardiomyopathy, Dilated",0.025,0.0,15878.617021276596,0.0002335718048586169,0.25513389121338914,0.0
C3160731,Pulmonary function (finding),0.0,0.0,11843.066666666668,0.000199318711222902,0.44952075687895815,0.0
C0080178,Spina Bifida,0.0,0.0,15625.09090909091,7.332746866888797e-05,0.2698250255267799,0.0
C0023418,leukemia,0.0,0.0,17267.625,0.00012721259469919294,0.191680216802168,0.0
C0007194,Hypertrophic Cardiomyopathy,0.0,0.0,16162.904761904761,9.793939456553549e-05,0.24024965948489352,0.0
C1720824,Sudden Cardiac Arrest,0.0,0.0,13184.866666666667,9.889215932046364e-05,0.40456201838269434,0.0
C0752166,Bardet-Biedl Syndrome,0.0,0.0,11796.857142857143,0.0001384777511059004,0.448760989351164,0.0
C0022548,Keloid,0.0,0.0,16780.151515151516,0.00013273088515795562,0.215017925726321,0.0
C0025202,melanoma,0.010263157894736842,0.0,13707.135416666666,0.0007339041019549288,0.3551468215354675,0.0
C3809874,"LEUKEMIA, ACUTE LYMPHOBLASTIC, SUSCEPTIBILITY TO, 3",0.03333333333333333,0.0,16798.761904761905,0.00021262854500178063,0.20104321446260523,0.0
C0032285,Pneumonia,0.02,0.0,11900.702127659575,0.0003682056515375943,0.4399343328684333,0.0
C0009324,Ulcerative Colitis,0.0,0.0,13081.753086419752,0.0003804043710147212,0.3891409144057449,0.0
C0282612,Prostatic Intraepithelial Neoplasias,0.0,0.0,19356.454545454544,5.3586365019833354e-05,0.07864568829481113,0.0
C0033805,Pseudohypoaldosteronism,0.0,0.0,14764.444444444445,7.042086814106643e-05,0.31595353010333516,0.0
C0027708,Nephroblastoma,0.0,0.0,14164.375,0.00013429458061996966,0.3491992015226777,0.0
C1838951,LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY,0.0,0.0,14178.92857142857,0.00010590964037490266,0.339033560785406,0.0
C1140680,Malignant neoplasm of ovary,0.0,0.0,15150.333333333334,0.00010438858862630731,0.2928893014620562,0.0
C0031511,Pheochromocytoma,0.0,0.0,15042.25,9.86482495728733e-05,0.3065514600064992,0.0
C1336708,Testicular Germ Cell Tumor,0.0,0.0,15064.57142857143,0.00011085007753102346,0.3050013156265478,0.0
C0020619,Hypogonadism,0.0,0.0,9769.461538461539,0.00019197706040065897,0.5531621333085777,0.0
C0018213,Graves Disease,0.0,0.0,12405.466666666667,0.00010977574777152745,0.4055391792776901,0.0
C0026650,Movement Disorders,0.0,0.0,12832.190476190477,0.00014239675298447627,0.39903378838533926,0.0
C0004763,Barrett Esophagus,0.0,0.0,15689.5,8.550034820317917e-05,0.2547869377524022,0.0
C0024232,Lymphatic Metastasis,0.0,0.0,15542.857142857143,8.078482901401075e-05,0.263659889523279,0.0
C0020615,Hypoglycemia,0.0,0.0,17305.8,5.785336785158148e-05,0.19234928296282544,0.0
C0002895,"Anemia, Sickle Cell",0.0,0.0,16053.7,6.546271914933068e-05,0.2502552559521047,0.0
C0027707,"Nephritis, Interstitial",0.0,0.0,11781.5,0.00017443559070484912,0.4483083491901425,0.0
C2931822,Nasopharyngeal carcinoma,0.0,0.0,17460.5,0.00010329502900305523,0.18227004689603937,0.0
C0238288,"Muscular Dystrophy, Facioscapulohumeral",0.15,0.0,12733.833333333334,0.00041619187598562247,0.40044673938268743,0.0
C1527249,Colorectal Cancer,0.06666666666666667,0.0,13589.5,0.00029272463264687994,0.35728900552742815,0.0
C0004153,Atherosclerosis,0.0,0.0,14894.425925925925,0.00023157419271902782,0.3045975755320963,0.0
C0004096,Asthma,0.02909090909090909,0.0,12628.180952380952,0.0005564658756586883,0.407188098587968,0.0
C0242350,Erectile dysfunction,0.0,0.0,15015.1,7.080087415245563e-05,0.2910103494686035,0.0
