Disease ID,Disease Name,Fold Recall-at-100,Recall-at-25,Ranks,Mean Average Precision,AUROC,Recall-at-100
C0018784,Sensorineural Hearing Loss (disorder),0.444444444444,0.111111111111,3309.0,0.00483946715782,0.846482272137,0.222222222222
C0031117,Peripheral Neuropathy,0.133068783069,0.0,6616.38351254,0.0027162460442,0.689795478326,0.0178571428571
C0019163,Hepatitis B,0.45,0.15,4924.125,0.0117678549726,0.741989694072,0.3
C0027819,Neuroblastoma,0.305,0.045,3540.52272727,0.00448903673125,0.833374703668,0.085
C0014553,Absence Epilepsy,0.333333333333,0.0,4646.22222222,0.00085531037545,0.784424437432,0.0
C0004782,Basal Ganglia Diseases,0.3,0.0,7750.91666667,0.000719587957942,0.64050823857,0.0
C0024115,Lung diseases,0.265,0.025,6126.66666667,0.00230040937305,0.715407214578,0.05
C0020459,Hyperinsulinism,0.4,0.1,3290.5625,0.00314030626232,0.849229376538,0.15
C0026691,Mucocutaneous Lymph Node Syndrome,0.15,0.0,8057.72727273,0.000735372367182,0.62403230298,0.05
C0043094,Weight Gain,0.145833333333,0.0236111111111,5647.93181818,0.00439984436011,0.736398379317,0.0347222222222
C0043459,Zellweger Syndrome,1.0,0.65,40.4,0.519973488905,0.997720731594,0.9
C0007785,Cerebral Infarction,0.5,0.1,2720.0,0.00918103975658,0.873810739314,0.3
C0024117,Chronic Obstructive Airway Disease,0.255,0.0,5983.52173913,0.000892410811554,0.727982427595,0.0
C1843367,Poor school performance,0.05,0.0,7069.30769231,0.000143052346697,0.663374953583,0.0
C0403553,Renal dysplasia and retinal aplasia (disorder),0.7,0.4,2252.5,0.0413512070132,0.895507495243,0.5
C1565489,Renal Insufficiency,0.5,0.2,2851.9,0.00673040957424,0.867689237481,0.3
C0008312,Primary biliary cirrhosis,0.4,0.25,5112.0,0.0161939625136,0.774557758381,0.3
C0677776,Hereditary Breast and Ovarian Cancer Syndrome,1.0,0.4,98.1428571429,0.222554683872,0.996421111266,0.95
C0011053,Deafness,0.25,0.0,9813.26666667,0.000716048409479,0.503165908458,0.1
C0009404,Colorectal Neoplasms,0.221212121212,0.0142857142857,6030.90140845,0.00386846196752,0.718787106041,0.0329004329004
C0029463,Osteosarcoma,0.391666666667,0.0333333333333,4978.71428571,0.0024107190359,0.761374020382,0.0333333333333
C0039685,Tetralogy of Fallot,0.6,0.05,4466.6,0.00322324853895,0.799736561136,0.05
C1263846,Attention deficit hyperactivity disorder,0.225,0.0,7879.37142857,0.00122417115574,0.63579825295,0.0583333333333
C0004763,Barrett Esophagus,0.3,0.0,4676.28571429,0.00261266979335,0.791581952374,0.15
C0034069,Pulmonary Fibrosis,0.455,0.02,2051.75,0.00808213708808,0.906739039472,0.335
C0023434,Chronic Lymphocytic Leukemia,0.265,0.02,5579.73469388,0.00313594431577,0.738349683839,0.06
C0029172,Oral Submucous Fibrosis,0.65,0.3,2255.2,0.117844896657,0.877409247052,0.55
C0020473,Hyperlipidemia,0.75,0.15,2667.0,0.020320576945,0.894305942433,0.4
C0007134,Renal Cell Carcinoma,0.25641025641,0.0,5144.73553719,0.0026761607639,0.76068498177,0.0410256410256
